# kappa, training_loss
0.000000000000000000e+00,1.250028163194656372e-01
2.987412646343745593e-01,1.249613910913467407e-01
3.792729013758491252e-01,1.248854026198387146e-01
4.277757594593780688e-01,1.249014660716056824e-01
4.625940378945745945e-01,1.248409971594810486e-01
4.897741941352322659e-01,1.247681975364685059e-01
5.120718240924077014e-01,1.248273029923439026e-01
5.309768076223277955e-01,1.246914714574813843e-01
5.473865027259583460e-01,1.246762648224830627e-01
5.618834712550830890e-01,1.246376782655715942e-01
5.748674240708715466e-01,1.245748847723007202e-01
5.866245471251870791e-01,1.247736141085624695e-01
5.973667983834675121e-01,1.243700608611106873e-01
6.072555474445486823e-01,1.244935616850852966e-01
6.164164945401082729e-01,1.245284974575042725e-01
6.249494654822487227e-01,1.241436749696731567e-01
6.329350593631548616e-01,1.241088435053825378e-01
6.404392895785094852e-01,1.247635930776596069e-01
6.475169038559689394e-01,1.244735494256019592e-01
6.542138102897051555e-01,1.245473846793174744e-01
6.605688835520996394e-01,1.238228976726531982e-01
6.666153321087698869e-01,1.244813501834869385e-01
6.723817485602121558e-01,1.238763034343719482e-01
6.778929273481105744e-01,1.245909482240676880e-01
6.831705090428116245e-01,1.240183711051940918e-01
6.882334935562727241e-01,1.238703876733779907e-01
6.930986530324307893e-01,1.246827319264411926e-01
6.977808670654196410e-01,1.241375878453254700e-01
7.022933971455584956e-01,1.242874488234519958e-01
7.066481130928030652e-01,1.237217709422111511e-01
7.108556812172156514e-01,1.239603757858276367e-01
7.149257217162019451e-01,1.238086670637130737e-01
7.188669411534414078e-01,1.231871768832206726e-01
7.226872446085056412e-01,1.235741972923278809e-01
7.263938311294781958e-01,1.243166700005531311e-01
7.299932753855719048e-01,1.236363127827644348e-01
7.334915978467643205e-01,1.242948025465011597e-01
7.368943253721712550e-01,1.239262372255325317e-01
7.402065437383725799e-01,1.231079623103141785e-01
7.434329433610827875e-01,1.235547736287117004e-01
7.465778592418980120e-01,1.239356994628906250e-01
7.496453059938864572e-01,1.234151348471641541e-01
7.526390086560631465e-01,1.236510053277015686e-01
7.555624298900730507e-01,1.234316006302833557e-01
7.584187940571085473e-01,1.239552646875381470e-01
7.612111085948932709e-01,1.226150095462799072e-01
7.639421830500966459e-01,1.236864477396011353e-01
7.666146460681403374e-01,1.232032999396324158e-01
7.692309605979407161e-01,1.236733198165893555e-01
7.717934375320248952e-01,1.230883598327636719e-01
7.743042479713363457e-01,1.242477223277091980e-01
7.767654342778520515e-01,1.227824762463569641e-01
7.791789200559949835e-01,1.227708756923675537e-01
7.815465191850610172e-01,1.239959895610809326e-01
7.838699440089136328e-01,1.230245158076286316e-01
7.861508127755718611e-01,1.233411952853202820e-01
7.883906564076565981e-01,1.239424943923950195e-01
7.905909246746419816e-01,1.236140951514244080e-01
7.927529918292349764e-01,1.236107572913169861e-01
7.948781617627617146e-01,1.231538653373718262e-01
7.969676727279898509e-01,1.224637702107429504e-01
7.990227016722240005e-01,1.218654289841651917e-01
8.010443682186388914e-01,1.238890513777732849e-01
8.030337383295720333e-01,1.226276755332946777e-01
8.049918276817847884e-01,1.236514747142791748e-01
8.069196047804462202e-01,1.228567883372306824e-01
8.088179938357423771e-01,1.226107552647590637e-01
8.106878774234976825e-01,1.232294440269470215e-01
8.125300989489824266e-01,1.225789263844490051e-01
8.143454649311224758e-01,1.231026425957679749e-01
8.161347471225947059e-01,1.233743950724601746e-01
8.178986844797597744e-01,1.229484453797340393e-01
8.196379849950137242e-01,1.231034621596336365e-01
8.213533274029334308e-01,1.226659566164016724e-01
8.230453627705038855e-01,1.231215521693229675e-01
8.247147159807510786e-01,1.225537881255149841e-01
8.263619871182431575e-01,1.231179460883140564e-01
8.279877527641444912e-01,1.225363165140151978e-01
8.295925672078201529e-01,1.225243508815765381e-01
8.311769635813579526e-01,1.235385462641716003e-01
8.327414549228221441e-01,1.224238276481628418e-01
8.342865351735421209e-01,1.224924325942993164e-01
8.358126801142881090e-01,1.225304007530212402e-01
8.373203482447735269e-01,1.217337846755981445e-01
8.388099816105514250e-01,1.214817985892295837e-01
8.402820065810365779e-01,1.224372237920761108e-01
8.417368345820784858e-01,1.240956485271453857e-01
8.431748627862359902e-01,1.217275038361549377e-01
8.445964747636494074e-01,1.223298683762550354e-01
8.460020410961788251e-01,1.223979145288467407e-01
8.473919199572702565e-01,1.226362586021423340e-01
8.487664576598169530e-01,1.226912662386894226e-01
8.501259891741153041e-01,1.220187917351722717e-01
8.514708386178496680e-01,1.218662038445472717e-01
8.528013197199030282e-01,1.218601837754249573e-01
8.541177362596511502e-01,1.226456239819526672e-01
8.554203824832795622e-01,1.221344321966171265e-01
8.567095434985513291e-01,1.223785579204559326e-01
8.579854956493495610e-01,1.217843890190124512e-01
8.592485068712262253e-01,1.219436153769493103e-01
8.604988370291004607e-01,1.224821954965591431e-01
8.617367382381734275e-01,1.213503628969192505e-01
8.629624551690470158e-01,1.214403882622718811e-01
8.641762253379742242e-01,1.221623048186302185e-01
8.653782793831001907e-01,1.211233511567115784e-01
8.665688413274977853e-01,1.218295767903327942e-01
8.677481288297479445e-01,1.221478208899497986e-01
8.689163534227670738e-01,1.220870763063430786e-01
8.700737207415352170e-01,1.228365078568458557e-01
8.712204307403396131e-01,1.203479394316673279e-01
8.723566779001062921e-01,1.223862990736961365e-01
8.734826514263590580e-01,1.222364902496337891e-01
8.745985354383087884e-01,1.217624843120574951e-01
8.757045091495456735e-01,1.211807206273078918e-01
8.768007470407774839e-01,1.226318255066871643e-01
8.778874190250328668e-01,1.209434792399406433e-01
8.789646906057166920e-01,1.210415884852409363e-01
8.800327230278890411e-01,1.212480887770652771e-01
8.810916734231108993e-01,1.207789182662963867e-01
8.821416949481843961e-01,1.204383447766304016e-01
8.831829369180915768e-01,1.217650994658470154e-01
8.842155449334215822e-01,1.203943789005279541e-01
8.852396610025581314e-01,1.209556534886360168e-01
8.862554236588849887e-01,1.206057295203208923e-01
8.872629680732468938e-01,1.206470429897308350e-01
8.882624261619007644e-01,1.217417865991592407e-01
8.892539266901670070e-01,1.215256676077842712e-01
8.902375953719882107e-01,1.204463392496109009e-01
8.912135549655864075e-01,1.210814639925956726e-01
8.921819253654001969e-01,1.216489672660827637e-01
8.931428236904762619e-01,1.209651082754135132e-01
8.940963643694749274e-01,1.208698078989982605e-01
8.950426592224480782e-01,1.208792850375175476e-01
8.959818175395307671e-01,1.223201826214790344e-01
8.969139461566905114e-01,1.201961711049079895e-01
8.978391495286599522e-01,1.211729794740676880e-01
8.987575297991827750e-01,1.208472028374671936e-01
8.996691868686853555e-01,1.196425333619117737e-01
9.005742184594927036e-01,1.208705306053161621e-01
9.014727201786886246e-01,1.207247152924537659e-01
9.023647855787267913e-01,1.212374269962310791e-01
9.032505062158838749e-01,1.212844923138618469e-01
9.041299717066516584e-01,1.205726563930511475e-01
9.050032697821488448e-01,1.211775690317153931e-01
9.058704863406400465e-01,1.195763722062110901e-01
9.067317054982378943e-01,1.195973381400108337e-01
9.075870096378647611e-01,1.209714487195014954e-01
9.084364794565435997e-01,1.216095313429832458e-01
9.092801940110875059e-01,1.201002821326255798e-01
9.101182307622512901e-01,1.210742145776748657e-01
9.109506656174081174e-01,1.199970990419387817e-01
9.117775729718081701e-01,1.210887283086776733e-01
9.125990257484776214e-01,1.207229569554328918e-01
9.134150954368096542e-01,1.191798746585845947e-01
9.142258521298991525e-01,1.215827837586402893e-01
9.150313645606703572e-01,1.200316771864891052e-01
9.158317001368432297e-01,1.198457330465316772e-01
9.166269249747833747e-01,1.196463778614997864e-01
9.174171039322780441e-01,1.193810999393463135e-01
9.182023006402796339e-01,1.200081408023834229e-01
9.189825775336524227e-01,1.199119761586189270e-01
9.197579958809651846e-01,1.194805204868316650e-01
9.205286158133596519e-01,1.205842643976211548e-01
9.212944963525319109e-01,1.195668280124664307e-01
9.220556954378585912e-01,1.202574670314788818e-01
9.228122699526993822e-01,1.197196170687675476e-01
9.235642757499051836e-01,1.197396218776702881e-01
9.243117676765600921e-01,1.196844279766082764e-01
9.250547995979863103e-01,1.190754175186157227e-01
9.257934244210362928e-01,1.196762248873710632e-01
9.265276941166985525e-01,1.202664598822593689e-01
9.272576597420408850e-01,1.199459806084632874e-01
9.279833714615144391e-01,1.204092204570770264e-01
9.287048785676398355e-01,1.187221407890319824e-01
9.294222295010987622e-01,1.195446550846099854e-01
9.301354718702486979e-01,1.193034350872039795e-01
9.308446524700834113e-01,1.180942878127098083e-01
9.315498173006553362e-01,1.183303520083427429e-01
9.322510115849804713e-01,1.187491416931152344e-01
9.329482797864411259e-01,1.185029745101928711e-01
9.336416656257046087e-01,1.194757893681526184e-01
9.343312120971732915e-01,1.200060248374938965e-01
9.350169614849820343e-01,1.204923242330551147e-01
9.356989553785570735e-01,1.183502003550529480e-01
9.363772346877518027e-01,1.176394075155258179e-01
9.370518396575719944e-01,1.183414533734321594e-01
9.377228098825050040e-01,1.187882423400878906e-01
9.383901843204640603e-01,1.192454993724822998e-01
9.390540013063618519e-01,1.187163740396499634e-01
9.397142985653237357e-01,1.189182326197624207e-01
9.403711132255525573e-01,1.182512417435646057e-01
9.410244818308559633e-01,1.187322586774826050e-01
9.416744403528473084e-01,1.191953569650650024e-01
9.423210242028285943e-01,1.173264309763908386e-01
9.429642682433680978e-01,1.179147139191627502e-01
9.436042067995791260e-01,1.189936622977256775e-01
9.442408736701114469e-01,1.191413104534149170e-01
9.448743021378624984e-01,1.191391944885253906e-01
9.455045249804178153e-01,1.181898266077041626e-01
9.461315744802289984e-01,1.198214143514633179e-01
9.467554824345359998e-01,1.176107376813888550e-01
9.473762801650422727e-01,1.167277470231056213e-01
9.479939985273508896e-01,1.191141307353973389e-01
9.486086679201660710e-01,1.175847575068473816e-01
9.492203182942703377e-01,1.180121079087257385e-01
9.498289791612815058e-01,1.180737689137458801e-01
9.504346796021962973e-01,1.171585842967033386e-01
9.510374482757286696e-01,1.178256422281265259e-01
9.516373134264457523e-01,1.184592247009277344e-01
9.522343028927091613e-01,1.176845133304595947e-01
9.528284441144277972e-01,1.180828809738159180e-01
9.534197641406253476e-01,1.181960105895996094e-01
9.540082896368295984e-01,1.181629821658134460e-01
9.545940468922882172e-01,1.185480952262878418e-01
9.551770618270143398e-01,1.182864159345626831e-01
9.557573599986701751e-01,1.179223433136940002e-01
9.563349666092887391e-01,1.167006120085716248e-01
9.569099065118417125e-01,1.171439215540885925e-01
9.574822042166561964e-01,1.166847422719001770e-01
9.580518838976844753e-01,1.167530640959739685e-01
9.586189693986312266e-01,1.169421747326850891e-01
9.591834842389415083e-01,1.163853332400321960e-01
9.597454516196539664e-01,1.197559684514999390e-01
9.603048944291224798e-01,1.177764609456062317e-01
9.608618352486099079e-01,1.166168972849845886e-01
9.614162963577574939e-01,1.170550510287284851e-01
9.619682997399322533e-01,1.177055239677429199e-01
9.625178670874573461e-01,1.154289245605468750e-01
9.630650198067268741e-01,1.178361773490905762e-01
9.636097790232093230e-01,1.166695505380630493e-01
9.641521655863417584e-01,1.165392249822616577e-01
9.646922000743175518e-01,1.162943467497825623e-01
