# kappa, training_loss
0.000000000000000000e+00,4.731986820697784424e-01
3.459658685579015680e-01,3.818526566028594971e-01
4.392555301540609913e-01,3.532564938068389893e-01
4.954438025581552885e-01,3.472390770912170410e-01
5.357795684810990888e-01,3.331408500671386719e-01
5.672670216573783009e-01,3.407721519470214844e-01
5.930983014964366085e-01,3.155252635478973389e-01
6.149993373564460741e-01,3.172114491462707520e-01
6.340096691217784741e-01,2.965308129787445068e-01
6.508041667360447979e-01,3.123870491981506348e-01
6.658458781647310643e-01,3.006206750869750977e-01
6.794663388018308270e-01,3.007629215717315674e-01
6.919110944893525073e-01,2.906327545642852783e-01
7.033670866717666170e-01,2.763569951057434082e-01
7.139799352791162956e-01,2.728248238563537598e-01
7.238652857020696496e-01,2.833318710327148438e-01
7.331165098541644332e-01,2.519591152667999268e-01
7.418100826028958261e-01,2.683418095111846924e-01
7.500094278918423285e-01,2.626077234745025635e-01
7.577677292113679242e-01,2.578069865703582764e-01
7.651300220311240130e-01,2.698355019092559814e-01
7.721347776727581769e-01,2.779546678066253662e-01
7.788151200970673260e-01,2.594124972820281982e-01
7.851997731917013112e-01,2.471108734607696533e-01
7.913138071592735745e-01,2.587539255619049072e-01
7.971792330600717680e-01,2.737329006195068359e-01
8.028154811343232167e-01,2.345986962318420410e-01
8.082397891437086423e-01,2.557615041732788086e-01
8.134675203100847352e-01,2.349893152713775635e-01
8.185124256330843506e-01,2.338401824235916138e-01
8.233868618695486807e-01,2.375247478485107422e-01
8.281019738745964975e-01,2.181073874235153198e-01
8.326678480754963196e-01,2.322056591510772705e-01
8.370936423945555260e-01,2.439741939306259155e-01
8.413876968289556446e-01,2.237360179424285889e-01
8.455576280436190029e-01,2.126193493604660034e-01
8.496104106729021055e-01,2.206398248672485352e-01
8.535524475110327636e-01,2.264779359102249146e-01
8.573896303651640238e-01,2.181579172611236572e-01
8.611273930230689544e-01,2.052922695875167847e-01
8.647707575307115313e-01,2.240507155656814575e-01
8.683243747687608982e-01,2.123892605304718018e-01
8.717925601506161248e-01,2.066341042518615723e-01
8.751793251292917519e-01,2.087971121072769165e-01
8.784884050901174968e-01,2.135454267263412476e-01
8.817232841156171785e-01,2.084237486124038696e-01
8.848872170342486632e-01,1.994828134775161743e-01
8.879832491028212260e-01,2.037451118230819702e-01
8.910142336209484482e-01,2.042217701673507690e-01
8.939828477329107015e-01,2.018634676933288574e-01
8.968916066362437878e-01,1.968554109334945679e-01
8.997428763860296774e-01,1.912051439285278320e-01
9.025388854582139242e-01,2.032891511917114258e-01
9.052817352135409390e-01,1.940830647945404053e-01
9.079734093851957732e-01,1.845796853303909302e-01
9.106157826974617953e-01,1.824701577425003052e-01
9.132106287091877883e-01,2.030004262924194336e-01
9.157596269642555020e-01,1.766588091850280762e-01
9.182643695212482360e-01,1.992052793502807617e-01
9.207263669258962668e-01,1.790293008089065552e-01
9.231470536824047946e-01,1.903256624937057495e-01
9.255277932732861590e-01,1.889841705560684204e-01
9.278698827716841402e-01,1.718603372573852539e-01
9.301745570852508749e-01,1.948718875646591187e-01
9.324429928663434675e-01,1.803498268127441406e-01
9.346763121195365009e-01,1.715324074029922485e-01
9.368755855341365235e-01,1.858221292495727539e-01
9.390418355664806871e-01,1.814659833908081055e-01
9.411760392942273290e-01,1.709995120763778687e-01
9.432791310625844305e-01,1.686696857213973999e-01
9.453520049404169345e-01,1.732446402311325073e-01
9.473955170023888872e-01,1.614897847175598145e-01
9.494104874517222958e-01,1.696930676698684692e-01
9.513977025967471635e-01,1.727960109710693359e-01
9.533579166931601678e-01,1.644430309534072876e-01
9.552918536627985624e-01,1.717039197683334351e-01
9.572002086987254632e-01,1.641068756580352783e-01
9.590836497655381709e-01,1.582051664590835571e-01
9.609428190029959405e-01,1.801312714815139771e-01
9.627783340403532897e-01,1.686099171638488770e-01
9.645907892281270213e-01,1.691479086875915527e-01
9.663807567934443732e-01,1.589087545871734619e-01
9.681487879245929129e-01,1.546903252601623535e-01
9.698954137899147288e-01,1.578991711139678955e-01
9.716211464957568156e-01,1.599414050579071045e-01
9.733264799878023066e-01,1.582324504852294922e-01
9.750118908997480460e-01,1.546432822942733765e-01
9.766778393529808033e-01,1.591126024723052979e-01
9.783247697106062235e-01,1.613425314426422119e-01
9.799531112889218187e-01,1.505603939294815063e-01
9.815632790291857201e-01,1.380612254142761230e-01
9.831556741323093096e-01,1.515489816665649414e-01
9.847306846589027884e-01,1.402938514947891235e-01
9.862886860969189984e-01,1.379681527614593506e-01
9.878300418989729437e-01,1.493378877639770508e-01
9.893551039912599210e-01,1.421045064926147461e-01
9.908642132558549420e-01,1.516751348972320557e-01
9.923576999880464600e-01,1.319224685430526733e-01
9.938358843302419476e-01,1.417203396558761597e-01
9.952990766838661907e-01,1.274795085191726685e-01
9.967475781005831204e-01,1.325818747282028198e-01
9.981816806540713127e-01,1.411044001579284668e-01
9.996016677935017913e-01,1.510576158761978149e-01
1.001007814679790497e+00,1.480516493320465088e-01
1.002400388505621409e+00,1.422434449195861816e-01
1.003779648800169344e+00,1.274134814739227295e-01
1.005145847719396857e+00,1.511372327804565430e-01
1.006499230322732252e+00,1.399206519126892090e-01
1.007840034836891885e+00,1.525548994541168213e-01
1.009168492907553061e+00,1.415077596902847290e-01
1.010484829839547904e+00,1.301529258489608765e-01
1.011789264826195911e+00,1.424237340688705444e-01
1.013082011168362495e+00,1.309875398874282837e-01
1.014363276483788878e+00,1.320009529590606689e-01
1.015633262907208900e+00,1.260140389204025269e-01
1.016892167281735038e+00,1.328005641698837280e-01
1.018140181341963713e+00,1.333483606576919556e-01
1.019377491889231768e+00,1.312948018312454224e-01
1.020604280959418020e+00,1.304735392332077026e-01
1.021820725983673350e+00,1.214478462934494019e-01
1.023026999942427961e+00,1.388695091009140015e-01
1.024223271513016398e+00,1.356109082698822021e-01
1.025409705211230316e+00,1.246274560689926147e-01
1.026586461527097871e+00,1.245524138212203979e-01
1.027753697055171944e+00,1.242539882659912109e-01
1.028911564619588770e+00,1.317460536956787109e-01
1.030060213394147883e+00,1.288578510284423828e-01
1.031199789017649637e+00,1.191271767020225525e-01
1.032330433704713224e+00,1.195461750030517578e-01
1.033452286352286364e+00,1.259034425020217896e-01
1.034565482642043621e+00,1.261203736066818237e-01
1.035670155138868065e+00,1.305374652147293091e-01
1.036766433385587050e+00,1.301213055849075317e-01
1.037854443994137954e+00,1.204178854823112488e-01
1.038934310733322430e+00,1.123239099979400635e-01
1.040006154613298150e+00,1.190899834036827087e-01
1.041070093966957932e+00,1.192855983972549438e-01
1.042126244528328582e+00,1.158706620335578918e-01
1.043174719508120019e+00,1.160964816808700562e-01
1.044215629666551237e+00,1.236538439989089966e-01
1.045249083383565702e+00,1.196457222104072571e-01
1.046275186726550066e+00,1.122556775808334351e-01
1.047294043515663464e+00,1.117413491010665894e-01
1.048305755386873095e+00,1.129081919789314270e-01
1.049310421852797104e+00,1.126604452729225159e-01
1.050308140361443598e+00,1.007970497012138367e-01
1.051299006352930610e+00,1.109900921583175659e-01
1.052283113314273377e+00,1.111596971750259399e-01
1.053260552832315788e+00,1.139975190162658691e-01
1.054231414644877907e+00,1.130705997347831726e-01
1.055195786690198201e+00,1.122339367866516113e-01
1.056153755154730645e+00,1.087549030780792236e-01
1.057105404519368186e+00,1.058476641774177551e-01
1.058050817604148097e+00,1.099679693579673767e-01
1.058990075611506931e+00,1.111651286482810974e-01
1.059923258168131488e+00,1.118545979261398315e-01
1.060850443365468410e+00,1.023582592606544495e-01
1.061771707798939035e+00,1.057680621743202209e-01
1.062687126605910137e+00,1.135784089565277100e-01
1.063596773502467396e+00,1.138060241937637329e-01
1.064500720819037349e+00,1.070593446493148804e-01
1.065399039534900671e+00,1.076127365231513977e-01
1.066291799311635202e+00,9.172712266445159912e-02
