# kappa, training_loss
0.000000000000000000e+00,3.933089673519134521e-01
3.459706804992852547e-01,3.865868151187896729e-01
4.392605711937294100e-01,3.791733384132385254e-01
4.954489248898505949e-01,3.844731450080871582e-01
5.357847324499888098e-01,3.792033791542053223e-01
5.672722109350897268e-01,3.633350729942321777e-01
5.931035077849691195e-01,3.693387210369110107e-01
6.150045558640063748e-01,3.600912690162658691e-01
6.340148968313155109e-01,3.610462248325347900e-01
6.508094016251417813e-01,3.677802085876464844e-01
6.658511188116902346e-01,3.566230833530426025e-01
6.794715841691978397e-01,3.574090600013732910e-01
6.919163437968934849e-01,3.346664309501647949e-01
7.033723393179271977e-01,3.392502069473266602e-01
7.139851907903329575e-01,3.455192148685455322e-01
7.238705436988642772e-01,3.352686762809753418e-01
7.331217700277690152e-01,3.551775813102722168e-01
7.418153446987125754e-01,3.398236036300659180e-01
7.500146916974719247e-01,3.398330807685852051e-01
7.577729945477720275e-01,3.379992246627807617e-01
7.651352887459866858e-01,3.298590779304504395e-01
7.721400456354198250e-01,3.142627477645874023e-01
7.788203891946048341e-01,3.247773945331573486e-01
7.852050433258569440e-01,3.126212656497955322e-01
7.913190782440208126e-01,3.269907236099243164e-01
7.971845050196662008e-01,3.250416219234466553e-01
8.028207539017266914e-01,3.395298719406127930e-01
8.082450626593041809e-01,3.168809413909912109e-01
8.134727945206201571e-01,3.079993426799774170e-01
8.185177004907975284e-01,3.146746754646301270e-01
8.233921373314379011e-01,3.009015619754791260e-01
8.281072499018077293e-01,3.094748556613922119e-01
8.326731246328070712e-01,2.924059927463531494e-01
8.370989194499357522e-01,2.844430506229400635e-01
8.413929743531927130e-01,2.916959524154663086e-01
8.455629060099975058e-01,3.038612604141235352e-01
8.496156890569267484e-01,2.928700745105743408e-01
8.535577262901888895e-01,3.020845651626586914e-01
8.573949095187098912e-01,2.791201174259185791e-01
8.611326725318539932e-01,2.990731596946716309e-01
8.647760373770182474e-01,2.905611395835876465e-01
8.683296549361647632e-01,3.047607243061065674e-01
8.717978406238632294e-01,2.836320400238037109e-01
8.751846058941897821e-01,2.849961519241333008e-01
8.784936861334395886e-01,3.038981258869171143e-01
8.817285654250163196e-01,2.822957932949066162e-01
8.848924985981815317e-01,2.837102115154266357e-01
8.879885309104795788e-01,2.926113903522491455e-01
8.910195156621980583e-01,2.884781360626220703e-01
8.939881299982365137e-01,2.741819024085998535e-01
8.968968891167009572e-01,2.964380383491516113e-01
8.997481590731980505e-01,2.795235216617584229e-01
9.025441683441582930e-01,2.750949263572692871e-01
9.052870182907745145e-01,2.833113372325897217e-01
9.079786926466466568e-01,2.957505583763122559e-01
9.106210661364435577e-01,2.518677115440368652e-01
9.132159123193714922e-01,2.797541916370391846e-01
9.157649107396442778e-01,2.742587029933929443e-01
9.182696534561551882e-01,2.812265157699584961e-01
9.207316510149232691e-01,2.694021463394165039e-01
9.231523379204229496e-01,2.759140133857727051e-01
9.255330776554185901e-01,2.874041795730590820e-01
9.278751672932893380e-01,2.718635797500610352e-01
9.301798417419082643e-01,2.725038826465606689e-01
9.324482776538393081e-01,2.732435166835784912e-01
9.346815970338511192e-01,2.664895951747894287e-01
9.368808705714326557e-01,2.665966749191284180e-01
9.390471207230929318e-01,2.817042171955108643e-01
9.411813245666512673e-01,2.701176702976226807e-01
9.432844164474682991e-01,2.589020133018493652e-01
9.453572904345519667e-01,2.605738043785095215e-01
9.474008026027020968e-01,2.773028612136840820e-01
9.494157731552682611e-01,2.592659294605255127e-01
9.514029884007014770e-01,2.769785821437835693e-01
9.533632025948128863e-01,2.464469075202941895e-01
9.552971396595476561e-01,2.611097395420074463e-01
9.572054947880718201e-01,2.501003742218017578e-01
9.590889359450796015e-01,2.590892910957336426e-01
9.609481052704228476e-01,2.552927732467651367e-01
9.627836203934435622e-01,2.567273974418640137e-01
9.645960756647418144e-01,2.479485422372817993e-01
9.663860433115237791e-01,2.643496692180633545e-01
9.681540745221524080e-01,2.559106647968292236e-01
9.699007004650413988e-01,2.643568217754364014e-01
9.716264332466061360e-01,2.480695247650146484e-01
9.733317668125945898e-01,2.565859854221343994e-01
9.750171777967656661e-01,2.543089985847473145e-01
9.766831263205654201e-01,2.448725998401641846e-01
9.783300567471556741e-01,2.475270628929138184e-01
9.799583983928882303e-01,2.692947387695312500e-01
9.815685661990726230e-01,2.575669288635253906e-01
9.831609613666694170e-01,2.560242414474487305e-01
9.847359719563359981e-01,2.504955530166625977e-01
9.862939734560703942e-01,2.605514824390411377e-01
9.878353293185307971e-01,2.417595386505126953e-01
9.893603914699540258e-01,2.513014078140258789e-01
9.908695007924540610e-01,2.578370273113250732e-01
9.923629875813583245e-01,2.482731491327285767e-01
9.938411719791101495e-01,2.505961656570434570e-01
9.953043643871697377e-01,2.421683967113494873e-01
9.967528658572343270e-01,2.536981999874114990e-01
9.981869684630145789e-01,2.497675120830535889e-01
9.996069556537129364e-01,2.509472072124481201e-01
1.001013102590275317e+00,2.451608330011367798e-01
1.002405676465413453e+00,2.289764285087585449e-01
1.003784936808330697e+00,2.557904720306396484e-01
1.005151135775015581e+00,2.497920244932174683e-01
