# kappa, training_loss
0.000000000000000000e+00,5.295698046684265137e-01
3.459524779548170947e-01,5.145679712295532227e-01
4.392415019773434071e-01,5.215054154396057129e-01
4.954295481472522633e-01,4.562117755413055420e-01
5.357651981944784314e-01,4.127970039844512939e-01
5.672525809366066873e-01,4.400312006473541260e-01
5.930838134347243829e-01,4.057670533657073975e-01
6.149848152892924968e-01,3.705288171768188477e-01
6.339951214456014394e-01,3.560922741889953613e-01
6.507895990792086360e-01,3.578148484230041504e-01
6.658312944838067349e-01,3.380389809608459473e-01
6.794517419840445660e-01,3.436965942382812500e-01
6.918964867060888313e-01,3.426559567451477051e-01
7.033524695971455909e-01,3.223960101604461670e-01
7.139653102310622446e-01,3.156900107860565186e-01
7.238506537366670157e-01,3.178055584430694580e-01
7.331018718307119597e-01,3.241225481033325195e-01
7.417954392299379585e-01,3.107731640338897705e-01
7.499947797604848976e-01,3.178210556507110596e-01
7.577530768198731392e-01,3.138198852539062500e-01
7.651153658033861271e-01,3.073220849037170410e-01
7.721201179724025421e-01,3.003600537776947021e-01
7.788004572383582236e-01,3.185645043849945068e-01
7.851851074480892256e-01,3.021811246871948242e-01
7.912991387701697743e-01,2.855792939662933350e-01
7.971645622362725225e-01,3.144853711128234863e-01
8.028008080623951770e-01,3.015187978744506836e-01
8.082251139895654246e-01,3.082361221313476562e-01
8.134528432219270133e-01,2.819087207317352295e-01
8.184977467438339094e-01,2.981345355510711670e-01
8.233721812988796795e-01,3.081411123275756836e-01
8.280872917306386638e-01,3.025161325931549072e-01
8.326531644562740198e-01,3.002713024616241455e-01
8.370789573892086777e-01,3.133940100669860840e-01
8.413730105187817720e-01,2.977871000766754150e-01
8.455429405029672996e-01,2.980934083461761475e-01
8.495957219699430407e-01,2.737272381782531738e-01
8.535377577084244383e-01,2.930338084697723389e-01
8.573749395206309298e-01,2.877435684204101562e-01
8.611127011899064598e-01,2.979064285755157471e-01
8.647560647582277493e-01,2.899316847324371338e-01
8.683096811026650430e-01,2.799437940120697021e-01
8.717778656333600162e-01,2.800103127956390381e-01
8.751646298003725732e-01,2.870566844940185547e-01
8.784737089863451365e-01,2.880127131938934326e-01
8.817085872713532613e-01,2.786309123039245605e-01
8.848725194816188244e-01,2.736496031284332275e-01
8.879685508719044051e-01,2.928175032138824463e-01
8.909995347399480847e-01,2.666055262088775635e-01
8.939681482283066138e-01,2.739285230636596680e-01
8.968769065329306178e-01,2.851417362689971924e-01
8.997281757074399033e-01,2.846716046333312988e-01
9.025241842264314363e-01,2.868785262107849121e-01
9.052670334494014037e-01,2.708437442779541016e-01
9.079587071083796701e-01,2.773167192935943604e-01
9.106010799265782385e-01,2.734604179859161377e-01
9.131959254618506883e-01,2.776257395744323730e-01
9.157449232571529540e-01,2.931809127330780029e-01
9.182496653702070244e-01,2.650077044963836670e-01
9.207116623459398186e-01,2.638332247734069824e-01
9.231323486878063589e-01,2.681023478507995605e-01
9.255130878776184344e-01,2.900666296482086182e-01
9.278551769878639055e-01,2.754827737808227539e-01
9.301598509255808445e-01,2.669675648212432861e-01
9.324282863425509271e-01,2.645866572856903076e-01
9.346616052428077248e-01,2.660992145538330078e-01
9.368608783151505248e-01,2.815164327621459961e-01
9.390271280154388611e-01,2.601560056209564209e-01
9.411613314208815417e-01,2.697542607784271240e-01
9.432644228762633309e-01,2.644074559211730957e-01
9.453372964500501574e-01,2.764303982257843018e-01
9.473808082165288136e-01,2.527568042278289795e-01
9.493957783785658133e-01,2.583968937397003174e-01
9.513829932441545401e-01,2.469931542873382568e-01
9.533432070686735926e-01,2.690173387527465820e-01
9.552771437736587989e-01,2.701624929904937744e-01
9.571854985518881698e-01,2.681469917297363281e-01
9.590689393676878893e-01,2.622686028480529785e-01
9.609281083605607510e-01,2.727479040622711182e-01
9.627636231595174676e-01,2.790468931198120117e-01
9.645760781148430274e-01,2.601389288902282715e-01
9.663660454534445110e-01,2.484852969646453857e-01
9.681340763634000979e-01,2.506348788738250732e-01
9.698807020128525913e-01,2.324803471565246582e-01
9.716064345079590270e-01,2.504114806652069092e-01
9.733117677942214607e-01,2.634243071079254150e-01
9.749971785051642081e-01,2.729253768920898438e-01
9.766631267620096146e-01,2.489301115274429321e-01
9.783100569277058955e-01,2.557272017002105713e-01
9.799383983184004610e-01,2.606979310512542725e-01
9.815485658752080012e-01,2.417389899492263794e-01
9.831409607989028965e-01,2.506711781024932861e-01
9.847159711499640089e-01,2.610919773578643799e-01
9.862739724162186139e-01,2.684530317783355713e-01
9.878153280501619227e-01,2.410157471895217896e-01
9.893403899778735466e-01,2.327632158994674683e-01
9.908494990813180303e-01,2.535412311553955078e-01
9.923429856556785777e-01,2.329485416412353516e-01
9.938211698432607433e-01,2.551687061786651611e-01
9.952843620453920570e-01,2.542065680027008057e-01
9.967328633136429694e-01,2.608924210071563721e-01
9.981669657216019065e-01,2.411224097013473511e-01
9.995869527183539605e-01,2.343063354492187500e-01
1.000993099464732250e+00,2.281341254711151123e-01
1.002385673153340484e+00,2.588683664798736572e-01
1.003764933313276986e+00,2.422427982091903687e-01
1.005131132100430591e+00,2.502915263175964355e-01
1.006484514574158551e+00,2.430878877639770508e-01
1.007825318961108385e+00,2.599896788597106934e-01
1.009153776906891897e+00,2.358836680650711060e-01
1.010470113716277707e+00,2.456588447093963623e-01
1.011774548582523803e+00,2.372074276208877563e-01
1.013067294806436536e+00,2.277625650167465210e-01
1.014348560005700062e+00,2.400534749031066895e-01
1.015618546314993598e+00,2.456836849451065063e-01
1.016877450577376107e+00,2.473366260528564453e-01
1.018125464527393387e+00,2.377069294452667236e-01
1.019362774966331875e+00,2.439357191324234009e-01
1.020589563930023536e+00,2.493953555822372437e-01
1.021806008849572400e+00,2.403569370508193970e-01
1.023012282705364262e+00,2.258990108966827393e-01
1.024208554174690367e+00,2.429187595844268799e-01
1.025394987773300404e+00,2.402694672346115112e-01
1.026571743991182561e+00,2.382295876741409302e-01
1.027738979422850418e+00,2.492040395736694336e-01
1.028896846892402239e+00,2.267225533723831177e-01
1.030045495573601144e+00,2.575703561305999756e-01
1.031185071105211515e+00,2.364942431449890137e-01
1.032315715701818570e+00,2.301287204027175903e-01
1.033437568260336059e+00,2.468285262584686279e-01
1.034550764462407235e+00,2.203942537307739258e-01
1.035655436872883195e+00,2.444790899753570557e-01
1.036751715034560872e+00,2.349519282579421997e-01
1.037839725559348558e+00,2.427983433008193970e-01
1.038919592216018817e+00,2.293471992015838623e-01
1.039991436014701787e+00,2.273102104663848877e-01
1.041055375288263862e+00,2.444608360528945923e-01
1.042111525770704761e+00,2.309251725673675537e-01
1.043160000672709975e+00,2.356925010681152344e-01
1.044200910754473188e+00,2.277304381132125854e-01
1.045234364395913884e+00,2.279390990734100342e-01
1.046260467664396066e+00,2.348419278860092163e-01
1.047279324380055554e+00,2.315046936273574829e-01
1.048291036178838009e+00,2.301113158464431763e-01
1.049295702573340261e+00,2.354865372180938721e-01
1.050293421011549322e+00,2.251771837472915649e-01
1.051284286933563017e+00,2.426270693540573120e-01
1.052268393826377268e+00,2.197121381759643555e-01
1.053245833276816201e+00,2.377105206251144409e-01
1.054216695022682115e+00,2.248839139938354492e-01
1.055181067002194606e+00,2.404011338949203491e-01
1.056139035401790549e+00,2.352038770914077759e-01
1.057090684702345129e+00,2.376918047666549683e-01
1.058036097723879632e+00,2.233435064554214478e-01
1.058975355668813512e+00,2.313551604747772217e-01
1.059908538163818248e+00,2.329152375459671021e-01
1.060835723300324718e+00,2.276292741298675537e-01
1.061756987673739605e+00,2.341823428869247437e-01
1.062672406421414362e+00,2.418911159038543701e-01
1.063582053259420679e+00,2.207434624433517456e-01
1.064486000518171549e+00,2.266429066658020020e-01
1.065384319176933214e+00,2.330246269702911377e-01
1.066277078897270414e+00,2.328752130270004272e-01
1.067164348055463785e+00,2.221131473779678345e-01
1.068046193773933172e+00,2.276118099689483643e-01
1.068922681951710585e+00,2.317893058061599731e-01
1.069793877293989670e+00,2.320334613323211670e-01
1.070659843340791229e+00,2.130070775747299194e-01
1.071520642494770081e+00,2.252717614173889160e-01
1.072376336048201040e+00,2.379230707883834839e-01
1.073226984209166845e+00,2.299298346042633057e-01
1.074072646126978725e+00,2.303686290979385376e-01
1.074913379916857759e+00,2.253809273242950439e-01
1.075749242683899043e+00,2.157748341560363770e-01
1.076580290546347962e+00,2.127138972282409668e-01
1.077406578658208103e+00,2.255224734544754028e-01
1.078228161231205684e+00,2.309255748987197876e-01
1.079045091556133595e+00,2.092629522085189819e-01
1.079857422023592362e+00,2.147890627384185791e-01
1.080665204144152014e+00,2.164592593908309937e-01
1.081468488567952191e+00,2.334616035223007202e-01
1.082267325103759559e+00,2.290057092905044556e-01
1.083061762737499434e+00,2.110960483551025391e-01
1.083851849650282695e+00,2.133173197507858276e-01
1.084637633235939091e+00,2.022540718317031860e-01
1.085419160118077153e+00,2.131422162055969238e-01
1.086196476166682690e+00,2.121824622154235840e-01
