# kappa, accuracy
0.000000000000000000e+00,4.880000054836273193e-01
3.459491716407048223e-01,4.860000014305114746e-01
4.392380382284627460e-01,4.799999892711639404e-01
4.954260285346128723e-01,4.754999876022338867e-01
5.357616499687332112e-01,4.715000092983245850e-01
5.672490153185941741e-01,4.794999957084655762e-01
5.930802361268329159e-01,4.824999868869781494e-01
6.149812295844483412e-01,4.850000143051147461e-01
6.339915294171277749e-01,5.084999799728393555e-01
6.507860021169150633e-01,5.019999742507934570e-01
6.658276935646877392e-01,5.134999752044677734e-01
6.794481378210422973e-01,5.184999704360961914e-01
6.918928798353822796e-01,5.159999728202819824e-01
7.033488604321251891e-01,5.195000171661376953e-01
7.139616990971624499e-01,5.230000019073486328e-01
7.238470408946668933e-01,5.304999947547912598e-01
7.330982574927978890e-01,5.335000157356262207e-01
7.417918235710705410e-01,5.375000238418579102e-01
7.499911629266261537e-01,5.394999980926513672e-01
7.577494589340585396e-01,5.425000190734863281e-01
7.651117469702881646e-01,5.389999747276306152e-01
7.721164982818110589e-01,5.435000061988830566e-01
7.787968367678743675e-01,5.469999909400939941e-01
7.851814862652364280e-01,5.500000119209289551e-01
7.912955169340657458e-01,5.504999756813049316e-01
7.971609397989688484e-01,5.485000014305114746e-01
8.027971850699611167e-01,5.494999885559082031e-01
8.082214904829698732e-01,5.460000038146972656e-01
8.134492192377651421e-01,5.485000014305114746e-01
8.184941223149282408e-01,5.475000143051147461e-01
8.233685564547812419e-01,5.494999885559082031e-01
8.280836664980477657e-01,5.550000071525573730e-01
8.326495388593959657e-01,5.534999966621398926e-01
8.370753314500548603e-01,5.519999861717224121e-01
8.413693842574270221e-01,5.519999861717224121e-01
8.455393139377703760e-01,5.550000071525573730e-01
8.495920951177375890e-01,5.534999966621398926e-01
8.535341305846826376e-01,5.544999837875366211e-01
8.573713121396064896e-01,5.544999837875366211e-01
8.611090735647596306e-01,5.565000176429748535e-01
8.647524369011343470e-01,5.625000000000000000e-01
8.683060530249119280e-01,5.565000176429748535e-01
8.717742373454298033e-01,5.600000023841857910e-01
8.751610013120183496e-01,5.659999847412109375e-01
8.784700803066564090e-01,5.655000209808349609e-01
8.817049584088149095e-01,5.580000281333923340e-01
8.848688904441633918e-01,5.575000047683715820e-01
8.879649216669596168e-01,5.640000104904174805e-01
8.909959053744780366e-01,5.640000104904174805e-01
8.939645187088502976e-01,5.640000104904174805e-01
8.968732768656346721e-01,5.640000104904174805e-01
8.997245458980911437e-01,5.669999718666076660e-01
9.025205542804825010e-01,5.684999823570251465e-01
9.052634033719976214e-01,5.634999871253967285e-01
9.079550769043807090e-01,5.630000233650207520e-01
9.105974496005789787e-01,5.625000000000000000e-01
9.131922950182007614e-01,5.674999952316284180e-01
9.157412926999731750e-01,5.669999718666076660e-01
9.182460347034053783e-01,5.665000081062316895e-01
9.207080315732260045e-01,5.644999742507934570e-01
9.231287178127050019e-01,5.659999847412109375e-01
9.255094569034809648e-01,5.649999976158142090e-01
9.278515459178799940e-01,5.655000209808349609e-01
9.301562197627883943e-01,5.655000209808349609e-01
9.324246550898455110e-01,5.615000128746032715e-01
9.346579739029516887e-01,5.655000209808349609e-01
9.368572468907809814e-01,5.680000185966491699e-01
9.390234965090746844e-01,5.649999976158142090e-01
9.411576998349308054e-01,5.674999952316284180e-01
9.432607912130296368e-01,5.649999976158142090e-01
9.453336647117382974e-01,5.690000057220458984e-01
9.473771764052508759e-01,5.669999718666076660e-01
9.493921464963457346e-01,5.669999718666076660e-01
9.513793612929332122e-01,5.680000185966491699e-01
