# kappa, training_loss
0.000000000000000000e+00,4.909238815307617188e-01
3.459657988842143039e-01,4.797004461288452148e-01
4.392554571631253069e-01,4.483667314052581787e-01
4.954437283901433897e-01,4.186444580554962158e-01
5.357794937101968413e-01,4.077872931957244873e-01
5.672669465200141925e-01,4.010463356971740723e-01
5.930982261127623056e-01,3.871063888072967529e-01
6.149992617958449648e-01,3.695995807647705078e-01
6.340095934279362799e-01,3.779421448707580566e-01
6.508040909382453165e-01,3.650714159011840820e-01
6.658458022835598289e-01,3.725485205650329590e-01
6.794662628523100434e-01,3.705996870994567871e-01
6.919110184827794718e-01,3.749304115772247314e-01
7.033670106168516956e-01,3.625635504722595215e-01
7.139798591827164476e-01,3.408444225788116455e-01
7.238652095696795907e-01,3.323659598827362061e-01
7.331164336902549206e-01,3.536411523818969727e-01
7.418100064111533554e-01,3.616680502891540527e-01
7.500093516753424394e-01,3.326634466648101807e-01
7.577676529727030985e-01,3.683023750782012939e-01
7.651299457724994868e-01,3.297326862812042236e-01
7.721347013960659922e-01,3.094709515571594238e-01
7.788150438039426193e-01,3.480640947818756104e-01
7.851996968835667223e-01,3.129617273807525635e-01
7.913137308373748846e-01,3.382085561752319336e-01
7.971791567255056554e-01,3.191618025302886963e-01
8.028154047880602384e-01,3.207980990409851074e-01
8.082397127866119968e-01,3.169547021389007568e-01
8.134674439429258053e-01,3.198776245117187500e-01
8.185123492565544723e-01,3.066902160644531250e-01
8.233867854842706890e-01,3.172812461853027344e-01
8.281018974811327205e-01,3.145195841789245605e-01
8.326677716743570157e-01,3.138301968574523926e-01
8.370935659862044353e-01,2.989238202571868896e-01
8.413876204138155401e-01,3.010385334491729736e-01
8.455575516220769083e-01,2.896265387535095215e-01
8.496103342453126261e-01,2.898802757263183594e-01
8.535523710777218609e-01,3.033406734466552734e-01
8.573895539264321242e-01,2.918998301029205322e-01
8.611273165791932804e-01,2.987970709800720215e-01
8.647706810819487666e-01,2.892944216728210449e-01
8.683242983153486305e-01,2.951193749904632568e-01
8.717924836927755106e-01,2.905360758304595947e-01
8.751792486672281823e-01,2.839690446853637695e-01
8.784883286240222633e-01,3.000458478927612305e-01
8.817232076456693601e-01,3.050852417945861816e-01
8.848871405606153484e-01,2.843492925167083740e-01
8.879831726256587343e-01,2.952139079570770264e-01
8.910141571404037730e-01,2.753450870513916016e-01
8.939827712491213996e-01,2.719739079475402832e-01
8.968915301493394221e-01,2.758654654026031494e-01
8.997427998961322615e-01,2.756184041500091553e-01
9.025388089654383661e-01,2.910049259662628174e-01
9.052816587179954855e-01,2.710013985633850098e-01
9.079733328869827869e-01,2.719494402408599854e-01
9.106157061966783095e-01,2.732302546501159668e-01
9.132105522059255076e-01,2.793964147567749023e-01
9.157595504586011348e-01,2.554107010364532471e-01
9.182642930132839387e-01,2.799329757690429688e-01
9.207262904157005323e-01,2.657513916492462158e-01
9.231469771700515636e-01,2.655880153179168701e-01
9.255277167588463749e-01,2.848999500274658203e-01
9.278698062552247494e-01,2.714500725269317627e-01
9.301744805668359373e-01,2.628071308135986328e-01
9.324429163460340453e-01,2.798610627651214600e-01
9.346762355973907699e-01,2.683952748775482178e-01
9.368755090102102168e-01,2.670823633670806885e-01
9.390417590408266513e-01,2.739558517932891846e-01
9.411759627668964123e-01,2.612125873565673828e-01
9.432790545336250387e-01,2.554610073566436768e-01
9.453519284098756970e-01,2.637087404727935791e-01
9.473954404703103238e-01,2.587557137012481689e-01
9.494104109181489282e-01,2.566779255867004395e-01
9.513976260617197367e-01,2.648860216140747070e-01
9.533578401567182059e-01,2.499440014362335205e-01
9.552917771249795909e-01,2.404030114412307739e-01
9.572001321595658974e-01,2.635296881198883057e-01
9.590835732250724277e-01,2.776813805103302002e-01
9.609427424612577706e-01,2.647097706794738770e-01
9.627782574973747787e-01,2.501721680164337158e-01
9.645907126839390333e-01,2.441454529762268066e-01
9.663806802480768843e-01,2.619367539882659912e-01
9.681487113780744558e-01,2.523825168609619141e-01
9.698953372422730590e-01,2.394144833087921143e-01
9.716210699470189116e-01,2.592939734458923340e-01
9.733264034379935925e-01,2.587982714176177979e-01
9.750118143488936129e-01,2.496984750032424927e-01
9.766777628011046319e-01,2.517146468162536621e-01
9.783246931577314065e-01,2.559393346309661865e-01
9.799530347350707826e-01,2.541312873363494873e-01
9.815632024743803363e-01,2.444075942039489746e-01
9.831555975765702282e-01,2.481277734041213989e-01
9.847306081022503266e-01,2.459387481212615967e-01
9.862886095393729180e-01,2.623749077320098877e-01
9.878299653405523406e-01,2.345781177282333374e-01
9.893550274319831139e-01,2.402702271938323975e-01
9.908641366957394725e-01,2.346441000699996948e-01
9.923576234271098695e-01,2.638774812221527100e-01
9.938358077685010006e-01,2.459736615419387817e-01
9.952990001213370963e-01,2.370685487985610962e-01
9.967475015372816438e-01,2.224953919649124146e-01
9.981816040900124420e-01,2.593225836753845215e-01
9.996015912287006255e-01,2.444956004619598389e-01
1.001007738114261469e+00,2.464203238487243652e-01
1.002400311939378508e+00,2.334540039300918579e-01
1.003779572233225892e+00,2.329987138509750366e-01
1.005145771151766176e+00,2.317819297313690186e-01
1.006499153754427445e+00,2.351025342941284180e-01
1.007839958267924940e+00,2.430706769227981567e-01
1.009168416337936414e+00,2.465999424457550049e-01
1.010484753269293323e+00,2.137236893177032471e-01
1.011789188255315164e+00,2.427063882350921631e-01
1.013081934596866462e+00,2.476462870836257935e-01
1.014363199911688440e+00,2.448232024908065796e-01
