# kappa, accuracy
0.000000000000000000e+00,5.084999799728393555e-01
3.460413711963778449e-01,5.304999947547912598e-01
4.393346265782526183e-01,5.389999747276306152e-01
4.955241741621671525e-01,5.515000224113464355e-01
5.358605932190030341e-01,5.490000247955322266e-01
5.673484433959220530e-01,5.615000128746032715e-01
5.931799900704927131e-01,5.669999718666076660e-01
6.150812176005934218e-01,5.630000233650207520e-01
6.340916937097996753e-01,5.824999809265136719e-01
6.508863039438504972e-01,5.709999799728393555e-01
6.659281056912722541e-01,5.709999799728393555e-01
6.795486403733940195e-01,5.795000195503234863e-01
6.919934578670444703e-01,5.789999961853027344e-01
7.034495024195038804e-01,5.830000042915344238e-01
7.140623959684994082e-01,5.814999938011169434e-01
7.239477853805447172e-01,5.845000147819519043e-01
7.331990436783517584e-01,5.855000019073486328e-01
7.418926465791344516e-01,5.885000228881835938e-01
7.500920186884051377e-01,5.889999866485595703e-01
7.578503440198374186e-01,5.914999842643737793e-01
7.652126584622501726e-01,5.879999995231628418e-01
7.722174336769956904e-01,5.860000252723693848e-01
7.788977939030901076e-01,5.904999971389770508e-01
7.852824632582262598e-01,5.899999737739562988e-01
7.913965121368788935e-01,5.960000157356262207e-01
7.972619517606212014e-01,5.899999737739562988e-01
8.028982125062483766e-01,6.010000109672546387e-01
8.083225322518509115e-01,5.945000052452087402e-01
8.135502743191250774e-01,6.039999723434448242e-01
8.185951897938188448e-01,5.964999794960021973e-01
8.234696355074451191e-01,6.060000061988830566e-01
8.281847563801902901e-01,5.979999899864196777e-01
8.327506388962820916e-01,6.044999957084655762e-01
8.371764410281040680e-01,6.050000190734863281e-01
8.414705028170397227e-01,6.065000295639038086e-01
8.456404409671761657e-01,6.054999828338623047e-01
8.496932301476951555e-01,6.025000214576721191e-01
8.536352731838949826e-01,5.989999771118164062e-01
8.574724619107370049e-01,6.069999933242797852e-01
8.612102301409578775e-01,6.115000247955322266e-01
8.648535999429953769e-01,6.079999804496765137e-01
8.684072222178043088e-01,6.065000295639038086e-01
8.718754123971428349e-01,6.035000085830688477e-01
8.752621819506806178e-01,6.044999957084655762e-01
8.785712662788914828e-01,6.075000166893005371e-01
8.818061494781005427e-01,6.060000061988830566e-01
8.849700863893691372e-01,6.085000038146972656e-01
8.880661222810399824e-01,5.989999771118164062e-01
8.910971104633007567e-01,6.069999933242797852e-01
8.940657280901445070e-01,6.104999780654907227e-01
8.969744903680443304e-01,6.140000224113464355e-01
8.998257633603198302e-01,6.144999861717224121e-01
9.026217755505219209e-01,6.115000247955322266e-01
9.053646283064271660e-01,6.159999966621398926e-01
9.080563053677329632e-01,6.029999852180480957e-01
9.106986814647624051e-01,6.119999885559082031e-01
9.132935301619732327e-01,6.159999966621398926e-01
9.158425310084632454e-01,6.050000190734863281e-01
9.183472760676723023e-01,6.090000271797180176e-01
9.208092758898595021e-01,6.050000190734863281e-01
9.232299649834564415e-01,6.094999909400939941e-01
9.256107068349257450e-01,6.079999804496765137e-01
9.279527985211069030e-01,6.079999804496765137e-01
9.302574749531133946e-01,6.060000061988830566e-01
9.325259127865477282e-01,6.090000271797180176e-01
9.347592340290303836e-01,6.115000247955322266e-01
9.369585093727297309e-01,6.065000295639038086e-01
9.391247612766741026e-01,6.104999780654907227e-01
9.412589668210544769e-01,6.165000200271606445e-01
9.433620603534655924e-01,6.134999990463256836e-01
9.454349359450223700e-01,6.100000143051147461e-01
9.474784496725124905e-01,6.154999732971191406e-01
9.494934217411640232e-01,6.144999861717224121e-01
9.514806384612023438e-01,6.129999756813049316e-01
9.534408540901186946e-01,6.119999885559082031e-01
9.553747925514479711e-01,6.129999756813049316e-01
9.572831490398623355e-01,6.090000271797180176e-01
9.591665915214842020e-01,6.144999861717224121e-01
9.610257621375205561e-01,6.140000224113464355e-01
9.628612785185999279e-01,6.115000247955322266e-01
9.646737350165446312e-01,6.154999732971191406e-01
9.664637038597226892e-01,6.125000119209289551e-01
9.682317362376027248e-01,6.125000119209289551e-01
9.699783633196503718e-01,6.144999861717224121e-01
9.717040972132831023e-01,6.110000014305114746e-01
9.734094318652040112e-01,6.125000119209289551e-01
9.750948439100827203e-01,6.154999732971191406e-01
9.767607934702339234e-01,6.179999709129333496e-01
9.784077249096488904e-01,6.079999804496765137e-01
9.800360675454714565e-01,6.144999861717224121e-01
9.816462363197684393e-01,6.150000095367431641e-01
9.832386324342239359e-01,6.140000224113464355e-01
9.848136439501875561e-01,6.175000071525573730e-01
9.863716463563201309e-01,6.150000095367431641e-01
9.879130031059142336e-01,6.065000295639038086e-01
9.894380661258140863e-01,6.144999861717224121e-01
9.909471762987164256e-01,6.090000271797180176e-01
9.924406639205070046e-01,6.110000014305114746e-01
9.939188491341647280e-01,6.154999732971191406e-01
9.953820423416638308e-01,6.134999990463256836e-01
9.968305445951950450e-01,6.165000200271606445e-01
9.982646479689433194e-01,6.119999885559082031e-01
9.996846359125661774e-01,6.134999990463256836e-01
1.001090783587447186e+00,6.085000038146972656e-01
1.002483358186719187e+00,6.169999837875366211e-01
1.003862619239990428e+00,6.110000014305114746e-01
1.005228818903639132e+00,6.119999885559082031e-01
1.006582202237494394e+00,6.110000014305114746e-01
1.007923007468657817e+00,6.165000200271606445e-01
1.009251466243179296e+00,6.190000176429748535e-01
1.010567803866248227e+00,6.104999780654907227e-01
1.011872239531530271e+00,6.154999732971191406e-01
1.013164986540222579e+00,6.169999837875366211e-01
1.014446252510388558e+00,6.165000200271606445e-01
