# kappa, training_loss
0.000000000000000000e+00,1.261061280965805054e-01
3.459611736624255696e-01,1.250447779893875122e-01
4.392506117251831488e-01,1.245317161083221436e-01
4.954388048116957211e-01,1.253531724214553833e-01
5.357745301087074585e-01,1.261949092149734497e-01
5.672619585908412754e-01,1.241459846496582031e-01
5.930932218322158000e-01,1.245701014995574951e-01
6.149942457699556497e-01,1.249703168869018555e-01
6.340045685567943234e-01,1.250506788492202759e-01
6.507990591658656676e-01,1.251361370086669922e-01
6.658407649765262226e-01,1.249064356088638306e-01
6.794612210078586623e-01,1.242761611938476562e-01
6.919059728508980545e-01,1.253058761358261108e-01
7.033619617757742581e-01,1.239306926727294922e-01
7.139748075876487521e-01,1.236365661025047302e-01
7.238601555853888536e-01,1.244230270385742188e-01
7.331113776135392834e-01,1.231529042124748230e-01
7.418049484867412779e-01,1.251173019409179688e-01
7.500042921073991620e-01,1.243946775794029236e-01
7.577625919333264015e-01,1.248159185051918030e-01
7.651248834081008088e-01,1.229301989078521729e-01
7.721296378322399789e-01,1.240511760115623474e-01
7.788099791492347768e-01,1.234330236911773682e-01
7.851946312324257216e-01,1.236839070916175842e-01
7.913086642724922459e-01,1.242541447281837463e-01
7.971740893196895827e-01,1.221932545304298401e-01
8.028103366057501855e-01,1.223183050751686096e-01
8.082346438851137904e-01,1.230770498514175415e-01
8.134623743734271661e-01,1.217903122305870056e-01
8.185072790649660091e-01,1.239121481776237488e-01
8.233817147119275592e-01,1.248009204864501953e-01
8.280968261653823825e-01,1.245604306459426880e-01
8.326626998490564979e-01,1.245836615562438965e-01
8.370884936821424427e-01,1.246540620923042297e-01
8.413825476590721664e-01,1.236087754368782043e-01
8.455524784423316120e-01,1.246751174330711365e-01
8.496052606641114613e-01,1.238995045423507690e-01
8.535472971167066270e-01,1.239978745579719543e-01
8.573844796055404283e-01,1.226790994405746460e-01
8.611222419168333975e-01,1.228817179799079895e-01
8.647656060951512957e-01,1.225207746028900146e-01
8.683192230199013872e-01,1.224073693156242371e-01
8.717874081033410993e-01,1.218724995851516724e-01
8.751741727974488017e-01,1.250751465559005737e-01
8.784832524866120762e-01,1.216201186180114746e-01
8.817181312524965398e-01,1.234403997659683228e-01
8.848820639227759077e-01,1.227954104542732239e-01
8.879780957535420294e-01,1.231769919395446777e-01
8.910090800437509007e-01,1.222474277019500732e-01
8.939776939370784881e-01,1.211202591657638550e-01
8.968864526305051488e-01,1.234215125441551208e-01
8.997377221785998191e-01,1.242680028080940247e-01
9.025337310568355420e-01,1.256678998470306396e-01
9.052765806255189673e-01,1.252984851598739624e-01
9.079682546174299151e-01,1.225426420569419861e-01
9.106106277564767204e-01,1.230638399720191956e-01
9.132054736011587792e-01,1.225850433111190796e-01
9.157544716950334340e-01,1.237228810787200928e-01
9.182592140963818927e-01,1.220508962869644165e-01
9.207212113506528794e-01,1.205674707889556885e-01
9.231418979617884712e-01,1.200091689825057983e-01
9.255226374120555377e-01,1.217129081487655640e-01
9.278647267743678206e-01,1.214720308780670166e-01
9.301694009561621845e-01,1.218496710062026978e-01
9.324378366095938953e-01,1.238225027918815613e-01
9.346711557390479097e-01,1.227031946182250977e-01
9.368704290336530294e-01,1.233605146408081055e-01
9.390366789495790956e-01,1.220292374491691589e-01
9.411708825643262388e-01,1.236813589930534363e-01
9.432739742229547808e-01,1.223670542240142822e-01
9.453468479941893321e-01,1.212052255868911743e-01
9.473903599525617114e-01,1.211497113108634949e-01
9.494053303011694700e-01,1.205788180232048035e-01
9.513925453482242611e-01,1.208277866244316101e-01
9.533527593493118513e-01,1.200819760560989380e-01
9.552866962261632455e-01,1.215890496969223022e-01
9.571950511717417509e-01,1.229681596159934998e-01
9.590784921505495220e-01,1.221349909901618958e-01
9.609376613022562186e-01,1.219233870506286621e-01
9.627731762560306494e-01,1.257671862840652466e-01
9.645856313623084599e-01,1.241820678114891052e-01
9.663755988481395054e-01,1.208586171269416809e-01
9.681436299017380787e-01,1.238714158535003662e-01
9.698902556913763240e-01,1.214260086417198181e-01
9.716159883233349559e-01,1.231068745255470276e-01
9.733213217432331588e-01,1.246075779199600220e-01
9.750067325847074917e-01,1.209534406661987305e-01
9.766726809690872146e-01,1.226238310337066650e-01
9.783196112594224614e-01,1.194741874933242798e-01
9.799479527719583416e-01,1.236193701624870300e-01
9.815581204479028044e-01,1.226240545511245728e-01
9.831505154881189368e-01,1.228067204356193542e-01
9.847255259531709770e-01,1.207349300384521484e-01
9.862835273309679129e-01,1.243723854422569275e-01
9.878248830740824493e-01,1.210779175162315369e-01
9.893499451086696928e-01,1.233054324984550476e-01
9.908590543167653530e-01,1.218454241752624512e-01
9.923525409936216901e-01,1.223063617944717407e-01
9.938307252816099835e-01,1.205302774906158447e-01
9.952939175821210460e-01,1.246331557631492615e-01
9.967424189467860574e-01,1.227960363030433655e-01
9.981765214492517302e-01,1.234846189618110657e-01
