# kappa, training_loss
0.000000000000000000e+00,1.250002831220626831e-01
3.459726832765946392e-01,1.249964982271194458e-01
4.392626693216378220e-01,1.249918863177299500e-01
4.954510568514110536e-01,1.249713525176048279e-01
5.357868817408932838e-01,1.250136196613311768e-01
5.672743707594880558e-01,1.249566599726676941e-01
5.931056746892445775e-01,1.249838992953300476e-01
6.150067278538210447e-01,1.248976811766624451e-01
6.340170726509773980e-01,1.248299479484558105e-01
6.508115804329243081e-01,1.245867088437080383e-01
6.658533000158849413e-01,1.244061291217803955e-01
6.794737673380180087e-01,1.244326829910278320e-01
6.919185286056068751e-01,1.238265037536621094e-01
7.033745255161683030e-01,1.241597384214401245e-01
7.139873781810052167e-01,1.231043934822082520e-01
7.238727321240294721e-01,1.226952597498893738e-01
7.331239593589187198e-01,1.209597066044807434e-01
7.418175348298834404e-01,1.213721558451652527e-01
7.500168825402635520e-01,1.201248615980148315e-01
7.577751860276694673e-01,1.184479221701622009e-01
7.651374807995958705e-01,1.180246770381927490e-01
7.721422382083605873e-01,1.160532459616661072e-01
7.788225822398787690e-01,1.156641393899917603e-01
7.852072368025693194e-01,1.155026480555534363e-01
7.913212721163677132e-01,1.154444515705108643e-01
7.971866992561228438e-01,1.170943900942802429e-01
8.028229484743919508e-01,1.118747293949127197e-01
8.082472575433655715e-01,1.126761212944984436e-01
8.134749896939144076e-01,1.117194518446922302e-01
8.185198959334457625e-01,1.121678203344345093e-01
8.233943330255429904e-01,1.094892024993896484e-01
8.281094458311988316e-01,1.087893694639205933e-01
8.326753207828245795e-01,1.119146272540092468e-01
8.371011158072487746e-01,1.086820363998413086e-01
8.413951709056431971e-01,1.120392456650733948e-01
8.455651027464664571e-01,1.067140400409698486e-01
8.496178859672192107e-01,1.096966862678527832e-01
8.535599233649342477e-01,1.120564043521881104e-01
8.573971067492754949e-01,1.076113060116767883e-01
8.611348699102695514e-01,1.121672838926315308e-01
8.647782348959096588e-01,1.138188689947128296e-01
8.683318525886963846e-01,1.081663966178894043e-01
8.718000384036860284e-01,1.073361113667488098e-01
8.751868037953971502e-01,1.025034859776496887e-01
8.784958841505264848e-01,1.066406592726707458e-01
8.817307635528441878e-01,1.073189899325370789e-01
8.848946968319457707e-01,1.065195798873901367e-01
8.879907292456816759e-01,1.078977584838867188e-01
8.910217140946204983e-01,1.038286611437797546e-01
8.939903285239191311e-01,1.131177693605422974e-01
8.968990877319208410e-01,1.069935709238052368e-01
8.997503577744505598e-01,1.055836528539657593e-01
9.025463671281411804e-01,1.072782203555107117e-01
9.052892171543713840e-01,1.021393015980720520e-01
9.079808915869146402e-01,1.054089069366455078e-01
9.106232651505995479e-01,1.052118763327598572e-01
9.132181114047812631e-01,1.010717228055000305e-01
9.157671098938120480e-01,1.061835438013076782e-01
9.182718526767141842e-01,1.034129858016967773e-01
9.207338502996267326e-01,1.110705435276031494e-01
9.231545372671361438e-01,1.025795340538024902e-01
9.255352770621119163e-01,1.029999256134033203e-01
9.278773667580311191e-01,9.977395832538604736e-02
9.301820412628584167e-01,1.100009754300117493e-01
9.324504772292442345e-01,1.040325090289115906e-01
9.346837966620376026e-01,1.008110493421554565e-01
9.368830702508039732e-01,1.069690138101577759e-01
9.390493204521233039e-01,1.023705229163169861e-01
9.411835243438821941e-01,1.105169877409934998e-01
9.432866162715047853e-01,1.074380055069923401e-01
9.453594903040588582e-01,9.768141806125640869e-02
9.474030025163998614e-01,1.008028760552406311e-01
9.494179731119315457e-01,1.009459719061851501e-01
9.514051883991543335e-01,1.030377671122550964e-01
9.533654026339275500e-01,1.010212674736976624e-01
9.552993397382413265e-01,1.046577766537666321e-01
9.572076949053043293e-01,9.739258885383605957e-02
9.590911360998511936e-01,1.003569215536117554e-01
9.609503054617721807e-01,1.024050563573837280e-01
9.627858206204459313e-01,9.834928810596466064e-02
9.645982759265068207e-01,1.016485169529914856e-01
9.663882436071941084e-01,9.928952157497406006e-02
9.681562748509022764e-01,9.386467188596725464e-02
9.699029008260745544e-01,9.941139817237854004e-02
9.716286336391549705e-01,9.765252470970153809e-02
9.733339672359182515e-01,9.763950109481811523e-02
9.750193782501495043e-01,9.421725571155548096e-02
9.766853268033190982e-01,9.911213815212249756e-02
9.783322572586123922e-01,9.890094399452209473e-02
9.799605989324037258e-01,1.020434796810150146e-01
9.815707667660239499e-01,9.736805409193038940e-02
9.831631619604543904e-01,9.617161750793457031e-02
9.847381725763718618e-01,9.106432646512985229e-02
9.862961741017932660e-01,1.025524958968162537e-01
9.878375299893947803e-01,9.541457146406173706e-02
9.893625921654302102e-01,9.380535781383514404e-02
9.908717015120305227e-01,9.935371577739715576e-02
9.923651883245384608e-01,9.508226811885833740e-02
9.938433727454127897e-01,9.904681891202926636e-02
9.953065651761280330e-01,9.947426617145538330e-02
9.967550666683958616e-01,9.544804692268371582e-02
9.981891692959400375e-01,1.089210584759712219e-01
9.996091565079758823e-01,9.557277709245681763e-02
1.001015303465461859e+00,8.970155566930770874e-02
1.002407877361122024e+00,9.622135758399963379e-02
1.003787137724170275e+00,9.504083544015884399e-02
1.005153336710606693e+00,9.901779890060424805e-02
1.006506719379896442e+00,9.862613677978515625e-02
1.007847523958789626e+00,9.466506540775299072e-02
1.009175982092998192e+00,9.577187150716781616e-02
1.010492319087385793e+00,8.788828551769256592e-02
1.011796754135303456e+00,9.240158647298812866e-02
1.013089500537646570e+00,9.085925668478012085e-02
1.014370765912185224e+00,9.232781827449798584e-02
1.015640752393681456e+00,9.637252241373062134e-02
1.016899656825274612e+00,9.420548379421234131e-02
1.018147670941587313e+00,9.715355932712554932e-02
1.019384981543981494e+00,8.988958597183227539e-02
1.020611770668360396e+00,9.304279088973999023e-02
1.021828215745898216e+00,9.565342217683792114e-02
1.023034489757048027e+00,9.530257433652877808e-02
1.024230761379166355e+00,9.377062320709228516e-02
1.025417195128065950e+00,8.681578189134597778e-02
1.026593951493795842e+00,9.423393756151199341e-02
1.027761187070928672e+00,8.790344744920730591e-02
1.028919054683619994e+00,8.877543359994888306e-02
1.030067703505687993e+00,9.082192182540893555e-02
1.031207279175951008e+00,8.714596927165985107e-02
1.032337923909045774e+00,9.926193952560424805e-02
1.033459776601936664e+00,9.400899708271026611e-02
1.034572972936315560e+00,9.471800923347473145e-02
1.035677645477080411e+00,8.733656257390975952e-02
1.036773923767074779e+00,1.008788496255874634e-01
1.037861934418250920e+00,8.879243582487106323e-02
1.038941801199424697e+00,8.871879428625106812e-02
1.040013645120768215e+00,8.923838287591934204e-02
1.041077584515188059e+00,9.749520570039749146e-02
1.042133735116723914e+00,8.869412541389465332e-02
1.043182210136099020e+00,8.721758425235748291e-02
1.044223120333544808e+00,8.643142879009246826e-02
1.045256574089016510e+00,8.582950383424758911e-02
1.046282677469913436e+00,9.015823900699615479e-02
1.047301534296405601e+00,8.801314234733581543e-02
1.048313246204471527e+00,8.790097385644912720e-02
1.049317912706740463e+00,9.231532365083694458e-02
1.050315631251230730e+00,8.724995702505111694e-02
1.051306497278071017e+00,8.683495968580245972e-02
1.052290604274286334e+00,8.688227087259292603e-02
1.053268043826730338e+00,8.866130560636520386e-02
1.054238905673232640e+00,8.515451103448867798e-02
1.055203277752040592e+00,8.255929499864578247e-02
1.056161246249617935e+00,8.437824249267578125e-02
1.057112895646865391e+00,8.808437734842300415e-02
1.058058308763829780e+00,8.810294419527053833e-02
1.058997566802954760e+00,8.698007464408874512e-02
1.059930749390936233e+00,8.507952839136123657e-02
1.060857934619228171e+00,8.406674116849899292e-02
1.061779199083259906e+00,8.673419803380966187e-02
1.062694617920405316e+00,8.213797211647033691e-02
1.063604264846757630e+00,9.835144877433776855e-02
1.064508212192750713e+00,8.120758086442947388e-02
1.065406530937671459e+00,8.860524743795394897e-02
1.066299290743105033e+00,8.864068239927291870e-02
1.067186559985350947e+00,8.354190737009048462e-02
1.068068405786848585e+00,9.126162528991699219e-02
1.068944894046648386e+00,8.625848591327667236e-02
1.069816089469962428e+00,8.386866003274917603e-02
1.070682055596828608e+00,8.682582527399063110e-02
1.071542854829919733e+00,8.448738604784011841e-02
1.072398548461527490e+00,8.130690455436706543e-02
1.073249196699750829e+00,8.267036825418472290e-02
1.074094858693916965e+00,9.105612337589263916e-02
1.074935592559263187e+00,8.528464287519454956e-02
1.075771455400899468e+00,8.747171610593795776e-02
1.076602503337086736e+00,8.756680786609649658e-02
1.077428791521842788e+00,8.776044100522994995e-02
1.078250374166908498e+00,8.524449914693832397e-02
1.079067304563090524e+00,8.658650517463684082e-02
1.079879635101003377e+00,9.165596216917037964e-02
1.080687417291230412e+00,8.375252783298492432e-02
1.081490701783924369e+00,9.018924087285995483e-02
1.082289538387864347e+00,8.649753779172897339e-02
1.083083976088988543e+00,8.551403880119323730e-02
1.083874063068420268e+00,8.336071670055389404e-02
1.084659846720001264e+00,8.558125048875808716e-02
1.085441373667351161e+00,9.018335491418838501e-02
1.086218689780468205e+00,8.252025395631790161e-02
1.086991840191883218e+00,8.843254297971725464e-02
1.087760869312384360e+00,8.427152782678604126e-02
1.088525820846325320e+00,8.188975602388381958e-02
1.089286737806528294e+00,8.260231465101242065e-02
1.090043662528797475e+00,8.561446517705917358e-02
1.090796636686052423e+00,8.052924275398254395e-02
1.091545701302096827e+00,8.179882913827896118e-02
1.092290896765028219e+00,9.478284418582916260e-02
1.093032262840306634e+00,8.323347568511962891e-02
1.093769838683486428e+00,8.528137207031250000e-02
1.094503662852626569e+00,8.700978755950927734e-02
1.095233773320384740e+00,8.148787170648574829e-02
1.095960207485809246e+00,8.709032088518142700e-02
1.096683002185833367e+00,8.327084034681320190e-02
1.097402193706483953e+00,8.156074583530426025e-02
1.098117817793813344e+00,8.027399331331253052e-02
1.098829909664559290e+00,8.161275088787078857e-02
1.099538504016545293e+00,9.508569538593292236e-02
1.100243635038824053e+00,8.127780258655548096e-02
1.100945336421576881e+00,8.792176842689514160e-02
1.101643641365773529e+00,8.658260107040405273e-02
1.102338582592595539e+00,8.690279722213745117e-02
1.103030192352639105e+00,9.094963222742080688e-02
1.103718502434894777e+00,7.892050594091415405e-02
1.104403544175514229e+00,7.938124239444732666e-02
1.105085348466372519e+00,8.040337264537811279e-02
1.105763945763425182e+00,8.416575938463211060e-02
1.106439366094872367e+00,8.399780839681625366e-02
1.107111639069132458e+00,8.379512280225753784e-02
1.107780793882629400e+00,7.309333235025405884e-02
1.108446859327402167e+00,8.474141359329223633e-02
1.109109863798537043e+00,8.658469468355178833e-02
1.109769835301432472e+00,8.135031908750534058e-02
1.110426801458896717e+00,9.552286565303802490e-02
1.111080789518085421e+00,7.398169487714767456e-02
1.111731826357281738e+00,8.538461476564407349e-02
1.112379938492525921e+00,7.382074743509292603e-02
1.113025152084094804e+00,7.821021229028701782e-02
1.113667492942837400e+00,8.748939633369445801e-02
1.114306986536371724e+00,8.594695478677749634e-02
1.114943657995142834e+00,7.936830818653106689e-02
1.115577532118348536e+00,8.264593780040740967e-02
1.116208633379735859e+00,8.976438641548156738e-02
1.116836985933270743e+00,8.021954447031021118e-02
1.117462613618685374e+00,7.934155315160751343e-02
1.118085539966904740e+00,8.089587837457656860e-02
1.118705788205358154e+00,7.893276959657669067e-02
1.119323381263174877e+00,9.241899847984313965e-02
1.119938341776271828e+00,8.203359693288803101e-02
1.120550692092330269e+00,8.712312579154968262e-02
1.121160454275669460e+00,8.065021038055419922e-02
1.121767650112017733e+00,8.394504338502883911e-02
1.122372301113181647e+00,7.903050631284713745e-02
1.122974428521619661e+00,8.642845600843429565e-02
1.123574053314920995e+00,7.854643464088439941e-02
1.124171196210189017e+00,8.797503262758255005e-02
1.124765877668337355e+00,8.144821226596832275e-02
1.125358117898296983e+00,7.590475678443908691e-02
1.125947936861136256e+00,8.445946872234344482e-02
1.126535354274098122e+00,7.980742305517196655e-02
1.127120389614554297e+00,9.281389415264129639e-02
1.127703062123882605e+00,8.256775885820388794e-02
1.128283390811261500e+00,9.631442278623580933e-02
1.128861394457392864e+00,8.488750457763671875e-02
1.129437091618149092e+00,8.236986398696899414e-02
1.130010500628146008e+00,7.412397861480712891e-02
1.130581639604247846e+00,7.686734199523925781e-02
1.131150526449001825e+00,7.330834120512008667e-02
1.131717178854004802e+00,8.105101436376571655e-02
1.132281614303204620e+00,8.145449310541152954e-02
1.132843850076136638e+00,7.959089428186416626e-02
1.133403903251099409e+00,8.268264681100845337e-02
1.133961790708265305e+00,7.916138321161270142e-02
1.134517529132735181e+00,7.666289061307907104e-02
1.135071135017531541e+00,7.777605205774307251e-02
1.135622624666535296e+00,8.702992647886276245e-02
1.136172014197368130e+00,7.787416130304336548e-02
1.136719319544217566e+00,7.883072644472122192e-02
1.137264556460610754e+00,8.799561858177185059e-02
1.137807740522134958e+00,8.258257061243057251e-02
1.138348887129107201e+00,7.711589336395263672e-02
1.138888011509194831e+00,8.812066912651062012e-02
1.139425128719985914e+00,7.824774831533432007e-02
1.139960253651513211e+00,7.883831858634948730e-02
1.140493401028730425e+00,7.724267244338989258e-02
1.141024585413944026e+00,7.541028410196304321e-02
1.141553821209199349e+00,8.937688171863555908e-02
1.142081122658623604e+00,8.008272945880889893e-02
1.142606503850727595e+00,7.870178669691085815e-02
1.143129978720661910e+00,7.126579433679580688e-02
1.143651561052436483e+00,8.078654110431671143e-02
1.144171264481098182e+00,7.824219018220901489e-02
1.144689102494868882e+00,7.612901926040649414e-02
1.145205088437246665e+00,7.512115687131881714e-02
1.145719235509068845e+00,7.280746847391128540e-02
1.146231556770537674e+00,7.484318315982818604e-02
1.146742065143212086e+00,7.476700097322463989e-02
1.147250773411962133e+00,7.986713945865631104e-02
1.147757694226890779e+00,7.684805989265441895e-02
1.148262840105221061e+00,8.049770444631576538e-02
1.148766223433150602e+00,8.111644536256790161e-02
1.149267856467675042e+00,7.955202460289001465e-02
1.149767751338376831e+00,8.132598549127578735e-02
1.150265920049186708e+00,7.222066074609756470e-02
1.150762374480112760e+00,7.863829284906387329e-02
1.151257126388939955e+00,8.761221170425415039e-02
1.151750187412901472e+00,7.689932733774185181e-02
1.152241569070321159e+00,9.024153649806976318e-02
1.152731282762227583e+00,7.358407974243164062e-02
1.153219339773941643e+00,8.694492280483245850e-02
1.153705751276636882e+00,7.064326107501983643e-02
1.154190528328874255e+00,7.979764789342880249e-02
1.154673681878108926e+00,7.914941757917404175e-02
1.155155222762176193e+00,6.681651622056961060e-02
1.155635161710748982e+00,8.061471581459045410e-02
1.156113509346770929e+00,8.135929703712463379e-02
1.156590276187869470e+00,8.099010586738586426e-02
1.157065472647743398e+00,7.269585132598876953e-02
1.157539109037525327e+00,7.287510484457015991e-02
1.158011195567126173e+00,8.763217926025390625e-02
1.158481742346554988e+00,7.528393715620040894e-02
1.158950759387219476e+00,7.369140535593032837e-02
1.159418256603201414e+00,8.746806532144546509e-02
1.159884243812516091e+00,7.239685207605361938e-02
1.160348730738348877e+00,8.827728778123855591e-02
1.160811727010272909e+00,8.757495135068893433e-02
1.161273242165446584e+00,7.997509837150573730e-02
1.161733285649792169e+00,8.608731627464294434e-02
1.162191866819156205e+00,7.114238291978836060e-02
1.162648994940451042e+00,7.857228815555572510e-02
1.163104679192778379e+00,7.305424660444259644e-02
1.163558928668535497e+00,7.513817399740219116e-02
1.164011752374503272e+00,6.982887536287307739e-02
1.164463159232918432e+00,8.060637861490249634e-02
1.164913158082527378e+00,7.619593292474746704e-02
1.165361757679625576e+00,7.398126274347305298e-02
1.165808966699080296e+00,7.614998519420623779e-02
1.166254793735334916e+00,7.591435313224792480e-02
1.166699247303402576e+00,7.731159031391143799e-02
1.167142335839840950e+00,8.476363867521286011e-02
1.167584067703712369e+00,7.485569268465042114e-02
1.168024451177530842e+00,8.551111817359924316e-02
1.168463494468194419e+00,7.377003133296966553e-02
1.168901205707901569e+00,7.324405014514923096e-02
1.169337592955055793e+00,6.982356309890747070e-02
1.169772664195155798e+00,9.013640135526657104e-02
1.170206427341671684e+00,7.544610649347305298e-02
1.170638890236909591e+00,9.036827832460403442e-02
1.171070060652861677e+00,7.441306859254837036e-02
1.171499946292043903e+00,7.190968841314315796e-02
1.171928554788322918e+00,7.956812530755996704e-02
1.172355893707728303e+00,9.830092638731002808e-02
1.172781970549254149e+00,8.145337551832199097e-02
1.173206792745649762e+00,7.941433042287826538e-02
1.173630367664194818e+00,8.806557208299636841e-02
1.174052702607469856e+00,8.179948478937149048e-02
1.174473804814108568e+00,7.643336802721023560e-02
1.174893681459543648e+00,7.250508666038513184e-02
1.175312339656739979e+00,7.228033244609832764e-02
1.175729786456918280e+00,7.516046613454818726e-02
1.176146028850266756e+00,7.561179250478744507e-02
1.176561073766643428e+00,7.645661383867263794e-02
1.176974928076269578e+00,7.273287326097488403e-02
1.177387598590411200e+00,7.582536339759826660e-02
1.177799092062051356e+00,8.301299065351486206e-02
1.178209415186554088e+00,8.692032098770141602e-02
1.178618574602317670e+00,7.761877030134201050e-02
1.179026576891417877e+00,6.765553355216979980e-02
1.179433428580246135e+00,7.089313119649887085e-02
1.179839136140132805e+00,7.163035869598388672e-02
1.180243705987966907e+00,7.989795506000518799e-02
1.180647144486803857e+00,7.572934031486511230e-02
1.181049457946466763e+00,7.570751011371612549e-02
1.181450652624138620e+00,9.400600194931030273e-02
1.181850734724944951e+00,7.995554059743881226e-02
1.182249710402531351e+00,7.699216902256011963e-02
1.182647585759630138e+00,7.536841183900833130e-02
1.183044366848621021e+00,7.665128260850906372e-02
1.183440059672083322e+00,9.431081265211105347e-02
1.183834670183341542e+00,9.338068217039108276e-02
1.184228204287001596e+00,1.028826832771301270e-01
1.184620667839481278e+00,7.517991960048675537e-02
1.185012066649534290e+00,6.469839811325073242e-02
1.185402406478764714e+00,9.832278639078140259e-02
1.185791693042136163e+00,8.021470159292221069e-02
1.186179932008474935e+00,6.806687265634536743e-02
1.186567129000963616e+00,7.289549708366394043e-02
1.186953289597630912e+00,8.051107078790664673e-02
1.187338419331834372e+00,6.196214258670806885e-02
1.187722523692733789e+00,7.271776348352432251e-02
1.188105608125763268e+00,7.693810015916824341e-02
1.188487678033092854e+00,7.279441505670547485e-02
1.188868738774086387e+00,8.118560910224914551e-02
