# kappa, accuracy
0.000000000000000000e+00,5.015000104904174805e-01
3.460322941438964128e-01,5.000000000000000000e-01
4.393251175790799379e-01,4.914999902248382568e-01
4.955145118980058827e-01,5.000000000000000000e-01
5.358508524545640972e-01,5.784999728202819824e-01
5.673386549160590597e-01,5.550000071525573730e-01
5.931701695197899582e-01,5.030000209808349609e-01
6.150713740131812379e-01,6.184999942779541016e-01
6.340818327738044768e-01,6.079999804496765137e-01
6.508764294721779420e-01,5.239999890327453613e-01
6.659182203642730613e-01,6.324999928474426270e-01
6.795387461469956092e-01,6.445000171661376953e-01
6.919835562122306216e-01,6.269999742507934570e-01
7.034395944703899506e-01,6.474999785423278809e-01
7.140524826178984430e-01,6.370000243186950684e-01
7.239378673438887635e-01,6.159999966621398926e-01
7.331891215377622784e-01,6.529999971389770508e-01
7.418827208146053787e-01,6.090000271797180176e-01
7.500820897003735999e-01,6.205000281333923340e-01
7.578404121458439668e-01,6.464999914169311523e-01
7.652027239894564348e-01,6.259999871253967285e-01
7.722074968517341764e-01,6.290000081062316895e-01
7.788878549382546312e-01,6.175000071525573730e-01
7.852725223390617515e-01,6.430000066757202148e-01
7.913865694255707295e-01,6.409999728202819824e-01
7.972520073999702639e-01,6.194999814033508301e-01
8.028882666226414555e-01,6.234999895095825195e-01
8.083125849576835442e-01,6.169999837875366211e-01
8.135403257147932887e-01,6.545000076293945312e-01
8.185852399693683834e-01,6.380000114440917969e-01
8.234596845439473567e-01,6.309999823570251465e-01
8.281748043508958546e-01,6.545000076293945312e-01
8.327406858675959755e-01,6.230000257492065430e-01
8.371664870604127451e-01,6.495000123977661133e-01
8.414605479654166942e-01,6.514999866485595703e-01
8.456304852819882534e-01,6.225000023841857910e-01
8.496832736751233073e-01,6.455000042915344238e-01
8.536253159663856893e-01,6.575000286102294922e-01
8.574625039873947641e-01,6.499999761581420898e-01
8.612002715478866977e-01,6.305000185966491699e-01
8.648436407135980941e-01,6.474999785423278809e-01
8.683972623830459314e-01,6.274999976158142090e-01
8.718654519857816920e-01,6.499999761581420898e-01
8.752522209894731953e-01,6.539999842643737793e-01
8.785613047927742780e-01,6.579999923706054688e-01
8.817961874903510466e-01,6.510000228881835938e-01
8.849601239217503856e-01,6.125000119209289551e-01
8.880561593539283427e-01,6.514999866485595703e-01
8.910871470958021678e-01,6.539999842643737793e-01
8.940557643001971755e-01,6.324999928474426270e-01
8.969645261725127661e-01,6.529999971389770508e-01
8.998157987750780018e-01,6.510000228881835938e-01
9.026118105905299727e-01,6.514999866485595703e-01
9.053546629858000294e-01,6.545000076293945312e-01
9.080463396998027514e-01,6.575000286102294922e-01
9.106887154621354785e-01,6.570000052452087402e-01
9.132835638365818243e-01,6.549999713897705078e-01
9.158325643716123121e-01,6.535000205039978027e-01
9.183373091300838231e-01,6.560000181198120117e-01
9.207993086617104472e-01,6.560000181198120117e-01
9.232199974744160764e-01,6.545000076293945312e-01
9.256007390541887148e-01,6.510000228881835938e-01
9.279428304774232084e-01,6.549999713897705078e-01
9.302475066548175908e-01,6.529999971389770508e-01
9.325159442415839051e-01,6.570000052452087402e-01
9.347492652449767014e-01,6.570000052452087402e-01
9.369485403568205140e-01,6.570000052452087402e-01
9.391147920358199341e-01,6.570000052452087402e-01
9.412489973618617389e-01,6.539999842643737793e-01
9.433520906822536745e-01,6.585000157356262207e-01
9.454249660678405442e-01,6.564999818801879883e-01
9.474684795951544558e-01,6.589999794960021973e-01
9.494834514691824490e-01,6.499999761581420898e-01
9.514706679999223038e-01,6.365000009536743164e-01
9.534308834446492131e-01,6.554999947547912598e-01
9.553648217266942355e-01,6.579999923706054688e-01
9.572731780405363544e-01,6.575000286102294922e-01
9.591566203521144640e-01,6.504999995231628418e-01
9.610157908024614670e-01,6.504999995231628418e-01
9.628513070220410253e-01,6.585000157356262207e-01
9.646637633625180230e-01,6.570000052452087402e-01
9.664537320521119357e-01,6.589999794960021973e-01
9.682217642801491664e-01,6.579999923706054688e-01
9.699683912159602350e-01,6.589999794960021973e-01
9.716941249668342717e-01,6.595000028610229492e-01
9.733994594793513588e-01,6.614999771118164062e-01
9.750848713880645446e-01,6.305000185966491699e-01
9.767508208151768345e-01,6.589999794960021973e-01
9.783977521245732500e-01,6.614999771118164062e-01
9.800260946332955969e-01,6.595000028610229492e-01
9.816362632833135482e-01,6.564999818801879883e-01
9.832286592762186084e-01,6.604999899864196777e-01
9.848036706732713474e-01,6.585000157356262207e-01
9.863616729630475533e-01,6.604999899864196777e-01
9.879030295987580867e-01,6.585000157356262207e-01
9.894280925071695654e-01,6.585000157356262207e-01
9.909372025709037857e-01,6.430000066757202148e-01
9.924306900857746694e-01,6.545000076293945312e-01
9.939088751946926203e-01,6.575000286102294922e-01
9.953720682995658153e-01,6.614999771118164062e-01
9.968205704525217037e-01,6.589999794960021973e-01
9.982546737276839499e-01,6.585000157356262207e-01
9.996746615746521236e-01,6.575000286102294922e-01
1.001080809154753393e+00,6.585000157356262207e-01
1.002473383661066864e+00,6.604999899864196777e-01
1.003852644623148160e+00,6.579999923706054688e-01
1.005218844197325989e+00,6.570000052452087402e-01
1.006572227443381040e+00,6.585000157356262207e-01
1.007913032588368951e+00,6.589999794960021973e-01
1.009241491278294323e+00,6.610000133514404297e-01
1.010557828818304360e+00,6.595000028610229492e-01
1.011862264402022094e+00,6.604999899864196777e-01
1.013155011330606037e+00,6.589999794960021973e-01
1.014436277222079630e+00,6.585000157356262207e-01
1.015706264211450049e+00,6.589999794960021973e-01
1.016965169142092229e+00,6.600000262260437012e-01
1.018213183748857054e+00,6.620000004768371582e-01
1.019450494833326504e+00,6.604999899864196777e-01
1.020677284431617204e+00,6.604999899864196777e-01
1.021893729975108300e+00,6.620000004768371582e-01
1.023100004444452260e+00,6.585000157356262207e-01
1.024296276517197457e+00,6.579999923706054688e-01
1.025482710709342493e+00,6.600000262260437012e-01
1.026659467511116475e+00,6.600000262260437012e-01
1.027826703517266127e+00,6.614999771118164062e-01
1.028984571552115534e+00,6.625000238418579102e-01
1.030133220789645865e+00,6.600000262260437012e-01
1.031272796868833552e+00,6.635000109672546387e-01
1.032403442004468763e+00,6.585000157356262207e-01
1.033525295093663976e+00,6.614999771118164062e-01
1.034638491818254957e+00,6.600000262260437012e-01
1.035743164743279099e+00,6.604999899864196777e-01
1.036839443411714745e+00,6.614999771118164062e-01
1.037927454435645602e+00,6.600000262260437012e-01
1.039007321584014765e+00,6.604999899864196777e-01
1.040079165867118016e+00,6.600000262260437012e-01
1.041143105617981179e+00,6.589999794960021973e-01
1.042199256570760513e+00,6.614999771118164062e-01
1.043247731936292721e+00,6.620000004768371582e-01
1.044288642474918039e+00,6.585000157356262207e-01
1.045322096566699388e+00,6.575000286102294922e-01
1.046348200279138441e+00,6.589999794960021973e-01
1.047367057432506465e+00,6.620000004768371582e-01
1.048378769662879906e+00,6.629999876022338867e-01
1.049383436482983045e+00,6.620000004768371582e-01
