# kappa, training_loss
0.000000000000000000e+00,1.250028461217880249e-01
3.459611736624255696e-01,1.249889954924583435e-01
4.392506117251831488e-01,1.250053346157073975e-01
4.954388048116957211e-01,1.249992549419403076e-01
5.357745301087074585e-01,1.250069588422775269e-01
5.672619585908412754e-01,1.249721124768257141e-01
5.930932218322158000e-01,1.249410584568977356e-01
6.149942457699556497e-01,1.250135749578475952e-01
6.340045685567943234e-01,1.249120309948921204e-01
6.507990591658656676e-01,1.249456927180290222e-01
6.658407649765262226e-01,1.249571666121482849e-01
6.794612210078586623e-01,1.249586939811706543e-01
6.919059728508980545e-01,1.249242350459098816e-01
7.033619617757742581e-01,1.250088810920715332e-01
7.139748075876487521e-01,1.251147836446762085e-01
7.238601555853888536e-01,1.247871592640876770e-01
7.331113776135392834e-01,1.249734684824943542e-01
7.418049484867412779e-01,1.250927299261093140e-01
7.500042921073991620e-01,1.248992532491683960e-01
7.577625919333264015e-01,1.249846220016479492e-01
7.651248834081008088e-01,1.248188465833663940e-01
7.721296378322399789e-01,1.252019107341766357e-01
7.788099791492347768e-01,1.247046142816543579e-01
7.851946312324257216e-01,1.251081675291061401e-01
7.913086642724922459e-01,1.248873695731163025e-01
7.971740893196895827e-01,1.249271929264068604e-01
8.028103366057501855e-01,1.250800490379333496e-01
8.082346438851137904e-01,1.247137784957885742e-01
8.134623743734271661e-01,1.248896569013595581e-01
8.185072790649660091e-01,1.251522600650787354e-01
8.233817147119275592e-01,1.252869516611099243e-01
8.280968261653823825e-01,1.248201653361320496e-01
8.326626998490564979e-01,1.247445344924926758e-01
8.370884936821424427e-01,1.248807609081268311e-01
8.413825476590721664e-01,1.252573579549789429e-01
8.455524784423316120e-01,1.243513450026512146e-01
8.496052606641114613e-01,1.252113431692123413e-01
8.535472971167066270e-01,1.243555694818496704e-01
8.573844796055404283e-01,1.245521157979965210e-01
8.611222419168333975e-01,1.242146864533424377e-01
8.647656060951512957e-01,1.252380609512329102e-01
8.683192230199013872e-01,1.251430958509445190e-01
8.717874081033410993e-01,1.256013214588165283e-01
8.751741727974488017e-01,1.243034303188323975e-01
8.784832524866120762e-01,1.252739876508712769e-01
8.817181312524965398e-01,1.239868402481079102e-01
8.848820639227759077e-01,1.240500733256340027e-01
8.879780957535420294e-01,1.242726296186447144e-01
8.910090800437509007e-01,1.259482055902481079e-01
8.939776939370784881e-01,1.250942349433898926e-01
8.968864526305051488e-01,1.245365142822265625e-01
8.997377221785998191e-01,1.237456798553466797e-01
9.025337310568355420e-01,1.238821893930435181e-01
9.052765806255189673e-01,1.245881468057632446e-01
9.079682546174299151e-01,1.233159825205802917e-01
9.106106277564767204e-01,1.241538971662521362e-01
9.132054736011587792e-01,1.239907070994377136e-01
9.157544716950334340e-01,1.253377050161361694e-01
9.182592140963818927e-01,1.246589645743370056e-01
9.207212113506528794e-01,1.256354153156280518e-01
9.231418979617884712e-01,1.235638484358787537e-01
9.255226374120555377e-01,1.246693134307861328e-01
9.278647267743678206e-01,1.238472685217857361e-01
9.301694009561621845e-01,1.245774030685424805e-01
9.324378366095938953e-01,1.251701116561889648e-01
9.346711557390479097e-01,1.252546310424804688e-01
9.368704290336530294e-01,1.234194710850715637e-01
9.390366789495790956e-01,1.236465051770210266e-01
9.411708825643262388e-01,1.230917796492576599e-01
9.432739742229547808e-01,1.230681389570236206e-01
9.453468479941893321e-01,1.257668882608413696e-01
9.473903599525617114e-01,1.219059750437736511e-01
9.494053303011694700e-01,1.223506778478622437e-01
9.513925453482242611e-01,1.203910261392593384e-01
9.533527593493118513e-01,1.224097684025764465e-01
9.552866962261632455e-01,1.207291558384895325e-01
9.571950511717417509e-01,1.232518553733825684e-01
9.590784921505495220e-01,1.224363371729850769e-01
9.609376613022562186e-01,1.231854110956192017e-01
9.627731762560306494e-01,1.248603761196136475e-01
9.645856313623084599e-01,1.217889785766601562e-01
9.663755988481395054e-01,1.208999380469322205e-01
9.681436299017380787e-01,1.225514113903045654e-01
9.698902556913763240e-01,1.207831352949142456e-01
9.716159883233349559e-01,1.197825148701667786e-01
9.733213217432331588e-01,1.229637041687965393e-01
9.750067325847074917e-01,1.234156936407089233e-01
9.766726809690872146e-01,1.212101504206657410e-01
9.783196112594224614e-01,1.193744242191314697e-01
9.799479527719583416e-01,1.205344870686531067e-01
9.815581204479028044e-01,1.222303807735443115e-01
9.831505154881189368e-01,1.220947653055191040e-01
9.847255259531709770e-01,1.207139715552330017e-01
9.862835273309679129e-01,1.202360242605209351e-01
9.878248830740824493e-01,1.222650483250617981e-01
9.893499451086696928e-01,1.212640032172203064e-01
9.908590543167653530e-01,1.201563999056816101e-01
9.923525409936216901e-01,1.190798133611679077e-01
9.938307252816099835e-01,1.199282258749008179e-01
9.952939175821210460e-01,1.174244284629821777e-01
9.967424189467860574e-01,1.172351241111755371e-01
9.981765214492517302e-01,1.193141564726829529e-01
9.995965085386593341e-01,1.173702627420425415e-01
1.001002655375895722e+00,1.153800711035728455e-01
1.002395229153616452e+00,1.173473522067070007e-01
1.003774489400969916e+00,1.160559803247451782e-01
1.005140688273892469e+00,1.179738044738769531e-01
1.006494070831787768e+00,1.212504655122756958e-01
1.007834875301347743e+00,1.220966726541519165e-01
1.009163333328227052e+00,1.139194071292877197e-01
1.010479670217235393e+00,1.146667525172233582e-01
1.011784105161670722e+00,1.140313297510147095e-01
1.013076851462377581e+00,1.134954392910003662e-01
1.014358116737077431e+00,1.153292283415794373e-01
1.015628103120484793e+00,1.119477748870849609e-01
1.016887007455693492e+00,1.143523752689361572e-01
1.018135021477282409e+00,1.116149723529815674e-01
1.019372331986570179e+00,1.178264617919921875e-01
1.020599121019419853e+00,1.209019348025321960e-01
1.021815566006964993e+00,1.054883301258087158e-01
1.023021839929621146e+00,1.132814735174179077e-01
1.024218111464707093e+00,1.098965704441070557e-01
1.025404545128000056e+00,1.169282346963882446e-01
1.026581301409513980e+00,1.169153749942779541e-01
1.027748536903788201e+00,1.137067377567291260e-01
1.028906404434945410e+00,1.068764626979827881e-01
1.030055053176772706e+00,1.170065477490425110e-01
1.031194628768057342e+00,1.242694258689880371e-01
1.032325273423407186e+00,1.072083264589309692e-01
1.033447126039757302e+00,1.135449185967445374e-01
1.034560322298772261e+00,1.171331554651260376e-01
1.035664994765322922e+00,1.145789101719856262e-01
1.036761272982226423e+00,1.188889667391777039e-01
1.037849283561410152e+00,1.092274338006973267e-01
1.038929150271665325e+00,1.072229966521263123e-01
1.040000994123139844e+00,1.118267774581909180e-01
1.041064933448717422e+00,1.123449802398681641e-01
1.042121083982415541e+00,1.089835688471794128e-01
1.043169558934935237e+00,1.160492673516273499e-01
1.044210469066486624e+00,1.109424158930778503e-01
1.045243922757005173e+00,1.097346767783164978e-01
1.046270026073869319e+00,1.161025390028953552e-01
1.047288882837229762e+00,1.096042767167091370e-01
1.048300594683046372e+00,1.178030595183372498e-01
1.049305261123930189e+00,1.124078333377838135e-01
1.050302979607881326e+00,1.134117469191551208e-01
1.051293845575011154e+00,1.115503460168838501e-01
1.052277952512328030e+00,1.064621508121490479e-01
1.053255392006668512e+00,1.037550270557403564e-01
1.054226253795847112e+00,1.154777333140373230e-01
1.055190625818095196e+00,1.156411990523338318e-01
1.056148594259861184e+00,1.065401658415794373e-01
1.057100243602031142e+00,1.038560494780540466e-01
1.058045656664637457e+00,1.157801896333694458e-01
1.058984914650110243e+00,1.053272783756256104e-01
1.059918097185130748e+00,1.125940084457397461e-01
1.060845282361140729e+00,1.176004260778427124e-01
1.061766546773555975e+00,1.109804734587669373e-01
1.062681965559737707e+00,1.043355762958526611e-01
1.063591612435767164e+00,9.815820306539535522e-02
1.064495559732065999e+00,1.037256196141242981e-01
1.065393878427909335e+00,1.097313463687896729e-01
1.066286638184871238e+00,1.072103455662727356e-01
1.067173907379239672e+00,1.048767641186714172e-01
1.068055753133443586e+00,1.084850877523422241e-01
1.068932241346522316e+00,1.084662377834320068e-01
1.069803436723677947e+00,1.018509939312934875e-01
1.070669402804938386e+00,1.159296408295631409e-01
1.071530201992966003e+00,9.962429106235504150e-02
1.072385895580043380e+00,1.079710349440574646e-01
1.073236543774259699e+00,1.115010604262351990e-01
1.074082205724933514e+00,1.157098710536956787e-01
1.074922939547292788e+00,1.142312139272689819e-01
1.075758802346439058e+00,1.162277981638908386e-01
1.076589850240623925e+00,1.078470423817634583e-01
1.077416138383857414e+00,1.158937066793441772e-01
1.078237720987872406e+00,1.094576641917228699e-01
1.079054651343467119e+00,1.035844013094902039e-01
1.079866981841248519e+00,1.147927418351173401e-01
1.080674763991792187e+00,1.014476567506790161e-01
1.081478048445243312e+00,1.012644171714782715e-01
1.082276885010374112e+00,1.082267761230468750e-01
1.083071322673115455e+00,1.230302751064300537e-01
1.083861409614583549e+00,1.114087626338005066e-01
1.084647193228613027e+00,9.873475879430770874e-02
1.085428720138817305e+00,1.098763719201087952e-01
1.086206036215187742e+00,1.005435883998870850e-01
1.086979186590249169e+00,9.839961677789688110e-02
1.087748215674783303e+00,1.097883880138397217e-01
1.088513167173137619e+00,1.053431555628776550e-01
1.089274084098128315e+00,9.900600463151931763e-02
1.090031008785553812e+00,1.041738614439964294e-01
1.090783982908327898e+00,9.919711202383041382e-02
1.091533047490248265e+00,1.118816509842872620e-01
1.092278242919407560e+00,1.071769893169403076e-01
1.093019608961259825e+00,1.035907715559005737e-01
1.093757184771354529e+00,1.221044510602951050e-01
1.094491008907745089e+00,1.098725795745849609e-01
