# kappa, training_loss
0.000000000000000000e+00,1.253007501363754272e-01
3.459684681100657078e-01,1.247444227337837219e-01
4.392582534728461940e-01,1.247446760535240173e-01
4.954465697936570878e-01,1.242549642920494080e-01
5.357823582104334070e-01,1.239364668726921082e-01
5.672698250594025993e-01,1.238366737961769104e-01
5.931011140882882504e-01,1.238367035984992981e-01
6.150021565494346865e-01,1.235130205750465393e-01
6.340124932859899642e-01,1.229002475738525391e-01
6.508069947789005827e-01,1.223286986351013184e-01
6.658487093181811867e-01,1.227520629763603210e-01
6.794691725054070597e-01,1.223447173833847046e-01
6.919139303215458003e-01,1.229381114244461060e-01
7.033699243075967056e-01,1.219737306237220764e-01
7.139827744627479378e-01,1.216326355934143066e-01
7.238681262284958340e-01,1.216553896665573120e-01
7.331193515565780361e-01,1.217372417449951172e-01
7.418129253437544257e-01,1.208507940173149109e-01
7.500122715564003784e-01,1.210963949561119080e-01
7.577705737029030164e-01,1.212458834052085876e-01
7.651328672673496367e-01,1.201090738177299500e-01
7.721376235830875734e-01,1.201741695404052734e-01
7.788179666204956275e-01,1.211155802011489868e-01
7.852026202751463124e-01,1.204611882567405701e-01
7.913166547562607844e-01,1.210249513387680054e-01
7.971820811296814746e-01,1.207112073898315430e-01
8.028183296403390568e-01,1.201696172356605530e-01
8.082426380539234900e-01,1.198123395442962646e-01
8.134703695957300473e-01,1.193512305617332458e-01
8.185152752683572119e-01,1.196157410740852356e-01
8.233897118312182295e-01,1.199037656188011169e-01
8.281048241416724132e-01,1.200080141425132751e-01
8.326706986289502677e-01,1.200531125068664551e-01
8.370964932170836814e-01,1.190107166767120361e-01
8.413905479047764091e-01,1.181690990924835205e-01
8.455604793582996992e-01,1.189427077770233154e-01
8.496132622132095413e-01,1.193628460168838501e-01
8.535552992648038906e-01,1.185239404439926147e-01
8.573924823211932500e-01,1.187293604016304016e-01
8.611302451710106665e-01,1.182246506214141846e-01
8.647736098609940525e-01,1.188983917236328125e-01
8.683272272725109930e-01,1.190932244062423706e-01
8.717954128195932739e-01,1.189568266272544861e-01
8.751821779558288661e-01,1.185156777501106262e-01
8.784912580670687365e-01,1.190881282091140747e-01
8.817261372363124350e-01,1.179584264755249023e-01
8.848900702924518136e-01,1.182598471641540527e-01
8.879861024926931634e-01,1.189289912581443787e-01
8.910170871370144408e-01,1.177550554275512695e-01
8.939857013700303057e-01,1.171151772141456604e-01
8.968944603895847578e-01,1.167944520711898804e-01
8.997457302510430965e-01,1.184538900852203369e-01
9.025417394306129992e-01,1.174902543425559998e-01
9.052845892892810165e-01,1.174699589610099792e-01
9.079762635604564647e-01,1.164733320474624634e-01
9.106186369686306570e-01,1.177634820342063904e-01
9.132134830728458885e-01,1.171162575483322144e-01
9.157624814171630989e-01,1.165568605065345764e-01
9.182672240603330094e-01,1.171085312962532043e-01
9.207292215482418829e-01,1.179660111665725708e-01
9.231499083852405807e-01,1.174829006195068359e-01
9.255306480539774450e-01,1.159409955143928528e-01
9.278727376277233763e-01,1.163277924060821533e-01
9.301774120142499713e-01,1.169881597161293030e-01
9.324458478660259120e-01,1.172455474734306335e-01
9.346791671877308083e-01,1.166985407471656799e-01
9.368784406687696853e-01,1.173260211944580078e-01
9.390446907655725095e-01,1.168104410171508789e-01
9.411788945558845487e-01,1.183580905199050903e-01
9.432819863849963848e-01,1.169109717011451721e-01
9.453548603218502322e-01,1.155744642019271851e-01
9.473983724411833007e-01,1.164443790912628174e-01
9.494133429462866536e-01,1.155848205089569092e-01
9.514005581455554639e-01,1.179567947983741760e-01
