# kappa, accuracy
0.000000000000000000e+00,4.794999957084655762e-01
3.459597458997151209e-01,5.000000000000000000e-01
4.392491159823116997e-01,5.000000000000000000e-01
4.954372849470182194e-01,5.001666545867919922e-01
5.357729978889964606e-01,5.149999856948852539e-01
5.672604188612203613e-01,5.088333487510681152e-01
5.930916770549559125e-01,5.208333134651184082e-01
6.149926973669295194e-01,5.326666831970214844e-01
6.340030174232544891e-01,5.370000004768371582e-01
6.507975059019256436e-01,5.546666383743286133e-01
6.658392100040482209e-01,5.348333120346069336e-01
6.794596646346876545e-01,5.566666722297668457e-01
6.919044153085536220e-01,5.596666336059570312e-01
7.033604032427566155e-01,5.609999895095825195e-01
7.139732482044788275e-01,5.621666312217712402e-01
7.238585954646699072e-01,5.643333196640014648e-01
7.331098168468922482e-01,5.640000104904174805e-01
7.418033871497132781e-01,5.651666522026062012e-01
7.500027302630161152e-01,5.666666626930236816e-01
7.577610296347141450e-01,5.701666474342346191e-01
7.651233207004565218e-01,5.701666474342346191e-01
7.721280747543344258e-01,5.764999985694885254e-01
7.788084157345757097e-01,5.711666345596313477e-01
7.851930675101694845e-01,5.705000162124633789e-01
7.913071002681654198e-01,5.743333101272583008e-01
7.971725250557678555e-01,5.774999856948852539e-01
8.028087721021262002e-01,5.768333077430725098e-01
8.082330791594775077e-01,5.781666636466979980e-01
8.134608094415801682e-01,5.791666507720947266e-01
8.185057139410811811e-01,5.788333415985107422e-01
8.233801494087644723e-01,5.813333392143249512e-01
8.280952606944704808e-01,5.813333392143249512e-01
8.326611342208474209e-01,5.826666355133056641e-01
8.370869279061404766e-01,5.856666564941406250e-01
8.413809817439453775e-01,5.836666822433471680e-01
8.455509123960075479e-01,5.821666717529296875e-01
8.496036944938585300e-01,5.859999656677246094e-01
8.535457308292057066e-01,5.879999995231628418e-01
8.573829132069463732e-01,5.861666798591613770e-01
8.611206754128284402e-01,5.886666774749755859e-01
8.647640394909930084e-01,5.906666517257690430e-01
8.683176563204635379e-01,5.935000181198120117e-01
8.717858413131499562e-01,5.889999866485595703e-01
8.751726059207155517e-01,5.921666622161865234e-01
8.784816855272616909e-01,5.921666622161865234e-01
8.817165642141925330e-01,5.913333296775817871e-01
8.848804968089437617e-01,5.924999713897705078e-01
8.879765285673887343e-01,5.928333401679992676e-01
8.910075127882838286e-01,5.929999947547912598e-01
8.939761266151208252e-01,5.881666541099548340e-01
8.968848852447111053e-01,5.953333377838134766e-01
8.997361547314681740e-01,5.956666469573974609e-01
9.025321635507207452e-01,5.970000028610229492e-01
9.052750130626425751e-01,5.906666517257690430e-01
9.079666869998905820e-01,5.976666808128356934e-01
9.106090600862581930e-01,5.939999818801879883e-01
9.132039058801394438e-01,5.939999818801879883e-01
9.157529039249924230e-01,5.933333039283752441e-01
9.182576462790066341e-01,5.978333353996276855e-01
