# kappa, training_loss
0.000000000000000000e+00,1.334413290023803711e-01
3.459730117560578244e-01,1.311896890401840210e-01
4.392630134396087183e-01,1.308343112468719482e-01
4.954514065184562610e-01,1.285711228847503662e-01
5.357872342501323049e-01,1.280601471662521362e-01
5.672747249963301375e-01,1.253567188978195190e-01
5.931060300872603719e-01,1.254598647356033325e-01
6.150070840859183097e-01,1.250874698162078857e-01
6.340174295112095404e-01,1.243137791752815247e-01
6.508119377832394248e-01,1.250174343585968018e-01
6.658536577592366612e-01,1.241225674748420715e-01
6.794741254035886469e-01,1.238792613148689270e-01
6.919188869401371456e-01,1.235702037811279297e-01
7.033748840785956080e-01,1.237500980496406555e-01
7.139877369390035255e-01,1.223283782601356506e-01
7.238730910516955053e-01,1.243938207626342773e-01
7.331243184351754483e-01,1.231838911771774292e-01
7.418178940373520991e-01,1.226711049675941467e-01
7.500172418644454053e-01,1.233494430780410767e-01
7.577755454563431803e-01,1.231314018368721008e-01
7.651378403223644264e-01,1.233014836907386780e-01
7.721425978163048987e-01,1.220711842179298401e-01
7.788229419252905572e-01,1.227360367774963379e-01
7.852075965587415052e-01,1.228246837854385376e-01
7.913216319374281049e-01,1.225400790572166443e-01
7.971870591369010217e-01,1.228293031454086304e-01
8.028233084103117978e-01,1.221567168831825256e-01
8.082476175303576760e-01,1.209497973322868347e-01
8.134753497283436774e-01,1.222275272011756897e-01
8.185202560120520276e-01,1.223978549242019653e-01
8.233946931453905993e-01,1.223259791731834412e-01
8.281098059896359054e-01,1.228320524096488953e-01
8.326756809774467083e-01,1.223523542284965515e-01
8.371014760358693740e-01,1.217483505606651306e-01
8.413955311662685288e-01,1.221362203359603882e-01
8.455654630372726466e-01,1.214255765080451965e-01
8.496182462865342622e-01,1.221609264612197876e-01
8.535602837112213903e-01,1.216708496212959290e-01
8.573974671211187504e-01,1.217316314578056335e-01
8.611352303063617430e-01,1.206399500370025635e-01
8.647785953150413096e-01,1.210956424474716187e-01
8.683322130297462804e-01,1.220450848340988159e-01
8.718003988656131131e-01,1.210959777235984802e-01
8.751871642772325322e-01,1.208978295326232910e-01
8.784962446513673306e-01,1.214587986469268799e-01
8.817311240718476162e-01,1.207718327641487122e-01
8.848950573683239673e-01,1.216648444533348083e-01
8.879910897986967866e-01,1.209744289517402649e-01
8.910220746635806321e-01,1.212951391935348511e-01
8.939906891081751406e-01,1.221330389380455017e-01
8.968994483308616594e-01,1.216857731342315674e-01
8.997507183875017578e-01,1.206676661968231201e-01
9.025467277547608580e-01,1.209242641925811768e-01
9.052895777940487276e-01,1.209652498364448547e-01
9.079812522391668139e-01,1.205111518502235413e-01
9.106236258149701390e-01,1.205550506711006165e-01
9.132184720808381728e-01,1.211542636156082153e-01
9.157674705811461591e-01,1.203777268528938293e-01
9.182722133749370297e-01,1.205403581261634827e-01
9.207342110083699405e-01,1.212789714336395264e-01
9.231548979860496607e-01,1.214317604899406433e-01
9.255356377908627863e-01,1.203879415988922119e-01
9.278777274963023736e-01,1.203049346804618835e-01
9.301824020103485191e-01,1.213086023926734924e-01
9.324508379856654150e-01,1.203000470995903015e-01
9.346841574271156361e-01,1.206614449620246887e-01
9.368834310242767360e-01,1.207305416464805603e-01
9.390496812337405519e-01,1.211419999599456787e-01
9.411838851334050071e-01,1.207737028598785400e-01
9.432869770687041244e-01,1.207997649908065796e-01
