# kappa, accuracy
0.000000000000000000e+00,5.030000209808349609e-01
3.460215819907292989e-01,5.000000000000000000e-01
4.393138956336002932e-01,5.000000000000000000e-01
4.955031090652546322e-01,5.000000000000000000e-01
5.358393569736089601e-01,5.000000000000000000e-01
5.673271031199839110e-01,5.000000000000000000e-01
5.931585798727617709e-01,5.000000000000000000e-01
6.150597571775363592e-01,5.000000000000000000e-01
6.340701954628343850e-01,5.000000000000000000e-01
6.508647761859857050e-01,5.000000000000000000e-01
6.659065542662890858e-01,5.000000000000000000e-01
6.795270695456641086e-01,5.000000000000000000e-01
6.919718708436510823e-01,5.000000000000000000e-01
7.034279016730802248e-01,5.000000000000000000e-01
7.140407834455838598e-01,5.000000000000000000e-01
7.239261626409444483e-01,5.000000000000000000e-01
7.331774119912256582e-01,5.000000000000000000e-01
7.418710069909805194e-01,5.000000000000000000e-01
7.500703720722686763e-01,5.000000000000000000e-01
7.578286911116353108e-01,5.000000000000000000e-01
7.651909998880606079e-01,5.000000000000000000e-01
7.721957699738808412e-01,5.000000000000000000e-01
7.788761255352076862e-01,5.000000000000000000e-01
7.852607906294533091e-01,5.000000000000000000e-01
7.913748356008173390e-01,5.000000000000000000e-01
7.972402716286094426e-01,5.000000000000000000e-01
8.028765290538391053e-01,5.000000000000000000e-01
8.083008457240924427e-01,5.000000000000000000e-01
8.135285849349039866e-01,5.000000000000000000e-01
8.185734977494558695e-01,5.000000000000000000e-01
8.234479409796945371e-01,4.990000128746032715e-01
8.281630595287555741e-01,4.979999959468841553e-01
8.327289398659415420e-01,4.975000023841857910e-01
8.371547399505139264e-01,4.959999918937683105e-01
8.414487998122733847e-01,4.945000112056732178e-01
8.456187361450445694e-01,4.990000128746032715e-01
8.496715236088835388e-01,5.070000290870666504e-01
8.536135650209468739e-01,5.095000267028808594e-01
8.574507522089089839e-01,5.145000219345092773e-01
8.611885189789653117e-01,5.195000171661376953e-01
8.648318873936642337e-01,5.184999704360961914e-01
8.683855083486454740e-01,5.205000042915344238e-01
8.718536972708558208e-01,5.565000176429748535e-01
8.752404656256010940e-01,5.630000233650207520e-01
8.785495488093865157e-01,5.855000019073486328e-01
8.817844309149206472e-01,5.805000066757202148e-01
8.849483667799625808e-01,5.939999818801879883e-01
8.880444016698322285e-01,6.004999876022338867e-01
8.910753888919471510e-01,6.090000271797180176e-01
8.940440055977546541e-01,6.125000119209289551e-01
8.969527669913863743e-01,6.250000000000000000e-01
8.998040391340029753e-01,6.355000138282775879e-01
9.026000505071627433e-01,6.349999904632568359e-01
9.053429024767993827e-01,6.324999928474426270e-01
9.080345787809038782e-01,6.474999785423278809e-01
9.106769541482166996e-01,6.510000228881835938e-01
9.132718021417258747e-01,6.495000123977661133e-01
9.158208023091620742e-01,6.520000100135803223e-01
9.183255467126929528e-01,6.520000100135803223e-01
9.207875459013905584e-01,6.539999842643737793e-01
9.232082343825792625e-01,6.535000205039978027e-01
9.255889756416864067e-01,6.535000205039978027e-01
9.279310667545830338e-01,6.539999842643737793e-01
9.302357426314756816e-01,6.524999737739562988e-01
9.325041799271166498e-01,6.529999971389770508e-01
9.347375006483277238e-01,6.549999713897705078e-01
9.369367754865279840e-01,6.520000100135803223e-01
9.391030269000401054e-01,6.545000076293945312e-01
9.412372319683915967e-01,6.549999713897705078e-01
9.433403250385518080e-01,6.539999842643737793e-01
9.454132001810461317e-01,6.579999923706054688e-01
9.474567134721055828e-01,6.575000286102294922e-01
9.494716851164326510e-01,6.560000181198120117e-01
9.514589014237562203e-01,6.579999923706054688e-01
9.534191166510969095e-01,6.564999818801879883e-01
9.553530547215449698e-01,6.570000052452087402e-01
9.572614108293511226e-01,6.564999818801879883e-01
9.591448529402379908e-01,6.545000076293945312e-01
9.610040231950330858e-01,6.570000052452087402e-01
9.628395392240050032e-01,6.570000052452087402e-01
9.646519953786337753e-01,6.579999923706054688e-01
9.664419638869625739e-01,6.610000133514404297e-01
9.682099959381503806e-01,6.600000262260437012e-01
9.699566227013683983e-01,6.604999899864196777e-01
9.716823562837537676e-01,6.564999818801879883e-01
9.733876906317422417e-01,6.585000157356262207e-01
9.750731023797483132e-01,6.614999771118164062e-01
9.767390516498438702e-01,6.635000109672546387e-01
9.783859828057878127e-01,6.629999876022338867e-01
9.800143251645023756e-01,6.639999747276306152e-01
9.816244936678424349e-01,6.644999980926513672e-01
9.832168895172895828e-01,6.625000238418579102e-01
9.847919007739998065e-01,6.650000214576721191e-01
9.863499029264481965e-01,6.610000133514404297e-01
9.878912594277499126e-01,6.660000085830688477e-01
9.894163222045790906e-01,6.664999723434448242e-01
9.909254321394695975e-01,6.625000238418579102e-01
9.924189195281505338e-01,6.644999980926513672e-01
9.938971045134511462e-01,6.679999828338623047e-01
9.953602974972017847e-01,6.675000190734863281e-01
9.968087995314552918e-01,6.704999804496765137e-01
9.982429026902633895e-01,6.644999980926513672e-01
9.996628904231564805e-01,6.700000166893005371e-01
1.001069037891395785e+00,6.685000061988830566e-01
1.002461612287996129e+00,6.715000271797180176e-01
1.003840873142452184e+00,6.704999804496765137e-01
1.005207072611033592e+00,6.710000038146972656e-01
1.006560455753464201e+00,6.710000038146972656e-01
1.007901260796744802e+00,6.725000143051147461e-01
1.009229719386827373e+00,6.719999909400939941e-01
1.010546056828808270e+00,6.779999732971191406e-01
1.011850492316261674e+00,6.834999918937683105e-01
1.013143239150298358e+00,6.899999976158142090e-01
1.014424504948897132e+00,6.865000128746032715e-01
1.015694491847020320e+00,6.890000104904174805e-01
1.016953396688000666e+00,6.940000057220458984e-01
1.018201411206648643e+00,6.779999732971191406e-01
1.019438722204506265e+00,6.859999895095825195e-01
1.020665511717651519e+00,6.949999928474426270e-01
1.021881957177427358e+00,6.865000128746032715e-01
1.023088231564449613e+00,6.970000267028808594e-01
1.024284503556233128e+00,6.970000267028808594e-01
1.025470937668742533e+00,7.154999971389770508e-01
1.026647694392174737e+00,6.940000057220458984e-01
1.027814930321245157e+00,6.934999823570251465e-01
1.028972798280247680e+00,6.434999704360961914e-01
1.030121447443133942e+00,6.915000081062316895e-01
1.031261023448852399e+00,7.185000181198120117e-01
1.032391668512165239e+00,6.725000143051147461e-01
1.033513521530158297e+00,7.229999899864196777e-01
1.034626718184641803e+00,7.214999794960021973e-01
1.035731391040628058e+00,7.245000004768371582e-01
1.036827669641071203e+00,7.264999747276306152e-01
1.037915680598031187e+00,6.984999775886535645e-01
1.038995547680428233e+00,6.859999895095825195e-01
1.040067391898535698e+00,6.804999709129333496e-01
1.041131331585358755e+00,6.984999775886535645e-01
1.042187482475032123e+00,7.285000085830688477e-01
1.043235957778371858e+00,7.034999728202819824e-01
1.044276868255699320e+00,7.214999794960021973e-01
1.045310322287057447e+00,7.279999852180480957e-01
1.046336425939930148e+00,7.089999914169311523e-01
1.047355283034570261e+00,7.294999957084655762e-01
1.048366995207036245e+00,7.325000166893005371e-01
1.049371661970035730e+00,7.279999852180480957e-01
1.050369380771662531e+00,7.340000271797180176e-01
1.051360247052119501e+00,7.365000247955322266e-01
1.052344354298503371e+00,7.204999923706054688e-01
1.053321794097737296e+00,7.335000038146972656e-01
1.054292656187719279e+00,7.354999780654907227e-01
1.055257028506762840e+00,7.269999980926513672e-01
1.056214997241395892e+00,7.300000190734863281e-01
1.057166646872581772e+00,7.375000119209289551e-01
1.058112060220428585e+00,7.354999780654907227e-01
1.059051318487439719e+00,7.189999818801879883e-01
1.059984501300368587e+00,7.354999780654907227e-01
1.060911686750725780e+00,7.369999885559082031e-01
1.061832951433995698e+00,7.375000119209289551e-01
1.062748370487605953e+00,7.269999980926513672e-01
1.063658017627701957e+00,7.335000038146972656e-01
1.064561965184768644e+00,7.344999909400939941e-01
1.065460284138142422e+00,7.365000247955322266e-01
1.066353044149457308e+00,7.170000076293945312e-01
1.067240313595059886e+00,7.229999899864196777e-01
1.068122159597435950e+00,7.429999709129333496e-01
1.068998648055680345e+00,7.340000271797180176e-01
1.069869843675049781e+00,7.444999814033508301e-01
1.070735809995624788e+00,7.419999837875366211e-01
1.071596609420120139e+00,7.344999909400939941e-01
1.072452303240868154e+00,7.260000109672546387e-01
1.073302951666007754e+00,7.220000028610229492e-01
1.074148613844905675e+00,7.294999957084655762e-01
1.074989347892836289e+00,7.369999885559082031e-01
1.075825210914948205e+00,7.319999933242797852e-01
1.076656259029537210e+00,7.239999771118164062e-01
1.077482547390657297e+00,7.379999756813049316e-01
