# kappa, training_loss
0.000000000000000000e+00,4.999007582664489746e-01
3.459522421753329358e-01,4.880000948905944824e-01
4.392412549710146830e-01,3.667491972446441650e-01
4.954292971572208382e-01,2.610958814620971680e-01
5.357649451640171812e-01,2.229730933904647827e-01
5.672523266658854313e-01,2.003385126590728760e-01
5.930835583303860625e-01,1.862406879663467407e-01
6.149845595861591629e-01,1.762053221464157104e-01
6.339948652915238236e-01,1.683335155248641968e-01
6.507893425732953485e-01,1.618452966213226318e-01
6.658310376957282672e-01,1.562289148569107056e-01
6.794514849646416943e-01,1.514793336391448975e-01
6.918962294935968593e-01,1.472841203212738037e-01
7.033522122210439376e-01,1.434626281261444092e-01
7.139650527145576797e-01,1.400977969169616699e-01
7.238503960983563301e-01,1.370467990636825562e-01
7.331016140857261609e-01,1.341878324747085571e-01
7.417951813907535108e-01,1.314135491847991943e-01
7.499945218375108080e-01,1.288109868764877319e-01
7.577528188218828342e-01,1.263889223337173462e-01
7.651151077378441911e-01,1.242544427514076233e-01
7.721198598457119644e-01,1.223021671175956726e-01
7.788001990560526888e-01,1.204792931675910950e-01
7.851848492149841041e-01,1.187680736184120178e-01
7.912988804904806939e-01,1.171067208051681519e-01
7.971643039137111808e-01,1.155043169856071472e-01
8.028005497002470570e-01,1.139525398612022400e-01
8.082248555907518561e-01,1.124323457479476929e-01
8.134525847890576866e-01,1.109756082296371460e-01
8.184974882792496187e-01,1.095679551362991333e-01
8.233719228046875172e-01,1.082254648208618164e-01
8.280870332087426622e-01,1.069391071796417236e-01
8.326529059084004647e-01,1.057039126753807068e-01
8.370786988169269804e-01,1.045112162828445435e-01
8.413727519235235652e-01,1.033575683832168579e-01
8.455426818860418692e-01,1.022369340062141418e-01
8.495954633325507599e-01,1.011369228363037109e-01
8.535374990516687577e-01,1.000538766384124756e-01
8.573746808455281476e-01,9.899239987134933472e-02
8.611124424973949365e-01,9.793794900178909302e-02
8.647558060491760124e-01,9.690767526626586914e-02
8.683094223778778931e-01,9.588869661092758179e-02
8.717776068935848555e-01,9.486544877290725708e-02
8.751643710463048453e-01,9.385503828525543213e-02
8.784734502186333227e-01,9.285958856344223022e-02
8.817083284906022111e-01,9.187822043895721436e-02
8.848722606883941966e-01,9.091179817914962769e-02
8.879682920667359980e-01,8.995373547077178955e-02
8.909992759233323900e-01,8.901888132095336914e-02
8.939678894007101473e-01,8.810121566057205200e-02
8.968766476947913624e-01,8.719882369041442871e-02
8.997279168591708620e-01,8.631626516580581665e-02
9.025239253684212981e-01,8.544091880321502686e-02
9.052667745820170975e-01,8.457218855619430542e-02
9.079584482319678074e-01,8.371475338935852051e-02
9.106008210414663351e-01,8.286835998296737671e-02
9.131956665683489405e-01,8.203521370887756348e-02
9.157446643555553489e-01,8.122270554304122925e-02
9.182494064607921169e-01,8.042165637016296387e-02
9.207114034289722859e-01,7.963290065526962280e-02
9.231320897635374445e-01,7.885579764842987061e-02
9.255128289462871694e-01,7.808134704828262329e-02
9.278549180496976634e-01,7.731441408395767212e-02
9.301595919807964519e-01,7.656285166740417480e-02
9.324280273913546635e-01,7.582816481590270996e-02
9.346613462853967658e-01,7.510758936405181885e-02
9.368606193517127201e-01,7.439323514699935913e-02
9.390268690461539558e-01,7.368624955415725708e-02
9.411610724459212873e-01,7.298657298088073730e-02
9.432641638957920405e-01,7.229091972112655640e-02
9.453370374642249274e-01,7.160518318414688110e-02
9.473805492255003013e-01,7.092517614364624023e-02
9.493955193824783478e-01,7.025402039289474487e-02
9.513827342431465661e-01,6.959202140569686890e-02
9.533429480628778929e-01,6.893716007471084595e-02
9.552768847632028271e-01,6.828996539115905762e-02
9.571852395368943833e-01,6.765035539865493774e-02
9.590686803482740830e-01,6.701327860355377197e-02
9.609278493368399454e-01,6.638531386852264404e-02
9.627633641315986868e-01,6.576346606016159058e-02
9.645758190828311873e-01,6.514794379472732544e-02
9.663657864174405310e-01,6.454005837440490723e-02
9.681338173235012334e-01,6.394077837467193604e-02
9.698804429691524343e-01,6.334783881902694702e-02
9.716061754605482825e-01,6.276322901248931885e-02
9.733115087431869483e-01,6.218638643622398376e-02
9.749969194505903047e-01,6.161400675773620605e-02
9.766628677039775885e-01,6.104659289121627808e-02
9.783097978662941285e-01,6.048065051436424255e-02
9.799381392536847812e-01,5.991109460592269897e-02
9.815483068072621275e-01,5.935101956129074097e-02
9.831407017277974392e-01,5.879439413547515869e-02
9.847157120757675797e-01,5.824264883995056152e-02
9.862737133389977151e-01,5.769862607121467590e-02
9.878150689699807252e-01,5.716199800372123718e-02
9.893401308947943340e-01,5.663489922881126404e-02
9.908492399954011987e-01,5.611381679773330688e-02
9.923427265669825248e-01,5.559791252017021179e-02
9.938209107518420904e-01,5.508963391184806824e-02
9.952841029513057602e-01,5.458743870258331299e-02
9.967326042169424305e-01,5.409018322825431824e-02
9.981667066223387508e-01,5.359516292810440063e-02
9.995866936165784811e-01,5.310416221618652344e-02
1.000992840360493075e+00,5.261966586112976074e-02
1.002385414046684797e+00,5.213963612914085388e-02
1.003764674204251195e+00,5.165958032011985779e-02
1.005130872989078883e+00,5.118002369999885559e-02
1.006484255460524668e+00,5.070623382925987244e-02
1.007825059845234739e+00,5.023864656686782837e-02
1.009153517788819121e+00,4.977640137076377869e-02
1.010469854596045991e+00,4.932057857513427734e-02
1.011774289460171783e+00,4.887054488062858582e-02
1.013067035682002182e+00,4.842564463615417480e-02
1.014348300879220233e+00,4.798204824328422546e-02
1.015618287186504265e+00,4.754691198468208313e-02
1.016877191446912132e+00,4.712031036615371704e-02
1.018125205394988519e+00,4.669883847236633301e-02
1.019362515832019644e+00,4.628464207053184509e-02
1.020589304793836138e+00,4.587852209806442261e-02
1.021805749711540923e+00,4.547969251871109009e-02
1.023012023565519790e+00,4.508603736758232117e-02
1.024208295033062877e+00,4.469681903719902039e-02
1.025394728629919205e+00,4.431101679801940918e-02
1.026571484846075855e+00,4.393063113093376160e-02
1.027738720276046180e+00,4.355452209711074829e-02
1.028896587743927560e+00,4.318350180983543396e-02
1.030045236423482224e+00,4.281713068485260010e-02
1.031184811953474556e+00,4.245562106370925903e-02
1.032315456548488664e+00,4.209857806563377380e-02
1.033437309105438295e+00,4.174439236521720886e-02
1.034550505305965373e+00,4.139449819922447205e-02
1.035655177714920772e+00,4.104739055037498474e-02
1.036751455875100980e+00,4.070353135466575623e-02
1.037839466398413624e+00,4.036285728216171265e-02
1.038919333053630822e+00,4.002618417143821716e-02
1.039991176850882493e+00,3.969329968094825745e-02
1.041055116123034141e+00,3.936542198061943054e-02
1.042111266604085262e+00,3.904239460825920105e-02
1.043159741504720683e+00,3.872292861342430115e-02
1.044200651585133643e+00,3.840672597289085388e-02
1.045234105225243848e+00,3.809309750795364380e-02
1.046260208492413968e+00,3.778120130300521851e-02
1.047279065206780269e+00,3.746912628412246704e-02
1.048290777004287300e+00,3.715748712420463562e-02
1.049295443397531669e+00,3.684357181191444397e-02
1.050293161834500388e+00,3.653833270072937012e-02
1.051284027755290840e+00,3.623926267027854919e-02
1.052268134646898501e+00,3.594481572508811951e-02
1.053245574096147053e+00,3.565449640154838562e-02
1.054216435840838351e+00,3.536837548017501831e-02
1.055180807819192212e+00,3.508462756872177124e-02
1.056138776217644626e+00,3.480501472949981689e-02
1.057090425517070775e+00,3.452839702367782593e-02
1.058035838537491502e+00,3.425441682338714600e-02
1.058975096481326261e+00,3.398340195417404175e-02
1.059908278975245866e+00,3.371592611074447632e-02
1.060835464110681414e+00,3.345268592238426208e-02
1.061756728483038481e+00,3.319235891103744507e-02
1.062672147229669184e+00,3.293638676404953003e-02
1.063581794066644548e+00,3.268350660800933838e-02
1.064485741324377122e+00,3.243346884846687317e-02
1.065384059982133369e+00,3.218583762645721436e-02
