# Iterations, training_loss
0.000000000000000000e+00,2.234293147921562195e-02
3.071428571428571558e+03,6.032798904925584793e-03
6.142857142857143117e+03,1.971527468413114548e-03
9.214285714285713766e+03,6.736910436302423477e-04
1.228571428571428623e+04,6.647835834883153439e-04
1.535714285714285870e+04,5.206238129176199436e-04
1.842857142857142753e+04,4.125746199861168861e-04
2.150000000000000000e+04,4.005781956948339939e-04
2.457142857142857247e+04,3.044132608920335770e-04
2.764285714285714494e+04,3.025614423677325249e-04
3.071428571428571740e+04,3.015027614310383797e-04
3.378571428571428987e+04,3.008270577993243933e-04
3.685714285714285506e+04,3.000130527652800083e-04
3.992857142857142753e+04,3.002609591931104660e-04
4.300000000000000000e+04,3.000150900334119797e-04
4.607142857142857247e+04,3.001364530064165592e-04
4.914285714285714494e+04,3.000989381689578295e-04
5.221428571428571740e+04,3.000872093252837658e-04
5.528571428571428987e+04,3.000760334543883801e-04
5.835714285714286234e+04,3.000676515512168407e-04
6.142857142857143481e+04,3.000599681399762630e-04
6.450000000000000000e+04,3.000538272317498922e-04
6.757142857142857974e+04,3.000487631652504206e-04
7.064285714285714494e+04,3.000446013174951077e-04
7.371428571428571013e+04,3.000410506501793861e-04
7.678571428571428987e+04,3.000380238518118858e-04
7.985714285714285506e+04,3.000354627147316933e-04
8.292857142857143481e+04,3.000331635121256113e-04
8.600000000000000000e+04,3.000310971401631832e-04
8.907142857142857974e+04,3.000294091179966927e-04
9.214285714285714494e+04,3.000175347551703453e-04
9.521428571428572468e+04,3.000263532157987356e-04
9.828571428571428987e+04,3.000251308549195528e-04
1.013571428571428551e+05,3.000238793902099133e-04
1.044285714285714348e+05,3.000227734446525574e-04
1.075000000000000000e+05,3.000218421220779419e-04
1.105714285714285797e+05,3.000209399033337831e-04
1.136428571428571449e+05,3.000201249960809946e-04
1.167142857142857247e+05,3.000193682964891195e-04
1.197857142857142899e+05,3.000186115968972445e-04
1.228571428571428696e+05,3.000179713126271963e-04
1.259285714285714348e+05,3.000173310283571482e-04
1.290000000000000000e+05,3.000167780555784702e-04
