# Iterations, training_loss
0.000000000000000000e+00,5.031359568238258362e-02
3.071428571428571558e+03,2.017297036945819855e-02
6.142857142857143117e+03,7.846392691135406494e-03
9.214285714285713766e+03,3.583719488233327866e-03
1.228571428571428623e+04,1.928083365783095360e-03
1.535714285714285870e+04,8.104986045509576797e-04
1.842857142857142753e+04,6.050172378309071064e-04
2.150000000000000000e+04,3.415848768781870604e-04
2.457142857142857247e+04,2.666245272848755121e-04
2.764285714285714494e+04,1.078688219422474504e-04
3.071428571428571740e+04,1.030681596603244543e-04
3.378571428571428987e+04,1.125254129874520004e-04
3.685714285714285506e+04,1.015342932078056037e-04
3.992857142857142753e+04,1.030850835377350450e-04
4.300000000000000000e+04,1.019379196804948151e-04
4.607142857142857247e+04,1.509735739091411233e-06
4.914285714285714494e+04,2.760799304724059766e-07
5.221428571428571740e+04,1.296607337053501396e-07
5.528571428571428987e+04,3.515683033583627548e-08
5.835714285714286234e+04,1.276449381748534506e-07
6.142857142857143481e+04,4.308514789386208577e-08
6.450000000000000000e+04,3.118537250657027471e-08
6.757142857142857974e+04,1.667965534579707310e-07
7.064285714285714494e+04,1.509696687662653858e-07
7.371428571428571013e+04,1.623924248406183324e-07
7.678571428571428987e+04,1.238716578200182994e-07
7.985714285714285506e+04,1.002054546006547753e-07
8.292857142857143481e+04,1.200932473466309602e-07
8.600000000000000000e+04,1.144996844004708692e-07
8.907142857142857974e+04,1.100453488334096619e-07
9.214285714285714494e+04,1.019846394001433509e-07
9.521428571428572468e+04,9.500266173745330889e-08
9.828571428571428987e+04,8.703260334641527152e-08
1.013571428571428551e+05,8.176409238558335346e-08
1.044285714285714348e+05,7.550081448925993755e-08
1.075000000000000000e+05,7.290609715937534929e-08
1.105714285714285797e+05,6.636643945512332721e-08
1.136428571428571449e+05,6.186264300822585938e-08
1.167142857142857247e+05,5.782125356290634954e-08
1.197857142857142899e+05,5.418022652747822576e-08
1.228571428571428696e+05,5.186719675975837163e-08
1.259285714285714348e+05,4.880566706333411275e-08
1.290000000000000000e+05,4.601778158530578366e-08
