# kappa, training_loss
0.000000000000000000e+00,1.249497532844543457e-01
3.459970999903025368e-01,1.142136976122856140e-01
4.392882483837314833e-01,1.238398924469947815e-01
4.954770483520107294e-01,1.110889464616775513e-01
5.358130844889228417e-01,9.835840016603469849e-02
5.673007019123013084e-01,9.509875625371932983e-02
5.931320921466929352e-01,8.983751386404037476e-02
6.150332073046308468e-01,9.243157505989074707e-02
6.340435987880856938e-01,9.049724042415618896e-02
6.508381429955700792e-01,8.998822420835494995e-02
6.658798917910679904e-01,8.472450077533721924e-02
6.795003830622029506e-01,8.046425133943557739e-02
6.919451643202706448e-01,8.250472694635391235e-02
7.034011781693219056e-01,8.749914914369583130e-02
7.140140453700205558e-01,8.087261766195297241e-02
7.238994119236227265e-01,7.944712787866592407e-02
7.331506502025554317e-01,7.599686831235885620e-02
7.418442354258601990e-01,7.279890775680541992e-02
7.500435918109720212e-01,7.321948558092117310e-02
7.578019030647590304e-01,8.219736069440841675e-02
7.651642048302911281e-01,7.986649870872497559e-02
7.721689685697596950e-01,7.136017084121704102e-02
7.788493183590663449e-01,7.728160917758941650e-02
7.852339781810349084e-01,7.243012636899948120e-02
7.913480183176561100e-01,7.113172858953475952e-02
7.972134498959448923e-01,7.608533650636672974e-02
8.028497032126297173e-01,8.034817874431610107e-02
8.082740160775525595e-01,6.631850451231002808e-02
8.135017517538759568e-01,7.598380744457244873e-02
8.185466612768605987e-01,6.540652364492416382e-02
8.234211014342408541e-01,6.873245537281036377e-02
8.281362171080554058e-01,7.555877417325973511e-02
8.327020947491383662e-01,6.438921391963958740e-02
8.371278923005143202e-01,7.077103853225708008e-02
8.414219497776521672e-01,6.974279880523681641e-02
8.455918838616780508e-01,6.464895606040954590e-02
8.496446692013558399e-01,6.718140095472335815e-02
8.535867086037681739e-01,6.571676582098007202e-02
8.574238938875732297e-01,6.614622473716735840e-02
8.611616588508715919e-01,7.160686701536178589e-02
8.648050255489255767e-01,6.416278332471847534e-02
8.683586448707967254e-01,6.355892866849899292e-02
8.718268322374798096e-01,6.075071543455123901e-02
8.752135991088799694e-01,6.001799553632736206e-02
8.785226808765922435e-01,6.275974214076995850e-02
8.817575616288503282e-01,6.395274400711059570e-02
8.849214961993266959e-01,6.649635732173919678e-02
8.880175298496019165e-01,6.521057337522506714e-02
8.910485158836647379e-01,6.570084393024444580e-02
8.940171314498134292e-01,6.654642522335052490e-02
8.969258917492816119e-01,6.400240212678909302e-02
8.997771628405593081e-01,6.116006150841712952e-02
9.025731732027386656e-01,7.472600787878036499e-02
9.053160241994733237e-01,6.688208878040313721e-02
9.080076995666425121e-01,6.532705575227737427e-02
9.106500740310287112e-01,6.119749322533607483e-02
9.132449211538010703e-01,6.378488987684249878e-02
9.157939204809992795e-01,6.059046089649200439e-02
9.182986640732160311e-01,6.835231184959411621e-02
9.207606624780552140e-01,5.933209136128425598e-02
9.231813502014704076e-01,6.240085512399673462e-02
9.255620907276087550e-01,6.228965520858764648e-02
9.279041811311424803e-01,5.848324671387672424e-02
9.302088563211560190e-01,6.304601579904556274e-02
9.324772929513492903e-01,6.145812943577766418e-02
9.347106130275569802e-01,6.864807009696960449e-02
9.369098872402693567e-01,6.880560517311096191e-02
9.390761380469374586e-01,6.629692018032073975e-02
9.412103425262667855e-01,6.094250455498695374e-02
9.433134350244534172e-01,6.945242732763290405e-02
9.453863096112928854e-01,6.328336894512176514e-02
