# kappa, accuracy
0.000000000000000000e+00,5.270000100135803223e-01
3.463163371987750261e-01,7.050000429153442383e-01
4.396226638125216302e-01,7.260000109672546387e-01
4.958168490872212342e-01,7.310000061988830566e-01
5.361556434476201227e-01,6.895000338554382324e-01
5.676449374037275675e-01,7.535000443458557129e-01
5.934774544733329993e-01,7.120000123977661133e-01
6.153793790408448316e-01,7.670000195503234863e-01
6.343903800756457434e-01,7.765000462532043457e-01
6.511853998647537667e-01,7.760000228881835938e-01
6.662275300657798383e-01,7.965000271797180176e-01
6.798483340197194469e-01,7.710000276565551758e-01
6.922933762767892185e-01,7.850000262260437012e-01
7.037496112771719492e-01,7.875000238418579102e-01
7.143626682598571698e-01,8.015000224113464355e-01
7.242481994584883953e-01,8.035000562667846680e-01
7.334995819294447550e-01,7.945000529289245605e-01
7.421932944800487819e-01,8.170000314712524414e-01
7.503927641230183632e-01,8.265000581741333008e-01
7.581511767751007991e-01,8.125000596046447754e-01
7.655135698494641705e-01,8.335000276565551758e-01
7.725184162428314627e-01,8.065000176429748535e-01
7.791988412059912550e-01,8.455000519752502441e-01
7.855835696932084167e-01,8.495000600814819336e-01
7.916976727966787974e-01,8.010000586509704590e-01
7.975631623245055257e-01,8.415000438690185547e-01
8.031994691501228578e-01,8.205000162124633789e-01
8.086238315749559868e-01,8.405000567436218262e-01
8.138516132837735340e-01,8.235000371932983398e-01
8.188965656754890743e-01,8.415000438690185547e-01
8.237710458531645186e-01,8.420000672340393066e-01
8.284861989736083121e-01,8.585000634193420410e-01
8.330521117281850518e-01,7.830000519752502441e-01
8.374779422713833910e-01,8.595000505447387695e-01
8.417720308053302514e-01,8.265000581741333008e-01
8.459419941765378148e-01,8.520000576972961426e-01
8.499948071808317573e-01,8.535000681877136230e-01
8.539368727564996542e-01,8.560000658035278320e-01
8.577740828396301920e-01,8.655000329017639160e-01
8.615118713337411860e-01,8.735000491142272949e-01
8.651552603889962612e-01,8.765000700950622559e-01
8.687089009801226558e-01,8.700000643730163574e-01
8.721771086056411271e-01,8.750000596046447754e-01
8.755638947957878893e-01,8.480000495910644531e-01
8.788729950061099361e-01,8.685000538825988770e-01
8.821078933831209001e-01,8.675000667572021484e-01
8.852718448137159024e-01,8.340000510215759277e-01
8.883678946081787764e-01,8.745000362396240234e-01
8.913988961151507739e-01,8.470000624656677246e-01
8.943675265239457994e-01,8.510000109672546387e-01
8.972763010735375078e-01,8.590000271797180176e-01
9.001275858572020949e-01,8.585000634193420410e-01
9.029236093861472412e-01,8.645000457763671875e-01
9.056664730537227204e-01,8.680000305175781250e-01
9.083581606233085415e-01,8.535000681877136230e-01
9.110005468471910062e-01,8.420000672340393066e-01
9.135954053102250949e-01,8.660000562667846680e-01
9.161444155804768785e-01,8.575000166893005371e-01
9.186491697390488653e-01,8.665000200271606445e-01
9.211111783526667596e-01,8.700000643730163574e-01
9.235318759451336401e-01,8.425000309944152832e-01
9.259126260172767520e-01,8.855000138282775879e-01
9.282547256593746132e-01,8.420000672340393066e-01
9.305594097951286336e-01,8.695000410079956055e-01
9.328278550919434364e-01,8.735000491142272949e-01
9.350611835685161966e-01,8.645000457763671875e-01
9.372604659274218486e-01,8.645000457763671875e-01
9.394267246374747860e-01,8.935000300407409668e-01
9.415609367880775071e-01,8.375000357627868652e-01
9.436640367355029202e-01,8.890000581741333008e-01
9.457369185590489558e-01,8.840000629425048828e-01
9.477804383432256730e-01,8.845000267028808594e-01
9.497954163005553063e-01,8.945000171661376953e-01
9.517826387481588268e-01,8.925000429153442383e-01
9.537428599500494819e-01,8.790000677108764648e-01
9.556768038359378936e-01,8.850000500679016113e-01
9.575851656063473216e-01,8.850000500679016113e-01
9.594686132329472983e-01,8.925000429153442383e-01
9.613277888622075995e-01,8.880000710487365723e-01
9.631633101297542021e-01,8.670000433921813965e-01
9.649757713921565117e-01,8.920000195503234863e-01
9.667657448822961630e-01,8.930000662803649902e-01
9.685337817939350114e-01,8.805000185966491699e-01
9.702804133006254217e-01,8.950000405311584473e-01
9.720061515136775299e-01,8.820000290870666504e-01
9.737114903835034641e-01,8.880000710487365723e-01
9.753969065483101275e-01,8.825000524520874023e-01
9.770628601337868480e-01,8.930000662803649902e-01
9.787097955071463184e-01,8.700000643730163574e-01
9.803381419886093573e-01,8.985000252723693848e-01
9.819483145231825416e-01,8.850000500679016113e-01
9.835407143153614973e-01,8.915000557899475098e-01
9.851157294291849054e-01,8.970000147819519043e-01
9.866737353558866497e-01,8.890000581741333008e-01
9.882150955512236656e-01,8.705000281333923340e-01
9.897401619444006204e-01,8.975000381469726562e-01
9.912492754203765521e-01,8.905000686645507812e-01
9.927427662772059236e-01,8.825000524520874023e-01
9.942209546599486414e-01,8.895000219345092773e-01
9.956841509725751216e-01,8.825000524520874023e-01
9.971326562691934514e-01,8.955000638961791992e-01
9.985667626258287743e-01,9.025000333786010742e-01
9.999867534939079761e-01,8.495000600814819336e-01
1.001392904036514819e+00,8.935000300407409668e-01
1.002785481448416949e+00,8.950000405311584473e-01
1.004164745260795355e+00,8.640000224113464355e-01
1.005530947631541494e+00,9.000000357627868652e-01
1.006884333621941296e+00,9.000000357627868652e-01
1.008225141460499685e+00,8.565000295639038086e-01
1.009553602794617477e+00,8.885000348091125488e-01
1.010869942930787246e+00,9.015000462532043457e-01
1.012174381063929207e+00,9.030000567436218262e-01
1.013467130496452429e+00,8.740000128746032715e-01
1.014748398847586941e+00,8.965000510215759277e-01
1.016018388253503879e+00,8.915000557899475098e-01
1.017277295558702166e+00,9.045000672340393066e-01
1.018525312499117819e+00,8.660000562667846680e-01
1.019762625877380868e+00,8.910000324249267578e-01
1.020989417730619575e+00,9.035000205039978027e-01
1.022205865491192522e+00,9.000000357627868652e-01
1.023412142140697645e+00,8.970000147819519043e-01
1.024608416357597918e+00,8.300000429153442383e-01
1.025794852658776790e+00,9.045000672340393066e-01
1.026971611535319129e+00,9.045000672340393066e-01
1.028138849582800107e+00,9.065000414848327637e-01
1.029296719626345613e+00,8.555000424385070801e-01
1.030445370840713082e+00,8.180000185966491699e-01
1.031584948865631235e+00,9.030000567436218262e-01
1.032715595916618545e+00,9.025000333786010742e-01
1.033837450891493370e+00,9.050000309944152832e-01
1.034950649472775597e+00,8.780000209808349609e-01
1.036055324226166308e+00,9.040000438690185547e-01
1.037151604695286888e+00,9.080000519752502441e-01
1.038239617492845213e+00,9.035000205039978027e-01
1.039319486388389446e+00,8.420000672340393066e-01
1.040391332392802459e+00,9.035000205039978027e-01
1.041455273839680729e+00,9.060000181198120117e-01
1.042511426463734292e+00,9.040000438690185547e-01
1.043559903476336315e+00,9.045000672340393066e-01
1.044600815638349944e+00,9.025000333786010742e-01
1.045634271330344589e+00,8.960000276565551758e-01
1.046660376620315303e+00,9.020000696182250977e-01
1.047679235329011638e+00,9.080000519752502441e-01
1.048690949092975666e+00,9.055000543594360352e-01
1.049695617425384198e+00,9.070000648498535156e-01
1.050693337774788239e+00,9.060000181198120117e-01
1.051684205581834286e+00,8.695000410079956055e-01
1.052668314334051392e+00,8.090000152587890625e-01
1.053645755618783042e+00,9.065000414848327637e-01
1.054616619174336689e+00,9.065000414848327637e-01
1.055580992939423979e+00,9.105000495910644531e-01
1.056538963100960293e+00,9.035000205039978027e-01
1.057490614140287111e+00,9.055000543594360352e-01
1.058436028877879576e+00,9.080000519752502441e-01
1.059375288516599456e+00,9.100000262260437012e-01
1.060308472683548775e+00,9.085000157356262207e-01
1.061235659470578518e+00,9.075000286102294922e-01
1.062156925473504154e+00,9.065000414848327637e-01
1.063072345830075927e+00,8.870000243186950684e-01
1.063981994256754549e+00,8.265000581741333008e-01
1.064885943084331377e+00,9.035000205039978027e-01
1.065784263292442580e+00,9.060000181198120117e-01
1.066677024543013719e+00,9.080000519752502441e-01
1.067564295212676262e+00,9.085000157356262207e-01
1.068446142424193779e+00,9.070000648498535156e-01
1.069322632076932456e+00,9.080000519752502441e-01
1.070193828876413011e+00,9.075000286102294922e-01
1.071059796362974659e+00,9.075000286102294922e-01
1.071920596939583969e+00,9.100000262260437012e-01
1.072776291898819734e+00,9.080000519752502441e-01
1.073626941449060679e+00,9.080000519752502441e-01
1.074472604739908688e+00,9.045000672340393066e-01
1.075313339886867503e+00,9.095000624656677246e-01
1.076149203995308890e+00,9.080000519752502441e-01
1.076980253183748459e+00,9.075000286102294922e-01
1.077806542606453366e+00,9.090000391006469727e-01
1.078628126475408511e+00,9.085000157356262207e-01
1.079445058081658582e+00,9.060000181198120117e-01
1.080257389816050573e+00,9.065000414848327637e-01
1.081065173189395878e+00,8.590000271797180176e-01
1.081868458852069503e+00,7.640000581741333008e-01
1.082667296613068375e+00,9.080000519752502441e-01
1.083461735458543851e+00,9.105000495910644531e-01
1.084251823569826634e+00,9.110000729560852051e-01
1.085037608340962967e+00,9.090000391006469727e-01
1.085819136395771212e+00,9.085000157356262207e-01
1.086596453604444790e+00,9.105000495910644531e-01
1.087369605099705483e+00,9.085000157356262207e-01
1.088138635292528189e+00,9.115000367164611816e-01
1.088903587887449342e+00,9.095000624656677246e-01
1.089664505897470326e+00,9.090000391006469727e-01
1.090421431658570084e+00,9.090000391006469727e-01
1.091174406843840483e+00,9.095000624656677246e-01
1.091923472477252632e+00,9.090000391006469727e-01
1.092668668947068822e+00,9.080000519752502441e-01
1.093410036018910070e+00,9.105000495910644531e-01
1.094147612848489270e+00,9.070000648498535156e-01
1.094881437994019491e+00,9.095000624656677246e-01
1.095611549428310294e+00,9.070000648498535156e-01
1.096337984550558309e+00,9.055000543594360352e-01
1.097060780197842478e+00,9.105000495910644531e-01
1.097779972656332426e+00,9.080000519752502441e-01
1.098495597672220159e+00,9.090000391006469727e-01
1.099207690462380649e+00,9.090000391006469727e-01
1.099916285724771514e+00,9.100000262260437012e-01
1.100621417648577571e+00,9.080000519752502441e-01
1.101323119924109362e+00,9.090000391006469727e-01
1.102021425752462980e+00,9.100000262260437012e-01
1.102716367854944757e+00,9.095000624656677246e-01
1.103407978482272567e+00,9.105000495910644531e-01
1.104096289423556421e+00,9.100000262260437012e-01
1.104781332015065676e+00,9.090000391006469727e-01
1.105463137148790187e+00,9.105000495910644531e-01
1.106141735280798288e+00,9.105000495910644531e-01
1.106817156439401595e+00,9.080000519752502441e-01
1.107489430233126626e+00,9.085000157356262207e-01
1.108158585858504797e+00,9.070000648498535156e-01
1.108824652107678999e+00,9.095000624656677246e-01
1.109487657375838987e+00,9.100000262260437012e-01
1.110147629668484237e+00,9.090000391006469727e-01
1.110804596608522044e+00,9.085000157356262207e-01
1.111458585443205083e+00,9.080000519752502441e-01
1.112109623050912655e+00,9.095000624656677246e-01
1.112757735947778936e+00,9.085000157356262207e-01
1.113402950294172244e+00,9.100000262260437012e-01
1.114045291901032853e+00,9.070000648498535156e-01
1.114684786236067815e+00,9.095000624656677246e-01
1.115321458429809232e+00,9.085000157356262207e-01
1.115955333281540840e+00,9.105000495910644531e-01
1.116586435265094490e+00,9.090000391006469727e-01
1.117214788534518499e+00,9.080000519752502441e-01
1.117840416929626768e+00,9.080000519752502441e-01
1.118463343981424440e+00,9.085000157356262207e-01
1.119083592917419212e+00,9.085000157356262207e-01
1.119701186666818282e+00,9.090000391006469727e-01
1.120316147865613843e+00,9.090000391006469727e-01
1.120928498861562650e+00,9.085000157356262207e-01
1.121538261719057239e+00,9.080000519752502441e-01
1.122145458223897885e+00,9.090000391006469727e-01
1.122750109887962422e+00,9.105000495910644531e-01
1.123352237953779698e+00,9.080000519752502441e-01
1.123951863399006434e+00,9.085000157356262207e-01
1.124549006940814388e+00,9.080000519752502441e-01
1.125143689040183803e+00,9.080000519752502441e-01
1.125735929906110711e+00,9.095000624656677246e-01
1.126325749499727857e+00,9.090000391006469727e-01
1.126913167538341032e+00,9.085000157356262207e-01
1.127498203499385010e+00,9.095000624656677246e-01
1.128080876624298012e+00,9.080000519752502441e-01
1.128661205922319333e+00,9.090000391006469727e-01
1.129239210174210140e+00,9.095000624656677246e-01
1.129814907935900559e+00,9.090000391006469727e-01
1.130388317542064147e+00,9.075000286102294922e-01
1.130959457109622202e+00,9.080000519752502441e-01
1.131528344541177233e+00,9.090000391006469727e-01
1.132094997528380054e+00,9.100000262260437012e-01
1.132659433555233353e+00,9.075000286102294922e-01
1.133221669901325335e+00,9.080000519752502441e-01
1.133781723645006512e+00,9.090000391006469727e-01
1.134339611666500991e+00,9.090000391006469727e-01
1.134895350650960033e+00,9.095000624656677246e-01
1.135448957091456101e+00,9.095000624656677246e-01
1.136000447291919402e+00,9.080000519752502441e-01
1.136549837370019578e+00,9.085000157356262207e-01
1.137097143259991894e+00,9.080000519752502441e-01
1.137642380715410573e+00,9.080000519752502441e-01
1.138185565311908842e+00,9.090000391006469727e-01
1.138726712449849465e+00,9.065000414848327637e-01
1.139265837356944644e+00,9.065000414848327637e-01
1.139802955090826408e+00,9.065000414848327637e-01
1.140338080541570820e+00,9.065000414848327637e-01
1.140871228434174878e+00,9.090000391006469727e-01
1.141402413330986798e+00,9.080000519752502441e-01
1.141931649634094104e+00,9.085000157356262207e-01
1.142458951587665084e+00,9.095000624656677246e-01
1.142984333280250064e+00,9.080000519752502441e-01
1.143507808647040269e+00,9.080000519752502441e-01
1.144029391472084489e+00,9.070000648498535156e-01
1.144549095390468452e+00,9.075000286102294922e-01
1.145066933890451999e+00,9.080000519752502441e-01
1.145582920315571407e+00,9.075000286102294922e-01
1.146097067866699959e+00,9.085000157356262207e-01
1.146609389604077434e+00,9.065000414848327637e-01
1.147119898449298292e+00,9.075000286102294922e-01
1.147628607187267891e+00,9.070000648498535156e-01
1.148135528468124722e+00,9.080000519752502441e-01
1.148640674809126017e+00,9.075000286102294922e-01
1.149144058596503593e+00,9.095000624656677246e-01
1.149645692087286397e+00,9.075000286102294922e-01
1.150145587411090409e+00,9.075000286102294922e-01
1.150643756571878340e+00,9.070000648498535156e-01
1.151140211449691142e+00,9.075000286102294922e-01
1.151634963802345313e+00,9.070000648498535156e-01
1.152128025267105116e+00,9.070000648498535156e-01
1.152619407362325710e+00,9.070000648498535156e-01
1.153109121489065636e+00,9.070000648498535156e-01
1.153597178932676215e+00,9.080000519752502441e-01
1.154083590864360742e+00,9.075000286102294922e-01
1.154568368342708817e+00,9.075000286102294922e-01
1.155051522315205359e+00,9.070000648498535156e-01
1.155533063619713641e+00,9.080000519752502441e-01
1.156013002985934346e+00,9.085000157356262207e-01
1.156491351036839754e+00,9.090000391006469727e-01
1.156968118290083947e+00,9.070000648498535156e-01
1.157443315159392805e+00,9.070000648498535156e-01
1.157916951955925589e+00,9.080000519752502441e-01
1.158389038889620082e+00,9.090000391006469727e-01
1.158859586070510872e+00,9.075000286102294922e-01
1.159328603510030975e+00,9.085000157356262207e-01
1.159796101122287926e+00,9.085000157356262207e-01
1.160262088725321661e+00,9.080000519752502441e-01
1.160726576042342639e+00,9.085000157356262207e-01
1.161189572702947981e+00,9.095000624656677246e-01
1.161651088244319840e+00,9.080000519752502441e-01
1.162111132112404910e+00,9.085000157356262207e-01
1.162569713663072601e+00,9.075000286102294922e-01
1.163026842163258356e+00,9.080000519752502441e-01
1.163482526792087413e+00,9.085000157356262207e-01
1.163936776641978588e+00,9.080000519752502441e-01
1.164389600719735629e+00,9.090000391006469727e-01
1.164841007947616802e+00,9.085000157356262207e-01
1.165291007164390935e+00,9.080000519752502441e-01
1.165739607126374588e+00,9.085000157356262207e-01
1.166186816508455681e+00,9.085000157356262207e-01
1.166632643905099131e+00,9.085000157356262207e-01
1.167077097831338728e+00,9.080000519752502441e-01
1.167520186723752129e+00,9.080000519752502441e-01
1.167961918941421873e+00,9.085000157356262207e-01
1.168402302766882617e+00,9.080000519752502441e-01
1.168841346407050841e+00,9.085000157356262207e-01
1.169279057994145221e+00,9.090000391006469727e-01
1.169715445586588354e+00,9.090000391006469727e-01
1.170150517169897819e+00,9.090000391006469727e-01
1.170584280657562370e+00,9.090000391006469727e-01
1.171016743891906797e+00,9.085000157356262207e-01
1.171447914644941468e+00,9.085000157356262207e-01
1.171877800619200549e+00,9.090000391006469727e-01
