# kappa, training_loss
0.000000000000000000e+00,1.244852095842361450e-01
3.462790630727211605e-01,1.034250855445861816e-01
4.395836192915556495e-01,9.112069010734558105e-02
4.957771764610702792e-01,8.916219323873519897e-02
5.361156491292300430e-01,9.569789469242095947e-02
5.676047475535948017e-01,8.162845671176910400e-02
5.934371332030624613e-01,9.536999464035034180e-02
6.153389633716012108e-01,7.827817648649215698e-02
6.343498933165941933e-01,7.705925405025482178e-02
6.511448576404911259e-01,7.814189791679382324e-02
6.661869433598099910e-01,7.339918613433837891e-02
6.798077108469593455e-01,7.844304293394088745e-02
6.922527226649417553e-01,7.621011883020401001e-02
7.037089318735220145e-01,7.440192252397537231e-02
7.143219667228862813e-01,7.068009674549102783e-02
7.242074787198148345e-01,6.967443972826004028e-02
7.334588443744131103e-01,7.138339430093765259e-02
7.421525420755155089e-01,6.723355501890182495e-02
7.503519985098370260e-01,6.377479434013366699e-02
7.581103993363953464e-01,6.768132001161575317e-02
7.654727817619195740e-01,6.368944793939590454e-02
7.724776185158291897e-01,7.029534131288528442e-02
7.791580347118910455e-01,6.124002113938331604e-02
7.855427551910753037e-01,5.667580664157867432e-02
7.916568509510872875e-01,6.712118536233901978e-02
7.975223337205979979e-01,5.807568505406379700e-02
8.031586343057833810e-01,6.177883595228195190e-02
8.085829909507373792e-01,6.002335622906684875e-02
8.138107672910592783e-01,5.838150903582572937e-02
8.188557146832512457e-01,5.738746002316474915e-02
8.237301901936002757e-01,5.515295639634132385e-02
8.284453389468698914e-01,4.830441623926162720e-02
8.330112476063731286e-01,7.245980948209762573e-02
8.374370743019362573e-01,4.813867434859275818e-02
8.417311592139172793e-01,5.923243984580039978e-02
8.459011191695405829e-01,4.839130118489265442e-02
8.499539289474806747e-01,5.319091305136680603e-02
8.538959914707234811e-01,4.836664348840713501e-02
8.577331986616623105e-01,4.835903272032737732e-02
8.614709844115208126e-01,4.630118608474731445e-02
8.651143708593947990e-01,4.970441013574600220e-02
8.686680089700208329e-01,4.954123124480247498e-02
8.721362142328781264e-01,4.371336847543716431e-02
8.755229981700005659e-01,5.022728815674781799e-02
8.788320962294770000e-01,4.578029736876487732e-02
8.820669925510239429e-01,4.530476778745651245e-02
8.852309420153298136e-01,5.741413310170173645e-02
8.883269899269982117e-01,4.186271503567695618e-02
8.913579896294629989e-01,5.086856335401535034e-02
8.943266183072541287e-01,4.442783072590827942e-02
8.972353911949445537e-01,4.352292418479919434e-02
9.000866743817532711e-01,4.022596776485443115e-02
9.028826963751424017e-01,4.241678863763809204e-02
9.056255585649986006e-01,4.278776422142982483e-02
9.083172447114945536e-01,4.462916776537895203e-02
9.109596295639423857e-01,4.898315668106079102e-02
9.135544867044345096e-01,4.364312812685966492e-02
9.161034956984680511e-01,4.690424352884292603e-02
9.186082486247539869e-01,3.851369395852088928e-02
9.210702560477876943e-01,3.542096912860870361e-02
9.234909524892906951e-01,4.679801315069198608e-02
9.258717014481445684e-01,3.745115175843238831e-02
9.282138000128085098e-01,4.536227136850357056e-02
9.305184831052786265e-01,3.646253794431686401e-02
9.327869273913613757e-01,3.457586094737052917e-02
9.350202548882537990e-01,4.114634171128273010e-02
9.372195362971218469e-01,3.870309144258499146e-02
9.393857940854543065e-01,3.427621349692344666e-02
9.415200053414061188e-01,5.615108087658882141e-02
9.436231044200752427e-01,3.330460563302040100e-02
9.456959853996512733e-01,3.698348253965377808e-02
9.477395043635984395e-01,3.487372770905494690e-02
9.497544815234510995e-01,3.186995163559913635e-02
9.517417031953965267e-01,3.381425514817237854e-02
9.537019236425645641e-01,3.993758186697959900e-02
9.556358667938298357e-01,3.578857704997062683e-02
9.575442278489226799e-01,3.195616602897644043e-02
9.594276747787616744e-01,3.026503138244152069e-02
9.612868497291040537e-01,3.397610038518905640e-02
9.631223703348986698e-01,4.436893761157989502e-02
9.649348309520723310e-01,2.991882339119911194e-02
9.667248038128952725e-01,3.048110380768775940e-02
9.684928401105479256e-01,3.239336609840393066e-02
9.702394710180293202e-01,2.816267870366573334e-02
9.719652086461223472e-01,3.752889856696128845e-02
9.736705469447367589e-01,3.188152983784675598e-02
9.753559625516005083e-01,3.462276607751846313e-02
9.770219155919458442e-01,2.744061499834060669e-02
9.786688504325494753e-01,4.087381809949874878e-02
9.802971963932151089e-01,2.352217212319374084e-02
9.819073684185514184e-01,3.123704902827739716e-02
9.834997677126733340e-01,2.792982943356037140e-02
9.850747823392550506e-01,2.360970340669155121e-02
9.866327877891823972e-01,2.830179035663604736e-02
9.881741475178784651e-01,4.024742916226387024e-02
9.896992134542280661e-01,2.279512397944927216e-02
9.912083264828840390e-01,2.917839586734771729e-02
9.927018169016071925e-01,3.442901745438575745e-02
9.941800048551753255e-01,2.409848943352699280e-02
9.956432007472888479e-01,3.137956187129020691e-02
9.970917056317959437e-01,2.016033977270126343e-02
9.985258115844728444e-01,2.088556252419948578e-02
9.999458020565064054e-01,3.878384083509445190e-02
1.001351952210750351e+00,2.321172505617141724e-02
1.002744529241751392e+00,2.402071841061115265e-02
1.004123792680476468e+00,3.215731307864189148e-02
1.005489994684612975e+00,1.879329048097133636e-02
1.006843380315249448e+00,2.135596796870231628e-02
1.008184187800700515e+00,3.057489544153213501e-02
1.009512648788184030e+00,2.381456084549427032e-02
1.010828988584016264e+00,1.708340086042881012e-02
1.012133426382947565e+00,1.612257212400436401e-02
1.013426175487222469e+00,2.845538221299648285e-02
1.014707443515913576e+00,2.197213843464851379e-02
1.015977432605039033e+00,2.437577024102210999e-02
1.017236339598950545e+00,1.955503225326538086e-02
1.018484356233441801e+00,2.758836187422275543e-02
1.019721669311005385e+00,2.337960898876190186e-02
1.020948460868636998e+00,1.689949072897434235e-02
1.022164908338566880e+00,1.384346093982458115e-02
1.023371184702268843e+00,1.896510273218154907e-02
1.024567458638086181e+00,5.166875943541526794e-02
1.025753894662786214e+00,1.405547745525836945e-02
1.026930653267341675e+00,1.275632064789533615e-02
1.028097891047219159e+00,1.466256193816661835e-02
1.029255760827439303e+00,3.299173712730407715e-02
1.030404411782658070e+00,5.318974331021308899e-02
1.031543989552505147e+00,1.622329838573932648e-02
1.032674636352403974e+00,1.444451790302991867e-02
1.033796491080080315e+00,1.299006119370460510e-02
1.034909689417963685e+00,2.279523760080337524e-02
1.036014363931669235e+00,1.198761444538831711e-02
1.037110644164733309e+00,8.716311305761337280e-03
1.038198656729782066e+00,1.316063944250345230e-02
1.039278525396284403e+00,4.211539030075073242e-02
1.040350371175046584e+00,1.550994534045457840e-02
1.041414312399590036e+00,1.270136144012212753e-02
1.042470464804551744e+00,1.249445509165525436e-02
1.043518941601234928e+00,1.100960932672023773e-02
1.044559853550434347e+00,1.654161140322685242e-02
1.045593309032652796e+00,1.863751001656055450e-02
1.046619414115820934e+00,1.097318530082702637e-02
1.047638272620625255e+00,9.650464169681072235e-03
1.048649986183546767e+00,1.061926223337650299e-02
1.049654654317703439e+00,9.915472939610481262e-03
1.050652374471587880e+00,1.013734098523855209e-02
1.051643242085790853e+00,3.170622885227203369e-02
1.052627350647787008e+00,6.185987964272499084e-02
1.053604791744866542e+00,1.327121071517467499e-02
1.054575655115285171e+00,9.218944236636161804e-03
1.055540028697704358e+00,8.785231038928031921e-03
1.056497998678990413e+00,1.058282796293497086e-02
1.057449649540436853e+00,1.219891384243965149e-02
1.058395064102472860e+00,8.956884965300559998e-03
1.059334323567914682e+00,7.997716777026653290e-03
1.060267507563820377e+00,6.778098177164793015e-03
1.061194694181998077e+00,6.857644300907850266e-03
1.062115960018221061e+00,7.395324762910604477e-03
1.063031380210199384e+00,1.441002730280160904e-02
1.063941028474353123e+00,5.521811917424201965e-02
1.064844977141435889e+00,9.059922769665718079e-03
1.065743297191044991e+00,7.588572800159454346e-03
1.066636058285070021e+00,6.543513387441635132e-03
1.067523328800106031e+00,7.994898594915866852e-03
1.068405175858881284e+00,5.491785239428281784e-03
1.069281665360728439e+00,6.691033486276865005e-03
1.070152862011134021e+00,5.572359543293714523e-03
1.071018829350405266e+00,4.768637940287590027e-03
1.071879629781476329e+00,4.872906021773815155e-03
1.072735324596895135e+00,5.425703246146440506e-03
1.073585974005010213e+00,5.343899596482515335e-03
1.074431637155393693e+00,5.342208780348300934e-03
1.075272372163520229e+00,5.216245073825120926e-03
1.076108236134733609e+00,5.318436771631240845e-03
1.076939285187521467e+00,4.769692197442054749e-03
1.077765574476124089e+00,4.224636126309633255e-03
1.078587158212499952e+00,3.928338643163442612e-03
1.079404089687667989e+00,5.070510320365428925e-03
1.080216421292450102e+00,5.203944630920886993e-03
1.081024204537632594e+00,3.487318754196166992e-02
1.081827490073566711e+00,9.468883275985717773e-02
1.082626327709225844e+00,9.095180779695510864e-03
1.083420766430738036e+00,4.819939844310283661e-03
1.084210854419412007e+00,5.469521041959524155e-03
1.084996639069271129e+00,4.367602057754993439e-03
1.085778167004112671e+00,4.948881454765796661e-03
1.086555484094108737e+00,5.728747695684432983e-03
1.087328635471960681e+00,3.431587945669889450e-03
1.088097665548622750e+00,2.993052126839756966e-03
1.088862618028612061e+00,2.924511907622218132e-03
1.089623535924910236e+00,3.415704006329178810e-03
1.090380461573477566e+00,4.620818421244621277e-03
1.091133436647387045e+00,3.784534987062215805e-03
1.091882502170591573e+00,3.572998801246285439e-03
1.092627698531335900e+00,4.156253766268491745e-03
1.093369065495223280e+00,2.587909344583749771e-03
1.094106642217949510e+00,3.946719225496053696e-03
1.094840467257711225e+00,4.432171117514371872e-03
1.095570578587301336e+00,2.207887358963489532e-03
1.096297013605900483e+00,4.088610410690307617e-03
1.097019809150571401e+00,2.413450041785836220e-03
1.097739001507468837e+00,2.098793629556894302e-03
1.098454626422769254e+00,3.719713073223829269e-03
1.099166719113333412e+00,3.061712952330708504e-03
1.099875314277103389e+00,3.128922078758478165e-03
1.100580446103250454e+00,2.264054492115974426e-03
1.101282148282071160e+00,1.708111376501619816e-03
1.101980454014647393e+00,3.232211340218782425e-03
1.102675396022272158e+00,2.170083113014698029e-03
1.103367006555650454e+00,2.409337554126977921e-03
1.104055317403879188e+00,3.235134296119213104e-03
1.104740359903214841e+00,2.898555016145110130e-03
1.105422164945634833e+00,2.799344481900334358e-03
1.106100762987195507e+00,3.366635413840413094e-03
1.106776184056196044e+00,1.930574304424226284e-03
1.107448457761151639e+00,3.760959254577755928e-03
1.108117613298581716e+00,2.923337044194340706e-03
1.108783679460618288e+00,3.749551484361290932e-03
1.109446684642439784e+00,2.617582213133573532e-03
1.110106656849534357e+00,2.552432939410209656e-03
1.110763623704798864e+00,2.573387464508414268e-03
1.111417612455475767e+00,9.940151358023285866e-04
1.112068649979933710e+00,2.099186414852738380e-03
1.112716762794296210e+00,2.205656608566641808e-03
1.113361977058922259e+00,2.206504344940185547e-03
1.114004318584742137e+00,2.187140053138136864e-03
1.114643812839453130e+00,3.381803398951888084e-03
1.115280484953578011e+00,3.099904162809252739e-03
1.115914359726391414e+00,2.136760856956243515e-03
1.116545461631715419e+00,2.721227705478668213e-03
1.117173814823589906e+00,2.117021242156624794e-03
1.117799443141819893e+00,2.669445937499403954e-03
1.118422370117401643e+00,2.325701992958784103e-03
1.119042618977834413e+00,1.598502974957227707e-03
1.119660212652316966e+00,1.671357196755707264e-03
1.120275173776833721e+00,2.633969066664576530e-03
1.120887524699132332e+00,2.083292696624994278e-03
1.121497287483598448e+00,3.483119886368513107e-03
1.122104483916023909e+00,2.570195822045207024e-03
1.122709135508278999e+00,2.462100703269243240e-03
1.123311263502884794e+00,2.121364697813987732e-03
1.123910888877491132e+00,2.989166881889104843e-03
1.124508032349261999e+00,2.468993188813328743e-03
1.125102714379170310e+00,1.794882002286612988e-03
1.125694955176205436e+00,2.021956490352749825e-03
1.126284774701492797e+00,1.995559083297848701e-03
1.126872192672331519e+00,2.880041720345616341e-03
1.127457228566149716e+00,2.915433142334222794e-03
1.128039901624378727e+00,2.290619071573019028e-03
1.128620230856251405e+00,1.909406273625791073e-03
1.129198235042522702e+00,2.098136581480503082e-03
1.129773932739116304e+00,2.968403976410627365e-03
1.130347342280699552e+00,2.659143880009651184e-03
1.130918481784187302e+00,1.187267596833407879e-03
1.131487369152176292e+00,1.432691933587193489e-03
1.132054022076312005e+00,1.954844221472740173e-03
1.132618458040590026e+00,1.441644271835684776e-03
1.133180694324593896e+00,1.890877028927206993e-03
1.133740748006667909e+00,1.603407901711761951e-03
1.134298635967031066e+00,2.039459766820073128e-03
1.134854374890828632e+00,1.618557027541100979e-03
1.135407981271127964e+00,2.426556311547756195e-03
1.135959471411853716e+00,1.062281662598252296e-03
1.136508861430670647e+00,2.175566740334033966e-03
1.137056167261808692e+00,1.366593409329652786e-03
1.137601404658836524e+00,2.267418196424841881e-03
1.138144589197383150e+00,2.520057838410139084e-03
1.138685736277806226e+00,1.673400867730379105e-03
1.139224861127812627e+00,1.358197536319494247e-03
1.139761978805029941e+00,1.188904978334903717e-03
1.140297104199529565e+00,1.383844180963933468e-03
1.140830252036303838e+00,1.585147576406598091e-03
1.141361436877696311e+00,8.485034340992569923e-04
1.141890673125789846e+00,2.272050594910979271e-03
1.142417975024748733e+00,1.042840769514441490e-03
1.142943356663118415e+00,1.040923059917986393e-03
1.143466831976086118e+00,2.522335154935717583e-03
1.143988414747696414e+00,1.526478910818696022e-03
1.144508118613030589e+00,2.023978391662240028e-03
1.145025957060344712e+00,1.252735848538577557e-03
1.145541943433170617e+00,1.553968992084264755e-03
1.146056090932377813e+00,2.582189859822392464e-03
1.146568412618201860e+00,1.768156653270125389e-03
1.147078921412233443e+00,1.773959258571267128e-03
1.147587630099374589e+00,2.265766263008117676e-03
1.148094551329759128e+00,1.792093389667570591e-03
1.148599697620640958e+00,1.492803916335105896e-03
1.149103081358248346e+00,1.753519172780215740e-03
1.149604714799606464e+00,2.972397953271865845e-03
1.150104610074327516e+00,1.980849308893084526e-03
1.150602779186371327e+00,9.654312161728739738e-04
1.151099234015774631e+00,1.010968582704663277e-03
1.151593986320350593e+00,1.986681018024682999e-03
1.152087047737360592e+00,1.708767260424792767e-03
1.152578429785155789e+00,1.213879440911114216e-03
1.153068143864792061e+00,1.976179890334606171e-03
1.153556201261616954e+00,1.466927933506667614e-03
1.154042613146830654e+00,1.014265581034123898e-03
1.154527390579019652e+00,2.688719425350427628e-03
1.155010544505665981e+00,1.458598650060594082e-03
1.155492085764629584e+00,1.439865445718169212e-03
1.155972025085608035e+00,1.468959380872547626e-03
1.156450373091570727e+00,9.472992969676852226e-04
1.156927140300169077e+00,1.481763552874326706e-03
1.157402337125125413e+00,9.624822996556758881e-04
1.157875973877596332e+00,1.976915635168552399e-03
1.158348060767516730e+00,1.455283723771572113e-03
1.158818607904918974e+00,1.436275546438992023e-03
1.159287625301232527e+00,2.425807062536478043e-03
1.159755122870562483e+00,1.951240818016231060e-03
1.160221110430946112e+00,1.953451195731759071e-03
1.160685597705590988e+00,1.935986103489995003e-03
1.161148594324092231e+00,1.957015832886099815e-03
1.161610109823628889e+00,2.675474388524889946e-03
1.162070153650144766e+00,2.433580346405506134e-03
1.162528735159507276e+00,1.914778375066816807e-03
1.162985863618649640e+00,1.418320229277014732e-03
1.163441548206693543e+00,1.413877587765455246e-03
1.163895798016056249e+00,2.178612863644957542e-03
1.164348622053538840e+00,2.672861795872449875e-03
1.164800029241397139e+00,1.690100179985165596e-03
1.165250028418397532e+00,1.422306173481047153e-03
1.165698628340854581e+00,2.655663760378956795e-03
1.166145837683653763e+00,1.940794172696769238e-03
1.166591665041257775e+00,1.667961711063981056e-03
1.167036118928697963e+00,2.413148991763591766e-03
1.167479207782549988e+00,1.406372874043881893e-03
1.167920939961894389e+00,1.414460246451199055e-03
1.168361323749262715e+00,1.913509680889546871e-03
1.168800367351570779e+00,2.902050968259572983e-03
1.169238078901033928e+00,1.410853117704391479e-03
1.169674466456073203e+00,1.401248737238347530e-03
1.170109538002203964e+00,1.652481383644044399e-03
1.170543301452913409e+00,2.158742630854249001e-03
1.170975764650523887e+00,2.397869480773806572e-03
1.171406935367043545e+00,1.395058585330843925e-03
1.171836821305005216e+00,1.405470888130366802e-03
1.172265430098290873e+00,1.663543982431292534e-03
1.172692769312945860e+00,2.152231754735112190e-03
1.173118846447980257e+00,1.896531903184950352e-03
1.173543668936157580e+00,1.385660609230399132e-03
1.173967244144774380e+00,1.140229520387947559e-03
1.174389579376425186e+00,1.147948205471038818e-03
1.174810681869758344e+00,2.136304043233394623e-03
1.175230558800221869e+00,2.129389205947518349e-03
1.175649217280794634e+00,8.888543816283345222e-04
