# kappa, accuracy
0.000000000000000000e+00,5.000000000000000000e-01
3.459912837801495389e-01,6.830000281333923340e-01
4.392821553138004931e-01,7.085000276565551758e-01
4.954708570437548198e-01,7.160000205039978027e-01
5.358068428639307657e-01,6.060000061988830566e-01
5.672944297027771032e-01,6.269999742507934570e-01
5.931257993804159856e-01,7.260000109672546387e-01
6.150268997722673214e-01,6.330000162124633789e-01
6.340372801356004562e-01,7.250000238418579102e-01
6.508318156669564702e-01,6.485000252723693848e-01
6.658735575043777111e-01,7.304999828338623047e-01
6.794940430711479129e-01,7.459999918937683105e-01
6.919388195677240727e-01,7.609999775886535645e-01
7.033948293822314124e-01,6.694999933242797852e-01
7.140076931206631450e-01,7.415000200271606445e-01
7.238930566705783498e-01,6.579999923706054688e-01
7.331442923189536165e-01,6.710000038146972656e-01
7.418378752193691694e-01,6.905000209808349609e-01
7.500372295382652377e-01,6.644999980926513672e-01
7.577955389421945354e-01,7.649999856948852539e-01
7.651578390419346842e-01,6.380000114440917969e-01
7.721626012735065547e-01,6.855000257492065430e-01
7.788429496913780170e-01,6.934999823570251465e-01
7.852276082606506336e-01,7.469999790191650391e-01
7.913416472485342856e-01,7.335000038146972656e-01
7.972070777696184107e-01,6.205000281333923340e-01
8.028433301101105535e-01,7.425000071525573730e-01
8.082676420708846399e-01,6.370000243186950684e-01
8.134953769074115826e-01,6.894999742507934570e-01
8.185402856483177114e-01,7.580000162124633789e-01
8.234147250755849967e-01,7.500000000000000000e-01
8.281298400662391312e-01,6.815000176429748535e-01
8.326957170667261821e-01,7.425000071525573730e-01
8.371215140162131529e-01,6.115000247955322266e-01
8.414155709267634453e-01,7.340000271797180176e-01
8.455855044764858386e-01,7.570000290870666504e-01
8.496382893114615698e-01,7.465000152587890625e-01
8.535803282363796374e-01,7.415000200271606445e-01
8.574175130677554879e-01,7.195000052452087402e-01
8.611552776017672439e-01,6.290000081062316895e-01
8.647986438919450514e-01,7.120000123977661133e-01
8.683522628257882570e-01,6.269999742507934570e-01
8.718204498228769861e-01,6.945000290870666504e-01
8.752072163418332940e-01,7.014999985694885254e-01
8.785162977730855971e-01,6.934999823570251465e-01
8.817511782038045531e-01,7.674999833106994629e-01
8.849151124666911894e-01,6.309999823570251465e-01
8.880111458224378973e-01,7.114999890327453613e-01
8.910421315742187431e-01,7.220000028610229492e-01
8.940107468695837056e-01,6.990000009536743164e-01
8.969195069090779571e-01,7.294999957084655762e-01
8.997707777505566940e-01,7.105000019073486328e-01
9.025667878725263105e-01,7.609999775886535645e-01
9.053096386380987681e-01,7.375000119209289551e-01
9.080013137826515868e-01,6.470000147819519043e-01
9.106436880325017302e-01,6.840000152587890625e-01
9.132385349483864712e-01,7.659999728202819824e-01
9.157875340759434879e-01,7.220000028610229492e-01
9.182922774753913275e-01,6.564999818801879883e-01
9.207542756939851580e-01,6.504999995231628418e-01
9.231749632373529302e-01,7.245000004768371582e-01
9.255557035893373641e-01,7.620000243186950684e-01
9.278977938243260226e-01,6.405000090599060059e-01
9.302024688511365547e-01,6.790000200271606445e-01
9.324709053232190792e-01,7.160000205039978027e-01
9.347042252461732481e-01,7.429999709129333496e-01
9.369034993102695053e-01,7.530000209808349609e-01
9.390697499727508335e-01,6.554999947547912598e-01
9.412039543121282215e-01,6.825000047683715820e-01
9.433070466744134519e-01,6.395000219345092773e-01
9.453799211292289728e-01,7.369999885559082031e-01
9.474234337519535920e-01,7.375000119209289551e-01
9.494384047464848875e-01,7.570000290870666504e-01
9.514256204217909074e-01,6.995000243186950684e-01
9.533858350341728460e-01,7.049999833106994629e-01
9.553197725060390555e-01,7.615000009536743164e-01
9.572281280309947737e-01,6.455000042915344238e-01
