# kappa, training_loss
0.000000000000000000e+00,4.813690781593322754e-01
3.459589015952004853e-01,2.162726968526840210e-01
4.392482314775383867e-01,1.867803931236267090e-01
4.954363861777400513e-01,1.552830934524536133e-01
5.357720918135293608e-01,1.484229266643524170e-01
5.672595083447434794e-01,1.411735564470291138e-01
5.930907635535410671e-01,1.366421580314636230e-01
6.149917817214055615e-01,1.324752122163772583e-01
6.340021001630319342e-01,1.289453059434890747e-01
6.507965873818838398e-01,1.257812976837158203e-01
6.658382904736565022e-01,1.228136196732521057e-01
6.794587442759913998e-01,1.199535280466079712e-01
6.919034942584628700e-01,1.173328608274459839e-01
7.033594816068275968e-01,1.149053648114204407e-01
7.139723260658095150e-01,1.125958561897277832e-01
7.238576728898482582e-01,1.104311496019363403e-01
7.331088938900989227e-01,1.084212884306907654e-01
7.418024638556233175e-01,1.065034642815589905e-01
7.500018066688997065e-01,1.046510338783264160e-01
7.577601057719879352e-01,1.028774902224540710e-01
7.651223965958476869e-01,1.011685281991958618e-01
7.721271504307702926e-01,9.952717274427413940e-02
7.788074912118712056e-01,9.792851656675338745e-02
7.851921428055662622e-01,9.638413041830062866e-02
7.913061753967588485e-01,9.488529711961746216e-02
7.971716000308491923e-01,9.344857186079025269e-02
8.028078469354584801e-01,9.204182773828506470e-02
8.082321538615222511e-01,9.068013727664947510e-02
8.134598840216815674e-01,8.935990929603576660e-02
8.185047884076200875e-01,8.808898925781250000e-02
8.233792237692867388e-01,8.684881776571273804e-02
8.280943349557937649e-01,8.563146740198135376e-02
8.326602083891524453e-01,8.442805707454681396e-02
8.370860019870475233e-01,8.324575424194335938e-02
8.413800557425805682e-01,8.208350837230682373e-02
8.455499863170587993e-01,8.095143735408782959e-02
8.496027683416239595e-01,7.985071837902069092e-02
8.535448046076362649e-01,7.877431809902191162e-02
8.573819869196814825e-01,7.772663980722427368e-02
8.611197490632285234e-01,7.670185714960098267e-02
8.647631130821671341e-01,7.570186257362365723e-02
8.683167298552938451e-01,7.472106814384460449e-02
8.717849147943127486e-01,7.375673949718475342e-02
8.751716793507015035e-01,7.281070947647094727e-02
8.784807589083916124e-01,7.188457995653152466e-02
8.817156375486330244e-01,7.097153365612030029e-02
8.848795700987204249e-01,7.007551938295364380e-02
8.879756018143981633e-01,6.919643282890319824e-02
8.910065859943040456e-01,6.833155453205108643e-02
8.939751997818218276e-01,6.747969239950180054e-02
8.968839583736623045e-01,6.663356721401214600e-02
8.997352278241469437e-01,6.580174714326858521e-02
9.025312366085197491e-01,6.498128175735473633e-02
9.052740860868754291e-01,6.417408585548400879e-02
9.079657599917980715e-01,6.338049471378326416e-02
9.106081330470138235e-01,6.259810924530029297e-02
9.132029788108537716e-01,6.183174997568130493e-02
9.157519768267176064e-01,6.107974052429199219e-02
9.182567191527407635e-01,6.033790111541748047e-02
9.207187163342355207e-01,5.960842594504356384e-02
9.231394028750167235e-01,5.888966470956802368e-02
9.255201422572324477e-01,5.817972868680953979e-02
9.278622315536849685e-01,5.747926980257034302e-02
9.301669056717069006e-01,5.679031834006309509e-02
9.324353412633560323e-01,5.611282959580421448e-02
9.346686603329257270e-01,5.544745922088623047e-02
9.368679335694584109e-01,5.479203909635543823e-02
9.390341834290427681e-01,5.414533987641334534e-02
9.411683869891029897e-01,5.350656434893608093e-02
9.432714785946274549e-01,5.287561938166618347e-02
9.453443523142729399e-01,5.225379392504692078e-02
9.473878642225076474e-01,5.163814499974250793e-02
9.494028345223683996e-01,5.103163793683052063e-02
9.513900495220098952e-01,5.043616518378257751e-02
9.533502634769637218e-01,4.984961450099945068e-02
9.552842003089099254e-01,4.927172884345054626e-02
9.571925552107636292e-01,4.870172217488288879e-02
9.590759961469810246e-01,4.813947156071662903e-02
9.609351652571875846e-01,4.758537933230400085e-02
9.627706801705113726e-01,4.703935608267784119e-02
9.645831352373486212e-01,4.650148376822471619e-02
9.663731026847116601e-01,4.596965759992599487e-02
9.681411337007792550e-01,4.544351249933242798e-02
9.698877594537900215e-01,4.492329433560371399e-02
9.716134920499919225e-01,4.441009461879730225e-02
9.733188254349738333e-01,4.390304535627365112e-02
9.750042362423431141e-01,4.340356215834617615e-02
9.766701845934007142e-01,4.291092976927757263e-02
9.783171148511704551e-01,4.242436960339546204e-02
9.799454563318716893e-01,4.194390028715133667e-02
9.815556239766881630e-01,4.146958887577056885e-02
9.831480189864598707e-01,4.100259765982627869e-02
9.847230294217282909e-01,4.054134711623191833e-02
9.862810307703816504e-01,4.008509963750839233e-02
9.878223864849721148e-01,3.963392227888107300e-02
9.893474484916348066e-01,3.918847814202308655e-02
9.908565576723874502e-01,3.874858096241950989e-02
9.923500443224636536e-01,3.831340372562408447e-02
9.938282285842179320e-01,3.788387402892112732e-02
9.952914208590244449e-01,3.746044635772705078e-02
9.967399221984984958e-01,3.704246878623962402e-02
9.981740246762715874e-01,3.662985563278198242e-02
9.995940117414702231e-01,3.622269630432128906e-02
1.001000158554967268e+00,3.582047671079635620e-02
1.002392732309404844e+00,3.542244806885719299e-02
1.003771992533918134e+00,3.502942249178886414e-02
1.005138191384430835e+00,3.464078158140182495e-02
1.006491573920335059e+00,3.425640612840652466e-02
1.007832378368310744e+00,3.387735038995742798e-02
1.009160836374001224e+00,3.350195661187171936e-02
1.010477173242205984e+00,3.313013911247253418e-02
1.011781608166212099e+00,3.276305645704269409e-02
1.013074354446854342e+00,3.239908814430236816e-02
1.014355619701844180e+00,3.204083070158958435e-02
1.015625606065887254e+00,3.168747201561927795e-02
1.016884510382068063e+00,3.133912384510040283e-02
1.018132524384956605e+00,3.099542856216430664e-02
1.019369834875863745e+00,3.065764158964157104e-02
1.020596623890643651e+00,3.032367117702960968e-02
1.021813068860422780e+00,2.999573014676570892e-02
1.023019342765608686e+00,2.966880053281784058e-02
1.024215614283513043e+00,2.934790588915348053e-02
1.025402047929905747e+00,2.903071790933609009e-02
1.026578804194794081e+00,2.871741168200969696e-02
1.027746039672710499e+00,2.841091901063919067e-02
1.028903907187771694e+00,2.810706757009029388e-02
1.030052555913757883e+00,2.780601195991039276e-02
1.031192131489450770e+00,2.751117572188377380e-02
1.032322776129452446e+00,2.722071483731269836e-02
1.033444628730692205e+00,2.693282440304756165e-02
1.034557824974828844e+00,2.664973400533199310e-02
1.035662497426728335e+00,2.637116611003875732e-02
1.036758775629202489e+00,2.609494328498840332e-02
1.037846786194173809e+00,2.582441084086894989e-02
1.038926652890428182e+00,2.555591985583305359e-02
1.039998496728109512e+00,2.529232390224933624e-02
1.041062436040096406e+00,2.503035776317119598e-02
1.042118586560402127e+00,2.477204613387584686e-02
1.043167061499723491e+00,2.451780810952186584e-02
1.044207971618266395e+00,2.426476031541824341e-02
1.045241425295961868e+00,2.401897683739662170e-02
1.046267528600184571e+00,2.377337589859962463e-02
1.047286385351081872e+00,2.353354729712009430e-02
1.048298097184609423e+00,2.329700626432895660e-02
1.049302763613374712e+00,2.306455373764038086e-02
1.050300482085374520e+00,2.283361367881298065e-02
1.051291348040716223e+00,2.260786481201648712e-02
1.052275454966405510e+00,2.238247357308864594e-02
1.053252894449275612e+00,2.216254360973834991e-02
1.054223756227137487e+00,2.194532193243503571e-02
1.055188128238219614e+00,2.173009514808654785e-02
1.056146096668967527e+00,2.151865512132644653e-02
1.057097746000264182e+00,2.131047658622264862e-02
1.058043159052139304e+00,2.110487036406993866e-02
1.058982417027020118e+00,2.090004831552505493e-02
1.059915599551585430e+00,2.070089057087898254e-02
1.060842784717273890e+00,2.050026878714561462e-02
1.061764049119499065e+00,2.030481211841106415e-02
1.062679467895619734e+00,2.010977640748023987e-02
1.063589114761714693e+00,1.991860009729862213e-02
1.064493062048202932e+00,1.972806267440319061e-02
1.065391380734357574e+00,1.954212039709091187e-02
1.066284140481750242e+00,1.935641653835773468e-02
1.067171409666666904e+00,1.917370781302452087e-02
1.068053255411534064e+00,1.899369992315769196e-02
1.068929743615389283e+00,1.881423220038414001e-02
1.069800938983432648e+00,1.864012330770492554e-02
1.070666905055689400e+00,1.846522092819213867e-02
1.071527704234821021e+00,1.829247735440731049e-02
1.072383397813107209e+00,1.812322065234184265e-02
1.073234045998635811e+00,1.795543916523456573e-02
1.074079707940723605e+00,1.778963208198547363e-02
1.074920441754596334e+00,1.762498915195465088e-02
1.075756304545354203e+00,1.746298559010028839e-02
1.076587352431247258e+00,1.730307191610336304e-02
1.077413640566283526e+00,1.714380085468292236e-02
1.078235223162194334e+00,1.698622666299343109e-02
1.079052153509776568e+00,1.683159358799457550e-02
1.079864483999635194e+00,1.667601801455020905e-02
1.080672266142344684e+00,1.652339287102222443e-02
1.081475550588048673e+00,1.637517288327217102e-02
1.082274387145517602e+00,1.622337847948074341e-02
1.083068824800681451e+00,1.607438921928405762e-02
1.083858911734654873e+00,1.592720299959182739e-02
1.084644695341271170e+00,1.578251272439956665e-02
1.085426222244142425e+00,1.563789881765842438e-02
1.086203538313258443e+00,1.549315918236970901e-02
1.086976688681142944e+00,1.535158976912498474e-02
1.087745717758576536e+00,1.520973816514015198e-02
1.088510669249905582e+00,1.507139578461647034e-02
1.089271586167944728e+00,1.493199076503515244e-02
1.090028510848491283e+00,1.479510031640529633e-02
1.090781484964458370e+00,1.466109417378902435e-02
1.091530549539642125e+00,1.452596113085746765e-02
1.092275744962134088e+00,1.439322438091039658e-02
1.093017110997387409e+00,1.426296215504407883e-02
1.093754686800950671e+00,1.413171365857124329e-02
1.094488510930875957e+00,1.400305423885583878e-02
1.095218621359815403e+00,1.387608610093593597e-02
1.095945055486811093e+00,1.374962460249662399e-02
1.096667850148790313e+00,1.362407952547073364e-02
1.097387041631774585e+00,1.350031513720750809e-02
1.098102665681810475e+00,1.337857358157634735e-02
1.098814757515629958e+00,1.325718965381383896e-02
1.099523351831051432e+00,1.313950959593057632e-02
1.100228482817122044e+00,1.302100531756877899e-02
1.100930184164018444e+00,1.290631946176290512e-02
1.101628489072704609e+00,1.279115118086338043e-02
1.102323430264357418e+00,1.267851982265710831e-02
1.103015039989568402e+00,1.256796810775995255e-02
1.103703350037322783e+00,1.245749834924936295e-02
1.104388391743768238e+00,1.235044840723276138e-02
1.105070196000774496e+00,1.224266737699508667e-02
1.105748793264292651e+00,1.213889941573143005e-02
1.106424213562518855e+00,1.203330792486667633e-02
1.107096486503866828e+00,1.193067710846662521e-02
1.107765641284756297e+00,1.182871684432029724e-02
1.108431706697221797e+00,1.172818243503570557e-02
1.109094711136345834e+00,1.162829529494047165e-02
1.109754682607522636e+00,1.153045427054166794e-02
1.110411648733556467e+00,1.143418531864881516e-02
1.111065636761598974e+00,1.133692637085914612e-02
1.111716673569929759e+00,1.124247163534164429e-02
1.112364785674585077e+00,1.114818826317787170e-02
1.113009999235837544e+00,1.105494238436222076e-02
1.113652340064533730e+00,1.096347346901893616e-02
1.114291833628287209e+00,1.087179407477378845e-02
1.114928505057539709e+00,1.078151632100343704e-02
1.115562379151485484e+00,1.069228071719408035e-02
1.116193480383868453e+00,1.060365233570337296e-02
1.116821832908651224e+00,1.051604561507701874e-02
1.117447460565562434e+00,1.042937859892845154e-02
1.118070386885524181e+00,1.034334115684032440e-02
1.118690635095962005e+00,1.025884225964546204e-02
1.119308228126002946e+00,1.017427071928977966e-02
1.119923188611560150e+00,1.009191758930683136e-02
1.120535538900311989e+00,1.000860147178173065e-02
1.121145301056575283e+00,9.927995502948760986e-03
1.121752496866074811e+00,9.846077300608158112e-03
1.122357147840614688e+00,9.765928611159324646e-03
1.122959275222650710e+00,9.687130339443683624e-03
1.123558899989768545e+00,9.608152322471141815e-03
1.124156042859069560e+00,9.531143121421337128e-03
1.124750724291464721e+00,9.453289210796356201e-03
1.125342964495882114e+00,9.377657435834407806e-03
1.125932783433387430e+00,9.301355108618736267e-03
1.126520200821220952e+00,9.226407855749130249e-03
1.127105236136752842e+00,9.152029640972614288e-03
1.127687908621357371e+00,9.078887291252613068e-03
1.128268237284210995e+00,9.005437605082988739e-03
1.128846240906013376e+00,8.933718316256999969e-03
1.129421938042634244e+00,8.861683309078216553e-03
1.129995347028687203e+00,8.791297674179077148e-03
1.130566485981034486e+00,8.720269426703453064e-03
1.131135372802220873e+00,8.651315234601497650e-03
1.131702025183840998e+00,8.581315167248249054e-03
1.132266460609840486e+00,8.512309752404689789e-03
1.132828696359752696e+00,8.443906903266906738e-03
1.133388749511873961e+00,8.376395329833030701e-03
1.133946636946374875e+00,8.308601565659046173e-03
1.134502375348353853e+00,8.241950534284114838e-03
1.135055981210831622e+00,8.175546303391456604e-03
1.135607470837687316e+00,8.109233342111110687e-03
1.136156860346540176e+00,8.044062182307243347e-03
1.136704165671576172e+00,7.978871464729309082e-03
1.137249402566320455e+00,7.914567366242408752e-03
1.137792586606358514e+00,7.850534282624721527e-03
1.138333733192005592e+00,7.787316571921110153e-03
1.138872857550927042e+00,7.724830415099859238e-03
1.139409974740709375e+00,7.662475574761629105e-03
1.139945099651383131e+00,7.601386867463588715e-03
1.140478247007901125e+00,7.540313526988029480e-03
1.141009431372567162e+00,7.480226922780275345e-03
1.141538667147425468e+00,7.420928217470645905e-03
1.142065968576601920e+00,7.362161297351121902e-03
1.142591349748605101e+00,7.304716389626264572e-03
1.143114824598584045e+00,7.246896158903837204e-03
1.143636406910547576e+00,7.190272212028503418e-03
1.144156110319540343e+00,7.134292274713516235e-03
1.144673948313783329e+00,7.079102098941802979e-03
1.145189934236772844e+00,7.024463266134262085e-03
1.145704081289344645e+00,6.970554124563932419e-03
1.146216402531699874e+00,6.917372811585664749e-03
1.146726910885395245e+00,6.864510010927915573e-03
1.147235619135299922e+00,6.812537088990211487e-03
1.147742539931515537e+00,6.760920397937297821e-03
1.148247685791263573e+00,6.710533052682876587e-03
1.148751069100740541e+00,6.659545004367828369e-03
1.149252702116940084e+00,6.609934847801923752e-03
1.149752596969443985e+00,6.560796871781349182e-03
1.150250765662181429e+00,6.511928979307413101e-03
1.150747220075159172e+00,6.464089732617139816e-03
1.151241971966161071e+00,6.416373886168003082e-03
1.151735032972418749e+00,6.369232200086116791e-03
1.152226414612254946e+00,6.322797387838363647e-03
1.152716128286697339e+00,6.276573985815048218e-03
1.153204185281065053e+00,6.231283769011497498e-03
1.153690596766530962e+00,6.185848265886306763e-03
1.154175373801654247e+00,6.141563411802053452e-03
1.154658527333889628e+00,6.097143981605768204e-03
1.155140068201070624e+00,6.053519435226917267e-03
1.155620007132869276e+00,6.010106764733791351e-03
1.156098354752228108e+00,5.967285949736833572e-03
1.156575121576774112e+00,5.924912169575691223e-03
1.157050318020203639e+00,5.882645957171916962e-03
1.157523954393649301e+00,5.840935278683900833e-03
1.157996040907020685e+00,5.799700040370225906e-03
1.158466587670325953e+00,5.758829414844512939e-03
1.158935604694971033e+00,5.718196276575326920e-03
1.159403101895037258e+00,5.677772685885429382e-03
1.159869089088538807e+00,5.637881346046924591e-03
1.160333575998660383e+00,5.598691292107105255e-03
1.160796572254974013e+00,5.559435579925775528e-03
1.161258087394636762e+00,5.520539823919534683e-03
1.161718130863570009e+00,5.482091568410396576e-03
1.162176712017619851e+00,5.444029811769723892e-03
1.162633840123697304e+00,5.406222771853208542e-03
1.163089524360903404e+00,5.368934944272041321e-03
1.163543773821634097e+00,5.331517197191715240e-03
1.163996597512669595e+00,5.294709000736474991e-03
1.164448004356245958e+00,5.258189048618078232e-03
1.164898003191108256e+00,5.221965257078409195e-03
1.165346602773551732e+00,5.185970105230808258e-03
1.165793811778442102e+00,5.150461569428443909e-03
1.166239638800222522e+00,5.115003790706396103e-03
1.166684092353905244e+00,5.079875700175762177e-03
1.167127180876046388e+00,5.045131314545869827e-03
1.167568912725708286e+00,5.010578781366348267e-03
1.168009296185403834e+00,4.976302850991487503e-03
1.168448339462030194e+00,4.942304920405149460e-03
1.168886050687785394e+00,4.908511415123939514e-03
1.169322437921071822e+00,4.875089973211288452e-03
1.169757509147387298e+00,4.841725807636976242e-03
1.170191272280201700e+00,4.808789119124412537e-03
1.170623735161820056e+00,4.776040557771921158e-03
1.171054905564233639e+00,4.743395838886499405e-03
1.171484791189958408e+00,4.711151588708162308e-03
1.171913399672859457e+00,4.678935743868350983e-03
1.172340738578966146e+00,4.646810237318277359e-03
1.172766815407271901e+00,4.615061450749635696e-03
1.173191637590524916e+00,4.583412315696477890e-03
1.173615212496004645e+00,4.551830701529979706e-03
1.174037547426290296e+00,4.520475398749113083e-03
1.174458649620016004e+00,4.489217419177293777e-03
1.174878526252612465e+00,4.458212293684482574e-03
1.175297184437045006e+00,4.427397623658180237e-03
1.175714631224533235e+00,4.396934062242507935e-03
1.176130873605264471e+00,4.366750828921794891e-03
1.176545918509096511e+00,4.336921032518148422e-03
1.176959772806250193e+00,4.307426512241363525e-03
1.177372443307990402e+00,4.278162959963083267e-03
1.177783936767299977e+00,4.249410703778266907e-03
1.178194259879542072e+00,4.220887552946805954e-03
1.178603419283114073e+00,4.192831460386514664e-03
1.179011421560091977e+00,4.165160469710826874e-03
1.179418273236866099e+00,4.137818701565265656e-03
1.179823980784766357e+00,4.110721871256828308e-03
1.180228550620680883e+00,4.084085114300251007e-03
1.180631989107665092e+00,4.057622980326414108e-03
1.181034302555541649e+00,4.031446296721696854e-03
1.181435497221491993e+00,4.005621187388896942e-03
1.181835579310641871e+00,3.979954868555068970e-03
1.182234554976636431e+00,3.954632673412561417e-03
1.182632430322206885e+00,3.929592669010162354e-03
1.183029211399732938e+00,3.904704470187425613e-03
1.183424904211793471e+00,3.880072385072708130e-03
1.183819514711712095e+00,3.855705261230468750e-03
1.184213048804093837e+00,3.831539768725633621e-03
1.184605512345357381e+00,3.807642264291644096e-03
1.184996911144254428e+00,3.783894935622811317e-03
1.185387250962389061e+00,3.760435385629534721e-03
1.185776537514724893e+00,3.737116931006312370e-03
1.186164776470086890e+00,3.714014310389757156e-03
1.186551973451658082e+00,3.691157326102256775e-03
1.186938134037466508e+00,3.668406512588262558e-03
1.187323263760868386e+00,3.645907389000058174e-03
1.187707368111023731e+00,3.623564029112458229e-03
1.188090452533366204e+00,3.601419739425182343e-03
1.188472522430065625e+00,3.579514333978295326e-03
1.188853583160484728e+00,3.557753749191761017e-03
1.189233640041631457e+00,3.536253701895475388e-03
1.189612698348603281e+00,3.514819312840700150e-03
1.189990763315026623e+00,3.493617055937647820e-03
1.190367840133490285e+00,3.472575219348073006e-03
1.190743933955974221e+00,3.451704978942871094e-03
1.191119049894270532e+00,3.431017277762293816e-03
1.191493193020401353e+00,3.410515608265995979e-03
1.191866368367030304e+00,3.390172962099313736e-03
1.192238580927867719e+00,3.369994694367051125e-03
1.192609835658072992e+00,3.349956357851624489e-03
1.192980137474649371e+00,3.330077975988388062e-03
1.193349491256835204e+00,3.310428932309150696e-03
1.193717901846489182e+00,3.290968947112560272e-03
1.194085374048471593e+00,3.271593479439616203e-03
1.194451912631020685e+00,3.252390539273619652e-03
1.194817522326123038e+00,3.233382711187005043e-03
1.195182207829880383e+00,3.214517608284950256e-03
1.195545973802871975e+00,3.195818280801177025e-03
1.195908824870511422e+00,3.177298931404948235e-03
1.196270765623400179e+00,3.158901818096637726e-03
1.196631800617675045e+00,3.140684217214584351e-03
1.196991934375353894e+00,3.122627502307295799e-03
1.197351171384673396e+00,3.104674164205789566e-03
1.197709516100426308e+00,3.086859360337257385e-03
1.198066972944292763e+00,3.069151891395449638e-03
1.198423546305166010e+00,3.051543375477194786e-03
1.198779240539478597e+00,3.034071298316121101e-03
1.199134059971519006e+00,3.016781527549028397e-03
1.199488008893748736e+00,2.999557647854089737e-03
1.199841091567112938e+00,2.982349600642919540e-03
1.200193312221349062e+00,2.965265186503529549e-03
1.200544675055289945e+00,2.948217792436480522e-03
1.200895184237165125e+00,2.931206021457910538e-03
1.201244843904897053e+00,2.914248500019311905e-03
1.201593658166393297e+00,2.897266531363129616e-03
1.201941631099838093e+00,2.880185609683394432e-03
1.202288766753976335e+00,2.863090252503752708e-03
1.202635069148398239e+00,2.845776965841650963e-03
1.202980542273817122e+00,2.828280674293637276e-03
1.203325190092345398e+00,2.810674486681818962e-03
1.203669016537768366e+00,2.792895771563053131e-03
1.204012025515812434e+00,2.775002270936965942e-03
1.204354220904411799e+00,2.757208654657006264e-03
1.204695606553972009e+00,2.739495132118463516e-03
1.205036186287628874e+00,2.722104080021381378e-03
1.205375963901505809e+00,2.704852260649204254e-03
1.205714943164967856e+00,2.687914296984672546e-03
1.206053127820873261e+00,2.671367255970835686e-03
1.206390521585819497e+00,2.655110787600278854e-03
1.206727128150390849e+00,2.639160025864839554e-03
1.207062951179397992e+00,2.623464446514844894e-03
1.207397994312119138e+00,2.608105307444930077e-03
1.207732261162537180e+00,2.592956181615591049e-03
1.208065755319571721e+00,2.578031504526734352e-03
1.208398480347311565e+00,2.563350135460495949e-03
1.208730439785242305e+00,2.548848744481801987e-03
1.209061637148473922e+00,2.534559462219476700e-03
1.209392075927962384e+00,2.520387526601552963e-03
1.209721759590731471e+00,2.506353426724672318e-03
1.210050691580090376e+00,2.492427593097090721e-03
1.210378875315849534e+00,2.478555776178836823e-03
1.210706314194534894e+00,2.464726567268371582e-03
1.211033011589597308e+00,2.450880361720919609e-03
1.211358970851622807e+00,2.436918439343571663e-03
1.211684195308537548e+00,2.422918332740664482e-03
1.212008688265811651e+00,2.408599480986595154e-03
1.212332453006661481e+00,2.393918577581644058e-03
1.212655492792247935e+00,2.378580858930945396e-03
1.212977810861875838e+00,2.362452913075685501e-03
1.213299410433185566e+00,2.345246728509664536e-03
1.213620294702348001e+00,2.327156020328402519e-03
1.213940466844254829e+00,2.308845752850174904e-03
1.214259930012706601e+00,2.290979959070682526e-03
1.214578687340598817e+00,2.274122089147567749e-03
1.214896741940107550e+00,2.258368069306015968e-03
1.215214096902870411e+00,2.243632683530449867e-03
1.215530755300167520e+00,2.229623263701796532e-03
1.215846720183099361e+00,2.216214314103126526e-03
1.216161994582764638e+00,2.203247509896755219e-03
1.216476581510432364e+00,2.190671861171722412e-03
1.216790483957715940e+00,2.178414491936564445e-03
1.217103704896745020e+00,2.166435122489929199e-03
1.217416247280330710e+00,2.154614310711622238e-03
1.217728114042136545e+00,2.143047982826828957e-03
1.218039308096841689e+00,2.131656510755419731e-03
1.218349832340304140e+00,2.120409393683075905e-03
1.218659689649723710e+00,2.109336433932185173e-03
1.218968882883800342e+00,2.098329830914735794e-03
1.219277414882894428e+00,2.087411237880587578e-03
1.219585288469181350e+00,2.076583681628108025e-03
1.219892506446807579e+00,2.065807580947875977e-03
1.220199071602043217e+00,2.054970944300293922e-03
1.220504986703434769e+00,2.044047461822628975e-03
1.220810254501953462e+00,2.032882301136851311e-03
1.221114877731144688e+00,2.021177904680371284e-03
1.221418859107275878e+00,2.008303301408886909e-03
1.221722201329479063e+00,1.992681063711643219e-03
1.222024907079897416e+00,1.970343291759490967e-03
1.222326979023826476e+00,1.938643632456660271e-03
1.222628419809853817e+00,1.913028652779757977e-03
