# kappa, training_loss
0.000000000000000000e+00,2.729279100894927979e-01
3.459589015952004853e-01,2.312398850917816162e-01
4.392482314775383867e-01,2.123088836669921875e-01
4.954363861777400513e-01,2.018782496452331543e-01
5.357720918135293608e-01,1.947281211614608765e-01
5.672595083447434794e-01,1.891556829214096069e-01
5.930907635535410671e-01,1.848214268684387207e-01
6.149917817214055615e-01,1.813006252050399780e-01
6.340021001630319342e-01,1.782446503639221191e-01
6.507965873818838398e-01,1.755620390176773071e-01
6.658382904736565022e-01,1.730562150478363037e-01
6.794587442759913998e-01,1.707536727190017700e-01
6.919034942584628700e-01,1.686081588268280029e-01
7.033594816068275968e-01,1.665903180837631226e-01
7.139723260658095150e-01,1.646541804075241089e-01
7.238576728898482582e-01,1.628001481294631958e-01
7.331088938900989227e-01,1.610120832920074463e-01
7.418024638556233175e-01,1.592871844768524170e-01
7.500018066688997065e-01,1.576061546802520752e-01
7.577601057719879352e-01,1.559712737798690796e-01
7.651223965958476869e-01,1.543909311294555664e-01
7.721271504307702926e-01,1.528515517711639404e-01
7.788074912118712056e-01,1.513570249080657959e-01
7.851921428055662622e-01,1.499030739068984985e-01
7.913061753967588485e-01,1.484792083501815796e-01
7.971716000308491923e-01,1.470898389816284180e-01
8.028078469354584801e-01,1.457216739654541016e-01
8.082321538615222511e-01,1.443839371204376221e-01
8.134598840216815674e-01,1.430667936801910400e-01
8.185047884076200875e-01,1.417583525180816650e-01
8.233792237692867388e-01,1.404658704996109009e-01
8.280943349557937649e-01,1.391961872577667236e-01
8.326602083891524453e-01,1.379383206367492676e-01
8.370860019870475233e-01,1.366985738277435303e-01
8.413800557425805682e-01,1.354763358831405640e-01
8.455499863170587993e-01,1.342720985412597656e-01
8.496027683416239595e-01,1.330809891223907471e-01
8.535448046076362649e-01,1.319065392017364502e-01
8.573819869196814825e-01,1.307467669248580933e-01
8.611197490632285234e-01,1.296045631170272827e-01
8.647631130821671341e-01,1.284746080636978149e-01
8.683167298552938451e-01,1.273549348115921021e-01
8.717849147943127486e-01,1.262487322092056274e-01
8.751716793507015035e-01,1.251581460237503052e-01
8.784807589083916124e-01,1.240810304880142212e-01
8.817156375486330244e-01,1.230173781514167786e-01
8.848795700987204249e-01,1.219646930694580078e-01
8.879756018143981633e-01,1.209248155355453491e-01
8.910065859943040456e-01,1.198958829045295715e-01
8.939751997818218276e-01,1.188766807317733765e-01
8.968839583736623045e-01,1.178652793169021606e-01
8.997352278241469437e-01,1.168617904186248779e-01
9.025312366085197491e-01,1.158659160137176514e-01
9.052740860868754291e-01,1.148769780993461609e-01
9.079657599917980715e-01,1.138984560966491699e-01
9.106081330470138235e-01,1.129278987646102905e-01
9.132029788108537716e-01,1.119625493884086609e-01
9.157519768267176064e-01,1.110044419765472412e-01
9.182567191527407635e-01,1.100547313690185547e-01
9.207187163342355207e-01,1.091268658638000488e-01
9.231394028750167235e-01,1.081980168819427490e-01
9.255201422572324477e-01,1.072963252663612366e-01
9.278622315536849685e-01,1.064097359776496887e-01
9.301669056717069006e-01,1.055361330509185791e-01
9.324353412633560323e-01,1.046649143099784851e-01
9.346686603329257270e-01,1.038319543004035950e-01
9.368679335694584109e-01,1.029708236455917358e-01
9.390341834290427681e-01,1.021394878625869751e-01
9.411683869891029897e-01,1.013313084840774536e-01
9.432714785946274549e-01,1.005199551582336426e-01
9.453443523142729399e-01,9.974451363086700439e-02
9.473878642225076474e-01,9.893810749053955078e-02
9.494028345223683996e-01,9.816853702068328857e-02
9.513900495220098952e-01,9.740240126848220825e-02
9.533502634769637218e-01,9.663729369640350342e-02
9.552842003089099254e-01,9.590952843427658081e-02
9.571925552107636292e-01,9.515577554702758789e-02
9.590759961469810246e-01,9.444118291139602661e-02
9.609351652571875846e-01,9.372170269489288330e-02
9.627706801705113726e-01,9.300178289413452148e-02
9.645831352373486212e-01,9.231949597597122192e-02
9.663731026847116601e-01,9.160979092121124268e-02
9.681411337007792550e-01,9.095495194196701050e-02
9.698877594537900215e-01,9.025135636329650879e-02
9.716134920499919225e-01,8.959875255823135376e-02
9.733188254349738333e-01,8.894526213407516479e-02
9.750042362423431141e-01,8.827529102563858032e-02
9.766701845934007142e-01,8.765601366758346558e-02
9.783171148511704551e-01,8.700308948755264282e-02
9.799454563318716893e-01,8.637768030166625977e-02
9.815556239766881630e-01,8.575212210416793823e-02
9.831480189864598707e-01,8.513581752777099609e-02
9.847230294217282909e-01,8.454023301601409912e-02
9.862810307703816504e-01,8.391311764717102051e-02
9.878223864849721148e-01,8.333894610404968262e-02
9.893474484916348066e-01,8.273275196552276611e-02
9.908565576723874502e-01,8.215145766735076904e-02
9.923500443224636536e-01,8.157753944396972656e-02
9.938282285842179320e-01,8.099084347486495972e-02
9.952914208590244449e-01,8.044425398111343384e-02
9.967399221984984958e-01,7.985781878232955933e-02
9.981740246762715874e-01,7.932230830192565918e-02
9.995940117414702231e-01,7.876347750425338745e-02
1.001000158554967268e+00,7.821675390005111694e-02
1.002392732309404844e+00,7.768131792545318604e-02
1.003771992533918134e+00,7.714096456766128540e-02
1.005138191384430835e+00,7.663301378488540649e-02
1.006491573920335059e+00,7.608487457036972046e-02
1.007832378368310744e+00,7.557759433984756470e-02
1.009160836374001224e+00,7.506685703992843628e-02
1.010477173242205984e+00,7.453535497188568115e-02
1.011781608166212099e+00,7.405310124158859253e-02
1.013074354446854342e+00,7.353065907955169678e-02
1.014355619701844180e+00,7.305390387773513794e-02
1.015625606065887254e+00,7.255113124847412109e-02
1.016884510382068063e+00,7.205169647932052612e-02
1.018132524384956605e+00,7.158862799406051636e-02
1.019369834875863745e+00,7.108405232429504395e-02
1.020596623890643651e+00,7.063629478216171265e-02
1.021813068860422780e+00,7.013703137636184692e-02
1.023019342765608686e+00,6.969448179006576538e-02
1.024215614283513043e+00,6.920744478702545166e-02
1.025402047929905747e+00,6.877180188894271851e-02
1.026578804194794081e+00,6.830408424139022827e-02
1.027746039672710499e+00,6.783958524465560913e-02
1.028903907187771694e+00,6.741510331630706787e-02
1.030052555913757883e+00,6.694620102643966675e-02
1.031192131489450770e+00,6.654434651136398315e-02
1.032322776129452446e+00,6.607516855001449585e-02
1.033444628730692205e+00,6.563913077116012573e-02
1.034557824974828844e+00,6.523117423057556152e-02
1.035662497426728335e+00,6.477607786655426025e-02
1.036758775629202489e+00,6.438646465539932251e-02
1.037846786194173809e+00,6.393527239561080933e-02
1.038926652890428182e+00,6.353851407766342163e-02
1.039998496728109512e+00,6.310754269361495972e-02
1.041062436040096406e+00,6.271974742412567139e-02
1.042118586560402127e+00,6.230338662862777710e-02
1.043167061499723491e+00,6.188862770795822144e-02
1.044207971618266395e+00,6.151378527283668518e-02
1.045241425295961868e+00,6.108951196074485779e-02
1.046267528600184571e+00,6.072331219911575317e-02
1.047286385351081872e+00,6.030832231044769287e-02
1.048298097184609423e+00,5.995234847068786621e-02
1.049302763613374712e+00,5.953944101929664612e-02
1.050300482085374520e+00,5.918210372328758240e-02
1.051291348040716223e+00,5.879194661974906921e-02
1.052275454966405510e+00,5.840770900249481201e-02
1.053252894449275612e+00,5.805497989058494568e-02
1.054223756227137487e+00,5.766259506344795227e-02
1.055188128238219614e+00,5.732211098074913025e-02
1.056146096668967527e+00,5.693107843399047852e-02
1.057097746000264182e+00,5.659977346658706665e-02
1.058043159052139304e+00,5.621039122343063354e-02
1.058982417027020118e+00,5.588384717702865601e-02
1.059915599551585430e+00,5.549937114119529724e-02
1.060842784717273890e+00,5.518409237265586853e-02
1.061764049119499065e+00,5.480068176984786987e-02
1.062679467895619734e+00,5.447294935584068298e-02
1.063589114761714693e+00,5.412147566676139832e-02
1.064493062048202932e+00,5.377161130309104919e-02
1.065391380734357574e+00,5.345211178064346313e-02
1.066284140481750242e+00,5.309429764747619629e-02
1.067171409666666904e+00,5.278938636183738708e-02
1.068053255411534064e+00,5.242924019694328308e-02
1.068929743615389283e+00,5.213093012571334839e-02
1.069800938983432648e+00,5.177442356944084167e-02
1.070666905055689400e+00,5.148071050643920898e-02
1.071527704234821021e+00,5.112958326935768127e-02
1.072383397813107209e+00,5.084117129445075989e-02
1.073234045998635811e+00,5.049354583024978638e-02
1.074079707940723605e+00,5.020777508616447449e-02
1.074920441754596334e+00,4.986840859055519104e-02
1.075756304545354203e+00,4.957830160856246948e-02
1.076587352431247258e+00,4.925809428095817566e-02
1.077413640566283526e+00,4.895026609301567078e-02
1.078235223162194334e+00,4.865835607051849365e-02
1.079052153509776568e+00,4.833914712071418762e-02
1.079864483999635194e+00,4.806565493345260620e-02
1.080672266142344684e+00,4.774190858006477356e-02
1.081475550588048673e+00,4.747430235147476196e-02
1.082274387145517602e+00,4.715317487716674805e-02
1.083068824800681451e+00,4.689238965511322021e-02
1.083858911734654873e+00,4.657224565744400024e-02
1.084644695341271170e+00,4.631462320685386658e-02
1.085426222244142425e+00,4.600029811263084412e-02
1.086203538313258443e+00,4.574836790561676025e-02
1.086976688681142944e+00,4.543638229370117188e-02
1.087745717758576536e+00,4.518439993262290955e-02
1.088510669249905582e+00,4.488160088658332825e-02
1.089271586167944728e+00,4.462523758411407471e-02
1.090028510848491283e+00,4.433700442314147949e-02
1.090781484964458370e+00,4.407515749335289001e-02
1.091530549539642125e+00,4.380005225539207458e-02
1.092275744962134088e+00,4.353515058755874634e-02
1.093017110997387409e+00,4.326887428760528564e-02
1.093754686800950671e+00,4.300693795084953308e-02
1.094488510930875957e+00,4.274193570017814636e-02
1.095218621359815403e+00,4.249085485935211182e-02
1.095945055486811093e+00,4.223037138581275940e-02
