# kappa, training_loss
0.000000000000000000e+00,4.689118564128875732e-01
3.459589015952004853e-01,3.122558593750000000e-01
4.392482314775383867e-01,2.635889053344726562e-01
4.954363861777400513e-01,2.446526288986206055e-01
5.357720918135293608e-01,2.279809564352035522e-01
5.672595083447434794e-01,2.158143520355224609e-01
5.930907635535410671e-01,2.063038051128387451e-01
6.149917817214055615e-01,1.984276771545410156e-01
6.340021001630319342e-01,1.917333900928497314e-01
6.507965873818838398e-01,1.858066320419311523e-01
6.658382904736565022e-01,1.806584894657135010e-01
6.794587442759913998e-01,1.759578585624694824e-01
6.919034942584628700e-01,1.715317517518997192e-01
7.033594816068275968e-01,1.675167381763458252e-01
7.139723260658095150e-01,1.637952625751495361e-01
7.238576728898482582e-01,1.602378636598587036e-01
7.331088938900989227e-01,1.569199860095977783e-01
7.418024638556233175e-01,1.546343415975570679e-01
7.500018066688997065e-01,1.514914929866790771e-01
7.577601057719879352e-01,1.492702066898345947e-01
7.651223965958476869e-01,1.470010578632354736e-01
7.721271504307702926e-01,1.448256820440292358e-01
7.788074912118712056e-01,1.427533328533172607e-01
7.851921428055662622e-01,1.408626735210418701e-01
7.913061753967588485e-01,1.389416754245758057e-01
7.971716000308491923e-01,1.372564285993576050e-01
8.028078469354584801e-01,1.355071812868118286e-01
8.082321538615222511e-01,1.337064504623413086e-01
8.134598840216815674e-01,1.322914659976959229e-01
8.185047884076200875e-01,1.307917237281799316e-01
8.233792237692867388e-01,1.289034336805343628e-01
8.280943349557937649e-01,1.291055083274841309e-01
8.326602083891524453e-01,1.266894638538360596e-01
8.370860019870475233e-01,1.246422231197357178e-01
8.413800557425805682e-01,1.234095916152000427e-01
8.455499863170587993e-01,1.220669746398925781e-01
8.496027683416239595e-01,1.211230680346488953e-01
8.535448046076362649e-01,1.200499758124351501e-01
8.573819869196814825e-01,1.188289746642112732e-01
8.611197490632285234e-01,1.175400614738464355e-01
8.647631130821671341e-01,1.162329167127609253e-01
8.683167298552938451e-01,1.150739863514900208e-01
8.717849147943127486e-01,1.163201853632926941e-01
8.751716793507015035e-01,1.132284030318260193e-01
8.784807589083916124e-01,1.118467524647712708e-01
8.817156375486330244e-01,1.109026372432708740e-01
8.848795700987204249e-01,1.098790243268013000e-01
8.879756018143981633e-01,1.089930608868598938e-01
8.910065859943040456e-01,1.083267778158187866e-01
8.939751997818218276e-01,1.074883490800857544e-01
8.968839583736623045e-01,1.065915226936340332e-01
8.997352278241469437e-01,1.052110791206359863e-01
9.025312366085197491e-01,1.047696024179458618e-01
9.052740860868754291e-01,1.036877259612083435e-01
9.079657599917980715e-01,1.026362404227256775e-01
9.106081330470138235e-01,1.030388548970222473e-01
9.132029788108537716e-01,1.011417433619499207e-01
9.157519768267176064e-01,1.000899299979209900e-01
9.182567191527407635e-01,9.936423599720001221e-02
9.207187163342355207e-01,9.859284758567810059e-02
9.231394028750167235e-01,9.837245941162109375e-02
9.255201422572324477e-01,9.704057127237319946e-02
9.278622315536849685e-01,9.659260511398315430e-02
9.301669056717069006e-01,9.565429389476776123e-02
9.324353412633560323e-01,9.477314352989196777e-02
9.346686603329257270e-01,9.471059590578079224e-02
9.368679335694584109e-01,9.341769665479660034e-02
9.390341834290427681e-01,9.274263679981231689e-02
9.411683869891029897e-01,9.211671352386474609e-02
9.432714785946274549e-01,9.147595614194869995e-02
9.453443523142729399e-01,9.072258323431015015e-02
9.473878642225076474e-01,9.007246792316436768e-02
9.494028345223683996e-01,9.049892425537109375e-02
9.513900495220098952e-01,8.884581178426742554e-02
9.533502634769637218e-01,8.819717913866043091e-02
9.552842003089099254e-01,8.756070584058761597e-02
9.571925552107636292e-01,8.699624985456466675e-02
9.590759961469810246e-01,8.642818033695220947e-02
9.609351652571875846e-01,8.594455569982528687e-02
9.627706801705113726e-01,8.586313575506210327e-02
9.645831352373486212e-01,8.473157137632369995e-02
9.663731026847116601e-01,8.431181311607360840e-02
9.681411337007792550e-01,8.386500924825668335e-02
