# Iterations, accuracy
0.000000000000000000e+00,7.540000081062316895e-01
5.128205128205127949e+03,7.700000405311584473e-01
1.025641025641025590e+04,7.685000300407409668e-01
1.538461538461538294e+04,7.665000557899475098e-01
2.051282051282051179e+04,7.720000147819519043e-01
2.564102564102564065e+04,7.765000462532043457e-01
3.076923076923076587e+04,7.750000357627868652e-01
3.589743589743589837e+04,7.795000076293945312e-01
4.102564102564102359e+04,7.815000414848327637e-01
4.615384615384614881e+04,7.790000438690185547e-01
5.128205128205128131e+04,7.765000462532043457e-01
5.641025641025640653e+04,7.755000591278076172e-01
6.153846153846153175e+04,7.760000228881835938e-01
6.666666666666665697e+04,7.760000228881835938e-01
7.179487179487179674e+04,7.770000100135803223e-01
7.692307692307692196e+04,7.780000567436218262e-01
8.205128205128204718e+04,7.760000228881835938e-01
8.717948717948717240e+04,7.775000333786010742e-01
9.230769230769229762e+04,7.785000205039978027e-01
9.743589743589743739e+04,7.770000100135803223e-01
1.025641025641025626e+05,7.790000438690185547e-01
1.076923076923076878e+05,7.775000333786010742e-01
1.128205128205128131e+05,7.760000228881835938e-01
1.179487179487179383e+05,7.770000100135803223e-01
1.230769230769230635e+05,7.765000462532043457e-01
1.282051282051282033e+05,7.785000205039978027e-01
1.333333333333333139e+05,7.780000567436218262e-01
1.384615384615384683e+05,7.780000567436218262e-01
1.435897435897435935e+05,7.750000357627868652e-01
1.487179487179487187e+05,7.770000100135803223e-01
1.538461538461538439e+05,7.765000462532043457e-01
1.589743589743589691e+05,7.765000462532043457e-01
1.641025641025640944e+05,7.805000543594360352e-01
1.692307692307692196e+05,7.795000076293945312e-01
1.743589743589743448e+05,7.815000414848327637e-01
1.794871794871794700e+05,7.785000205039978027e-01
1.846153846153845952e+05,7.785000205039978027e-01
1.897435897435897205e+05,7.795000076293945312e-01
1.948717948717948748e+05,7.780000567436218262e-01
2.000000000000000000e+05,7.785000205039978027e-01
