# Iterations, training_loss
0.000000000000000000e+00,3.775770589709281921e-02
7.692307692307692832e+02,1.883781515061855316e-02
1.538461538461538566e+03,1.241398323327302933e-02
2.307692307692307622e+03,8.341713808476924896e-03
3.076923076923077133e+03,7.480429019778966904e-03
3.846153846153846644e+03,4.423066508024930954e-03
4.615384615384615245e+03,2.897748025134205818e-03
5.384615384615384755e+03,2.296513412147760391e-03
6.153846153846154266e+03,1.950472360476851463e-03
6.923076923076923777e+03,1.232329173944890499e-03
7.692307692307693287e+03,1.092636026442050934e-03
8.461538461538462798e+03,1.039168331772089005e-03
9.230769230769230489e+03,1.178539823740720749e-03
1.000000000000000000e+04,1.234081340953707695e-03
1.076923076923076951e+04,9.592522401362657547e-04
1.153846153846153902e+04,8.037479128688573837e-04
1.230769230769230853e+04,7.698949775658547878e-04
1.307692307692307804e+04,7.341753807850182056e-04
1.384615384615384755e+04,8.448908338323235512e-04
1.461538461538461706e+04,7.277120603248476982e-04
1.538461538461538657e+04,6.547642988152801991e-04
1.615384615384615427e+04,5.478741950355470181e-04
1.692307692307692560e+04,5.330301355570554733e-04
1.769230769230769511e+04,5.195552948862314224e-04
1.846153846153846098e+04,5.068407626822590828e-04
1.923076923076923049e+04,4.789856320712715387e-04
2.000000000000000000e+04,5.013378686271607876e-04
2.076923076923076951e+04,4.390557296574115753e-04
2.153846153846153902e+04,4.843691713176667690e-04
2.230769230769230853e+04,3.869587380904704332e-04
2.307692307692307804e+04,4.330735537223517895e-04
2.384615384615384755e+04,4.066396504640579224e-04
2.461538461538461706e+04,3.973426355514675379e-04
2.538461538461538657e+04,3.347231831867247820e-04
2.615384615384615608e+04,3.555697330739349127e-04
2.692307692307692560e+04,3.253565519116818905e-04
2.769230769230769511e+04,3.261574020143598318e-04
2.846153846153846462e+04,3.222956147510558367e-04
2.923076923076923413e+04,3.227822890039533377e-04
3.000000000000000000e+04,3.180508501827716827e-04
