# Iterations, accuracy
0.000000000000000000e+00,8.810000419616699219e-01
7.692307692307692832e+02,8.920000195503234863e-01
1.538461538461538566e+03,8.975000381469726562e-01
2.307692307692307622e+03,9.000000357627868652e-01
3.076923076923077133e+03,9.005000591278076172e-01
3.846153846153846644e+03,9.010000228881835938e-01
4.615384615384615245e+03,9.015000462532043457e-01
5.384615384615384755e+03,9.005000591278076172e-01
6.153846153846154266e+03,9.020000696182250977e-01
6.923076923076923777e+03,9.020000696182250977e-01
7.692307692307693287e+03,9.010000228881835938e-01
8.461538461538462798e+03,9.015000462532043457e-01
9.230769230769230489e+03,9.020000696182250977e-01
1.000000000000000000e+04,9.020000696182250977e-01
1.076923076923076951e+04,9.015000462532043457e-01
1.153846153846153902e+04,9.005000591278076172e-01
1.230769230769230853e+04,9.000000357627868652e-01
1.307692307692307804e+04,9.000000357627868652e-01
1.384615384615384755e+04,9.005000591278076172e-01
1.461538461538461706e+04,9.005000591278076172e-01
1.538461538461538657e+04,9.005000591278076172e-01
1.615384615384615427e+04,9.005000591278076172e-01
1.692307692307692560e+04,9.005000591278076172e-01
1.769230769230769511e+04,8.995000720024108887e-01
1.846153846153846098e+04,9.000000357627868652e-01
1.923076923076923049e+04,8.995000720024108887e-01
2.000000000000000000e+04,9.000000357627868652e-01
2.076923076923076951e+04,8.995000720024108887e-01
2.153846153846153902e+04,8.995000720024108887e-01
2.230769230769230853e+04,8.995000720024108887e-01
2.307692307692307804e+04,8.995000720024108887e-01
2.384615384615384755e+04,8.995000720024108887e-01
2.461538461538461706e+04,8.990000486373901367e-01
2.538461538461538657e+04,8.985000252723693848e-01
2.615384615384615608e+04,8.990000486373901367e-01
2.692307692307692560e+04,8.985000252723693848e-01
2.769230769230769511e+04,8.985000252723693848e-01
2.846153846153846462e+04,8.980000615119934082e-01
2.923076923076923413e+04,8.980000615119934082e-01
3.000000000000000000e+04,8.985000252723693848e-01
