# kappa, training_loss
0.000000000000000000e+00,2.741489112377166748e-01
3.459825158439031600e-01,1.868499666452407837e-01
4.392729699893650475e-01,1.560632735490798950e-01
4.954615236167292935e-01,1.438371837139129639e-01
5.357974335800685939e-01,1.368897855281829834e-01
5.672849743100517594e-01,1.318873614072799683e-01
5.931163129965701941e-01,1.278865188360214233e-01
6.150173911272351912e-01,1.244966611266136169e-01
6.340277547259937085e-01,1.215024366974830627e-01
6.508222771773106707e-01,1.187925636768341064e-01
6.658640085248080931e-01,1.162803471088409424e-01
6.794844854917364563e-01,1.138950660824775696e-01
6.919292548099362783e-01,1.116147413849830627e-01
7.033852585420051762e-01,1.094388514757156372e-01
7.139981170607579974e-01,1.073583438992500305e-01
7.238834760823438241e-01,1.053316593170166016e-01
7.331347077649162935e-01,1.033677011728286743e-01
7.418282871633666842e-01,1.014708876609802246e-01
7.500276383672555003e-01,9.962075948715209961e-02
7.577859449823571847e-01,9.781343489885330200e-02
7.651482425707654134e-01,9.604997932910919189e-02
7.721530025290465060e-01,9.431783109903335571e-02
7.788333488793554027e-01,9.262558072805404663e-02
7.852180055600752606e-01,9.096185863018035889e-02
7.913320428161327857e-01,8.933025598526000977e-02
7.971974717433851776e-01,8.772713690996170044e-02
8.028337226121783354e-01,8.614866435527801514e-02
8.082580332098660003e-01,8.459454029798507690e-02
8.134857667803236936e-01,8.306443691253662109e-02
8.185306743421755238e-01,8.155816793441772461e-02
8.234051126687310651e-01,8.006665110588073730e-02
8.281202266294590553e-01,7.859285920858383179e-02
8.326861026641897423e-01,7.713372260332107544e-02
8.371118987062742267e-01,7.569024711847305298e-02
8.414059547626422386e-01,7.426358014345169067e-02
8.455758875068537517e-01,7.284925132989883423e-02
8.496286715809452383e-01,7.144384831190109253e-02
8.535707097859971393e-01,7.004755735397338867e-02
8.574078939352951512e-01,6.866446882486343384e-02
8.611456578221178271e-01,6.728986650705337524e-02
8.647890234973856227e-01,6.592428684234619141e-02
8.683426418462413254e-01,6.456890702247619629e-02
8.718108282861329883e-01,6.323128938674926758e-02
8.751975942737482139e-01,6.191170588135719299e-02
8.785066751977564925e-01,6.062394753098487854e-02
8.817415551437256527e-01,5.935614556074142456e-02
8.849054889428930037e-01,5.809849873185157776e-02
8.880015218546112310e-01,5.696627125144004822e-02
8.910325071808261610e-01,5.570099875330924988e-02
8.940011220679600079e-01,5.454086139798164368e-02
8.969098817155197745e-01,5.341501906514167786e-02
8.997611521804040891e-01,5.228826776146888733e-02
9.025571619402358303e-01,5.116907134652137756e-02
9.053000123573100577e-01,5.012173205614089966e-02
9.079916871662482292e-01,4.902542755007743835e-02
9.106340610926658696e-01,4.796274378895759583e-02
9.132289076966486618e-01,4.691201820969581604e-02
9.157779065232284355e-01,4.594187438488006592e-02
9.182826496320598553e-01,4.490568861365318298e-02
9.207446475698718436e-01,4.392857477068901062e-02
9.231653348418016325e-01,4.301301389932632446e-02
9.255460749312330870e-01,4.204243049025535583e-02
9.278881649121245578e-01,4.117617756128311157e-02
9.301928396928919041e-01,4.026388004422187805e-02
9.324612759266079909e-01,3.938740864396095276e-02
9.346945956185187532e-01,3.857373073697090149e-02
9.368938694585623450e-01,3.769839927554130554e-02
9.390601199036692215e-01,3.693208098411560059e-02
9.411943240320560511e-01,3.609818965196609497e-02
9.432974161894577270e-01,3.533920645713806152e-02
