# Iterations, accuracy
0.000000000000000000e+00,8.285000324249267578e-01
5.227272727272727025e+03,8.790000677108764648e-01
1.045454545454545405e+04,8.900000452995300293e-01
1.568181818181818016e+04,8.875000476837158203e-01
2.090909090909090810e+04,8.905000686645507812e-01
2.613636363636363603e+04,8.905000686645507812e-01
3.136363636363636033e+04,8.900000452995300293e-01
3.659090909090908826e+04,8.895000219345092773e-01
4.181818181818181620e+04,8.905000686645507812e-01
4.704545454545454413e+04,8.910000324249267578e-01
5.227272727272727207e+04,8.910000324249267578e-01
5.750000000000000000e+04,8.910000324249267578e-01
6.272727272727272066e+04,8.910000324249267578e-01
6.795454545454545587e+04,8.910000324249267578e-01
7.318181818181817653e+04,8.910000324249267578e-01
7.840909090909091174e+04,8.910000324249267578e-01
8.363636363636363239e+04,8.915000557899475098e-01
8.886363636363635305e+04,8.915000557899475098e-01
9.409090909090908826e+04,8.915000557899475098e-01
9.931818181818180892e+04,8.915000557899475098e-01
1.045454545454545441e+05,8.920000195503234863e-01
1.097727272727272648e+05,8.920000195503234863e-01
1.150000000000000000e+05,8.920000195503234863e-01
