# kappa, accuracy
0.000000000000000000e+00,4.700000286102294922e-01
6.659406310797139072e-01,7.085000276565551758e-01
7.652252461169293252e-01,7.595000267028808594e-01
8.234822440553377643e-01,7.785000205039978027e-01
8.648662189635253350e-01,7.935000658035278320e-01
8.969871156805117041e-01,7.985000610351562500e-01
9.232425944940354512e-01,8.025000095367431641e-01
9.454475684559624504e-01,8.090000152587890625e-01
9.646863697786911551e-01,8.135000467300415039e-01
9.816588728334080249e-01,8.120000362396240234e-01
9.968431825103789556e-01,8.165000677108764648e-01
1.010580442928381339e+00,8.220000267028808594e-01
1.023122620264997007e+00,8.225000500679016113e-01
1.034661109086320474e+00,8.260000348091125488e-01
1.045344715075644526e+00,8.290000557899475098e-01
1.055291422930838330e+00,8.320000171661376953e-01
1.064596361040023531e+00,8.355000615119934082e-01
1.073337348784167311e+00,8.360000252723693848e-01
1.081578856746001405e+00,8.375000357627868652e-01
1.089374895343513616e+00,8.395000696182250977e-01
1.096771162040364622e+00,8.410000205039978027e-01
1.103806664386358438e+00,8.425000309944152832e-01
1.110514965316749203e+00,8.450000286102294922e-01
1.116925151531811045e+00,8.450000286102294922e-01
1.123062595715850875e+00,8.500000238418579102e-01
1.128949563119710620e+00,8.505000472068786621e-01
1.134605699150253111e+00,8.505000472068786621e-01
1.140048424923883363e+00,8.535000681877136230e-01
1.145293260874868713e+00,8.545000553131103516e-01
1.150354093571726022e+00,8.550000190734863281e-01
1.155243397297329278e+00,8.560000658035278320e-01
1.159972419294973633e+00,8.570000529289245605e-01
1.164551335603492666e+00,8.590000271797180176e-01
1.168989382912783759e+00,8.600000143051147461e-01
1.173294970735776932e+00,8.600000143051147461e-01
1.177475777320925454e+00,8.605000376701354980e-01
1.181538832053918631e+00,8.610000610351562500e-01
1.185490586570022487e+00,8.640000224113464355e-01
1.189336976383681854e+00,8.650000691413879395e-01
1.193083474513464193e+00,8.660000562667846680e-01
1.196735138318424818e+00,8.660000562667846680e-01
1.200296650551751831e+00,8.675000667572021484e-01
1.203772355467847666e+00,8.685000538825988770e-01
1.207166290681268572e+00,8.685000538825988770e-01
1.210482215363527292e+00,8.680000305175781250e-01
1.213723635271579671e+00,8.680000305175781250e-01
1.216893825025830544e+00,8.680000305175781250e-01
1.219995847992580096e+00,8.695000410079956055e-01
1.223032574073533496e+00,8.700000643730163574e-01
1.226006695661306933e+00,8.695000410079956055e-01
1.228920741983243747e+00,8.695000410079956055e-01
1.231777092025039266e+00,8.700000643730163574e-01
1.234577986199640209e+00,8.710000514984130859e-01
1.237325536904818168e+00,8.710000514984130859e-01
1.240021738094059467e+00,8.700000643730163574e-01
1.242668473969394727e+00,8.705000281333923340e-01
1.245267526891101539e+00,8.705000281333923340e-01
1.247820584587441495e+00,8.710000514984130859e-01
1.250329246737470701e+00,8.715000152587890625e-01
1.252795030991231906e+00,8.710000514984130859e-01
1.255219378484054404e+00,8.700000643730163574e-01
1.257603658895137588e+00,8.695000410079956055e-01
1.259949175094880580e+00,8.685000538825988770e-01
1.262257167420431925e+00,8.685000538825988770e-01
1.264528817614592127e+00,8.690000176429748535e-01
1.266765252459385760e+00,8.685000538825988770e-01
1.268967547132268114e+00,8.685000538825988770e-01
1.271136728309994801e+00,8.700000643730163574e-01
1.273273777042583932e+00,8.695000410079956055e-01
1.275379631417503656e+00,8.700000643730163574e-01
1.277455189032204563e+00,8.685000538825988770e-01
1.279501309291295463e+00,8.685000538825988770e-01
1.281518815543087886e+00,8.690000176429748535e-01
1.283508497068796661e+00,8.685000538825988770e-01
1.285471110936426964e+00,8.700000643730163574e-01
1.287407383730243549e+00,8.715000152587890625e-01
1.289318013165711152e+00,8.715000152587890625e-01
1.291203669598888215e+00,8.715000152587890625e-01
1.293064997438442054e+00,8.725000619888305664e-01
1.294902616467734635e+00,8.720000386238098145e-01
1.296717123083757084e+00,8.730000257492065430e-01
1.298509091459120190e+00,8.725000619888305664e-01
1.300279074632757048e+00,8.730000257492065430e-01
1.302027605534526122e+00,8.735000491142272949e-01
1.303755197948464284e+00,8.735000491142272949e-01
1.305462347419044544e+00,8.740000128746032715e-01
1.307149532104439738e+00,8.735000491142272949e-01
1.308817213580465877e+00,8.745000362396240234e-01
1.310465837598588479e+00,8.745000362396240234e-01
1.312095834801104699e+00,8.740000128746032715e-01
