# Iterations, training_loss
0.000000000000000000e+00,1.132670715451240540e-01
8.571428571428570649e+03,4.133009817451238632e-03
1.714285714285714130e+04,1.801835023798048496e-03
2.571428571428571013e+04,1.402805675752460957e-03
3.428571428571428260e+04,1.200010534375905991e-03
4.285714285714285506e+04,1.100004417821764946e-03
5.142857142857142026e+04,1.000002725049853325e-03
5.999999999999999272e+04,9.000058053061366081e-04
6.857142857142856519e+04,8.000006200745701790e-04
7.714285714285713038e+04,7.002810598351061344e-04
8.571428571428571013e+04,7.000041077844798565e-04
9.428571428571427532e+04,7.000001496635377407e-04
1.028571428571428405e+05,7.000007317401468754e-04
1.114285714285714203e+05,6.000128341838717461e-04
1.200000000000000000e+05,6.000065477564930916e-04
