# kappa, accuracy
0.000000000000000000e+00,4.889999926090240479e-01
3.460073444006406262e-01,4.990000128746032715e-01
4.392989804139654786e-01,5.000000000000000000e-01
4.954879534040906308e-01,5.000000000000000000e-01
5.358240781610213999e-01,5.000000000000000000e-01
5.673117494511633607e-01,5.000000000000000000e-01
5.931431758909541108e-01,5.000000000000000000e-01
6.150443170555225381e-01,5.000000000000000000e-01
6.340547281241819544e-01,5.000000000000000000e-01
6.508492876124090110e-01,5.000000000000000000e-01
6.658910486627465097e-01,5.000000000000000000e-01
6.795115499806327897e-01,5.000000000000000000e-01
6.919563396248257225e-01,5.000000000000000000e-01
7.034123605796732681e-01,5.000000000000000000e-01
7.140252338782505648e-01,5.000000000000000000e-01
7.239106057220631163e-01,5.000000000000000000e-01
7.331618486340352181e-01,5.000000000000000000e-01
7.418554379485020611e-01,4.995000064373016357e-01
7.500547979727125725e-01,4.984999895095825195e-01
7.578131124845400857e-01,4.979999959468841553e-01
7.651754171839290075e-01,4.990000128746032715e-01
7.721801835791627378e-01,4.990000128746032715e-01
7.788605357838934706e-01,4.995000064373016357e-01
7.852451978121581799e-01,4.990000128746032715e-01
7.913592399719799886e-01,4.990000128746032715e-01
7.972246734122577783e-01,4.995000064373016357e-01
8.028609284482504105e-01,4.995000064373016357e-01
8.082852429055945587e-01,5.005000233650207520e-01
8.135129800609995909e-01,5.009999871253967285e-01
8.185578909614104060e-01,5.059999823570251465e-01
8.234323324046936010e-01,6.859999895095825195e-01
8.281474492817161304e-01,7.584999799728393555e-01
8.327133280510405910e-01,7.745000123977661133e-01
8.371391266624864658e-01,7.814999818801879883e-01
8.414331851375199678e-01,7.839999794960021973e-01
8.456031201625811011e-01,7.894999980926513672e-01
8.496559063911592879e-01,7.935000061988830566e-01
8.535979466345529065e-01,7.975000143051147461e-01
8.574351327151928936e-01,7.985000014305114746e-01
8.611728984345676796e-01,8.009999990463256836e-01
8.648162658509882528e-01,8.050000071525573730e-01
8.683698858562690637e-01,8.019999861717224121e-01
8.718380738738956692e-01,8.029999732971191406e-01
8.752248413660331794e-01,8.054999709129333496e-01
8.785339237263314338e-01,8.050000071525573730e-01
8.817688050448966308e-01,8.069999814033508301e-01
8.849327401571115415e-01,8.100000023841857910e-01
8.880287743261215949e-01,8.100000023841857910e-01
8.910597608573499473e-01,8.100000023841857910e-01
8.940283769004131464e-01,8.084999918937683105e-01
8.969371376577573995e-01,8.100000023841857910e-01
8.997884091889902791e-01,8.100000023841857910e-01
9.025844199742358853e-01,8.119999766349792480e-01
9.053272713781020942e-01,8.115000128746032715e-01
9.080189471373518728e-01,8.134999871253967285e-01
9.106613219795869352e-01,8.140000104904174805e-01
9.132561694667377106e-01,8.159999847412109375e-01
9.158051691455513232e-01,8.180000185966491699e-01
9.183099130772797158e-01,8.134999871253967285e-01
9.207719118101411748e-01,8.159999847412109375e-01
9.231925998506629316e-01,8.169999718666076660e-01
9.255733406835277011e-01,8.195000290870666504e-01
9.279154313839094170e-01,8.190000057220458984e-01
9.302201068613622503e-01,8.174999952316284180e-01
9.324885437700263235e-01,8.169999718666076660e-01
9.347218641161494368e-01,8.184999823570251465e-01
9.369211385906105471e-01,8.184999823570251465e-01
9.390873896512254015e-01,8.195000290870666504e-01
9.412215943770436688e-01,8.209999799728393555e-01
9.433246871145848367e-01,8.190000057220458984e-01
9.453975619339499703e-01,8.215000033378601074e-01
9.474410749109696273e-01,8.240000009536743164e-01
9.494560462499681552e-01,8.234999775886535645e-01
9.514432622603168355e-01,8.255000114440917969e-01
