# kappa, training_loss
0.000000000000000000e+00,1.253425627946853638e-01
3.460849655705320327e-01,1.235884204506874084e-01
4.393802950667923257e-01,1.226838305592536926e-01
4.955705785873013025e-01,1.215693131089210510e-01
5.359073745792632959e-01,1.186331808567047119e-01
5.673954538709611306e-01,1.167231276631355286e-01
5.932271545395846335e-01,1.166133284568786621e-01
6.151284926845731471e-01,1.221848949790000916e-01
6.341390520960407118e-01,1.166551485657691956e-01
6.509337273239798050e-01,1.192742139101028442e-01
6.659755811950962556e-01,1.169043928384780884e-01
6.795961586091786577e-01,1.127743199467658997e-01
6.920410117716022658e-01,1.092272177338600159e-01
7.034970865471827928e-01,1.196189969778060913e-01
7.141100060323039012e-01,1.098013967275619507e-01
7.239954179452056104e-01,1.089211031794548035e-01
7.332466959487159430e-01,1.093879863619804382e-01
7.419403162504286664e-01,1.073850169777870178e-01
7.501397038378652127e-01,1.053550168871879578e-01
7.578980430267050483e-01,1.058196127414703369e-01
7.652603699476725474e-01,1.191633045673370361e-01
7.722651564581665129e-01,1.068710833787918091e-01
7.789455269577653107e-01,1.052113324403762817e-01
7.853302056969214684e-01,1.016094684600830078e-01
7.914442631808342732e-01,1.088873669505119324e-01
7.973097107241562398e-01,1.020933911204338074e-01
8.029459787824965167e-01,1.047329008579254150e-01
8.083703053011267459e-01,1.033324152231216431e-01
8.135980536593609980e-01,1.038599610328674316e-01
8.186429749926450450e-01,1.095307841897010803e-01
8.235174261755854319e-01,1.008233800530433655e-01
8.282325521659191780e-01,1.056080386042594910e-01
8.327984394807458335e-01,1.040389314293861389e-01
8.372242461213481590e-01,9.996167570352554321e-02
8.415183121546188083e-01,1.035245060920715332e-01
8.456882543072472558e-01,9.723123908042907715e-02
8.497410472685128502e-01,1.039059013128280640e-01
8.536830938816449832e-01,9.644427895545959473e-02
8.575202859976532865e-01,9.622423350811004639e-02
8.612580574436813352e-01,9.815431386232376099e-02
8.649014303011359761e-01,1.018607541918754578e-01
8.684550554826798718e-01,9.711509943008422852e-02
8.719232484306658204e-01,9.790545701980590820e-02
8.753100206243752401e-01,1.006060242652893066e-01
8.786191074730218542e-01,9.653086960315704346e-02
8.818539930808952931e-01,9.982905536890029907e-02
8.850179322963310780e-01,9.800881147384643555e-02
8.881139703943270458e-01,1.001185327768325806e-01
8.911449606911737709e-01,9.214923530817031860e-02
8.941135803464693721e-01,9.507095813751220703e-02
8.970223445718449318e-01,9.760357439517974854e-02
8.998736194353739171e-01,1.002878397703170776e-01
9.026696334249961762e-01,9.440207481384277344e-02
9.054124879125465819e-01,9.080091118812561035e-02
9.081041666414809699e-01,9.468124061822891235e-02
9.107465443456080889e-01,9.656312316656112671e-02
9.133413945926225352e-01,9.448512643575668335e-02
9.158903969346319229e-01,9.091967344284057617e-02
