# kappa, accuracy
0.000000000000000000e+00,4.794999957084655762e-01
3.460112070985016386e-01,5.699999928474426270e-01
4.393030269615354477e-01,5.078333616256713867e-01
4.954920651867258385e-01,5.756666660308837891e-01
5.358282233563477215e-01,5.488333106040954590e-01
5.673159149560350611e-01,5.836666822433471680e-01
5.931473550464489986e-01,5.000000000000000000e-01
6.150485060163672912e-01,5.379999876022338867e-01
6.340589244692873550e-01,5.414999723434448242e-01
6.508534897188519297e-01,5.860000252723693848e-01
6.658952553896619886e-01,5.435000061988830566e-01
6.795157604954996655e-01,5.221666693687438965e-01
6.919605533015337206e-01,5.446666479110717773e-01
7.034165769354965292e-01,6.033333539962768555e-01
7.140294525331716269e-01,6.010000109672546387e-01
7.239148263715645681e-01,5.996666550636291504e-01
7.331660710303422590e-01,5.824999809265136719e-01
7.418596618873094517e-01,5.960000157356262207e-01
7.500590232835779858e-01,6.168333292007446289e-01
7.578173390237918916e-01,5.379999876022338867e-01
7.651796448293393116e-01,6.251666545867919922e-01
7.721844122258822996e-01,6.129999756813049316e-01
7.788647653413057759e-01,6.356666684150695801e-01
7.852494282014153004e-01,5.864999890327453613e-01
7.913634711240489228e-01,5.995000004768371582e-01
7.972289052663567022e-01,6.061666607856750488e-01
8.028651609505838005e-01,5.465000271797180176e-01
8.082894760083220165e-01,6.091666817665100098e-01
8.135172137213884103e-01,6.306666731834411621e-01
8.185621251411334676e-01,6.470000147819519043e-01
8.234365670692432859e-01,5.000000000000000000e-01
8.281516843999140454e-01,6.093333363533020020e-01
8.327175635946220122e-01,6.236666440963745117e-01
8.371433626057482869e-01,6.291666626930236816e-01
8.414374214570206068e-01,6.065000295639038086e-01
8.456073568368822624e-01,6.305000185966491699e-01
8.496601434006045839e-01,6.380000114440917969e-01
8.536021839610751227e-01,6.405000090599060059e-01
8.574393703421475665e-01,5.871666669845581055e-01
8.611771363465874352e-01,6.431666612625122070e-01
8.648205040338553529e-01,6.489999890327453613e-01
8.683741242968036067e-01,6.421666741371154785e-01
8.718423125598568912e-01,5.913333296775817871e-01
8.752290802860323016e-01,5.538333058357238770e-01
8.785381628697545020e-01,6.265000104904174805e-01
8.817730444018357927e-01,6.175000071525573730e-01
8.849369797183035402e-01,6.373333334922790527e-01
8.880330140828931462e-01,6.125000119209289551e-01
8.910640008015691116e-01,5.836666822433471680e-01
8.940326170244442539e-01,5.673333406448364258e-01
8.969413779544225251e-01,6.421666741371154785e-01
8.997926496515326056e-01,6.226666569709777832e-01
9.025886605962878395e-01,6.016666889190673828e-01
9.053315121536558152e-01,5.073333382606506348e-01
9.080231880607324557e-01,6.340000033378601074e-01
9.106655630454288941e-01,6.531666517257690430e-01
9.132604106699618862e-01,6.125000119209289551e-01
9.158094104813458980e-01,5.839999914169311523e-01
9.183141545410811180e-01,6.503333449363708496e-01
9.207761533976176471e-01,5.723333358764648438e-01
9.231968415576986553e-01,6.406666636466979980e-01
9.255775825062091400e-01,6.118333339691162109e-01
9.279196733185121060e-01,5.914999842643737793e-01
9.302243489043388047e-01,5.795000195503234863e-01
9.324927859179951151e-01,5.879999995231628418e-01
9.347261063658850455e-01,6.376666426658630371e-01
9.369253809390339915e-01,6.449999809265136719e-01
9.390916320953949237e-01,6.455000042915344238e-01
9.412258369141475178e-01,6.083333492279052734e-01
