# kappa, accuracy
0.000000000000000000e+00,4.495000243186950684e-01
3.459716708064346502e-01,5.720000267028808594e-01
4.392616086487701743e-01,6.710000038146972656e-01
4.954499790745787169e-01,6.580000519752502441e-01
5.357857952035387505e-01,6.570000052452087402e-01
5.672732788971249773e-01,6.525000333786010742e-01
5.931045792477838141e-01,6.615000367164611816e-01
6.150056298414623424e-01,6.765000224113464355e-01
6.340159727025120873e-01,6.895000338554382324e-01
6.508104789738713425e-01,6.835000514984130859e-01
6.658521973453711551e-01,6.905000209808349609e-01
6.794726636743251280e-01,6.880000233650207520e-01
6.919174241128971392e-01,6.885000467300415039e-01
7.033734203210092462e-01,6.905000209808349609e-01
7.139862723830350255e-01,6.945000290870666504e-01
7.238716258030911677e-01,6.955000162124633789e-01
7.331228525799771134e-01,6.955000162124633789e-01
7.418164276465063489e-01,6.970000267028808594e-01
7.500157749971401167e-01,7.040000557899475098e-01
7.577740781624692223e-01,7.085000276565551758e-01
7.651363726443665136e-01,7.105000615119934082e-01
7.721411297905931281e-01,7.165000438690185547e-01
7.788214735833322022e-01,7.175000309944152832e-01
7.852061279279172190e-01,7.180000543594360352e-01
7.913201630417101562e-01,7.230000495910644531e-01
7.971855899973964155e-01,7.265000343322753906e-01
8.028218390457017017e-01,7.300000190734863281e-01
8.082461479572549123e-01,7.300000190734863281e-01
8.134738799615877092e-01,7.310000061988830566e-01
8.185187860649522085e-01,7.350000143051147461e-01
8.233932230299301214e-01,7.360000610351562500e-01
8.281083357166415526e-01,7.390000224113464355e-01
8.326742105567339625e-01,7.430000305175781250e-01
8.371000054763637621e-01,7.490000128746032715e-01
8.413940604761102060e-01,7.495000362396240234e-01
8.455639922239063244e-01,7.560000419616699219e-01
8.496167753567859249e-01,7.570000290870666504e-01
8.535588126713650192e-01,7.580000162124633789e-01
8.573959959769341665e-01,7.595000267028808594e-01
8.611337590631855665e-01,7.605000138282775879e-01
8.647771239778108132e-01,7.640000581741333008e-01
8.683307416030382475e-01,7.645000219345092773e-01
8.717989273536782546e-01,7.665000557899475098e-01
8.751856926840256845e-01,7.695000171661376953e-01
8.784947729805743233e-01,7.725000381469726562e-01
8.817296523269091413e-01,7.790000438690185547e-01
8.848935855524565630e-01,7.760000228881835938e-01
8.879896179149123769e-01,7.795000076293945312e-01
8.910206027147032914e-01,7.795000076293945312e-01
8.939892170968561924e-01,7.790000438690185547e-01
8.968979762595938876e-01,7.790000438690185547e-01
8.997492462586315076e-01,7.805000543594360352e-01
9.025452555704993607e-01,7.795000076293945312e-01
9.052881055564822033e-01,7.820000648498535156e-01
9.079797799502659084e-01,7.820000648498535156e-01
9.106221534765981396e-01,7.830000519752502441e-01
9.132169996947586688e-01,7.830000519752502441e-01
9.157659981490303691e-01,7.835000157356262207e-01
9.182707408983695752e-01,7.830000519752502441e-01
9.207327384888550625e-01,7.835000157356262207e-01
9.231534254250167715e-01,7.865000367164611816e-01
9.255341651896706878e-01,7.840000391006469727e-01
9.278762548562446977e-01,7.865000367164611816e-01
9.301809293326567252e-01,7.865000367164611816e-01
9.324493652715141190e-01,7.860000133514404297e-01
9.346826846776247200e-01,7.870000600814819336e-01
9.368819582405155666e-01,7.860000133514404297e-01
9.390482084167306454e-01,7.870000600814819336e-01
9.411824122841226936e-01,7.860000133514404297e-01
9.432855041880835456e-01,7.870000600814819336e-01
9.453583781976510059e-01,7.865000367164611816e-01
9.474018903876521014e-01,7.880000472068786621e-01
9.494168609614634935e-01,7.870000600814819336e-01
9.514040762275602914e-01,7.885000109672546387e-01
9.533642904417776176e-01,7.885000109672546387e-01
9.552982275260830658e-01,7.880000472068786621e-01
9.572065826736635419e-01,7.905000448226928711e-01
9.590900238492331420e-01,7.880000472068786621e-01
9.609491931926630315e-01,7.895000576972961426e-01
9.627847083333129774e-01,7.890000343322753906e-01
9.645971636218002576e-01,7.900000214576721191e-01
9.663871312853474782e-01,7.900000214576721191e-01
9.681551625123328009e-01,7.900000214576721191e-01
9.699017884711849113e-01,7.900000214576721191e-01
9.716275212683331830e-01,7.895000576972961426e-01
9.733328548495389088e-01,7.910000085830688477e-01
9.750182658485736509e-01,7.910000085830688477e-01
9.766842143868958992e-01,7.905000448226928711e-01
9.783311448276790223e-01,7.920000553131103516e-01
9.799594864872857025e-01,7.925000190734863281e-01
9.815696543070363544e-01,7.920000553131103516e-01
9.831620494879015348e-01,7.900000214576721191e-01
9.847370600905482885e-01,7.905000448226928711e-01
9.862950616029841910e-01,7.920000553131103516e-01
9.878364174778760942e-01,7.920000553131103516e-01
9.893614796414691437e-01,7.920000553131103516e-01
9.908705889758862018e-01,7.905000448226928711e-01
9.923640757764617959e-01,7.895000576972961426e-01
9.938422601856469196e-01,7.920000553131103516e-01
9.953054526049089912e-01,7.925000190734863281e-01
9.967539540859523539e-01,7.920000553131103516e-01
9.981880567024942197e-01,7.925000190734863281e-01
9.996080439037433596e-01,7.910000085830688477e-01
1.001014190850651797e+00,7.935000658035278320e-01
1.002406764735937372e+00,7.915000319480895996e-01
1.003786025088808653e+00,7.905000448226928711e-01
1.005152224065260169e+00,7.910000085830688477e-01
1.006505606724751312e+00,7.905000448226928711e-01
1.007846411294027078e+00,7.925000190734863281e-01
1.009174869418794529e+00,7.885000109672546387e-01
1.010491206403912656e+00,7.895000576972961426e-01
1.011795641442727600e+00,7.895000576972961426e-01
1.013088387836130311e+00,7.900000214576721191e-01
1.014369653201886878e+00,7.900000214576721191e-01
1.015639639674755124e+00,7.905000448226928711e-01
1.016898544097869728e+00,7.905000448226928711e-01
1.018146558205850427e+00,7.900000214576721191e-01
1.019383868800054493e+00,7.895000576972961426e-01
1.020610657916382058e+00,7.905000448226928711e-01
1.021827102986003766e+00,7.875000238418579102e-01
1.023033376989369359e+00,7.880000472068786621e-01
1.024229648603832254e+00,7.895000576972961426e-01
1.025416082345201430e+00,7.900000214576721191e-01
1.026592838703523469e+00,7.895000576972961426e-01
1.027760074273367907e+00,7.900000214576721191e-01
1.028917941878886966e+00,7.890000343322753906e-01
1.030066590693896833e+00,7.895000576972961426e-01
1.031206166357212517e+00,7.905000448226928711e-01
1.032336811083468531e+00,7.870000600814819336e-01
1.033458663769626806e+00,7.895000576972961426e-01
1.034571860097376339e+00,7.885000109672546387e-01
1.035676532631613300e+00,7.895000576972961426e-01
1.036772810915178145e+00,7.885000109672546387e-01
1.037860821560021574e+00,7.910000085830688477e-01
1.038940688334957008e+00,7.920000553131103516e-01
1.040012532250154553e+00,7.885000109672546387e-01
1.041076471638518797e+00,7.920000553131103516e-01
1.042132622234087425e+00,7.915000319480895996e-01
1.043181097247581901e+00,7.880000472068786621e-01
1.044222007439231215e+00,7.895000576972961426e-01
1.045255461188989488e+00,7.875000238418579102e-01
1.046281564564253808e+00,7.880000472068786621e-01
1.047300421385192637e+00,7.915000319480895996e-01
1.048312133287782943e+00,7.915000319480895996e-01
1.049316799784652199e+00,7.930000424385070801e-01
1.050314518323817392e+00,7.865000367164611816e-01
1.051305384345405214e+00,7.870000600814819336e-01
1.052289491336439786e+00,7.910000085830688477e-01
1.053266930883772545e+00,7.865000367164611816e-01
1.054237792725232437e+00,7.915000319480895996e-01
1.055202164799065478e+00,7.915000319480895996e-01
1.056160133291733416e+00,7.930000424385070801e-01
1.057111782684136081e+00,7.905000448226928711e-01
1.058057195796318739e+00,7.880000472068786621e-01
1.058996453830724382e+00,7.875000238418579102e-01
1.059929636414047138e+00,7.885000109672546387e-01
1.060856821637740310e+00,7.895000576972961426e-01
1.061778086097231455e+00,7.905000448226928711e-01
1.062693504929894006e+00,7.905000448226928711e-01
1.063603151851819861e+00,7.910000085830688477e-01
1.064507099193441553e+00,7.905000448226928711e-01
1.065405417934045307e+00,7.900000214576721191e-01
1.066298177735214958e+00,7.885000109672546387e-01
1.067185446973249574e+00,7.900000214576721191e-01
1.068067292770586985e+00,7.905000448226928711e-01
1.068943781026277184e+00,7.905000448226928711e-01
1.069814976445530919e+00,7.910000085830688477e-01
1.070680942568385419e+00,7.920000553131103516e-01
1.071541741797512604e+00,7.915000319480895996e-01
1.072397435425203494e+00,7.915000319480895996e-01
1.073248083659555707e+00,7.925000190734863281e-01
1.074093745649896237e+00,7.920000553131103516e-01
1.074934479511461038e+00,7.930000424385070801e-01
1.075770342349359865e+00,7.920000553131103516e-01
1.076601390281852311e+00,7.915000319480895996e-01
1.077427678462955951e+00,7.915000319480895996e-01
1.078249261104410772e+00,7.930000424385070801e-01
1.079066191497022542e+00,7.915000319480895996e-01
1.079878522031405330e+00,7.915000319480895996e-01
1.080686304218141602e+00,7.910000085830688477e-01
1.081489588707383653e+00,7.920000553131103516e-01
1.082288425307909696e+00,7.905000448226928711e-01
1.083082863005657703e+00,7.905000448226928711e-01
1.083872949981750100e+00,7.915000319480895996e-01
1.084658733630027960e+00,7.920000553131103516e-01
1.085440260574110471e+00,7.915000319480895996e-01
1.086217576683994990e+00,7.925000190734863281e-01
1.086990727092211895e+00,7.910000085830688477e-01
1.087759756209549566e+00,7.920000553131103516e-01
1.088524707740360142e+00,7.900000214576721191e-01
1.089285624697465815e+00,7.905000448226928711e-01
1.090042549416669893e+00,7.910000085830688477e-01
1.090795523570891934e+00,7.915000319480895996e-01
1.091544588183934739e+00,7.915000319480895996e-01
1.092289783643895396e+00,7.950000166893005371e-01
1.093031149716233275e+00,7.930000424385070801e-01
1.093768725556502952e+00,7.955000400543212891e-01
1.094502549722762286e+00,7.935000658035278320e-01
1.095232660187668960e+00,7.930000424385070801e-01
1.095959094350270391e+00,7.925000190734863281e-01
1.096681889047499414e+00,7.935000658035278320e-01
1.097401080565383102e+00,7.940000295639038086e-01
1.098116704649972908e+00,7.940000295639038086e-01
1.098828796518006357e+00,7.955000400543212891e-01
1.099537390867306064e+00,7.940000295639038086e-01
1.100242521886924951e+00,7.955000400543212891e-01
1.100944223267043887e+00,7.950000166893005371e-01
1.101642528208631733e+00,7.955000400543212891e-01
1.102337469432870254e+00,7.960000634193420410e-01
1.103029079190355199e+00,7.945000529289245605e-01
1.103717389270076010e+00,7.960000634193420410e-01
1.104402431008185248e+00,7.970000505447387695e-01
1.105084235296556638e+00,7.960000634193420410e-01
1.105762832591145717e+00,7.960000634193420410e-01
1.106438252920152632e+00,7.975000143051147461e-01
1.107110525891994879e+00,7.985000610351562500e-01
1.107779680703096625e+00,7.975000143051147461e-01
1.108445746145495736e+00,7.975000143051147461e-01
1.109108750614279160e+00,7.970000505447387695e-01
1.109768722114844453e+00,7.975000143051147461e-01
1.110425688269999878e+00,7.960000634193420410e-01
1.111079676326900634e+00,7.955000400543212891e-01
1.111730713163829654e+00,7.970000505447387695e-01
1.112378825296826745e+00,7.975000143051147461e-01
1.113024038886168299e+00,8.000000119209289551e-01
1.113666379742703771e+00,7.980000376701354980e-01
1.114305873334050290e+00,7.975000143051147461e-01
1.114942544790652912e+00,7.975000143051147461e-01
1.115576418911709222e+00,7.995000481605529785e-01
1.116207520170965806e+00,7.990000247955322266e-01
1.116835872722388601e+00,7.975000143051147461e-01
1.117461500405709351e+00,7.970000505447387695e-01
1.118084426751852822e+00,7.995000481605529785e-01
1.118704674988248104e+00,7.990000247955322266e-01
1.119322268044024460e+00,7.995000481605529785e-01
1.119937228555098363e+00,7.995000481605529785e-01
1.120549578869150631e+00,8.010000586509704590e-01
1.121159341050500968e+00,8.005000352859497070e-01
1.121766536884876819e+00,8.020000457763671875e-01
1.122371187884084964e+00,8.015000224113464355e-01
1.122973315290583640e+00,8.015000224113464355e-01
1.123572940081961402e+00,8.000000119209289551e-01
1.124170082975321616e+00,8.005000352859497070e-01
1.124764764431578357e+00,7.995000481605529785e-01
1.125357004659661708e+00,8.030000329017639160e-01
1.125946823620639803e+00,8.045000433921813965e-01
1.126534241031755590e+00,8.020000457763671875e-01
1.127119276370381007e+00,8.045000433921813965e-01
1.127701948877892990e+00,8.030000329017639160e-01
1.128282277563470215e+00,8.040000200271606445e-01
1.128860281207814564e+00,8.045000433921813965e-01
1.129435978366797544e+00,8.055000305175781250e-01
1.130009387375035423e+00,8.015000224113464355e-01
1.130580526349392434e+00,8.050000667572021484e-01
1.131149413192415132e+00,8.050000667572021484e-01
1.131716065595700371e+00,8.030000329017639160e-01
1.132280501043195775e+00,8.035000562667846680e-01
1.132842736814436924e+00,8.055000305175781250e-01
1.133402789987721482e+00,8.035000562667846680e-01
1.133960677443222487e+00,8.045000433921813965e-01
1.134516415866040351e+00,8.065000176429748535e-01
1.135070021749196911e+00,8.060000538825988770e-01
1.135621511396573746e+00,8.050000667572021484e-01
1.136170900925792093e+00,8.055000305175781250e-01
1.136718206271039033e+00,8.055000305175781250e-01
1.137263443185841716e+00,8.060000538825988770e-01
1.137806627245787627e+00,8.055000305175781250e-01
1.138347773851193123e+00,8.060000538825988770e-01
1.138886898229725997e+00,8.065000176429748535e-01
1.139424015438973870e+00,8.055000305175781250e-01
