# kappa, accuracy
0.000000000000000000e+00,4.995000064373016357e-01
3.459758241921664368e-01,4.754999876022338867e-01
4.392659597708531982e-01,5.824999809265136719e-01
4.954544003602139868e-01,5.764999985694885254e-01
5.357902524264085420e-01,5.995000004768371582e-01
5.672777579641317125e-01,5.860000252723693848e-01
5.931090729968879760e-01,5.945000052452087402e-01
6.150101341368482410e-01,6.110000014305114746e-01
6.340204849401520626e-01,6.430000066757202148e-01
6.508149974082105826e-01,6.184999942779541016e-01
6.658567207493376605e-01,6.564999818801879883e-01
6.794771911524886132e-01,6.579999923706054688e-01
6.919219549918353973e-01,6.460000276565551758e-01
7.033779540815190412e-01,6.445000171661376953e-01
7.139908086163823109e-01,6.159999966621398926e-01
7.238761641817470505e-01,6.614999771118164062e-01
7.331273928374433257e-01,6.485000252723693848e-01
7.418209695630387790e-01,5.805000066757202148e-01
7.500203183894160741e-01,6.604999899864196777e-01
7.577786228759606502e-01,6.685000061988830566e-01
7.651409185476091279e-01,6.790000200271606445e-01
7.721456767708138047e-01,6.449999809265136719e-01
7.788260215430670153e-01,6.664999723434448242e-01
7.852106767823596734e-01,6.589999794960021973e-01
7.913247127166104233e-01,6.790000200271606445e-01
7.971901404273795677e-01,6.865000128746032715e-01
8.028263901729066898e-01,6.679999828338623047e-01
8.082506997302262297e-01,6.740000247955322266e-01
8.134784323343633439e-01,6.650000214576721191e-01
8.185233389963083583e-01,6.704999804496765137e-01
8.233977764827519197e-01,6.840000152587890625e-01
8.281128896573942688e-01,6.859999895095825195e-01
8.326787649550165815e-01,6.919999718666076660e-01
8.371045603045312866e-01,6.865000128746032715e-01
8.413986157089492490e-01,6.815000176429748535e-01
8.455685478383588860e-01,6.784999966621398926e-01
8.496213313317098059e-01,6.909999847412109375e-01
8.535633689873276531e-01,6.890000104904174805e-01
8.574005526160334290e-01,6.830000281333923340e-01
8.611383160088927902e-01,6.804999709129333496e-01
8.647816812148335641e-01,6.965000033378601074e-01
8.683352991172007540e-01,6.915000081062316895e-01
8.718034851318146039e-01,6.679999828338623047e-01
8.751902507138866749e-01,6.830000281333923340e-01
8.784993312507438645e-01,6.859999895095825195e-01
8.817342108267303136e-01,6.984999775886535645e-01
8.848981442719663359e-01,6.840000152587890625e-01
8.879941768447821016e-01,6.949999928474426270e-01
8.910251618461862977e-01,6.859999895095825195e-01
8.939937764217398275e-01,6.869999766349792480e-01
8.969025357701577716e-01,6.984999775886535645e-01
8.997538059476083427e-01,6.919999718666076660e-01
9.025498154310402921e-01,6.990000009536743164e-01
9.052926655821252888e-01,6.990000009536743164e-01
9.079843401349073639e-01,6.965000033378601074e-01
9.106267138144668039e-01,6.999999880790710449e-01
9.132215601803920224e-01,7.020000219345092773e-01
9.157705587772525524e-01,6.955000162124633789e-01
9.182753016642724031e-01,6.809999942779541016e-01
9.207372993877792622e-01,6.934999823570251465e-01
9.231579864525354395e-01,7.009999752044677734e-01
9.255387263415747467e-01,6.945000290870666504e-01
9.278808161285279077e-01,7.034999728202819824e-01
9.301854907215040269e-01,6.995000243186950684e-01
9.324539267732881997e-01,6.999999880790710449e-01
9.346872462888564659e-01,6.859999895095825195e-01
9.368865199578929603e-01,7.014999985694885254e-01
9.390527702370898844e-01,7.009999752044677734e-01
9.411869742044394194e-01,7.034999728202819824e-01
9.432900662054646279e-01,7.024999856948852539e-01
9.453629403093271044e-01,7.039999961853027344e-01
9.474064525909706713e-01,6.945000290870666504e-01
9.494214232538824572e-01,6.955000162124633789e-01
9.514086386066420431e-01,6.905000209808349609e-01
9.533688529051829175e-01,7.034999728202819824e-01
9.553027900715662657e-01,7.045000195503234863e-01
9.572111452990675895e-01,7.055000066757202148e-01
9.590945865524850289e-01,7.085000276565551758e-01
9.609537559717690192e-01,7.080000042915344238e-01
9.627892711863551556e-01,7.055000066757202148e-01
9.646017265469326585e-01,7.074999809265136719e-01
9.663916942807920796e-01,7.039999961853027344e-01
9.681597255763768617e-01,7.089999914169311523e-01
9.699063516021774189e-01,7.070000171661376953e-01
9.716320844646819666e-01,7.105000019073486328e-01
9.733374181097080857e-01,7.080000042915344238e-01
9.750228291710808515e-01,7.074999809265136719e-01
9.766887777703094908e-01,7.055000066757202148e-01
9.783357082706164443e-01,7.045000195503234863e-01
9.799640499884108014e-01,7.114999890327453613e-01
9.815742178650573857e-01,7.030000090599060059e-01
9.831666131015696086e-01,7.059999704360961914e-01
9.847416237586549270e-01,7.085000276565551758e-01
9.862996253243598854e-01,7.085000276565551758e-01
9.878409812513887500e-01,7.045000195503234863e-01
9.893660434660223046e-01,7.055000066757202148e-01
9.908751528504174955e-01,7.124999761581420898e-01
9.923686396999418236e-01,7.099999785423278809e-01
9.938468241570778128e-01,7.099999785423278809e-01
9.953100166233230794e-01,7.110000252723693848e-01
9.967585181504108327e-01,7.059999704360961914e-01
9.981926208120863730e-01,7.074999809265136719e-01
9.996126080575848949e-01,7.085000276565551758e-01
1.001018755047884401e+00,7.120000123977661133e-01
1.002411328975727489e+00,7.064999938011169434e-01
1.003790589370346265e+00,7.024999856948852539e-01
1.005156788387758349e+00,6.999999880790710449e-01
1.006510171087445116e+00,7.105000019073486328e-01
1.007850975696173101e+00,7.105000019073486328e-01
1.009179433859669128e+00,7.095000147819519043e-01
1.010495770882812616e+00,7.039999961853027344e-01
1.011800205958968579e+00,7.024999856948852539e-01
1.013092952389045731e+00,7.105000019073486328e-01
1.014374217790828148e+00,7.085000276565551758e-01
1.015644204299090969e+00,7.129999995231628418e-01
1.016903108756985308e+00,7.045000195503234863e-01
1.018151122899146221e+00,7.124999761581420898e-01
1.019388433526946969e+00,7.124999761581420898e-01
1.020615222676302336e+00,7.129999995231628418e-01
1.021831667778396957e+00,7.124999761581420898e-01
1.023037941813695006e+00,7.149999737739562988e-01
1.024234213459562559e+00,7.120000123977661133e-01
1.025420647231822580e+00,7.179999947547912598e-01
1.026597403620532978e+00,7.120000123977661133e-01
1.027764639220276166e+00,7.174999713897705078e-01
1.028922506855216357e+00,7.114999890327453613e-01
1.030071155699180174e+00,7.124999761581420898e-01
1.031210731390994617e+00,7.114999890327453613e-01
1.032341376145304412e+00,7.135000228881835938e-01
1.033463228859081706e+00,7.105000019073486328e-01
1.034576425214025708e+00,7.124999761581420898e-01
1.035681097775042359e+00,7.145000100135803223e-01
1.036777376084981439e+00,7.105000019073486328e-01
1.037865386755802755e+00,7.139999866485595703e-01
1.038945253556328607e+00,7.105000019073486328e-01
1.040017097496737764e+00,7.149999737739562988e-01
1.041081036909943247e+00,7.110000252723693848e-01
1.042137187529990516e+00,7.129999995231628418e-01
1.043185662567609029e+00,7.105000019073486328e-01
1.044226572783035767e+00,7.160000205039978027e-01
1.045260026556231958e+00,7.089999914169311523e-01
1.046286129954602018e+00,7.149999737739562988e-01
1.047304986798321291e+00,7.135000228881835938e-01
1.048316698723373852e+00,7.124999761581420898e-01
1.049321365242393389e+00,7.124999761581420898e-01
1.050319083803403553e+00,7.120000123977661133e-01
1.051309949846537473e+00,7.160000205039978027e-01
1.052294056858825044e+00,7.179999947547912598e-01
1.053271496427124143e+00,7.135000228881835938e-01
1.054242358289268822e+00,7.154999971389770508e-01
1.055206730383510871e+00,7.085000276565551758e-01
1.056164698896318033e+00,7.095000147819519043e-01
1.057116348308594800e+00,7.110000252723693848e-01
1.058061761440392212e+00,7.154999971389770508e-01
1.059001019494157925e+00,7.139999866485595703e-01
1.059934202096591171e+00,7.149999737739562988e-01
1.060861387339149919e+00,7.145000100135803223e-01
1.061782651817266609e+00,7.105000019073486328e-01
1.062698070668318673e+00,7.074999809265136719e-01
1.063607717608403114e+00,7.074999809265136719e-01
1.064511664967956683e+00,7.095000147819519043e-01
1.065409983726269383e+00,7.124999761581420898e-01
1.066302743544929932e+00,7.129999995231628418e-01
1.067190012800240506e+00,7.145000100135803223e-01
1.068071858614643821e+00,7.139999866485595703e-01
1.068948346887192757e+00,7.120000123977661133e-01
1.069819542323102279e+00,7.160000205039978027e-01
1.070685508462413615e+00,7.099999785423278809e-01
1.071546307707801571e+00,7.064999938011169434e-01
1.072402001351560497e+00,7.080000042915344238e-01
1.073252649601792230e+00,7.089999914169311523e-01
1.074098311607826650e+00,7.070000171661376953e-01
1.074939045484903044e+00,7.149999737739562988e-01
1.075774908338134273e+00,7.124999761581420898e-01
1.076605956285782817e+00,7.149999737739562988e-01
1.077432244481869361e+00,7.080000042915344238e-01
1.078253827138137000e+00,7.170000076293945312e-01
1.079070757545394610e+00,7.164999842643737793e-01
1.079883088094258259e+00,7.164999842643737793e-01
1.080690870295313966e+00,7.089999914169311523e-01
1.081494154798716467e+00,7.114999890327453613e-01
1.082292991413246641e+00,7.160000205039978027e-01
1.083087429124844681e+00,7.105000019073486328e-01
1.083877516114636119e+00,7.160000205039978027e-01
1.084663299776463807e+00,7.105000019073486328e-01
1.085444826733950263e+00,7.179999947547912598e-01
1.086222142857094397e+00,7.154999971389770508e-01
1.086995293278429475e+00,7.114999890327453613e-01
1.087764322408745210e+00,7.154999971389770508e-01
1.088529273952397070e+00,7.185000181198120117e-01
1.089290190922208801e+00,7.154999971389770508e-01
1.090047115653985932e+00,7.179999947547912598e-01
1.090800089820650243e+00,7.170000076293945312e-01
1.091549154446006087e+00,7.149999737739562988e-01
