# kappa, training_loss
0.000000000000000000e+00,1.248441189527511597e-01
3.459794768882344940e-01,1.239194571971893311e-01
4.392697863612737841e-01,1.216785013675689697e-01
4.954582886541307185e-01,1.146922111511230469e-01
5.357941723243618837e-01,1.100595891475677490e-01
5.672816970723180141e-01,1.057418733835220337e-01
5.931130250168430429e-01,1.072986647486686707e-01
6.150140954314405883e-01,1.028854623436927795e-01
6.340244532193404225e-01,9.713888913393020630e-02
6.508189711369144481e-01,9.857487678527832031e-02
6.658606988484422340e-01,9.720063209533691406e-02
6.794811728345325763e-01,9.541675448417663574e-02
6.919259396645959237e-01,9.475815296173095703e-02
7.033819412883972610e-01,9.171758592128753662e-02
7.139947979979283099e-01,8.651080727577209473e-02
7.238801554499249002e-01,9.231265634298324585e-02
7.331313857578883875e-01,8.694990724325180054e-02
7.418249639425029685e-01,8.746231347322463989e-02
7.500243140666817965e-01,8.175627887248992920e-02
7.577826197151321663e-01,8.824677765369415283e-02
7.651449164330736963e-01,8.945527672767639160e-02
7.721496756033967568e-01,8.024823665618896484e-02
7.788300212370561360e-01,8.798570930957794189e-02
7.852146772631740657e-01,8.204436302185058594e-02
7.913287139189536523e-01,8.439513295888900757e-02
7.971941422937588451e-01,7.677444815635681152e-02
8.028303926524383849e-01,8.252768218517303467e-02
8.082547027776588733e-01,7.872607558965682983e-02
8.134824359092770463e-01,8.197436481714248657e-02
8.185273430624502300e-01,7.870857417583465576e-02
8.234017810074820698e-01,7.751161605119705200e-02
8.281168946112213991e-01,7.734493911266326904e-02
8.326827703112057444e-01,7.855342328548431396e-02
8.371085660387704852e-01,7.684314996004104614e-02
8.414026217990654422e-01,7.617574185132980347e-02
8.455725542640741832e-01,7.736257463693618774e-02
8.496253380744313022e-01,7.582113891839981079e-02
8.535673760299663515e-01,7.690107077360153198e-02
8.574045599428455899e-01,7.622803002595901489e-02
8.611423236053423746e-01,7.359614968299865723e-02
8.647856890674725516e-01,7.593531906604766846e-02
8.683393072135624502e-01,7.498227059841156006e-02
8.718074934603208259e-01,7.234931737184524536e-02
8.751942592637649287e-01,7.408408820629119873e-02
8.785033400119545144e-01,6.995788961648941040e-02
8.817382197899017449e-01,7.249220460653305054e-02
8.849021534283366686e-01,7.454296201467514038e-02
8.879981861861476755e-01,7.054912298917770386e-02
8.910291713648548217e-01,7.121049612760543823e-02
8.939977861104894119e-01,7.121330499649047852e-02
8.969065456221985144e-01,7.560630887746810913e-02
8.997578159565491340e-01,7.002808153629302979e-02
9.025538255908582830e-01,7.377235591411590576e-02
9.052966758871376918e-01,6.980690360069274902e-02
9.079883505797465837e-01,7.316927611827850342e-02
