# kappa, accuracy
0.000000000000000000e+00,5.000000000000000000e-01
3.459481649849814877e-01,5.000000000000000000e-01
4.392369836386692539e-01,5.000000000000000000e-01
4.954249569359976402e-01,5.000000000000000000e-01
5.357605696582908861e-01,5.000000000000000000e-01
5.672479297127305253e-01,5.000000000000000000e-01
5.930791469617526790e-01,5.000000000000000000e-01
6.149801378627484105e-01,5.000000000000000000e-01
6.339904357700726356e-01,5.000000000000000000e-01
6.507849069676597820e-01,5.000000000000000000e-01
6.658265972106979236e-01,5.000000000000000000e-01
6.794470404793871987e-01,5.000000000000000000e-01
6.918917816693125333e-01,5.000000000000000000e-01
7.033477615675056693e-01,5.000000000000000000e-01
7.139605996330782300e-01,5.000000000000000000e-01
7.238459409105173492e-01,5.000000000000000000e-01
7.330971570531873427e-01,5.000000000000000000e-01
7.417907227292693806e-01,5.000000000000000000e-01
7.499900617270751635e-01,5.000000000000000000e-01
7.577483574142185319e-01,5.000000000000000000e-01
7.651106451620287574e-01,5.000000000000000000e-01
7.721153962124706061e-01,5.000000000000000000e-01
7.787957344610800803e-01,5.749999880790710449e-01
7.851803837415469722e-01,6.535000205039978027e-01
7.912944142114807233e-01,6.560000181198120117e-01
7.971598368933368040e-01,6.575000286102294922e-01
8.027960819953083860e-01,6.690000295639038086e-01
8.082203872517704779e-01,6.934999823570251465e-01
8.134481158611610585e-01,6.869999766349792480e-01
8.184930188029128084e-01,6.890000104904174805e-01
8.233674528163520412e-01,6.855000257492065430e-01
8.280825627413345158e-01,6.905000209808349609e-01
8.326484349917681049e-01,6.959999799728393555e-01
8.370742274782141390e-01,6.990000009536743164e-01
8.413682801874856620e-01,7.059999704360961914e-01
8.455382097753185722e-01,7.059999704360961914e-01
8.495909908679001310e-01,7.099999785423278809e-01
8.535330262521703126e-01,7.110000252723693848e-01
8.573702077287594925e-01,7.160000205039978027e-01
8.611079690795846453e-01,7.145000100135803223e-01
8.647513323453386302e-01,7.264999747276306152e-01
8.683049484019317310e-01,7.214999794960021973e-01
8.717731326584571283e-01,7.225000262260437012e-01
8.751598965640223771e-01,7.275000214576721191e-01
8.784689755004048139e-01,7.285000085830688477e-01
8.817038535468910698e-01,7.319999933242797852e-01
8.848677855289827088e-01,7.315000295639038086e-01
8.879638167007833927e-01,7.310000061988830566e-01
8.909948003594267973e-01,7.365000247955322266e-01
8.939634136469145620e-01,7.235000133514404297e-01
8.968721717586863873e-01,7.329999804496765137e-01
8.997234407478919005e-01,7.329999804496765137e-01
9.025194490886927490e-01,7.300000190734863281e-01
