# kappa, accuracy
0.000000000000000000e+00,4.889999926090240479e-01
3.461320210399195796e-01,6.384999752044677734e-01
4.394295885843747529e-01,6.514999866485595703e-01
4.956206661923410750e-01,6.395000219345092773e-01
5.359578689001233132e-01,6.635000109672546387e-01
5.674461954073015679e-01,6.614999771118164062e-01
5.932780622354757449e-01,6.744999885559082031e-01
6.151795197336773491e-01,6.779999732971191406e-01
6.341901690279703185e-01,6.629999876022338867e-01
6.509849143839944174e-01,6.759999990463256836e-01
6.660268244962730400e-01,6.974999904632568359e-01
6.796474480178599231e-01,6.154999732971191406e-01
6.920923396666336380e-01,7.070000171661376953e-01
7.035484470527290091e-01,7.185000181198120117e-01
7.141613945227187621e-01,7.139999866485595703e-01
7.240468307138530069e-01,7.185000181198120117e-01
7.332981299796427210e-01,7.264999747276306152e-01
7.419917690568004209e-01,6.455000042915344238e-01
7.501911733450324915e-01,7.045000195503234863e-01
7.579495274858820686e-01,6.334999799728393555e-01
7.653118678710877365e-01,7.095000147819519043e-01
7.723166665695810895e-01,7.120000123977661133e-01
7.789970481541867997e-01,6.990000009536743164e-01
7.853817370186035873e-01,7.195000052452087402e-01
7.914958037875020613e-01,7.114999890327453613e-01
7.973612598759666215e-01,7.409999966621398926e-01
8.029975358246460582e-01,7.285000085830688477e-01
8.084218696512999180e-01,7.354999780654907227e-01
8.136496247974114304e-01,7.030000090599060059e-01
8.186945524520498063e-01,7.325000166893005371e-01
8.235690095363195073e-01,7.245000004768371582e-01
8.282841410484739209e-01,7.325000166893005371e-01
8.328500335410814470e-01,7.310000061988830566e-01
8.372758450466066815e-01,7.354999780654907227e-01
8.415699156594663721e-01,7.365000247955322266e-01
8.457398621307375963e-01,7.379999756813049316e-01
8.497926591713853561e-01,7.369999885559082031e-01
8.537347096439859007e-01,7.360000014305114746e-01
8.575719054168654543e-01,7.325000166893005371e-01
8.613096803327116024e-01,7.415000200271606445e-01
8.649530564869257754e-01,7.404999732971191406e-01
8.685066848048023092e-01,7.195000052452087402e-01
8.719748807401261903e-01,7.390000224113464355e-01
8.753616557825494304e-01,6.999999880790710449e-01
8.786707453507160981e-01,7.415000200271606445e-01
8.819056335575098382e-01,7.110000252723693848e-01
8.850695752591140053e-01,7.384999990463256836e-01
8.881656157377082472e-01,7.340000271797180176e-01
8.911966083161679819e-01,7.315000295639038086e-01
8.941652301601387132e-01,7.384999990463256836e-01
8.970739964868169602e-01,7.319999933242797852e-01
8.999252733694055317e-01,7.369999885559082031e-01
9.027212893005802652e-01,7.174999713897705078e-01
9.054641456565547530e-01,6.884999871253967285e-01
9.081558261848401425e-01,7.285000085830688477e-01
9.107982056230058410e-01,7.020000219345092773e-01
9.133930575422392062e-01,7.239999771118164062e-01
9.159420614978956987e-01,7.375000119209289551e-01
9.184468095592434045e-01,7.315000295639038086e-01
9.209088122819736322e-01,6.899999976158142090e-01
9.233295041795894775e-01,7.425000071525573730e-01
9.257102487432932181e-01,7.480000257492065430e-01
9.280523430543577978e-01,7.315000295639038086e-01
9.303570220280499292e-01,7.354999780654907227e-01
9.326254623238662278e-01,7.425000071525573730e-01
9.348587859530814725e-01,7.335000038146972656e-01
9.370580636112976203e-01,7.519999742507934570e-01
9.392243177607713100e-01,7.354999780654907227e-01
9.413585254847329775e-01,7.425000071525573730e-01
9.434616211336404046e-01,7.419999837875366211e-01
9.455344987813085744e-01,7.055000066757202148e-01
9.475780145070725746e-01,7.490000128746032715e-01
9.495929885185673269e-01,7.289999723434448242e-01
9.515802071282931651e-01,7.440000176429748535e-01
9.535404245958930547e-01,7.444999814033508301e-01
9.554743648469395945e-01,7.404999732971191406e-01
9.573827230780352915e-01,7.444999814033508301e-01
9.592661672571327625e-01,7.469999790191650391e-01
9.611253395271752709e-01,6.940000057220458984e-01
9.629608575204401388e-01,7.235000133514404297e-01
9.647733155903158719e-01,7.574999928474426270e-01
9.665632859666597465e-01,7.369999885559082031e-01
9.683313198403566968e-01,7.350000143051147461e-01
9.700779483822207228e-01,7.524999976158142090e-01
9.718036837009539353e-01,7.419999837875366211e-01
9.735090197444825622e-01,7.419999837875366211e-01
9.751944331486436246e-01,7.235000133514404297e-01
9.768603840368651481e-01,7.459999918937683105e-01
9.785073167742014411e-01,7.425000071525573730e-01
9.801356606788111936e-01,7.459999918937683105e-01
9.817458306937312251e-01,7.459999918937683105e-01
9.833382280215733351e-01,7.444999814033508301e-01
9.849132407245742016e-01,7.484999895095825195e-01
9.864712442922437541e-01,7.475000023841857910e-01
9.880126021786873602e-01,7.440000176429748535e-01
9.895376663115282856e-01,6.894999742507934570e-01
9.910467775742095586e-01,7.214999794960021973e-01
9.925402662633324713e-01,7.229999899864196777e-01
9.940184525225624901e-01,7.524999976158142090e-01
9.954816467545323233e-01,7.519999742507934570e-01
9.969301500120655302e-01,7.475000023841857910e-01
9.983642543699540184e-01,7.239999771118164062e-01
9.997842432784390665e-01,7.555000185966491699e-01
1.001190391899465348e+00,7.459999918937683105e-01
1.002582967426705274e+00,7.490000128746032715e-01
1.003962229390285232e+00,7.484999895095825195e-01
1.005328429947083269e+00,7.519999742507934570e-01
1.006681814157408983e+00,7.300000190734863281e-01
1.008022620248827161e+00,6.719999909400939941e-01
1.009351079867833123e+00,7.544999718666076660e-01
1.010667418320046584e+00,7.415000200271606445e-01
1.011971854799546655e+00,7.455000281333923340e-01
1.013264602607930609e+00,7.500000000000000000e-01
1.014545869363646879e+00,7.425000071525573730e-01
1.015815857202110539e+00,7.509999871253967285e-01
1.017074762967091983e+00,7.500000000000000000e-01
1.018322778393823569e+00,7.505000233650207520e-01
1.019560090284255427e+00,7.465000152587890625e-01
1.020786880674859232e+00,7.559999823570251465e-01
1.022003326997358519e+00,7.524999976158142090e-01
1.023209602232737936e+00,7.269999980926513672e-01
1.024405875058867599e+00,7.074999809265136719e-01
1.025592309992056528e+00,7.170000076293945312e-01
1.026769067522834478e+00,7.540000081062316895e-01
1.027936304246239718e+00,7.434999942779541016e-01
1.029094172986877664e+00,7.360000014305114746e-01
1.030242822919002155e+00,7.335000038146972656e-01
1.031382399681854523e+00,7.505000233650207520e-01
1.032513045490480286e+00,7.434999942779541016e-01
1.033634899242240390e+00,7.379999756813049316e-01
1.034748096619210189e+00,7.459999918937683105e-01
1.035852770186661331e+00,7.394999861717224121e-01
1.036949049487797314e+00,7.534999847412109375e-01
1.038037061134921446e+00,7.484999895095825195e-01
1.039116928897189540e+00,7.329999804496765137e-01
1.040188773785103438e+00,7.519999742507934570e-01
1.041252714131889689e+00,7.369999885559082031e-01
1.042308865671898843e+00,7.540000081062316895e-01
1.043357341616156120e+00,7.444999814033508301e-01
1.044398252725186049e+00,7.519999742507934570e-01
1.045431707379228525e+00,7.524999976158142090e-01
1.046457811645959524e+00,7.599999904632568359e-01
1.047476669345818179e+00,7.400000095367431641e-01
1.048488382115043915e+00,7.519999742507934570e-01
1.049493049466520445e+00,7.475000023841857910e-01
1.050490768848513445e+00,7.350000143051147461e-01
1.051481635701391415e+00,7.154999971389770508e-01
1.052465743512413621e+00,7.350000143051147461e-01
1.053443183868660649e+00,7.534999847412109375e-01
1.054414046508184377e+00,7.540000081062316895e-01
1.055378419369447096e+00,7.584999799728393555e-01
1.056336388639122159e+00,7.580000162124633789e-01
1.057288038798315233e+00,7.465000152587890625e-01
1.058233452667270980e+00,7.574999928474426270e-01
1.059172711448628457e+00,7.605000138282775879e-01
1.060105894769270751e+00,7.570000290870666504e-01
1.061033080720836574e+00,7.549999952316284180e-01
1.061954345898934227e+00,7.394999861717224121e-01
1.062869765441112779e+00,7.574999928474426270e-01
1.063779413063635326e+00,7.475000023841857910e-01
1.064683361097101821e+00,7.185000181198120117e-01
1.065581680520961250e+00,7.595000267028808594e-01
1.066474440996956874e+00,7.350000143051147461e-01
1.067361710901541860e+00,7.480000257492065430e-01
1.068243557357306583e+00,7.490000128746032715e-01
1.069120046263447588e+00,7.469999790191650391e-01
1.069991242325320169e+00,7.229999899864196777e-01
1.070857209083102335e+00,7.559999823570251465e-01
1.071718008939602784e+00,7.260000109672546387e-01
1.072573703187246430e+00,7.565000057220458984e-01
1.073424352034262563e+00,7.524999976158142090e-01
1.074270014630105408e+00,7.549999952316284180e-01
1.075110749090135931e+00,7.565000057220458984e-01
1.075946612519586010e+00,7.505000233650207520e-01
1.076777661036833811e+00,7.549999952316284180e-01
1.077603949796013705e+00,7.624999880790710449e-01
1.078425533008979587e+00,7.490000128746032715e-01
1.079242463966648469e+00,7.530000209808349609e-01
1.080054795059742778e+00,7.559999823570251465e-01
1.080862577798951563e+00,7.404999732971191406e-01
1.081665862834530811e+00,7.565000057220458984e-01
1.082464699975360656e+00,7.344999909400939941e-01
1.083259138207478323e+00,7.459999918937683105e-01
1.084049225712103270e+00,7.469999790191650391e-01
1.084835009883172052e+00,7.455000281333923340e-01
1.085616537344396670e+00,7.615000009536743164e-01
1.086393853965865741e+00,7.530000209808349609e-01
1.087167004880198684e+00,7.164999842643737793e-01
1.087936034498270477e+00,7.515000104904174805e-01
1.088700986524519854e+00,7.459999918937683105e-01
1.089461903971851608e+00,7.450000047683715820e-01
1.090218829176151205e+00,7.534999847412109375e-01
1.090971803810418361e+00,7.549999952316284180e-01
