# kappa, accuracy
0.000000000000000000e+00,5.249999761581420898e-01
3.459807261778743981e-01,6.219999790191650391e-01
4.392710951249412243e-01,6.470000147819519043e-01
4.954596185211367909e-01,6.710000038146972656e-01
5.357955130003243527e-01,6.794999837875366211e-01
5.672830443184070370e-01,6.869999766349792480e-01
5.931143766789088723e-01,6.959999799728393555e-01
6.150154502655411637e-01,7.089999914169311523e-01
6.340258104422543672e-01,7.120000123977661133e-01
6.508203302236263976e-01,7.114999890327453613e-01
6.658620594298823026e-01,7.154999971389770508e-01
6.794825346413795319e-01,7.129999995231628418e-01
6.919273024943026762e-01,7.174999713897705078e-01
7.033833049848019492e-01,7.189999818801879883e-01
7.139961624380946059e-01,7.229999899864196777e-01
7.238815205353410498e-01,7.279999852180480957e-01
7.331327514083991748e-01,7.245000004768371582e-01
7.418263300920153736e-01,7.300000190734863281e-01
7.500256806600573700e-01,7.289999723434448242e-01
7.577839867058929757e-01,7.264999747276306152e-01
7.651462837816788154e-01,7.275000214576721191e-01
7.721510432759274289e-01,7.289999723434448242e-01
7.788313892041975883e-01,7.360000014305114746e-01
7.852160454994190353e-01,7.275000214576721191e-01
7.913300824019696700e-01,7.329999804496765137e-01
7.971955110038830838e-01,7.344999909400939941e-01
8.028317615722675438e-01,7.340000271797180176e-01
8.082560718917169984e-01,7.319999933242797852e-01
8.134838052037397516e-01,7.245000004768371582e-01
8.185287125249186557e-01,7.310000061988830566e-01
8.234031506267928124e-01,7.310000061988830566e-01
8.281182643772883045e-01,7.310000061988830566e-01
8.326841402148852378e-01,7.300000190734863281e-01
8.371099360717473292e-01,7.344999909400939941e-01
8.414039919537564804e-01,7.335000038146972656e-01
8.455739245335439636e-01,7.335000038146972656e-01
8.496267084523210222e-01,7.310000061988830566e-01
8.535687465104311311e-01,7.319999933242797852e-01
8.574059305205008474e-01,7.344999909400939941e-01
8.611436942752168644e-01,7.294999957084655762e-01
8.647870598249668417e-01,7.350000143051147461e-01
8.683406780544126180e-01,7.375000119209289551e-01
8.718088643805671500e-01,7.329999804496765137e-01
8.751956302597230231e-01,7.390000224113464355e-01
8.785047110801909032e-01,7.400000095367431641e-01
8.817395909272109922e-01,7.375000119209289551e-01
8.849035246317221715e-01,7.369999885559082031e-01
8.879995574528035673e-01,7.415000200271606445e-01
8.910305426921504290e-01,7.310000061988830566e-01
8.939991574959545995e-01,7.440000176429748535e-01
8.969079170635112508e-01,7.404999732971191406e-01
8.997591874515237231e-01,7.459999918937683105e-01
9.025551971374342619e-01,7.360000014305114746e-01
9.052980474833719482e-01,7.384999990463256836e-01
9.079897222238032528e-01,7.455000281333923340e-01
9.106320960842005929e-01,7.394999861717224121e-01
9.132269426245166466e-01,7.450000047683715820e-01
9.157759413896597867e-01,7.404999732971191406e-01
9.182806844391694368e-01,7.419999837875366211e-01
9.207426823196671606e-01,7.400000095367431641e-01
9.231633695361900482e-01,7.455000281333923340e-01
9.255441095720282618e-01,7.440000176429748535e-01
9.278861995010525554e-01,7.444999814033508301e-01
9.301908742315965206e-01,7.369999885559082031e-01
9.324593104166563062e-01,7.429999709129333496e-01
9.346926300614055716e-01,7.404999732971191406e-01
9.368919038557147472e-01,7.469999790191650391e-01
9.390581542564504502e-01,7.394999861717224121e-01
9.411923583417690642e-01,7.494999766349792480e-01
9.432954504573489718e-01,7.440000176429748535e-01
