# kappa, training_loss
0.000000000000000000e+00,5.019660592079162598e-01
3.464645137809435060e-01,4.899489283561706543e-01
4.397778735448926168e-01,4.829951822757720947e-01
4.959745539552720128e-01,4.969731569290161133e-01
5.363146262109423912e-01,4.949760138988494873e-01
5.678046968934730154e-01,5.099872946739196777e-01
5.936377360108898715e-01,4.840862154960632324e-01
6.155400355634415011e-01,4.022131860256195068e-01
6.345513189904926632e-01,3.759714961051940918e-01
6.513465591052983727e-01,4.714621901512145996e-01
6.663888660017009968e-01,3.410996794700622559e-01
6.800098148130361286e-01,3.026250600814819336e-01
6.924549779834565655e-01,2.466057687997817993e-01
7.039113154366567482e-01,2.648778855800628662e-01
7.145244603394941274e-01,2.299425303936004639e-01
7.244100678129617998e-01,2.827954888343811035e-01
7.336615170834193123e-01,2.410600036382675171e-01
7.423552886205616597e-01,2.200167179107666016e-01
7.505548107320978435e-01,2.377263605594635010e-01
7.583132703585578893e-01,2.181420922279357910e-01
7.656757057331523564e-01,2.490216642618179321e-01
7.726805904171856199e-01,1.844217181205749512e-01
7.793610502057393141e-01,1.965806037187576294e-01
7.857458105031202011e-01,2.102350294589996338e-01
7.918599427768695520e-01,2.019141912460327148e-01
7.977254591506186543e-01,1.798425763845443726e-01
8.033617907649728274e-01,1.819620877504348755e-01
8.087861761490925394e-01,1.625393033027648926e-01
8.140139791830641736e-01,1.728953570127487183e-01
8.190589514342702104e-01,1.505283564329147339e-01
8.239334501518537079e-01,1.398538351058959961e-01
8.286486206199153992e-01,1.295572072267532349e-01
8.332145496412504126e-01,1.240794733166694641e-01
8.376403954683109276e-01,1.554141193628311157e-01
8.419344983896969170e-01,1.253709644079208374e-01
8.461044753285386077e-01,1.300545632839202881e-01
8.501573011487900677e-01,1.222784668207168579e-01
8.540993788495220285e-01,1.368375569581985474e-01
8.579366004212244379e-01,1.284953951835632324e-01
8.616743998162517126e-01,1.162151545286178589e-01
8.653177992287317544e-01,1.177701205015182495e-01
8.688714496730776116e-01,1.187983304262161255e-01
8.723396666837254232e-01,1.103107631206512451e-01
8.757264618234932296e-01,8.946955949068069458e-02
8.790355705775546591e-01,1.039438769221305847e-01
8.822704771194223028e-01,9.559365361928939819e-02
8.854344363606477808e-01,9.646171331405639648e-02
8.885304936340771009e-01,9.416788071393966675e-02
8.915615023090376345e-01,8.835668861865997314e-02
8.945301395938439759e-01,8.116859197616577148e-02
8.974389207449537942e-01,8.635174483060836792e-02
9.002902118717581725e-01,8.302725106477737427e-02
9.030862415003428900e-01,7.374234497547149658e-02
9.058291110378150490e-01,1.093665808439254761e-01
9.085208042602942458e-01,8.035495132207870483e-02
9.111631959318823304e-01,7.314413785934448242e-02
