# kappa, accuracy
0.000000000000000000e+00,4.995000064373016357e-01
3.459961222931225433e-01,4.754999876022338867e-01
4.392872241476091233e-01,4.769999980926513672e-01
4.954760076024647408e-01,4.925000071525573730e-01
5.358120352813618981e-01,4.900000095367431641e-01
5.672996475636205016e-01,5.105000138282775879e-01
5.931310343425165721e-01,5.304999947547912598e-01
6.150321470183437444e-01,5.525000095367431641e-01
6.340425366325574963e-01,5.534999966621398926e-01
6.508370793816251609e-01,5.740000009536743164e-01
6.658788270075025606e-01,5.820000171661376953e-01
6.794993173197603209e-01,5.964999794960021973e-01
6.919440977774435897e-01,6.075000166893005371e-01
7.034001109483067893e-01,5.975000262260437012e-01
7.140129775670145396e-01,6.144999861717224121e-01
7.238983436157110374e-01,6.200000047683715820e-01
7.331495814524593424e-01,6.175000071525573730e-01
7.418431662852972286e-01,6.215000152587890625e-01
7.500425223230878791e-01,6.395000219345092773e-01
7.578008332659224022e-01,6.399999856948852539e-01
7.651631347514427084e-01,6.384999752044677734e-01
7.721678982374409195e-01,6.384999752044677734e-01
7.788482477962156425e-01,6.395000219345092773e-01
7.852329074076118687e-01,6.449999809265136719e-01
7.913469473511357544e-01,6.480000019073486328e-01
7.972123787517133575e-01,6.549999713897705078e-01
8.028486319043048880e-01,6.514999866485595703e-01
8.082729446172445265e-01,6.610000133514404297e-01
8.135006801524021780e-01,6.600000262260437012e-01
8.185455895439228691e-01,6.664999723434448242e-01
8.234200295785746304e-01,6.690000295639038086e-01
8.281351451375531525e-01,6.625000238418579102e-01
8.327010226709549157e-01,6.744999885559082031e-01
8.371268201211562454e-01,6.765000224113464355e-01
8.414208775030533882e-01,6.884999871253967285e-01
8.455908114972652267e-01,6.869999766349792480e-01
8.496435967521049903e-01,6.825000047683715820e-01
8.535856360742528626e-01,6.974999904632568359e-01
8.574228212820066419e-01,7.024999856948852539e-01
8.611605861731439493e-01,6.915000081062316895e-01
8.648039528026357781e-01,6.945000290870666504e-01
8.683575720592813241e-01,6.984999775886535645e-01
8.718257593638374381e-01,7.024999856948852539e-01
8.752125261759933217e-01,7.074999809265136719e-01
8.785216078871482814e-01,7.005000114440917969e-01
8.817564885853571566e-01,7.085000276565551758e-01
8.849204231041292168e-01,7.099999785423278809e-01
8.880164567048955959e-01,7.164999842643737793e-01
8.910474426915080404e-01,7.120000123977661133e-01
8.940160582121392530e-01,7.164999842643737793e-01
8.969248184679071700e-01,7.139999866485595703e-01
8.997760895171947881e-01,7.185000181198120117e-01
9.025720998389958893e-01,7.110000252723693848e-01
9.053149507968732967e-01,7.129999995231628418e-01
9.080066261266217520e-01,7.174999713897705078e-01
9.106490005549454647e-01,7.129999995231628418e-01
9.132438476429409757e-01,7.080000042915344238e-01
9.157928469365803625e-01,7.059999704360961914e-01
9.182975904963935898e-01,7.275000214576721191e-01
9.207595888699258158e-01,7.214999794960021973e-01
9.231802765630759966e-01,7.269999980926513672e-01
9.255610170599397613e-01,7.195000052452087402e-01
9.279031074351419273e-01,7.195000052452087402e-01
9.302077825977218550e-01,7.189999818801879883e-01
9.324762192013374973e-01,7.179999947547912598e-01
9.347095392517839052e-01,7.220000028610229492e-01
9.369088134395145984e-01,7.225000262260437012e-01
9.390750642219455324e-01,7.235000133514404297e-01
9.412092686777496775e-01,7.245000004768371582e-01
9.433123611530919161e-01,7.229999899864196777e-01
9.453852357177386923e-01,7.189999818801879883e-01
9.474287484472052601e-01,7.179999947547912598e-01
9.494437195455175393e-01,7.220000028610229492e-01
9.514309353217651477e-01,7.245000004768371582e-01
9.533911500323640764e-01,7.285000085830688477e-01
9.553250875998317015e-01,7.229999899864196777e-01
9.572334432178762897e-01,7.260000109672546387e-01
9.591168848517062084e-01,7.260000109672546387e-01
9.609760546416610261e-01,7.294999957084655762e-01
9.628115702175459312e-01,7.225000262260437012e-01
9.646240259304007525e-01,7.289999723434448242e-01
9.664139940078501079e-01,7.220000028610229492e-01
9.681820256386547419e-01,7.260000109672546387e-01
9.699286519916073823e-01,7.289999723434448242e-01
9.716543851734840143e-01,7.239999771118164062e-01
9.733597191303761109e-01,7.225000262260437012e-01
9.750451304963706489e-01,7.285000085830688477e-01
9.767110793932264334e-01,7.289999723434448242e-01
9.783580101844039367e-01,7.254999876022338867e-01
9.799863521865397331e-01,7.275000214576721191e-01
9.815965203412161388e-01,7.279999852180480957e-01
9.831889158496541770e-01,7.250000238418579102e-01
9.847639267727604784e-01,7.289999723434448242e-01
9.863219285987714358e-01,7.250000238418579102e-01
9.878632847805739470e-01,7.310000061988830566e-01
9.893883472446231009e-01,7.275000214576721191e-01
9.908974568732431543e-01,7.269999980926513672e-01
9.923909439619619244e-01,7.245000004768371582e-01
9.938691286534159230e-01,7.279999852180480957e-01
9.953323213492500932e-01,7.229999899864196777e-01
9.967808231013397524e-01,7.254999876022338867e-01
9.982149259835658706e-01,7.294999957084655762e-01
9.996349134452948704e-01,7.319999933242797852e-01
1.001041060647630321e+00,7.329999804496765137e-01
1.002433634783435501e+00,7.335000038146972656e-01
1.003812895382059089e+00,7.294999957084655762e-01
1.005179094599630396e+00,7.289999723434448242e-01
1.006532477495738709e+00,7.300000190734863281e-01
1.007873282297254036e+00,7.275000214576721191e-01
1.009201740650003343e+00,7.264999747276306152e-01
1.010518077858962194e+00,7.245000004768371582e-01
1.011822513117588196e+00,7.294999957084655762e-01
1.013115259726880435e+00,7.250000238418579102e-01
1.014396525304708696e+00,7.340000271797180176e-01
1.015666511985931164e+00,7.250000238418579102e-01
1.016925416613780220e+00,7.275000214576721191e-01
1.018173430922967748e+00,7.269999980926513672e-01
1.019410741714942725e+00,7.264999747276306152e-01
1.020637531025691658e+00,7.245000004768371582e-01
1.021853976286470012e+00,7.229999899864196777e-01
1.023060250477809019e+00,7.269999980926513672e-01
1.024256522277140702e+00,7.285000085830688477e-01
1.025442956200350864e+00,7.250000238418579102e-01
1.026619712737559142e+00,7.285000085830688477e-01
1.027786948483407015e+00,7.304999828338623047e-01
1.028944816262115758e+00,7.279999852180480957e-01
1.030093465247568396e+00,7.340000271797180176e-01
1.031233041078644774e+00,7.310000061988830566e-01
1.032363685970042466e+00,7.214999794960021973e-01
1.033485538818783800e+00,7.260000109672546387e-01
1.034598735306617279e+00,7.329999804496765137e-01
1.035703407998495917e+00,7.279999852180480957e-01
1.036799686437315682e+00,7.275000214576721191e-01
1.037887697235081230e+00,7.300000190734863281e-01
1.038967564160657941e+00,7.235000133514404297e-01
1.040039408224266992e+00,7.269999980926513672e-01
1.041103347758861597e+00,7.289999723434448242e-01
1.042159498498527403e+00,7.325000166893005371e-01
1.043207973654031839e+00,7.275000214576721191e-01
1.044248883985649634e+00,7.300000190734863281e-01
1.045282337873378431e+00,7.275000214576721191e-01
1.046308441384657284e+00,7.294999957084655762e-01
1.047327298339696622e+00,7.279999852180480957e-01
1.048339010374512936e+00,7.285000085830688477e-01
1.049343677001773223e+00,7.264999747276306152e-01
1.050341395669531774e+00,7.319999933242797852e-01
1.051332261817953029e+00,7.245000004768371582e-01
1.052316368934096635e+00,7.310000061988830566e-01
1.053293808604848669e+00,7.214999794960021973e-01
1.054264670568072493e+00,7.294999957084655762e-01
1.055229042762046765e+00,7.269999980926513672e-01
1.056187011373265872e+00,7.254999876022338867e-01
1.057138660882660952e+00,7.325000166893005371e-01
1.058084074110307471e+00,7.269999980926513672e-01
1.059023332258678840e+00,7.200000286102294922e-01
1.059956514954497386e+00,7.329999804496765137e-01
1.060883700289245057e+00,7.279999852180480957e-01
1.061804964858376943e+00,7.304999828338623047e-01
1.062720383799293344e+00,7.275000214576721191e-01
1.063630030828111916e+00,7.329999804496765137e-01
1.064533978275291171e+00,7.245000004768371582e-01
1.065432297120141980e+00,7.289999723434448242e-01
1.066325057024272827e+00,7.310000061988830566e-01
1.067212326364005648e+00,7.275000214576721191e-01
1.068094172261802255e+00,7.289999723434448242e-01
1.068970660616734181e+00,7.269999980926513672e-01
1.069841856134035041e+00,7.285000085830688477e-01
1.070707822353763161e+00,7.245000004768371582e-01
1.071568621678611111e+00,7.300000190734863281e-01
1.072424315400890560e+00,7.269999980926513672e-01
1.073274963728719333e+00,7.354999780654907227e-01
1.074120625811443963e+00,7.279999852180480957e-01
1.074961359764319058e+00,7.254999876022338867e-01
1.075797222692473465e+00,7.325000166893005371e-01
1.076628270714184543e+00,7.300000190734863281e-01
1.077454558983487409e+00,7.275000214576721191e-01
1.078276141712140035e+00,7.279999852180480957e-01
1.079093072190964842e+00,7.229999899864196777e-01
1.079905402810592552e+00,7.304999828338623047e-01
1.080713185081621841e+00,7.229999899864196777e-01
1.081516469654220769e+00,7.375000119209289551e-01
1.082315306337183092e+00,7.289999723434448242e-01
1.083109744116462325e+00,7.245000004768371582e-01
1.083899831173195105e+00,7.239999771118164062e-01
1.084685614901237161e+00,7.279999852180480957e-01
1.085467141924222112e+00,7.289999723434448242e-01
1.086244458112161304e+00,7.279999852180480957e-01
