# kappa, training_loss
0.000000000000000000e+00,4.657397270202636719e-01
3.459908271249624856e-01,2.716343700885772705e-01
4.392816769206897010e-01,2.547301352024078369e-01
4.954703709373524112e-01,2.533278763294219971e-01
5.358063528068515158e-01,2.523188292980194092e-01
5.672939372443169814e-01,2.508179843425750732e-01
5.931253053079177384e-01,2.483846247196197510e-01
6.150264045403921465e-01,2.473235130310058594e-01
6.340367840306153635e-01,2.471055835485458374e-01
6.508313188807545169e-01,2.449718862771987915e-01
6.658730601718538811e-01,2.430692762136459351e-01
6.794935452907387985e-01,2.438992857933044434e-01
6.919383214134606774e-01,2.403378635644912720e-01
7.033943309111907460e-01,2.403526157140731812e-01
7.140071943777784869e-01,2.378161996603012085e-01
7.238925576918552318e-01,2.316696792840957642e-01
7.331437931336890479e-01,2.314632683992385864e-01
7.418373758517201599e-01,2.258030027151107788e-01
7.500367300083845556e-01,2.215162217617034912e-01
7.577950392670700364e-01,2.261248826980590820e-01
7.651573392360185855e-01,2.185008823871612549e-01
7.721621013491959395e-01,2.155083119869232178e-01
7.788424496593876478e-01,2.171943187713623047e-01
7.852271081303031641e-01,2.097113579511642456e-01
7.913411470279921867e-01,2.113926708698272705e-01
7.972065774660684889e-01,2.078635543584823608e-01
8.028428297299138316e-01,2.131102979183197021e-01
8.082671416196974823e-01,2.030191868543624878e-01
8.134948763902868363e-01,2.020185291767120361e-01
8.185397850697869737e-01,2.077566832304000854e-01
8.234142244397285593e-01,2.054972499608993530e-01
8.281293393767434896e-01,2.081907689571380615e-01
8.326952163269334406e-01,2.032087743282318115e-01
8.371210132291622141e-01,1.972584873437881470e-01
8.414150700952262030e-01,2.035547494888305664e-01
8.455850036029971539e-01,1.898751258850097656e-01
8.496377883983455837e-01,1.883482336997985840e-01
8.535798272857725300e-01,1.904833167791366577e-01
8.574170120816253515e-01,1.955818086862564087e-01
8.611547765819310696e-01,1.849285960197448730e-01
8.647981428400840498e-01,1.859054565429687500e-01
8.683517617434607372e-01,1.886966228485107422e-01
8.718199487115303459e-01,1.849581301212310791e-01
8.752067152028140118e-01,1.867375522851943970e-01
8.785157966076487801e-01,1.864113062620162964e-01
8.817506770131215976e-01,1.856328248977661133e-01
8.849146112518574414e-01,1.913657486438751221e-01
8.880106445844789809e-01,1.795751005411148071e-01
8.910416303140958894e-01,1.783172935247421265e-01
8.940102455881999699e-01,1.764994412660598755e-01
8.969190056072821049e-01,1.909849047660827637e-01
8.997702764291476418e-01,1.748499423265457153e-01
9.025662865322569006e-01,1.738655269145965576e-01
9.053091372796793213e-01,1.791985780000686646e-01
9.080008124067531217e-01,1.759818196296691895e-01
9.106431866397586283e-01,1.760537624359130859e-01
9.132380335393993631e-01,1.822283864021301270e-01
9.157870326512813630e-01,1.862477362155914307e-01
9.182917760355936432e-01,1.704486012458801270e-01
9.207537742395642821e-01,1.643620878458023071e-01
9.231744617687953625e-01,1.779203861951828003e-01
9.255552021071058455e-01,1.743460595607757568e-01
9.278972923288609786e-01,1.712357848882675171e-01
9.302019673428575386e-01,1.661083400249481201e-01
9.324704038025257713e-01,1.750131249427795410e-01
9.347037237134470100e-01,1.677881479263305664e-01
9.369029977658744901e-01,1.828145533800125122e-01
9.390692484170347631e-01,1.719165295362472534e-01
9.412034527454237187e-01,1.588391959667205811e-01
9.433065450970383736e-01,1.690247654914855957e-01
9.453794195414878532e-01,1.607875227928161621e-01
9.474229321541380866e-01,1.808867454528808594e-01
9.494379031388744394e-01,1.679443717002868652e-01
9.514251188046534136e-01,1.653571277856826782e-01
9.533853334077654340e-01,1.559059768915176392e-01
9.553192708706087499e-01,1.664994806051254272e-01
9.572276263867786072e-01,1.689975261688232422e-01
9.591110679213764589e-01,1.641816049814224243e-01
9.609702376146402880e-01,1.634223610162734985e-01
9.628057530962790267e-01,1.690743714570999146e-01
9.646182087172409103e-01,1.568108350038528442e-01
9.664081767050635152e-01,1.534578353166580200e-01
9.681762082484248744e-01,1.600774526596069336e-01
9.699228345160384457e-01,1.528985202312469482e-01
9.716485676146056072e-01,1.588745564222335815e-01
9.733539014901463338e-01,1.468871980905532837e-01
9.750393127766791013e-01,1.690114587545394897e-01
9.767052615958976558e-01,1.604839116334915161e-01
