# kappa, training_loss
0.000000000000000000e+00,4.918198585510253906e-01
3.460371859473503342e-01,5.073451995849609375e-01
4.393302421707024896e-01,4.705939292907714844e-01
4.955197190885001213e-01,4.540430307388305664e-01
5.358561019511116630e-01,4.528470337390899658e-01
5.673439301278236924e-01,4.237167537212371826e-01
5.931754620154564561e-01,4.085274934768676758e-01
6.150766789239971999e-01,4.187586009502410889e-01
6.340871470342741567e-01,4.209784567356109619e-01
6.508817510274167439e-01,3.979777395725250244e-01
6.659235477697623695e-01,3.956591188907623291e-01
6.795440783486293990e-01,3.902075290679931641e-01
6.919888924172532541e-01,3.834814429283142090e-01
7.034449340675940077e-01,3.833962678909301758e-01
7.140578251261207043e-01,3.840939700603485107e-01
7.239432123775624284e-01,3.775233328342437744e-01
7.331944687831649654e-01,3.578517138957977295e-01
7.418880700130544570e-01,3.721280395984649658e-01
7.500874406360621416e-01,3.541700541973114014e-01
7.578457646368613743e-01,3.309279978275299072e-01
7.652080778810428363e-01,3.476888537406921387e-01
7.722128520111339878e-01,3.422096073627471924e-01
7.788932112507331862e-01,3.506269454956054688e-01
7.852778797047851311e-01,3.357015848159790039e-01
7.913919277571325184e-01,3.370045125484466553e-01
7.972573666204110232e-01,3.513635993003845215e-01
8.028936266638474484e-01,3.343883752822875977e-01
8.083179457590817796e-01,3.327552974224090576e-01
8.135456872222771585e-01,3.308649957180023193e-01
8.185906021344098171e-01,3.228734731674194336e-01
8.234650473228545264e-01,3.076406419277191162e-01
8.281801677041918941e-01,3.091725409030914307e-01
8.327460497594932898e-01,2.888173758983612061e-01
8.371718514583672555e-01,3.174987733364105225e-01
8.414659128397479204e-01,3.204366266727447510e-01
8.456358506055519086e-01,3.175788223743438721e-01
8.496886394230310779e-01,3.010672926902770996e-01
8.536306821157618741e-01,3.208522200584411621e-01
8.574678705171648874e-01,2.825922369956970215e-01
8.612056384385934349e-01,2.964901626110076904e-01
8.648490079472394010e-01,2.969370782375335693e-01
8.684026299429340456e-01,2.807686328887939453e-01
8.718708198564177891e-01,2.952608466148376465e-01
8.752575891564375876e-01,3.040607273578643799e-01
8.785666732426277159e-01,2.730179429054260254e-01
8.818015562105487870e-01,3.121033310890197754e-01
8.849654929005636994e-01,2.855975329875946045e-01
8.880615285803757919e-01,3.005347251892089844e-01
8.910925165595869890e-01,2.924375236034393311e-01
8.940611339916518796e-01,2.854414284229278564e-01
8.969698960825486234e-01,2.903958261013031006e-01
8.998211688951400777e-01,2.761066257953643799e-01
9.026171809125559387e-01,3.108080923557281494e-01
9.053600335021827483e-01,2.813392579555511475e-01
9.080517104033571929e-01,2.961697876453399658e-01
9.106940863460676328e-01,2.990057468414306641e-01
9.132889348944612795e-01,2.978529036045074463e-01
9.158379355973463865e-01,2.718220353126525879e-01
9.183426805178940278e-01,3.087774515151977539e-01
9.208046802061122804e-01,2.769855260848999023e-01
9.232253691701984843e-01,2.954194545745849609e-01
9.256061108963964390e-01,2.707800567150115967e-01
9.279482024613405766e-01,2.831979691982269287e-01
9.302528787759526407e-01,2.890346050262451172e-01
9.325213164956557277e-01,2.814215421676635742e-01
9.347546376279010083e-01,2.918314337730407715e-01
9.369539128646985349e-01,2.826186120510101318e-01
9.391201646649273149e-01,2.769739627838134766e-01
9.412543701086381054e-01,2.908629179000854492e-01
9.433574635432934175e-01,2.736196517944335938e-01
9.454303390398834939e-01,2.877759933471679688e-01
9.474738526750782208e-01,2.651416361331939697e-01
9.494888246539944232e-01,2.817888259887695312e-01
9.514760412867527828e-01,2.819564044475555420e-01
9.534362568307448438e-01,2.706580162048339844e-01
9.553701952094112437e-01,2.485695481300354004e-01
9.572785516173355491e-01,2.807469964027404785e-01
9.591619940205552419e-01,2.495648562908172607e-01
9.610211645601970387e-01,2.912127077579498291e-01
9.628566808668134192e-01,2.580229938030242920e-01
9.646691372921544216e-01,2.448408603668212891e-01
9.664591060645194576e-01,2.548646628856658936e-01
9.682271383733112025e-01,2.663923203945159912e-01
9.699737653879334509e-01,2.461257874965667725e-01
9.716994992157443889e-01,2.523875832557678223e-01
9.734048338033901571e-01,2.607929408550262451e-01
9.750902457854868643e-01,2.648624181747436523e-01
9.767561952842978013e-01,2.411143183708190918e-01
9.784031266637649438e-01,2.583797276020050049e-01
9.800314692409853867e-01,2.578371763229370117e-01
9.816416379579809837e-01,2.630579769611358643e-01
9.832340340163930881e-01,2.448690831661224365e-01
9.848090454775303426e-01,2.429863512516021729e-01
9.863670478300143873e-01,2.522689700126647949e-01
9.879084045271000480e-01,2.691265344619750977e-01
9.894334674955959086e-01,2.730800211429595947e-01
9.909425776181640666e-01,2.553683817386627197e-01
9.924360651906569686e-01,2.414636164903640747e-01
9.939142503560223219e-01,2.507220804691314697e-01
9.953774435162036083e-01,2.706985473632812500e-01
9.968259457233624721e-01,2.700318396091461182e-01
9.982600490516556624e-01,2.684087157249450684e-01
