# Iterations, training_loss
0.000000000000000000e+00,1.999645233154296875e-01
5.416666666666666970e+03,8.059811778366565704e-03
1.083333333333333394e+04,2.134015550836920738e-03
1.625000000000000000e+04,1.838304306147620082e-04
2.166666666666666788e+04,1.433091383660212159e-04
2.708333333333333576e+04,3.808260589721612632e-05
3.250000000000000000e+04,4.531041213340358809e-06
3.791666666666667152e+04,4.119857294426765293e-06
4.333333333333333576e+04,6.541321226904983632e-07
4.875000000000000000e+04,3.301803133126668399e-07
5.416666666666667152e+04,1.375395886071828500e-08
5.958333333333333576e+04,1.003712846170401463e-08
6.500000000000000000e+04,3.877345555736155802e-09
