# kappa, accuracy
0.000000000000000000e+00,5.024999976158142090e-01
3.460224831237491139e-01,5.115000009536743164e-01
4.393148396531474931e-01,5.285000205039978027e-01
4.955040683020652259e-01,5.500000119209289551e-01
5.358403240045189753e-01,5.585000514984130859e-01
5.673280748884474978e-01,5.645000338554382324e-01
5.931595548254675609e-01,5.615000128746032715e-01
6.150607344175070823e-01,5.620000362396240234e-01
6.340711744253089144e-01,5.635000467300415039e-01
6.508657564923894245e-01,5.655000209808349609e-01
6.659075356504957632e-01,5.690000057220458984e-01
6.795280518134739767e-01,5.710000395774841309e-01
6.919728538490134140e-01,5.764999985694885254e-01
7.034288853033909827e-01,5.800000429153442383e-01
7.140417676121975088e-01,5.775000452995300293e-01
7.239271472728271428e-01,5.750000476837158203e-01
7.331783970305798537e-01,5.785000324249267578e-01
7.418719923901485602e-01,5.795000195503234863e-01
7.500713577914919217e-01,5.830000042915344238e-01
7.578296771174000135e-01,5.855000019073486328e-01
7.651919861518552413e-01,5.850000381469726562e-01
7.721967564712475252e-01,5.879999995231628418e-01
7.788771122450084405e-01,5.905000567436218262e-01
7.852617775332956240e-01,5.905000567436218262e-01
7.913758226825980957e-01,5.879999995231628418e-01
7.972412588741504269e-01,5.905000567436218262e-01
8.028775164505913553e-01,5.950000286102294922e-01
8.083018332608966627e-01,5.960000157356262207e-01
8.135295726017919282e-01,5.955000519752502441e-01
8.185744855374871287e-01,5.920000076293945312e-01
8.234489288808195528e-01,5.945000052452087402e-01
8.281640475357013864e-01,5.955000519752502441e-01
8.327299279721152026e-01,5.950000286102294922e-01
8.371557281499195646e-01,5.950000286102294922e-01
8.414497880994429302e-01,5.980000495910644531e-01
8.456197245149772446e-01,5.995000004768371582e-01
8.496725120569940115e-01,5.950000286102294922e-01
8.536145535430207376e-01,5.955000519752502441e-01
8.574517408010636776e-01,6.010000109672546387e-01
8.611895076376161473e-01,5.990000367164611816e-01
8.648328761154947530e-01,6.005000472068786621e-01
8.683864971305811364e-01,6.005000472068786621e-01
8.718546861100413548e-01,6.025000214576721191e-01
8.752414545193798467e-01,6.020000576972961426e-01
8.785505377552824680e-01,6.015000343322753906e-01
8.817854199106228696e-01,6.015000343322753906e-01
8.849493558233100243e-01,6.030000448226928711e-01
8.880453907588018447e-01,6.025000214576721191e-01
8.910763780246419019e-01,6.020000576972961426e-01
8.940449947723935198e-01,6.015000343322753906e-01
8.969537562062950276e-01,6.025000214576721191e-01
8.998050283876051214e-01,6.025000214576721191e-01
9.026010397979732369e-01,6.000000238418579102e-01
9.053438918034165672e-01,6.030000448226928711e-01
9.080355681420042568e-01,5.995000004768371582e-01
9.106779435425484959e-01,6.010000109672546387e-01
9.132727915681043696e-01,6.025000214576721191e-01
9.158217917664647212e-01,6.020000576972961426e-01
9.183265361998552700e-01,5.995000004768371582e-01
9.207885354174021320e-01,6.015000343322753906e-01
9.232092239264798605e-01,6.020000576972961426e-01
9.255899652125634258e-01,6.015000343322753906e-01
9.279320563515675024e-01,6.005000472068786621e-01
9.302367322537401506e-01,6.000000238418579102e-01
9.325051695738723057e-01,5.995000004768371582e-01
9.347384903188221683e-01,6.015000343322753906e-01
9.369377651800429030e-01,6.015000343322753906e-01
9.391040166158894920e-01,6.030000448226928711e-01
9.412382217059194200e-01,6.020000576972961426e-01
9.433413147971306811e-01,6.005000472068786621e-01
9.454141899600752019e-01,6.025000214576721191e-01
9.474577032710097546e-01,6.030000448226928711e-01
9.494726749346606987e-01,6.025000214576721191e-01
9.514598912607793446e-01,6.030000448226928711e-01
9.534201065064078495e-01,6.035000085830688477e-01
9.553540445946566706e-01,6.035000085830688477e-01
9.572624007197958473e-01,6.030000448226928711e-01
9.591458428475659881e-01,6.020000576972961426e-01
9.610050131188120348e-01,6.010000109672546387e-01
9.628405291638189034e-01,6.015000343322753906e-01
9.646529853340823912e-01,6.010000109672546387e-01
9.664429538576604362e-01,6.000000238418579102e-01
9.682109859237257865e-01,6.035000085830688477e-01
9.699576127014634119e-01,6.045000553131103516e-01
9.716833462980231095e-01,6.055000424385070801e-01
9.733886806598525121e-01,6.010000109672546387e-01
9.750740924213783245e-01,6.010000109672546387e-01
9.767400417046829819e-01,6.005000472068786621e-01
9.783869728735362647e-01,6.015000343322753906e-01
9.800153152448703997e-01,6.010000109672546387e-01
9.816254837605499217e-01,6.000000238418579102e-01
9.832178796220655270e-01,6.005000472068786621e-01
9.847928908905821954e-01,6.010000109672546387e-01
9.863508930545833442e-01,6.020000576972961426e-01
9.878922495671924597e-01,6.025000214576721191e-01
9.894173123550910054e-01,6.025000214576721191e-01
9.909264223008206196e-01,6.020000576972961426e-01
9.924199097001173975e-01,6.040000319480895996e-01
9.938980946958175799e-01,6.080000400543212891e-01
9.953612876897578454e-01,6.025000214576721191e-01
9.968097897339970315e-01,6.070000529289245605e-01
9.982438929025937435e-01,6.015000343322753906e-01
9.996638806450833803e-01,6.020000576972961426e-01
1.001070028122733158e+00,6.060000061988830566e-01
1.002462602528563229e+00,6.035000085830688477e-01
1.003841863392073375e+00,6.050000190734863281e-01
1.005208062869538121e+00,6.050000190734863281e-01
1.006561446020686201e+00,6.050000190734863281e-01
1.007902251072523070e+00,6.045000553131103516e-01
1.009230709671005144e+00,6.055000424385070801e-01
1.010547047121232778e+00,6.065000295639038086e-01
1.011851482616784370e+00,6.070000529289245605e-01
1.013144229458775136e+00,6.075000166893005371e-01
1.014425495265186994e+00,6.090000271797180176e-01
1.015695482170986264e+00,6.075000166893005371e-01
1.016954387019509909e+00,6.085000038146972656e-01
1.018202401545570623e+00,6.090000271797180176e-01
1.019439712550714416e+00,6.090000271797180176e-01
1.020666502071022608e+00,6.075000166893005371e-01
1.021882947537841035e+00,6.095000505447387695e-01
1.023089221931788861e+00,6.100000143051147461e-01
1.024285493930383151e+00,6.105000376701354980e-01
1.025471928049592085e+00,6.105000376701354980e-01
1.026648684779614795e+00,6.115000247955322266e-01
1.027815920715169806e+00,6.110000014305114746e-01
1.028973788680552781e+00,6.110000014305114746e-01
1.030122437849718686e+00,6.105000376701354980e-01
1.031262013861617532e+00,6.105000376701354980e-01
1.032392658931014617e+00,6.110000014305114746e-01
1.033514511954997994e+00,6.110000014305114746e-01
1.034627708615379005e+00,6.115000247955322266e-01
1.035732381477173281e+00,6.085000038146972656e-01
1.036828660083336295e+00,6.130000352859497070e-01
1.037916671045930439e+00,6.110000014305114746e-01
1.038996538133877268e+00,6.120000481605529785e-01
1.040068382357452803e+00,6.125000119209289551e-01
1.041132322049663106e+00,6.080000400543212891e-01
1.042188472944645339e+00,6.105000376701354980e-01
1.043236948253217111e+00,6.090000271797180176e-01
1.044277858735701336e+00,6.085000038146972656e-01
1.045311312772142509e+00,6.095000505447387695e-01
1.046337416430026312e+00,6.095000505447387695e-01
1.047356273529606918e+00,6.095000505447387695e-01
1.048367985706944561e+00,6.080000400543212891e-01
1.049372652474747758e+00,6.085000038146972656e-01
1.050370371281112547e+00,6.100000143051147461e-01
1.051361237566242002e+00,6.130000352859497070e-01
1.052345344817235295e+00,6.105000376701354980e-01
1.053322784621016250e+00,6.110000014305114746e-01
1.054293646715484423e+00,6.115000247955322266e-01
1.055258019038954220e+00,6.090000271797180176e-01
1.056215987777954890e+00,6.085000038146972656e-01
1.057167637413451100e+00,6.105000376701354980e-01
1.058113050765551844e+00,6.095000505447387695e-01
1.059052309036761619e+00,6.090000271797180176e-01
1.059985491853834949e+00,6.080000400543212891e-01
1.060912677308283758e+00,6.080000400543212891e-01
1.061833941995593111e+00,6.075000166893005371e-01
1.062749361053191732e+00,6.135000586509704590e-01
1.063659008197225919e+00,6.120000481605529785e-01
1.064562955758181495e+00,6.145000457763671875e-01
