# kappa, training_loss
0.000000000000000000e+00,5.056188702583312988e-01
3.460009274317041861e-01,5.004555583000183105e-01
4.392922580103442720e-01,5.003138780593872070e-01
4.954811226233745147e-01,5.002079606056213379e-01
5.358171918706852166e-01,5.000650882720947266e-01
5.673048294198839159e-01,4.999108314514160156e-01
5.931362331814200584e-01,4.998812377452850342e-01
6.150373580560164477e-01,4.998700320720672607e-01
6.340477568569422573e-01,4.998459517955780029e-01
6.508423067736547329e-01,4.997716844081878662e-01
6.658840601478356325e-01,4.995723664760589600e-01
6.795045551726625055e-01,4.994652867317199707e-01
6.919493395639749744e-01,4.994131326675415039e-01
7.034053560679116579e-01,4.994024336338043213e-01
7.140182255469148531e-01,4.993976652622222900e-01
7.239035940770587318e-01,4.993824362754821777e-01
7.331548340869992186e-01,4.992887079715728760e-01
7.418484208388542722e-01,4.990522563457489014e-01
7.500477785836153766e-01,4.987052679061889648e-01
7.578060910546796647e-01,4.982247948646545410e-01
7.651683939163669290e-01,4.971499145030975342e-01
7.721731586480889975e-01,4.967206120491027832e-01
7.788535093398526454e-01,4.954816401004791260e-01
7.852381699861431530e-01,4.952928125858306885e-01
7.913522108786777975e-01,4.944563508033752441e-01
7.972176431526476481e-01,4.926849007606506348e-01
8.028538971117046286e-01,4.909850656986236572e-01
8.082782105715919929e-01,4.893234372138977051e-01
8.135059468005336747e-01,4.872939586639404297e-01
8.185508568381558714e-01,4.845924377441406250e-01
8.234252974759784793e-01,2.955046296119689941e-01
8.281404135993386539e-01,2.311366498470306396e-01
8.327062916619580868e-01,2.078044116497039795e-01
8.371320896094001096e-01,1.994115263223648071e-01
8.414261474593743850e-01,1.895941644906997681e-01
8.455960818949921354e-01,1.813447624444961548e-01
8.496488675667832613e-01,1.749562025070190430e-01
8.535909072834052536e-01,1.699653416872024536e-01
8.574280928649257172e-01,1.654175966978073120e-01
8.611658581107113353e-01,1.611691266298294067e-01
8.648092250771632905e-01,1.574150919914245605e-01
8.683628446543717461e-01,1.534940600395202637e-01
8.718310322642621735e-01,1.495814919471740723e-01
8.752177993675837042e-01,1.461769342422485352e-01
8.785268813566994295e-01,1.431261897087097168e-01
8.817617623205428190e-01,1.402695626020431519e-01
8.849256970934248345e-01,1.374588906764984131e-01
8.880217309375111334e-01,1.347689926624298096e-01
8.910527171573262573e-01,1.322098523378372192e-01
8.940213329016608590e-01,1.297398656606674194e-01
8.969300933722019753e-01,1.273328363895416260e-01
8.997813646278568500e-01,1.249068602919578552e-01
9.025773751481033225e-01,1.226323023438453674e-01
