# Iterations, accuracy
0.000000000000000000e+00,6.390000581741333008e-01
3.136363636363636488e+03,7.705000638961791992e-01
6.272727272727272975e+03,7.870000600814819336e-01
9.409090909090909918e+03,7.930000424385070801e-01
1.254545454545454595e+04,7.945000529289245605e-01
1.568181818181818198e+04,7.960000634193420410e-01
1.881818181818181984e+04,7.965000271797180176e-01
2.195454545454545587e+04,7.960000634193420410e-01
2.509090909090909190e+04,7.980000376701354980e-01
2.822727272727272793e+04,7.975000143051147461e-01
3.136363636363636397e+04,7.960000634193420410e-01
3.450000000000000000e+04,7.955000400543212891e-01
3.763636363636363967e+04,7.945000529289245605e-01
4.077272727272727207e+04,7.930000424385070801e-01
4.390909090909091174e+04,7.935000658035278320e-01
4.704545454545454413e+04,7.940000295639038086e-01
5.018181818181818380e+04,7.940000295639038086e-01
5.331818181818182347e+04,7.935000658035278320e-01
5.645454545454545587e+04,7.920000553131103516e-01
5.959090909090909554e+04,7.930000424385070801e-01
6.272727272727272793e+04,7.930000424385070801e-01
6.586363636363636761e+04,7.930000424385070801e-01
6.900000000000000000e+04,7.910000085830688477e-01
