# kappa, accuracy
0.000000000000000000e+00,5.000000000000000000e-01
3.459754622118079714e-01,5.015000104904174805e-01
4.392655805574000039e-01,4.805000126361846924e-01
4.954540150318804126e-01,6.020000576972961426e-01
5.357898639660810813e-01,6.505000591278076172e-01
5.672773676000492094e-01,6.590000391006469727e-01
5.931086813532350233e-01,6.810000538825988770e-01
6.150097415740685136e-01,6.880000233650207520e-01
6.340200916851910229e-01,6.910000443458557129e-01
6.508146036131963186e-01,6.965000033378601074e-01
6.658563265212118498e-01,6.910000443458557129e-01
6.794767965692896095e-01,6.965000033378601074e-01
6.919215601122529202e-01,6.975000500679016113e-01
7.033775589508026727e-01,6.960000395774841309e-01
7.139904132701538897e-01,6.970000267028808594e-01
7.238757686485512988e-01,6.985000371932983398e-01
7.331269971405061092e-01,7.015000581741333008e-01
7.418205737215108897e-01,7.035000324249267578e-01
7.500199224192747316e-01,7.075000405311584473e-01
7.577782267906730818e-01,7.110000252723693848e-01
7.651405223586326132e-01,7.135000228881835938e-01
7.721452804879769261e-01,7.145000100135803223e-01
7.788256251748636450e-01,7.175000309944152832e-01
7.852102803361810102e-01,7.185000181198120117e-01
7.913243161989275132e-01,7.195000052452087402e-01
7.971897438438897421e-01,7.245000600814819336e-01
8.028259935286529148e-01,7.235000133514404297e-01
8.082503030296928070e-01,7.250000238418579102e-01
8.134780355815559583e-01,7.225000262260437012e-01
8.185229421948198025e-01,7.235000133514404297e-01
8.233973796358166064e-01,7.220000624656677246e-01
8.281124927679349712e-01,7.220000624656677246e-01
8.326783680256828468e-01,7.235000133514404297e-01
8.371041633377322988e-01,7.250000238418579102e-01
8.413982187068824725e-01,7.275000214576721191e-01
8.455681508030338245e-01,7.265000343322753906e-01
8.496209342649689855e-01,7.270000576972961426e-01
8.535629718908648300e-01,7.255000472068786621e-01
8.574001554914086887e-01,7.275000214576721191e-01
8.611379188575465360e-01,7.270000576972961426e-01
8.647812840380987298e-01,7.285000085830688477e-01
8.683349019163126847e-01,7.270000576972961426e-01
8.718030879079208262e-01,7.235000133514404297e-01
8.751898534680546682e-01,7.225000262260437012e-01
8.784989339839684996e-01,7.245000600814819336e-01
8.817338135399404031e-01,7.240000367164611816e-01
8.848977469660301853e-01,7.250000238418579102e-01
8.879937795205127271e-01,7.260000109672546387e-01
8.910247645043459785e-01,7.360000610351562500e-01
8.939933790630443244e-01,7.285000085830688477e-01
8.969021383952799908e-01,7.290000319480895996e-01
8.997534085571814444e-01,7.300000190734863281e-01
9.025494180256613541e-01,7.295000553131103516e-01
9.052922681623573053e-01,7.330000400543212891e-01
9.079839427012824649e-01,7.310000061988830566e-01
9.106263163674879202e-01,7.315000295639038086e-01
9.132211627205352178e-01,7.315000295639038086e-01
9.157701613049689104e-01,7.335000634193420410e-01
9.182749041799895817e-01,7.345000505447387695e-01
9.207369018919033810e-01,7.350000143051147461e-01
9.231575889454525230e-01,7.355000376701354980e-01
9.255383288236511685e-01,7.350000143051147461e-01
9.278804186001132770e-01,7.355000376701354980e-01
9.301850931829306335e-01,7.350000143051147461e-01
