# Iterations, training_loss
0.000000000000000000e+00,7.189773768186569214e-02
1.923076923076923094e+03,3.735734894871711731e-02
3.846153846153846189e+03,2.158651128411293030e-02
5.769230769230769511e+03,1.303422823548316956e-02
7.692307692307692378e+03,6.588291842490434647e-03
9.615384615384615245e+03,2.865545218810439110e-03
1.153846153846153902e+04,1.605797559022903442e-03
1.346153846153846098e+04,2.016277983784675598e-03
1.538461538461538476e+04,2.972425718326121569e-04
1.730769230769230853e+04,2.411050663795322180e-04
1.923076923076923049e+04,2.121387224178761244e-04
2.115384615384615245e+04,2.127295883838087320e-04
2.307692307692307804e+04,1.029285558615811169e-04
2.500000000000000000e+04,4.129278022446669638e-05
2.692307692307692196e+04,5.978248736937530339e-05
2.884615384615384755e+04,4.594877100316807628e-05
3.076923076923076951e+04,4.425020961207337677e-06
3.269230769230769147e+04,1.437076025467831641e-05
3.461538461538461706e+04,1.430049178452463821e-05
3.653846153846153902e+04,9.024520295497495681e-06
3.846153846153846098e+04,7.575996733066858724e-06
4.038461538461538294e+04,3.485168690531281754e-06
4.230769230769230489e+04,2.137407136615365744e-06
4.423076923076923413e+04,1.374390649289125577e-06
4.615384615384615608e+04,1.001596729111042805e-06
4.807692307692307804e+04,6.496009063994279131e-07
5.000000000000000000e+04,5.099523718854470644e-07
5.192307692307692196e+04,4.796315806743223220e-07
5.384615384615384392e+04,3.881533814364956925e-07
5.576923076923077315e+04,6.733669692948751617e-07
5.769230769230769511e+04,3.990861614511231892e-07
5.961538461538461706e+04,3.376513291186711285e-07
6.153846153846153902e+04,2.739747344548959518e-07
6.346153846153846098e+04,2.413202935258595971e-07
6.538461538461538294e+04,1.503494075905109639e-07
6.730769230769231217e+04,2.175217446165333968e-07
6.923076923076923413e+04,2.554848208546900423e-07
7.115384615384615608e+04,9.443652260188173386e-08
7.307692307692307804e+04,2.145997228808482760e-07
7.500000000000000000e+04,9.355767360830213875e-08
