# kappa, training_loss
0.000000000000000000e+00,2.662929892539978027e-01
3.459589015952004853e-01,1.848422586917877197e-01
4.392482314775383867e-01,1.545796096324920654e-01
4.954363861777400513e-01,1.425079852342605591e-01
5.357720918135293608e-01,1.355960667133331299e-01
5.672595083447434794e-01,1.307853460311889648e-01
5.930907635535410671e-01,1.272069811820983887e-01
6.149917817214055615e-01,1.243495941162109375e-01
6.340021001630319342e-01,1.218581721186637878e-01
6.507965873818838398e-01,1.195797324180603027e-01
6.658382904736565022e-01,1.174637824296951294e-01
6.794587442759913998e-01,1.154742538928985596e-01
6.919034942584628700e-01,1.135840564966201782e-01
7.033594816068275968e-01,1.117834895849227905e-01
7.139723260658095150e-01,1.100605353713035583e-01
7.238576728898482582e-01,1.084007546305656433e-01
7.331088938900989227e-01,1.068119630217552185e-01
7.418024638556233175e-01,1.052758246660232544e-01
7.500018066688997065e-01,1.037871316075325012e-01
7.577601057719879352e-01,1.023478284478187561e-01
7.651223965958476869e-01,1.009587123990058899e-01
7.721271504307702926e-01,9.959551692008972168e-02
7.788074912118712056e-01,9.826453775167465210e-02
7.851921428055662622e-01,9.696760028600692749e-02
7.913061753967588485e-01,9.570444375276565552e-02
7.971716000308491923e-01,9.446436166763305664e-02
8.028078469354584801e-01,9.325797110795974731e-02
8.082321538615222511e-01,9.206968545913696289e-02
8.134598840216815674e-01,9.091818332672119141e-02
8.185047884076200875e-01,8.979374915361404419e-02
8.233792237692867388e-01,8.868791162967681885e-02
8.280943349557937649e-01,8.761676400899887085e-02
8.326602083891524453e-01,8.656307309865951538e-02
8.370860019870475233e-01,8.553287386894226074e-02
8.413800557425805682e-01,8.452583849430084229e-02
8.455499863170587993e-01,8.354002237319946289e-02
8.496027683416239595e-01,8.257507532835006714e-02
8.535448046076362649e-01,8.163285255432128906e-02
8.573819869196814825e-01,8.070798218250274658e-02
8.611197490632285234e-01,7.980054616928100586e-02
8.647631130821671341e-01,7.891082018613815308e-02
8.683167298552938451e-01,7.803650945425033569e-02
8.717849147943127486e-01,7.717710733413696289e-02
8.751716793507015035e-01,7.633154094219207764e-02
8.784807589083916124e-01,7.549800723791122437e-02
8.817156375486330244e-01,7.467211037874221802e-02
8.848795700987204249e-01,7.386101782321929932e-02
8.879756018143981633e-01,7.306481152772903442e-02
8.910065859943040456e-01,7.228341698646545410e-02
8.939751997818218276e-01,7.151744514703750610e-02
8.968839583736623045e-01,7.076441496610641479e-02
8.997352278241469437e-01,7.002346217632293701e-02
9.025312366085197491e-01,6.929479539394378662e-02
9.052740860868754291e-01,6.857858598232269287e-02
9.079657599917980715e-01,6.787317246198654175e-02
9.106081330470138235e-01,6.717910617589950562e-02
9.132029788108537716e-01,6.649529933929443359e-02
9.157519768267176064e-01,6.582186371088027954e-02
9.182567191527407635e-01,6.515779346227645874e-02
9.207187163342355207e-01,6.450229138135910034e-02
9.231394028750167235e-01,6.385564059019088745e-02
9.255201422572324477e-01,6.321745365858078003e-02
9.278622315536849685e-01,6.258785724639892578e-02
9.301669056717069006e-01,6.196587905287742615e-02
9.324353412633560323e-01,6.135067716240882874e-02
9.346686603329257270e-01,6.074336916208267212e-02
9.368679335694584109e-01,6.014498695731163025e-02
9.390341834290427681e-01,5.955495312809944153e-02
9.411683869891029897e-01,5.897175893187522888e-02
9.432714785946274549e-01,5.840115994215011597e-02
9.453443523142729399e-01,5.783320218324661255e-02
9.473878642225076474e-01,5.727701261639595032e-02
9.494028345223683996e-01,5.673835426568984985e-02
9.513900495220098952e-01,5.619433522224426270e-02
9.533502634769637218e-01,5.566926673054695129e-02
9.552842003089099254e-01,5.514796078205108643e-02
9.571925552107636292e-01,5.464099720120429993e-02
9.590759961469810246e-01,5.413552001118659973e-02
9.609351652571875846e-01,5.363691970705986023e-02
9.627706801705113726e-01,5.314693599939346313e-02
9.645831352373486212e-01,5.266872420907020569e-02
9.663731026847116601e-01,5.218498408794403076e-02
9.681411337007792550e-01,5.172192677855491638e-02
9.698877594537900215e-01,5.125033482909202576e-02
9.716134920499919225e-01,5.079478025436401367e-02
9.733188254349738333e-01,5.034030601382255554e-02
9.750042362423431141e-01,4.989603161811828613e-02
9.766701845934007142e-01,4.945154488086700439e-02
9.783171148511704551e-01,4.902927577495574951e-02
9.799454563318716893e-01,4.859225451946258545e-02
9.815556239766881630e-01,4.817104339599609375e-02
9.831480189864598707e-01,4.776246473193168640e-02
9.847230294217282909e-01,4.735010862350463867e-02
9.862810307703816504e-01,4.695617407560348511e-02
9.878223864849721148e-01,4.655184224247932434e-02
9.893474484916348066e-01,4.616309702396392822e-02
9.908565576723874502e-01,4.577851295471191406e-02
9.923500443224636536e-01,4.539462178945541382e-02
9.938282285842179320e-01,4.502385109663009644e-02
9.952914208590244449e-01,4.464764147996902466e-02
9.967399221984984958e-01,4.428789019584655762e-02
9.981740246762715874e-01,4.391838982701301575e-02
9.995940117414702231e-01,4.356941953301429749e-02
1.001000158554967268e+00,4.320717975497245789e-02
1.002392732309404844e+00,4.286074638366699219e-02
1.003771992533918134e+00,4.252051189541816711e-02
1.005138191384430835e+00,4.217308387160301208e-02
1.006491573920335059e+00,4.184188693761825562e-02
1.007832378368310744e+00,4.150720313191413879e-02
1.009160836374001224e+00,4.117727652192115784e-02
1.010477173242205984e+00,4.085838049650192261e-02
1.011781608166212099e+00,4.053127765655517578e-02
1.013074354446854342e+00,4.022065550088882446e-02
1.014355619701844180e+00,3.990085795521736145e-02
1.015625606065887254e+00,3.959408029913902283e-02
1.016884510382068063e+00,3.928843885660171509e-02
1.018132524384956605e+00,3.898120671510696411e-02
1.019369834875863745e+00,3.868857771158218384e-02
1.020596623890643651e+00,3.838762640953063965e-02
1.021813068860422780e+00,3.809491172432899475e-02
1.023019342765608686e+00,3.780862316489219666e-02
1.024215614283513043e+00,3.751733899116516113e-02
1.025402047929905747e+00,3.724280744791030884e-02
1.026578804194794081e+00,3.695455938577651978e-02
1.027746039672710499e+00,3.667954728007316589e-02
1.028903907187771694e+00,3.640411421656608582e-02
1.030052555913757883e+00,3.613420948386192322e-02
1.031192131489450770e+00,3.587137162685394287e-02
1.032322776129452446e+00,3.559837117791175842e-02
1.033444628730692205e+00,3.533677011728286743e-02
1.034557824974828844e+00,3.508053347468376160e-02
1.035662497426728335e+00,3.481725230813026428e-02
1.036758775629202489e+00,3.456784039735794067e-02
1.037846786194173809e+00,3.431463986635208130e-02
1.038926652890428182e+00,3.405863791704177856e-02
1.039998496728109512e+00,3.381371870636940002e-02
1.041062436040096406e+00,3.356701135635375977e-02
1.042118586560402127e+00,3.332290425896644592e-02
1.043167061499723491e+00,3.309009224176406860e-02
1.044207971618266395e+00,3.284617140889167786e-02
1.045241425295961868e+00,3.261797502636909485e-02
1.046267528600184571e+00,3.238188475370407104e-02
1.047286385351081872e+00,3.215354681015014648e-02
1.048298097184609423e+00,3.193196281790733337e-02
1.049302763613374712e+00,3.170073032379150391e-02
1.050300482085374520e+00,3.148571774363517761e-02
1.051291348040716223e+00,3.125956282019615173e-02
1.052275454966405510e+00,3.104600124061107635e-02
1.053252894449275612e+00,3.083067573606967926e-02
1.054223756227137487e+00,3.061387315392494202e-02
1.055188128238219614e+00,3.041136637330055237e-02
1.056146096668967527e+00,3.019495122134685516e-02
1.057097746000264182e+00,2.999054826796054840e-02
1.058043159052139304e+00,2.978719025850296021e-02
1.058982417027020118e+00,2.958062104880809784e-02
1.059915599551585430e+00,2.938475273549556732e-02
1.060842784717273890e+00,2.918179892003536224e-02
1.061764049119499065e+00,2.898748032748699188e-02
1.062679467895619734e+00,2.879345417022705078e-02
1.063589114761714693e+00,2.859646454453468323e-02
1.064493062048202932e+00,2.841058559715747833e-02
1.065391380734357574e+00,2.821507491171360016e-02
