# kappa, training_loss
0.000000000000000000e+00,4.940499365329742432e-01
3.459470965640704110e-01,3.873791992664337158e-01
4.392358643422229481e-01,3.471421897411346436e-01
4.954238195869781203e-01,3.256900310516357422e-01
5.357594230628387466e-01,3.066821098327636719e-01
5.672467774969002230e-01,2.886724770069122314e-01
5.930779909682922790e-01,2.748024761676788330e-01
6.149789791557794816e-01,2.638722062110900879e-01
6.339892750195974536e-01,2.549201548099517822e-01
6.507837446228009748e-01,2.473321408033370972e-01
6.658254335871750529e-01,2.407373487949371338e-01
6.794458758075901939e-01,2.348831444978713989e-01
6.918906161225100160e-01,2.294925302267074585e-01
7.033465952792860021e-01,2.243774384260177612e-01
7.139594327086072889e-01,2.195503413677215576e-01
7.238447734340668349e-01,2.150544375181198120e-01
7.330959890933259615e-01,2.107239216566085815e-01
7.417895543425364613e-01,2.066495567560195923e-01
7.499888929606389754e-01,2.028125375509262085e-01
7.577471883078386039e-01,1.990306824445724487e-01
7.651094757495303655e-01,1.953093707561492920e-01
7.721142265228696511e-01,1.917505860328674316e-01
7.787945645194536137e-01,1.883230507373809814e-01
7.851792135697156505e-01,1.854570955038070679e-01
7.912932438285483761e-01,1.825980246067047119e-01
7.971586663161243091e-01,1.800132095813751221e-01
8.027949112387032793e-01,1.775836944580078125e-01
8.082192163290119469e-01,1.752355247735977173e-01
8.134469447840750878e-01,1.728914678096771240e-01
8.184918475821060246e-01,1.705643683671951294e-01
8.233662814613738057e-01,1.703620254993438721e-01
8.280813912608134819e-01,1.666816920042037964e-01
8.326472633935261269e-01,1.648788303136825562e-01
8.370730557693644158e-01,1.632014364004135132e-01
8.413671083745153378e-01,1.614955067634582520e-01
8.455370378641602347e-01,1.598436683416366577e-01
8.495898188639938731e-01,1.582664698362350464e-01
8.535318541605160236e-01,1.566922515630722046e-01
8.573690355539631547e-01,1.551999300718307495e-01
8.611067968258991900e-01,1.552864164113998413e-01
8.647501600166985769e-01,1.523195207118988037e-01
8.683037760019848283e-01,1.511695683002471924e-01
8.717719601905904447e-01,1.496549695730209351e-01
8.751587240313878358e-01,1.483720839023590088e-01
