# kappa, training_loss
0.000000000000000000e+00,2.572883069515228271e-01
3.459825158439031600e-01,2.410824447870254517e-01
4.392729699893650475e-01,2.336773425340652466e-01
4.954615236167292935e-01,2.287530153989791870e-01
5.357974335800685939e-01,2.249297350645065308e-01
5.672849743100517594e-01,2.217973619699478149e-01
5.931163129965701941e-01,2.189220190048217773e-01
6.150173911272351912e-01,2.162691801786422729e-01
6.340277547259937085e-01,2.137409150600433350e-01
6.508222771773106707e-01,2.113106697797775269e-01
6.658640085248080931e-01,2.089526802301406860e-01
6.794844854917364563e-01,2.066292613744735718e-01
6.919292548099362783e-01,2.043555378913879395e-01
7.033852585420051762e-01,2.021152526140213013e-01
7.139981170607579974e-01,1.998998522758483887e-01
7.238834760823438241e-01,1.976986527442932129e-01
7.331347077649162935e-01,1.955095380544662476e-01
7.418282871633666842e-01,1.933298707008361816e-01
7.500276383672555003e-01,1.911538094282150269e-01
7.577859449823571847e-01,1.889749914407730103e-01
7.651482425707654134e-01,1.867927610874176025e-01
7.721530025290465060e-01,1.846029460430145264e-01
7.788333488793554027e-01,1.824029237031936646e-01
7.852180055600752606e-01,1.801898479461669922e-01
7.913320428161327857e-01,1.779628694057464600e-01
7.971974717433851776e-01,1.757192313671112061e-01
8.028337226121783354e-01,1.734623163938522339e-01
8.082580332098660003e-01,1.711954772472381592e-01
8.134857667803236936e-01,1.689167618751525879e-01
8.185306743421755238e-01,1.666233092546463013e-01
8.234051126687310651e-01,1.643177121877670288e-01
8.281202266294590553e-01,1.621783673763275146e-01
8.326861026641897423e-01,1.598501205444335938e-01
8.371118987062742267e-01,1.576956063508987427e-01
8.414059547626422386e-01,1.555765271186828613e-01
8.455758875068537517e-01,1.534302383661270142e-01
8.496286715809452383e-01,1.512776464223861694e-01
8.535707097859971393e-01,1.492947787046432495e-01
8.574078939352951512e-01,1.472705602645874023e-01
8.611456578221178271e-01,1.452286392450332642e-01
8.647890234973856227e-01,1.432379186153411865e-01
8.683426418462413254e-01,1.412744671106338501e-01
8.718108282861329883e-01,1.392953991889953613e-01
8.751975942737482139e-01,1.375126689672470093e-01
8.785066751977564925e-01,1.356644779443740845e-01
8.817415551437256527e-01,1.338023692369461060e-01
8.849054889428930037e-01,1.319413483142852783e-01
8.880015218546112310e-01,1.301479488611221313e-01
8.910325071808261610e-01,1.283660829067230225e-01
8.940011220679600079e-01,1.268093585968017578e-01
8.969098817155197745e-01,1.249502375721931458e-01
8.997611521804040891e-01,1.231691166758537292e-01
9.025571619402358303e-01,1.213690638542175293e-01
9.053000123573100577e-01,1.199427694082260132e-01
