# Iterations, training_loss
0.000000000000000000e+00,2.247092276811599731e-01
3.069767441860465169e+03,1.248231250792741776e-02
6.139534883720930338e+03,2.583031076937913895e-03
9.209302325581395053e+03,1.214648364111781120e-03
1.227906976744186068e+04,1.085652736946940422e-03
1.534883720930232630e+04,7.314810645766556263e-04
1.841860465116279011e+04,5.558038828894495964e-04
2.148837209302325573e+04,5.183423054404556751e-04
2.455813953488372135e+04,5.067492020316421986e-04
2.762790697674418698e+04,4.739536670967936516e-04
3.069767441860465260e+04,4.285574832465499640e-04
3.376744186046511459e+04,4.126072744838893414e-04
3.683720930232558021e+04,4.037294711451977491e-04
3.990697674418604583e+04,3.032326640095561743e-04
4.297674418604651146e+04,3.038581635337322950e-04
4.604651162790697708e+04,3.031640080735087395e-04
4.911627906976744271e+04,3.029844374395906925e-04
5.218604651162790833e+04,3.024901670869439840e-04
5.525581395348837395e+04,3.032853710465133190e-04
5.832558139534883958e+04,2.036826772382482886e-04
6.139534883720930520e+04,2.002027758862823248e-04
6.446511627906977083e+04,2.019537205342203379e-04
6.753488372093022917e+04,2.013987977989017963e-04
7.060465116279070207e+04,2.003852277994155884e-04
7.367441860465116042e+04,2.000577223952859640e-04
7.674418604651163332e+04,2.004111302085220814e-04
7.981395348837209167e+04,2.001941611524671316e-04
8.288372093023256457e+04,2.001123793888837099e-04
8.595348837209302292e+04,2.000684035010635853e-04
8.902325581395349582e+04,2.000079402932897210e-04
9.209302325581395417e+04,2.000097883865237236e-04
9.516279069767442707e+04,2.000117674469947815e-04
9.823255813953488541e+04,2.000142994802445173e-04
1.013023255813953438e+05,2.000140812015160918e-04
1.043720930232558167e+05,2.000185631914064288e-04
1.074418604651162750e+05,2.000144158955663443e-04
1.105116279069767479e+05,2.000092499656602740e-04
1.135813953488372063e+05,2.000095555558800697e-04
1.166511627906976792e+05,2.000122040044516325e-04
1.197209302325581375e+05,2.000116510316729546e-04
1.227906976744186104e+05,2.000108361244201660e-04
1.258604651162790688e+05,2.000101521844044328e-04
1.289302325581395417e+05,2.000101812882348895e-04
1.320000000000000000e+05,2.000095992116257548e-04
