# Iterations, accuracy
0.000000000000000000e+00,6.250000000000000000e-01
3.022058823529411711e+03,7.530000209808349609e-01
6.044117647058823422e+03,7.565000653266906738e-01
9.066176470588234224e+03,7.615000605583190918e-01
1.208823529411764684e+04,7.650000452995300293e-01
1.511029411764705947e+04,7.680000066757202148e-01
1.813235294117646845e+04,7.690000534057617188e-01
2.115441176470588107e+04,7.700000405311584473e-01
2.417647058823529369e+04,7.760000228881835938e-01
2.719852941176470631e+04,7.745000123977661133e-01
3.022058823529411893e+04,7.735000252723693848e-01
3.324264705882353155e+04,7.760000228881835938e-01
3.626470588235293690e+04,7.775000333786010742e-01
3.928676470588234952e+04,7.785000205039978027e-01
4.230882352941176214e+04,7.785000205039978027e-01
4.533088235294117476e+04,7.815000414848327637e-01
4.835294117647058738e+04,7.825000286102294922e-01
5.137500000000000000e+04,7.840000391006469727e-01
5.439705882352941262e+04,7.840000391006469727e-01
5.741911764705882524e+04,7.840000391006469727e-01
6.044117647058823786e+04,7.840000391006469727e-01
6.346323529411764321e+04,7.850000262260437012e-01
6.648529411764706310e+04,7.845000624656677246e-01
6.950735294117647572e+04,7.830000519752502441e-01
7.252941176470587379e+04,7.835000157356262207e-01
7.555147058823528641e+04,7.835000157356262207e-01
7.857352941176469903e+04,7.835000157356262207e-01
8.159558823529411166e+04,7.835000157356262207e-01
8.461764705882352428e+04,7.840000391006469727e-01
8.763970588235293690e+04,7.845000624656677246e-01
9.066176470588234952e+04,7.845000624656677246e-01
9.368382352941176214e+04,7.860000133514404297e-01
9.670588235294117476e+04,7.860000133514404297e-01
9.972794117647058738e+04,7.860000133514404297e-01
1.027500000000000000e+05,7.855000495910644531e-01
1.057720588235294126e+05,7.855000495910644531e-01
1.087941176470588252e+05,7.855000495910644531e-01
1.118161764705882379e+05,7.850000262260437012e-01
1.148382352941176505e+05,7.855000495910644531e-01
1.178602941176470631e+05,7.850000262260437012e-01
1.208823529411764757e+05,7.850000262260437012e-01
1.239044117647058738e+05,7.850000262260437012e-01
1.269264705882352864e+05,7.850000262260437012e-01
1.299485294117646990e+05,7.845000624656677246e-01
1.329705882352941262e+05,7.840000391006469727e-01
1.359926470588235243e+05,7.840000391006469727e-01
1.390147058823529514e+05,7.840000391006469727e-01
1.420367647058823495e+05,7.840000391006469727e-01
1.450588235294117476e+05,7.835000157356262207e-01
1.480808823529411748e+05,7.830000519752502441e-01
1.511029411764705728e+05,7.830000519752502441e-01
1.541250000000000000e+05,7.835000157356262207e-01
1.571470588235293981e+05,7.830000519752502441e-01
1.601691176470588252e+05,7.830000519752502441e-01
1.631911764705882233e+05,7.830000519752502441e-01
1.662132352941176505e+05,7.830000519752502441e-01
1.692352941176470486e+05,7.830000519752502441e-01
1.722573529411764757e+05,7.825000286102294922e-01
1.752794117647058738e+05,7.825000286102294922e-01
1.783014705882353010e+05,7.825000286102294922e-01
1.813235294117646990e+05,7.825000286102294922e-01
1.843455882352941262e+05,7.820000648498535156e-01
1.873676470588235243e+05,7.820000648498535156e-01
1.903897058823529514e+05,7.820000648498535156e-01
1.934117647058823495e+05,7.820000648498535156e-01
1.964338235294117476e+05,7.820000648498535156e-01
1.994558823529411748e+05,7.820000648498535156e-01
2.024779411764705728e+05,7.820000648498535156e-01
2.055000000000000000e+05,7.820000648498535156e-01
2.085220588235293981e+05,7.820000648498535156e-01
2.115441176470588252e+05,7.815000414848327637e-01
2.145661764705882233e+05,7.815000414848327637e-01
2.175882352941176505e+05,7.815000414848327637e-01
2.206102941176470486e+05,7.815000414848327637e-01
2.236323529411764757e+05,7.815000414848327637e-01
2.266544117647058738e+05,7.815000414848327637e-01
2.296764705882353010e+05,7.815000414848327637e-01
2.326985294117646990e+05,7.815000414848327637e-01
2.357205882352941262e+05,7.815000414848327637e-01
2.387426470588235243e+05,7.815000414848327637e-01
2.417647058823529514e+05,7.815000414848327637e-01
2.447867647058823495e+05,7.810000181198120117e-01
2.478088235294117476e+05,7.815000414848327637e-01
2.508308823529411748e+05,7.815000414848327637e-01
2.538529411764705728e+05,7.815000414848327637e-01
2.568750000000000000e+05,7.815000414848327637e-01
2.598970588235293981e+05,7.815000414848327637e-01
2.629191176470587961e+05,7.815000414848327637e-01
2.659411764705882524e+05,7.815000414848327637e-01
2.689632352941176505e+05,7.815000414848327637e-01
2.719852941176470486e+05,7.815000414848327637e-01
2.750073529411764466e+05,7.815000414848327637e-01
2.780294117647059029e+05,7.815000414848327637e-01
2.810514705882353010e+05,7.820000648498535156e-01
2.840735294117646990e+05,7.820000648498535156e-01
2.870955882352940971e+05,7.820000648498535156e-01
2.901176470588234952e+05,7.820000648498535156e-01
2.931397058823529514e+05,7.820000648498535156e-01
2.961617647058823495e+05,7.820000648498535156e-01
2.991838235294117476e+05,7.820000648498535156e-01
3.022058823529411457e+05,7.820000648498535156e-01
3.052279411764706019e+05,7.820000648498535156e-01
3.082500000000000000e+05,7.820000648498535156e-01
3.112720588235293981e+05,7.820000648498535156e-01
3.142941176470587961e+05,7.820000648498535156e-01
3.173161764705882524e+05,7.820000648498535156e-01
3.203382352941176505e+05,7.825000286102294922e-01
3.233602941176470486e+05,7.825000286102294922e-01
3.263823529411764466e+05,7.825000286102294922e-01
3.294044117647059029e+05,7.825000286102294922e-01
3.324264705882353010e+05,7.825000286102294922e-01
