# kappa, accuracy
0.000000000000000000e+00,4.785000085830688477e-01
3.459463763890602284e-01,5.425000190734863281e-01
4.392351098740547855e-01,5.700000524520874023e-01
4.954230529502894886e-01,6.145000457763671875e-01
5.357586501934972212e-01,6.335000395774841309e-01
5.672460008390847186e-01,6.450000405311584473e-01
5.930772117641259777e-01,6.600000262260437012e-01
6.149781981225446170e-01,6.645000576972961426e-01
6.339884926089159878e-01,6.695000529289245605e-01
6.507829611374085221e-01,6.770000457763671875e-01
6.658246492398857130e-01,6.805000305175781250e-01
6.794450907537007422e-01,6.835000514984130859e-01
6.918898304788139164e-01,6.885000467300415039e-01
7.033458091358301134e-01,6.925000548362731934e-01
7.139586461362794623e-01,6.945000290870666504e-01
7.238439864896714093e-01,6.950000524520874023e-01
7.330952018230824097e-01,6.930000185966491699e-01
7.417887667845558530e-01,6.975000500679016113e-01
7.499881051467154336e-01,6.970000267028808594e-01
7.577464002647723573e-01,7.020000219345092773e-01
7.651086875001215093e-01,7.005000114440917969e-01
7.721134380866768732e-01,6.980000138282775879e-01
7.787937759133805038e-01,6.995000243186950684e-01
7.851784248084703322e-01,7.005000114440917969e-01
7.912924549250084372e-01,7.020000219345092773e-01
7.971578772816279024e-01,7.040000557899475098e-01
8.027941220832852665e-01,7.055000066757202148e-01
8.082184270615964117e-01,7.060000300407409668e-01
8.134461554126334315e-01,7.065000534057617188e-01
8.184910581137878616e-01,7.100000381469726562e-01
8.233654919026162089e-01,7.115000486373901367e-01
8.280806016174322437e-01,7.135000228881835938e-01
8.326464736707940295e-01,7.135000228881835938e-01
8.370722659720758463e-01,7.140000462532043457e-01
8.413663185070432426e-01,7.125000357627868652e-01
8.455362479305036372e-01,7.145000100135803223e-01
8.495890288678193958e-01,7.175000309944152832e-01
8.535310641051940816e-01,7.175000309944152832e-01
8.573682454425983757e-01,7.190000414848327637e-01
8.611060066613585029e-01,7.170000076293945312e-01
8.647493698016339714e-01,7.170000076293945312e-01
8.683029857388548933e-01,7.175000309944152832e-01
8.717711698816785759e-01,7.180000543594360352e-01
8.751579336788185559e-01,7.190000414848327637e-01
8.784670125116927908e-01,7.155000567436218262e-01
8.817018904592612838e-01,7.150000333786010742e-01
8.848658223467265049e-01,7.140000462532043457e-01
8.879618534279186681e-01,7.135000228881835938e-01
8.909928369997212050e-01,7.160000205039978027e-01
8.939614502039053834e-01,7.160000205039978027e-01
8.968702082356991845e-01,7.170000076293945312e-01
