# kappa, training_loss
0.000000000000000000e+00,4.998560547828674316e-01
3.459962987159110881e-01,3.231531679630279541e-01
4.392874089682472505e-01,2.909673154354095459e-01
4.954761954029143212e-01,2.659005224704742432e-01
5.358122246080421203e-01,2.456783354282379150e-01
5.672998378180047485e-01,2.299737781286239624e-01
5.931312252204375968e-01,2.181914448738098145e-01
6.150323383441561598e-01,2.069594115018844604e-01
6.340427282956705435e-01,1.968308538198471069e-01
6.508372713079062510e-01,1.874980330467224121e-01
6.658790191448392681e-01,1.787483990192413330e-01
6.794995096301243986e-01,1.704922020435333252e-01
6.919442902322352484e-01,1.627195775508880615e-01
7.034003035254760006e-01,1.555111706256866455e-01
7.140131702492028554e-01,1.488187462091445923e-01
7.238985363890084734e-01,1.425136923789978027e-01
7.331497743055480631e-01,1.366333514451980591e-01
7.418433592088449213e-01,1.310345381498336792e-01
7.500427153093087718e-01,1.319904327392578125e-01
7.578010263082540776e-01,1.231469437479972839e-01
7.651633278443019659e-01,1.188283264636993408e-01
7.721680913760382570e-01,1.158476993441581726e-01
7.788484409764120375e-01,1.124143153429031372e-01
7.852331006258056467e-01,1.092758551239967346e-01
7.913471406041735490e-01,1.061597168445587158e-01
7.972125720368187229e-01,1.031383797526359558e-01
8.028488252190204566e-01,1.029480546712875366e-01
8.082731379593851573e-01,9.902103245258331299e-02
8.135008735200158769e-01,9.569150209426879883e-02
8.185457829352590364e-01,9.310194104909896851e-02
8.234202229920569716e-01,9.103512018918991089e-02
8.281353385717572513e-01,8.895713835954666138e-02
8.327012161245898048e-01,8.720055222511291504e-02
8.371270135930478640e-01,8.681876212358474731e-02
8.414210709921311482e-01,8.395004272460937500e-02
8.455910050025496894e-01,8.195406198501586914e-02
8.496437902726982072e-01,8.032269030809402466e-02
8.535858296093297160e-01,7.865495234727859497e-02
8.574230148308067401e-01,7.754723727703094482e-02
8.611607797349654092e-01,7.584559172391891479e-02
8.648041463768291193e-01,7.424090057611465454e-02
8.683577656452445837e-01,7.288963347673416138e-02
8.718259529610112857e-01,7.165274769067764282e-02
8.752127197838576178e-01,7.029449939727783203e-02
8.785218015052183027e-01,6.983707100152969360e-02
8.817566822131802651e-01,6.786388903856277466e-02
8.849206167412821955e-01,6.701536476612091064e-02
8.880166503509824283e-01,6.586760282516479492e-02
8.910476363461571347e-01,6.467732042074203491e-02
8.940162518750018883e-01,6.355915218591690063e-02
8.969250121386552754e-01,6.262978166341781616e-02
8.997762831955199436e-01,6.206734478473663330e-02
9.025722935246074385e-01,6.115169450640678406e-02
9.053151444894963484e-01,6.012728810310363770e-02
9.080068198259972911e-01,5.898448452353477478e-02
9.106491942608284651e-01,5.803182348608970642e-02
9.132440413550994007e-01,5.717824399471282959e-02
9.157930406547943880e-01,5.666716769337654114e-02
9.182977842204547159e-01,5.706514045596122742e-02
9.207597825996362007e-01,5.519454926252365112e-02
9.231804702982476796e-01,5.411691591143608093e-02
9.255612108003939964e-01,5.335304513573646545e-02
9.279033011807085174e-01,5.264562740921974182e-02
9.302079763482388186e-01,5.192270502448081970e-02
9.324764129566502913e-01,5.122177675366401672e-02
9.347097330117452030e-01,5.053914338350296021e-02
9.369090072039840678e-01,5.024228245019912720e-02
9.390752579907883923e-01,5.052166059613227844e-02
9.412094624508375862e-01,4.861416667699813843e-02
9.433125549303019719e-01,4.790981486439704895e-02
9.453854294989534335e-01,4.730126261711120605e-02
9.474289422323119991e-01,4.665238782763481140e-02
9.494439133344082515e-01,4.601328447461128235e-02
9.514311291143364713e-01,4.539881646633148193e-02
9.533913438285163133e-01,4.479378089308738708e-02
9.553252813994697057e-01,4.419566318392753601e-02
9.572336370209085787e-01,4.365018010139465332e-02
9.591170786580446306e-01,4.421163722872734070e-02
9.609762484512208713e-01,4.251750186085700989e-02
9.628117640302455982e-01,4.217103123664855957e-02
9.646242197461619705e-01,4.154420644044876099e-02
9.664141878265974928e-01,4.089712724089622498e-02
9.681822194603155740e-01,4.034778848290443420e-02
9.699288458161113846e-01,3.983720391988754272e-02
9.716545790007636851e-01,3.934044018387794495e-02
9.733599129603661693e-01,3.885266929864883423e-02
9.750453243290081451e-01,3.837686777114868164e-02
9.767112732284506382e-01,3.790212422609329224e-02
9.783582040221558973e-01,3.744025900959968567e-02
9.799865460267629391e-01,3.698876127600669861e-02
9.815967141838556342e-01,3.658540546894073486e-02
9.831891096946570041e-01,3.716982156038284302e-02
9.847641206200751229e-01,3.568882867693901062e-02
9.863221224483484928e-01,3.553222492337226868e-02
9.878634786323652328e-01,3.505990654230117798e-02
9.893885410985820972e-01,3.451673686504364014e-02
9.908976507293245639e-01,3.412050753831863403e-02
9.923911378201221156e-01,3.375085815787315369e-02
9.938693225136125964e-01,3.338471427559852600e-02
9.953325152114420593e-01,3.302459046244621277e-02
9.967810169654871544e-01,3.267040848731994629e-02
9.982151198496300726e-01,3.232069686055183411e-02
9.996351073132382359e-01,3.197203949093818665e-02
1.001041254517416323e+00,3.162844479084014893e-02
1.002433828655028947e+00,3.128624707460403442e-02
1.003813089255425561e+00,3.094527870416641235e-02
1.005179288474736587e+00,3.060423582792282104e-02
1.006532671372551757e+00,3.026390261948108673e-02
1.007873476175742411e+00,2.992322295904159546e-02
1.009201934530136624e+00,2.958286926150321960e-02
1.010518271740710183e+00,2.924097143113613129e-02
1.011822707000922250e+00,2.890176326036453247e-02
1.013115453611772132e+00,2.867577224969863892e-02
1.014396719191130281e+00,3.094496950507164001e-02
1.015666705873855991e+00,2.945385314524173737e-02
1.016925610503181865e+00,2.761961519718170166e-02
1.018173624813821121e+00,2.736430056393146515e-02
1.019410935607222957e+00,2.708340436220169067e-02
1.020637724919374767e+00,2.675171382725238800e-02
1.021854170181532018e+00,2.648478932678699493e-02
1.023060444374227274e+00,2.622513100504875183e-02
1.024256716174892556e+00,2.596384286880493164e-02
1.025443150099414558e+00,2.570649981498718262e-02
1.026619906637913360e+00,2.544980123639106750e-02
1.027787142385030883e+00,2.519799768924713135e-02
1.028945010164989515e+00,2.495223283767700195e-02
1.030093659151671615e+00,2.471140958368778229e-02
1.031233234983958358e+00,2.447309717535972595e-02
1.032363879876547319e+00,2.423786185681819916e-02
1.033485732726461714e+00,2.400540933012962341e-02
1.034598929215450047e+00,2.377611957490444183e-02
1.035703601908465998e+00,2.354959398508071899e-02
1.036799880348405978e+00,2.332591451704502106e-02
1.037887891147274644e+00,2.310417965054512024e-02
1.038967758073938263e+00,2.288356795907020569e-02
1.040039602138617791e+00,2.266408689320087433e-02
1.041103541674267552e+00,2.244612947106361389e-02
1.042159692414972749e+00,2.222860790789127350e-02
1.043208167571501699e+00,2.201128378510475159e-02
1.044249077904129575e+00,2.179295569658279419e-02
1.045282531792853575e+00,2.157286927103996277e-02
1.046308635305113865e+00,2.134921215474605560e-02
1.047327492261120430e+00,2.112191170454025269e-02
1.048339204296890870e+00,2.089346759021282196e-02
1.049343870925091737e+00,2.066733874380588531e-02
1.050341589593778213e+00,2.044431678950786591e-02
1.051332455743114513e+00,2.022490464150905609e-02
1.052316562860160509e+00,2.000774443149566650e-02
1.053294002531803164e+00,1.979282125830650330e-02
1.054264864495905396e+00,1.958211325109004974e-02
1.055229236690746530e+00,1.937255263328552246e-02
1.056187205302820731e+00,1.916304044425487518e-02
1.057138854813059803e+00,1.895520836114883423e-02
1.058084268041539655e+00,1.875291392207145691e-02
1.059023526190732811e+00,1.855687424540519714e-02
1.059956708887363153e+00,1.836419105529785156e-02
1.060883894222911961e+00,1.817214675247669220e-02
1.061805158792834991e+00,1.797655038535594940e-02
1.062720577734532101e+00,1.778080314397811890e-02
1.063630224764122056e+00,1.759497635066509247e-02
1.064534172212062924e+00,1.741759665310382843e-02
1.065432491057665798e+00,1.724494621157646179e-02
1.066325250962539384e+00,1.707532070577144623e-02
1.067212520303005840e+00,1.690794900059700012e-02
1.068094366201527201e+00,1.674116216599941254e-02
1.068970854557175221e+00,1.657343097031116486e-02
1.069842050075183293e+00,1.640480943024158478e-02
1.070708016295610188e+00,1.623753830790519714e-02
1.071568815621148918e+00,1.607684604823589325e-02
1.072424509344110710e+00,1.592383719980716705e-02
1.073275157672614055e+00,1.577198132872581482e-02
1.074120819756005041e+00,1.561698410660028458e-02
1.074961553709538942e+00,1.546396315097808838e-02
1.075797416638344384e+00,1.531722955405712128e-02
1.076628464660699169e+00,1.517463661730289459e-02
1.077454752930638415e+00,1.503372937440872192e-02
1.078276335659920093e+00,1.489145774394273758e-02
1.079093266139367069e+00,1.474857144057750702e-02
1.079905596759609621e+00,1.460638362914323807e-02
1.080713379031247090e+00,1.446731854230165482e-02
1.081516663604447315e+00,1.433282438665628433e-02
1.082315500288004495e+00,1.420233119279146194e-02
1.083109938067871703e+00,1.407433021813631058e-02
1.083900025125186239e+00,1.394860073924064636e-02
1.084685808853803834e+00,1.382519956678152084e-02
1.085467335877358108e+00,1.370405871421098709e-02
1.086244652065860405e+00,1.358545199036598206e-02
1.087017802551854651e+00,1.347010117024183273e-02
1.087786831746142546e+00,1.335801649838685989e-02
1.088551783353089553e+00,1.324838213622570038e-02
1.089312700385530519e+00,1.314096059650182724e-02
1.090069625179281632e+00,1.303553860634565353e-02
1.090822599407274662e+00,1.293185260146856308e-02
1.091571664093324179e+00,1.282971445471048355e-02
1.092316859625539482e+00,1.272887457162141800e-02
1.093058225769391267e+00,1.262917276471853256e-02
1.093795801680445212e+00,1.253012754023075104e-02
1.094529625916770721e+00,1.243160385638475418e-02
1.095259736451036359e+00,1.233356725424528122e-02
1.095986170682299976e+00,1.223587431013584137e-02
1.096708965447504847e+00,1.213855110108852386e-02
1.097428157032688256e+00,1.204198319464921951e-02
1.098143781183911871e+00,1.194616314023733139e-02
1.098855873117922988e+00,1.185128185898065567e-02
1.099564467532553769e+00,1.175724342465400696e-02
1.100269598616866684e+00,1.166362967342138290e-02
1.100971300061051927e+00,1.156976167112588882e-02
1.101669605066087243e+00,1.147417165338993073e-02
1.102364546353163499e+00,1.137447636574506760e-02
1.103056156172885105e+00,1.126986648887395859e-02
1.103744466314250383e+00,1.116421353071928024e-02
1.104429508113419889e+00,1.105992775410413742e-02
1.105111312462275786e+00,1.095531135797500610e-02
1.105789909816781602e+00,1.084959693253040314e-02
1.106465330205145481e+00,1.074816565960645676e-02
1.107137603235792911e+00,1.065289881080389023e-02
1.107806758105155609e+00,1.056288927793502808e-02
1.108472823605279212e+00,1.047680992633104324e-02
1.109135828131257329e+00,1.039372291415929794e-02
1.109795799688495732e+00,1.031304150819778442e-02
1.110452765899808902e+00,1.023463439196348190e-02
1.111106754012359366e+00,1.015821844339370728e-02
1.111757790904437160e+00,1.008354034274816513e-02
1.112405903092088755e+00,1.001033466309309006e-02
1.113051116735596979e+00,9.938348084688186646e-03
1.113693457645817730e+00,9.867448359727859497e-03
1.114332951290374796e+00,9.797386825084686279e-03
1.114969622799719229e+00,9.727992117404937744e-03
1.115603496973054831e+00,9.659162722527980804e-03
1.116234598284134405e+00,9.590634144842624664e-03
1.116862950886929662e+00,9.522307664155960083e-03
1.117488578621178341e+00,9.453838691115379333e-03
1.118111505017810980e+00,9.384674020111560822e-03
1.118731753304262222e+00,9.314205497503280640e-03
1.119349346409666879e+00,9.242129512131214142e-03
1.119964306969946755e+00,9.169202297925949097e-03
1.120576657332788439e+00,9.096947498619556427e-03
1.121186419562516523e+00,9.026722982525825500e-03
1.121793615444863557e+00,8.958814665675163269e-03
1.122398266491641872e+00,8.892882615327835083e-03
1.123000393945314368e+00,8.828417398035526276e-03
1.123600018783474486e+00,8.765114471316337585e-03
1.124197161723230920e+00,8.702878840267658234e-03
1.124791843225501964e+00,8.641586638987064362e-03
1.125384083499222587e+00,8.581202477216720581e-03
1.125973902505465585e+00,8.521409705281257629e-03
1.126561319961478569e+00,8.462193422019481659e-03
1.127146355344637474e+00,8.403295651078224182e-03
1.127729027896324343e+00,8.344534784555435181e-03
1.128309356625721405e+00,8.285764604806900024e-03
1.128887360313535204e+00,8.226677775382995605e-03
1.129463057515641689e+00,8.167068473994731903e-03
1.130036466566660902e+00,8.106426335871219635e-03
1.130607605583461073e+00,8.043823763728141785e-03
1.131176492468592754e+00,7.976325228810310364e-03
1.131743144913657018e+00,7.894833572208881378e-03
1.132307580402605041e+00,7.799160666763782501e-03
1.132869816214976399e+00,7.714689243584871292e-03
1.133429869429072534e+00,7.640859112143516541e-03
1.133987756925070034e+00,7.576134987175464630e-03
1.134543495388072865e+00,7.515941280871629715e-03
1.135097101311106860e+00,7.459057494997978210e-03
1.135648590998056706e+00,7.404292002320289612e-03
1.136197980566547194e+00,7.351182401180267334e-03
1.136745285950768958e+00,7.299387827515602112e-03
1.137290522904252477e+00,7.249123882502317429e-03
1.137833707002588124e+00,7.200001273304224014e-03
1.138374853646096474e+00,7.151833735406398773e-03
1.138913978062447541e+00,7.104607298970222473e-03
1.139451095309232720e+00,7.058161776512861252e-03
1.139986220276487439e+00,7.012385409325361252e-03
1.140519367689168284e+00,6.967262830585241318e-03
1.141050552109584837e+00,6.922721862792968750e-03
1.141579787939785540e+00,6.878681015223264694e-03
1.142107089423900490e+00,6.834930274635553360e-03
1.142632470650442489e+00,6.791427265852689743e-03
1.143155945554565234e+00,6.748197600245475769e-03
1.143677527920281767e+00,6.705107167363166809e-03
1.144197231382641178e+00,6.661782506853342056e-03
1.144715069429868226e+00,6.618059240281581879e-03
1.145231055405463660e+00,6.573327351361513138e-03
1.145745202510267013e+00,6.526043638586997986e-03
1.146257523804483203e+00,6.470851134508848190e-03
1.146768032209673605e+00,6.390746682882308960e-03
1.147276740510710713e+00,6.321272812783718109e-03
1.147783661357699714e+00,6.267699878662824631e-03
1.148288807267866307e+00,6.217323709279298782e-03
1.148792190627410781e+00,6.169144064188003540e-03
1.149293823693330330e+00,6.122835446149110794e-03
1.149793718595210068e+00,6.078077480196952820e-03
1.150291887336983176e+00,6.034631282091140747e-03
1.150788341798659298e+00,5.992448888719081879e-03
1.151283093738026508e+00,5.951494444161653519e-03
1.151776154792319318e+00,5.911651998758316040e-03
1.152267536479864019e+00,5.872844252735376358e-03
1.152757250201691397e+00,5.834911018610000610e-03
1.153245307243124351e+00,5.797654390335083008e-03
1.153731718775338644e+00,5.761107429862022400e-03
1.154216495856896341e+00,5.725171416997909546e-03
1.154699649435255937e+00,5.689677316695451736e-03
1.155181190348254061e+00,5.654274486005306244e-03
1.155661129325564751e+00,5.618621595203876495e-03
1.156139476990134751e+00,5.581695586442947388e-03
1.156616243859593496e+00,5.541761405766010284e-03
1.157091440347640443e+00,5.495157558470964432e-03
1.157565076765411094e+00,5.444926675409078598e-03
1.158037163322817253e+00,5.402478855103254318e-03
1.158507710129871082e+00,5.365305114537477493e-03
1.158976727197980949e+00,5.330958403646945953e-03
1.159444224441230409e+00,5.298289004713296890e-03
1.159910211677636971e+00,5.266833584755659103e-03
1.160374698630387558e+00,5.236212164163589478e-03
1.160837694929056862e+00,5.206304602324962616e-03
1.161299210110804836e+00,5.176956765353679657e-03
1.161759253621555521e+00,5.148083902895450592e-03
1.162217834817157014e+00,5.119642708450555801e-03
1.162674962964523440e+00,5.091669503599405289e-03
1.163130647242757831e+00,5.064082797616720200e-03
1.163584896744259245e+00,5.036880262196063995e-03
1.164037720475809889e+00,5.009960383176803589e-03
1.164489127359647824e+00,4.983347374945878983e-03
1.164939126234521449e+00,4.957021214067935944e-03
1.165387725856727563e+00,4.931000526994466782e-03
1.165834934901134545e+00,4.905235022306442261e-03
1.166280761962187551e+00,4.879707004874944687e-03
1.166725215554901274e+00,4.854440223425626755e-03
1.167168304115834276e+00,4.829476587474346161e-03
1.167610036004050444e+00,4.804737865924835205e-03
1.168050419502065562e+00,4.780170507729053497e-03
1.168489462816778568e+00,4.755833186209201813e-03
1.168927174080389486e+00,4.731746390461921692e-03
1.169363561351303149e+00,4.707898478955030441e-03
1.169798632615019374e+00,4.684309940785169601e-03
1.170232395785009816e+00,4.660917446017265320e-03
1.170664858703581723e+00,4.637771286070346832e-03
1.171096029142728145e+00,4.614845849573612213e-03
1.171525914804967261e+00,4.592141602188348770e-03
1.171954523324166164e+00,4.569628741592168808e-03
1.172381862266355768e+00,4.547351505607366562e-03
1.172807939130531718e+00,4.525296855717897415e-03
1.173232761349443765e+00,4.503448959439992905e-03
1.173656336290373581e+00,4.481815267354249954e-03
1.174078671255902373e+00,4.460359923541545868e-03
1.174499773484665388e+00,4.439133685082197189e-03
1.174919650152095985e+00,4.418123979121446609e-03
1.175338308371160378e+00,4.397311713546514511e-03
1.175755755193080176e+00,4.376708995550870895e-03
1.176171997608045139e+00,4.356273915618658066e-03
1.176587042545913953e+00,4.336034413427114487e-03
1.177000896876909231e+00,4.315915517508983612e-03
1.177413567412297857e+00,4.295974504202604294e-03
1.177825060905064003e+00,4.276145715266466141e-03
1.178235384050572820e+00,4.256451968103647232e-03
1.178644543487223029e+00,4.236871842294931412e-03
1.179052545797092622e+00,4.217353649437427521e-03
1.179459397506572582e+00,4.197841510176658630e-03
1.179865105086995491e+00,4.178242292255163193e-03
1.180269674955250370e+00,4.158408381044864655e-03
1.180673113474394631e+00,4.138059914112091064e-03
1.181075426954251384e+00,4.116662312299013138e-03
1.181476621652004733e+00,4.093123599886894226e-03
1.181876703772781978e+00,4.065798129886388779e-03
1.182275679470228269e+00,4.035819321870803833e-03
1.182673554847077702e+00,4.007141105830669403e-03
1.183070335955710872e+00,3.977423068135976791e-03
1.183466028798708214e+00,3.929520957171916962e-03
1.183860639329394226e+00,3.881014883518218994e-03
1.184254173452376602e+00,3.850019071251153946e-03
1.184646637024073357e+00,3.824503161013126373e-03
1.185038035853239302e+00,3.801667597144842148e-03
1.185428375701479631e+00,3.780509810894727707e-03
