# kappa, training_loss
0.000000000000000000e+00,4.689291715621948242e-01
3.460008427483878268e-01,4.541674852371215820e-01
4.392921692961788693e-01,4.083101749420166016e-01
4.954810324789447051e-01,3.913788795471191406e-01
5.358171009936886220e-01,3.748528361320495605e-01
5.673047380976039555e-01,3.397102952003479004e-01
5.931361415598523923e-01,3.569450080394744873e-01
6.150372662194680817e-01,3.233469724655151367e-01
6.340476648584949526e-01,3.262328207492828369e-01
6.508422146488909155e-01,3.133412003517150879e-01
6.658839679217686269e-01,3.201477527618408203e-01
6.795044628635450445e-01,3.145254254341125488e-01
6.919492471855346327e-01,2.894211113452911377e-01
7.034052636307319695e-01,2.818931937217712402e-01
7.140181330593278197e-01,2.798765003681182861e-01
7.239035015457409017e-01,2.701471745967864990e-01
7.331547415173828020e-01,2.682792842388153076e-01
7.418483282354187969e-01,2.653354108333587646e-01
7.500476859500977422e-01,2.541490793228149414e-01
7.578059983942297961e-01,2.524811327457427979e-01
7.651683012316644605e-01,2.582740485668182373e-01
7.721730659414332010e-01,2.653226852416992188e-01
7.788534166132299319e-01,2.456722259521484375e-01
7.852380772412824728e-01,2.563937902450561523e-01
7.913521181170923846e-01,2.532506585121154785e-01
7.972175503756704362e-01,2.530476152896881104e-01
8.028538043205150077e-01,2.382759302854537964e-01
8.082781177672386796e-01,2.286629080772399902e-01
8.135058539839538083e-01,2.453471273183822632e-01
8.185507640101895577e-01,2.384923994541168213e-01
8.234252046373824463e-01,2.349385023117065430e-01
8.281403207507964659e-01,2.228139191865921021e-01
8.327061988040893592e-01,2.361552119255065918e-01
8.371319967427683917e-01,2.272707819938659668e-01
8.414260545844938211e-01,2.213008403778076172e-01
8.455959890123325717e-01,2.159434556961059570e-01
8.496487746767756866e-01,2.196681648492813110e-01
8.535908143864457953e-01,2.147469520568847656e-01
8.574279999613793057e-01,2.067975103855133057e-01
8.611657652009149233e-01,2.289718985557556152e-01
8.648091321614285176e-01,2.171544134616851807e-01
8.683627517329878254e-01,2.066584229469299316e-01
8.718309393374971128e-01,2.145227938890457153e-01
8.752177064356873037e-01,2.225543558597564697e-01
8.785267884199046140e-01,2.055906057357788086e-01
8.817616693790666371e-01,2.140525579452514648e-01
8.849256041474704571e-01,2.222475856542587280e-01
8.880216379872687416e-01,2.100223302841186523e-01
8.910526242029740418e-01,2.204032689332962036e-01
8.940212399433663526e-01,2.137770354747772217e-01
8.969300004101224966e-01,2.124733328819274902e-01
8.997812716621405027e-01,2.118814736604690552e-01
9.025772821788897726e-01,2.062359899282455444e-01
9.053201333243723337e-01,2.125369012355804443e-01
9.080118088347907124e-01,2.115804851055145264e-01
9.106541834372262612e-01,2.071344852447509766e-01
9.132490306931265733e-01,2.090158015489578247e-01
9.157980301487896879e-01,2.153255641460418701e-01
