# kappa, training_loss
0.000000000000000000e+00,4.645943641662597656e-01
3.459685770851622655e-01,3.584561944007873535e-01
4.392583676362775136e-01,2.673364281654357910e-01
4.954466857980896477e-01,2.651495933532714844e-01
5.357824751578134093e-01,2.486074715852737427e-01
5.672699425799454520e-01,2.244364470243453979e-01
5.931012319940710542e-01,2.301562279462814331e-01
6.150022747319388028e-01,2.171995788812637329e-01
6.340126116768891595e-01,2.051191180944442749e-01
6.508071133323933832e-01,2.061716020107269287e-01
6.658488280020710137e-01,2.076913416385650635e-01
6.794692912961989295e-01,1.975404620170593262e-01
6.919140492015697363e-01,1.940979808568954468e-01
7.033700432632297161e-01,1.891000419855117798e-01
7.139828934832650464e-01,1.874866783618927002e-01
7.238682453053032484e-01,1.938223540782928467e-01
7.331194706826831275e-01,1.856182068586349487e-01
7.418130445133912509e-01,1.841363310813903809e-01
7.500123907647590071e-01,1.770178228616714478e-01
7.577706929459286922e-01,1.778049618005752563e-01
7.651329865415930076e-01,1.799903661012649536e-01
7.721377428855895619e-01,1.813170313835144043e-01
7.788180859486988350e-01,1.765540540218353271e-01
7.852027396268255188e-01,1.808416694402694702e-01
7.913167741294679924e-01,1.760989874601364136e-01
7.971822005227009456e-01,1.727406978607177734e-01
8.028184490516528937e-01,1.731127351522445679e-01
8.082427574821814398e-01,1.700929850339889526e-01
8.134704890397261856e-01,1.775537878274917603e-01
8.185153947270097374e-01,1.794212460517883301e-01
8.233898313035533656e-01,1.637009829282760620e-01
8.281049436268101971e-01,1.647328734397888184e-01
8.326708181260931152e-01,1.582163721323013306e-01
8.370966127255061728e-01,1.655941903591156006e-01
8.413906674238169625e-01,1.637665927410125732e-01
8.455605988873534651e-01,1.684740185737609863e-01
8.496133817517216302e-01,1.561704128980636597e-01
8.535554188122643771e-01,1.639219969511032104e-01
8.573926018771323987e-01,1.527722626924514771e-01
8.611303647349948243e-01,1.629098653793334961e-01
8.647737294326219848e-01,1.693341732025146484e-01
8.683273468514108862e-01,1.534809619188308716e-01
8.717955324054194044e-01,1.623718142509460449e-01
8.751822975482599354e-01,1.414180397987365723e-01
8.784913776658052065e-01,1.544578224420547485e-01
8.817262568410747514e-01,1.596359908580780029e-01
8.848901899029784079e-01,1.553693115711212158e-01
8.879862221087393426e-01,1.477471590042114258e-01
8.910172067583507216e-01,1.563682854175567627e-01
8.939858209964413049e-01,1.585890203714370728e-01
8.968945800208677488e-01,1.458740383386611938e-01
8.997458498870073429e-01,1.518249511718750000e-01
9.025418590710789779e-01,1.506877690553665161e-01
9.052847089340790854e-01,1.531081199645996094e-01
9.079763832094263076e-01,1.528580039739608765e-01
9.106187566216210616e-01,1.498882770538330078e-01
9.132136027297135250e-01,1.518097966909408569e-01
9.157626010777720760e-01,1.527183800935745239e-01
9.182673437245545411e-01,1.436530947685241699e-01
9.207293412159537338e-01,1.439353227615356445e-01
9.231500280563266214e-01,1.404461711645126343e-01
9.255307677283272083e-01,1.451714485883712769e-01
9.278728573052317241e-01,1.405031383037567139e-01
9.301775316948167616e-01,1.471128314733505249e-01
9.324459675495559985e-01,1.484880894422531128e-01
9.346792868741327087e-01,1.469737887382507324e-01
9.368785603579568022e-01,1.413478404283523560e-01
9.390448104574616872e-01,1.427644342184066772e-01
9.411790142503966283e-01,1.403886675834655762e-01
9.432821060820552050e-01,1.510018557310104370e-01
9.453549800213832954e-01,1.338961720466613770e-01
9.473984921431207740e-01,1.459797322750091553e-01
9.494134626505620345e-01,1.416501402854919434e-01
9.514006778521048036e-01,1.434755027294158936e-01
9.533608920035104850e-01,1.405762881040573120e-01
9.552948290266767284e-01,1.487480401992797852e-01
9.572031841147250475e-01,1.441777795553207397e-01
9.590866252323068109e-01,1.472973227500915527e-01
9.609457945192335648e-01,1.401524394750595093e-01
9.627813096048093433e-01,1.412383317947387695e-01
9.645937648395973563e-01,1.416815668344497681e-01
9.663837324507695836e-01,1.342798471450805664e-01
9.681517636266560034e-01,1.345747858285903931e-01
9.698983895356387830e-01,1.351014524698257446e-01
9.716241222841038860e-01,1.341195106506347656e-01
9.733294558177704170e-01,1.304852366447448730e-01
9.750148667703704142e-01,1.425334215164184570e-01
9.766808152633239537e-01,1.386243551969528198e-01
9.783277456597684330e-01,1.343056261539459229e-01
9.799560872760317842e-01,1.291727274656295776e-01
9.815662550534011155e-01,1.444010287523269653e-01
9.831586501928154531e-01,1.369087100028991699e-01
9.847336607549114218e-01,1.325110346078872681e-01
9.862916622276676204e-01,1.297873407602310181e-01
9.878330180637233671e-01,1.309067755937576294e-01
9.893580801892969401e-01,1.328524798154830933e-01
9.908671894864856666e-01,1.288764625787734985e-01
9.923606762505997603e-01,1.311244517564773560e-01
9.938388606240667889e-01,1.337804347276687622e-01
9.953020530083316331e-01,1.303091198205947876e-01
9.967505544550770979e-01,1.295428872108459473e-01
9.981846570379994121e-01,1.305125802755355835e-01
9.996046442062875848e-01,1.319846212863922119e-01
1.001010791120874321e+00,1.312009096145629883e-01
1.002403364974459476e+00,1.268077641725540161e-01
1.003782625296233411e+00,1.323557794094085693e-01
1.005148824242173777e+00,1.282951831817626953e-01
1.006502206871723315e+00,1.259862780570983887e-01
1.007843011411611922e+00,1.236121654510498047e-01
1.009171469507530672e+00,1.323859542608261108e-01
1.010487806464324123e+00,1.339957565069198608e-01
1.011792241475324206e+00,1.207935363054275513e-01
1.013084987841408546e+00,1.266877055168151855e-01
1.014366253180329691e+00,1.382437199354171753e-01
1.015636239626832804e+00,1.229219809174537659e-01
1.016895144024040576e+00,1.244954615831375122e-01
1.018143158106560531e+00,1.271989196538925171e-01
1.019380468675738838e+00,1.328523308038711548e-01
1.020607257767464526e+00,1.366633772850036621e-01
1.021823702812897361e+00,1.277658939361572266e-01
1.023029976792477092e+00,1.246553063392639160e-01
1.024226248383546478e+00,1.294952034950256348e-01
1.025412682101905837e+00,1.258784532546997070e-01
1.026589438437591761e+00,1.328303366899490356e-01
1.027756673985164682e+00,1.259972900152206421e-01
1.028914541568768604e+00,1.244660317897796631e-01
1.030063190362210390e+00,1.278829872608184814e-01
1.031202766004297944e+00,1.289971768856048584e-01
1.032333410709657118e+00,1.268467903137207031e-01
1.033455263375242295e+00,1.267056465148925781e-01
1.034568459682734920e+00,1.237734258174896240e-01
1.035673132197023838e+00,1.262415945529937744e-01
1.036769410460943064e+00,1.243844628334045410e-01
1.037857421086435750e+00,1.312258243560791016e-01
1.038937287842309098e+00,1.196143105626106262e-01
1.040009131738727000e+00,1.274436116218566895e-01
1.041073071108587156e+00,1.209083870053291321e-01
1.042129221685921925e+00,1.179940924048423767e-01
1.043177696681446109e+00,1.292711943387985229e-01
1.044218606855384035e+00,1.218615621328353882e-01
1.045252060587683607e+00,1.179123148322105408e-01
1.046278163945736805e+00,1.188954487442970276e-01
1.047297020749706764e+00,1.202227771282196045e-01
1.048308732635565121e+00,1.259999722242355347e-01
1.049313399115934908e+00,1.246412843465805054e-01
1.050311117638827785e+00,1.241192445158958435e-01
1.051301983644366222e+00,1.206848472356796265e-01
1.052286090619569681e+00,1.253940314054489136e-01
1.053263530151285154e+00,1.147648915648460388e-01
1.054234391977337149e+00,1.254201382398605347e-01
1.055198764035967463e+00,1.240507662296295166e-01
1.056156732513633845e+00,1.252859234809875488e-01
1.057108381891232352e+00,1.252975165843963623e-01
1.058053794988804475e+00,1.330913901329040527e-01
1.058993053008788987e+00,1.203430294990539551e-01
1.059926235577876685e+00,1.191856339573860168e-01
1.060853420787516876e+00,1.189795956015586853e-01
1.061774685233134452e+00,1.233625411987304688e-01
1.062690104052098405e+00,1.201302632689476013e-01
1.063599750960498191e+00,1.161174327135086060e-01
1.064503698288762568e+00,1.221561878919601440e-01
1.065402017016174874e+00,1.186800226569175720e-01
1.066294776804316280e+00,1.125366091728210449e-01
1.067182046029481857e+00,1.171085387468338013e-01
1.068063891814107436e+00,1.166795119643211365e-01
1.068940380057239459e+00,1.186077967286109924e-01
1.069811575464086451e+00,1.311843246221542358e-01
1.070677541574682756e+00,1.184646338224411011e-01
1.071538340791697408e+00,1.177859529852867126e-01
1.072394034407418983e+00,1.154030710458755493e-01
1.073244682629942659e+00,1.192151457071304321e-01
1.074090344608592984e+00,1.273017227649688721e-01
1.074931078458603473e+00,1.222685053944587708e-01
1.075766941285081435e+00,1.181050762534141541e-01
1.076597989206284245e+00,1.202578991651535034e-01
1.077424277376227257e+00,1.090678498148918152e-01
1.078245860006648016e+00,1.136277019977569580e-01
1.079062790388350512e+00,1.139467656612396240e-01
1.079875120911946373e+00,1.173006594181060791e-01
1.080682903088016289e+00,1.243691742420196533e-01
1.081486187566710333e+00,1.194603145122528076e-01
1.082285024156804942e+00,1.145262792706489563e-01
1.083079461844236313e+00,1.103367209434509277e-01
1.083869548810124428e+00,1.217367425560951233e-01
1.084655332448308807e+00,1.206913292407989502e-01
1.085436859382407082e+00,1.140850558876991272e-01
1.086214175482414834e+00,1.153913810849189758e-01
1.086987325880860444e+00,1.154121384024620056e-01
1.087756354988530294e+00,1.150242909789085388e-01
1.088521306509775632e+00,1.085150390863418579e-01
1.089282223457416654e+00,1.086909770965576172e-01
1.090039148167255334e+00,1.129788681864738464e-01
