# kappa, accuracy
0.000000000000000000e+00,4.995000064373016357e-01
3.459833382832961934e-01,5.361666679382324219e-01
4.392738315812316774e-01,5.591666698455810547e-01
4.954623991011620765e-01,5.855000019073486328e-01
5.357983161801559424e-01,5.964999794960021973e-01
5.672858612353242069e-01,6.050000190734863281e-01
5.931172028289273257e-01,6.121666431427001953e-01
6.150182830477762819e-01,6.215000152587890625e-01
6.340286482191161976e-01,6.241666674613952637e-01
6.508231718973906954e-01,6.309999823570251465e-01
6.658649042288832254e-01,6.349999904632568359e-01
6.794853820025098523e-01,6.381666660308837891e-01
6.919301519940689316e-01,6.343333125114440918e-01
7.033861562966940983e-01,6.434999704360961914e-01
7.139990153050728150e-01,6.384999752044677734e-01
7.238843747514334126e-01,6.308333277702331543e-01
7.331356068060135289e-01,6.483333110809326172e-01
7.418291865329615931e-01,6.480000019073486328e-01
7.500285380290502291e-01,6.511666774749755859e-01
7.577868449057546529e-01,6.423333287239074707e-01
7.651491427297355541e-01,6.538333296775817871e-01
7.721539029012601807e-01,6.541666388511657715e-01
7.788342494455143816e-01,6.551666855812072754e-01
7.852189063033878647e-01,6.549999713897705078e-01
7.913329437218972195e-01,6.561666727066040039e-01
7.971983727986572399e-01,6.551666855812072754e-01
8.028346238055015238e-01,6.571666598320007324e-01
8.082589345310520201e-01,6.585000157356262207e-01
8.134866682202718247e-01,6.601666808128356934e-01
8.185315758927234064e-01,6.556666493415832520e-01
8.234060143225301331e-01,6.620000004768371582e-01
8.281211283798691758e-01,6.586666703224182129e-01
8.326870045051915081e-01,6.606666445732116699e-01
8.371128006323939053e-01,6.596666574478149414e-01
8.414068567688876010e-01,6.635000109672546387e-01
8.455767895886590058e-01,6.638333201408386230e-01
8.496295737341245102e-01,6.626666784286499023e-01
8.535716120067026180e-01,6.563333272933959961e-01
8.574087962199821167e-01,6.648333072662353516e-01
8.611465601675137860e-01,6.641666889190673828e-01
8.647899259004624417e-01,6.625000238418579102e-01
8.683435443041922497e-01,6.673333048820495605e-01
8.718117307963511031e-01,6.658333539962768555e-01
8.751984968338082371e-01,6.648333072662353516e-01
8.785075778053980100e-01,6.660000085830688477e-01
8.817424577968385746e-01,6.688333153724670410e-01
8.849063916395044638e-01,6.669999957084655762e-01
8.880024245928743731e-01,6.693333387374877930e-01
8.910334099590090373e-01,6.710000038146972656e-01
8.940020248844365858e-01,6.703333258628845215e-01
8.969107845687612768e-01,6.690000295639038086e-01
8.997620550689716667e-01,6.713333129882812500e-01
9.025580648627733460e-01,6.710000038146972656e-01
9.053009153125379793e-01,6.726666688919067383e-01
9.079925901529581900e-01,6.718333363533020020e-01
9.106349641097150061e-01,6.728333234786987305e-01
9.132298107429553946e-01,6.716666817665100098e-01
9.157788095977680287e-01,6.740000247955322266e-01
9.182835527338603088e-01,6.728333234786987305e-01
9.207455506980108950e-01,6.744999885559082031e-01
9.231662379954025388e-01,6.698333621025085449e-01
9.255469781094624038e-01,6.743333339691162109e-01
9.278890681141893637e-01,6.740000247955322266e-01
9.301937429180363592e-01,6.744999885559082031e-01
9.324621791741122268e-01,6.746666431427001953e-01
9.346954988876957637e-01,6.759999990463256836e-01
9.368947727487563215e-01,6.703333258628845215e-01
9.390610232142537761e-01,6.735000014305114746e-01
9.411952273624324405e-01,6.715000271797180176e-01
9.432983195390528541e-01,6.756666898727416992e-01
9.453711938135006543e-01,6.723333597183227539e-01
9.474147062609313830e-01,6.756666898727416992e-01
9.494296770850311207e-01,6.763333082199096680e-01
9.514168925945687416e-01,6.716666817665100098e-01
9.533771070456562580e-01,6.728333234786987305e-01
9.553110443605236091e-01,6.754999756813049316e-01
9.572193997326066128e-01,6.710000038146972656e-01
9.591028411268552878e-01,6.786666512489318848e-01
9.609620106833639541e-01,6.756666898727416992e-01
9.627975260317053197e-01,6.773333549499511719e-01
9.646099815226980567e-01,6.779999732971191406e-01
9.663999493837567289e-01,6.776666641235351562e-01
9.681679808034421297e-01,6.740000247955322266e-01
9.699146069503565837e-01,6.754999756813049316e-01
9.716403399310947764e-01,6.775000095367431641e-01
9.733456736915756524e-01,6.768333315849304199e-01
9.750310848657213203e-01,6.779999732971191406e-01
9.766970335751334886e-01,6.794999837875366211e-01
9.783439641831227496e-01,6.784999966621398926e-01
9.799723060061821256e-01,6.786666512489318848e-01
9.815824739857571535e-01,6.793333292007446289e-01
9.831748693229380720e-01,6.719999909400939941e-01
9.847498800785061679e-01,6.765000224113464355e-01
9.863078817405781518e-01,6.751666665077209473e-01
9.878492377619257914e-01,6.743333339691162109e-01
9.893743000688947076e-01,6.794999837875366211e-01
9.908834095437034639e-01,6.746666431427001953e-01
9.923768964817791804e-01,6.781666874885559082e-01
9.938550810256612245e-01,6.798333525657653809e-01
9.953182735769019462e-01,6.788333058357238770e-01
9.967667751872867354e-01,6.796666383743286133e-01
9.982008779306115187e-01,6.788333058357238770e-01
9.996208652561600072e-01,6.806666851043701172e-01
1.001027012324956500e+00,6.768333315849304199e-01
1.002419586329788670e+00,6.775000095367431641e-01
1.003798846799931477e+00,6.788333058357238770e-01
1.005165045891443620e+00,6.775000095367431641e-01
1.006518428663846887e+00,6.809999942779541016e-01
1.007859233343946004e+00,6.784999966621398926e-01
1.009187691577504875e+00,6.771666407585144043e-01
1.010504028669438448e+00,6.796666383743286133e-01
1.011808463813145931e+00,6.768333315849304199e-01
1.013101210309569788e+00,6.758333444595336914e-01
1.014382475776525627e+00,6.811666488647460938e-01
1.015652462348819229e+00,6.778333187103271484e-01
1.016911366869631683e+00,6.721666455268859863e-01
1.018159381073627134e+00,6.831666827201843262e-01
1.019396691762206153e+00,6.771666407585144043e-01
1.020623480971310615e+00,6.794999837875366211e-01
1.021839926132150911e+00,6.834999918937683105e-01
1.023046200225216307e+00,6.808333396911621094e-01
1.024242471927897302e+00,6.796666383743286133e-01
1.025428905756039955e+00,6.843333244323730469e-01
1.026605662199725266e+00,6.801666617393493652e-01
1.027772897853557410e+00,6.868333220481872559e-01
1.028930765541721692e+00,6.830000281333923340e-01
1.030079414438065610e+00,6.809999942779541016e-01
1.031218990181435702e+00,6.823333501815795898e-01
1.032349634986496234e+00,6.828333139419555664e-01
1.033471487750238227e+00,6.830000281333923340e-01
1.034584684154378653e+00,6.848333477973937988e-01
1.035689356763841218e+00,6.811666488647460938e-01
1.036785635121493021e+00,6.791666746139526367e-01
1.037873645839309855e+00,6.811666488647460938e-01
1.038953512686130454e+00,6.861666440963745117e-01
1.040025356672148904e+00,6.826666593551635742e-01
1.041089296130293329e+00,6.836666464805603027e-01
1.042145446794624286e+00,6.815000176429748535e-01
1.043193921875884778e+00,6.798333525657653809e-01
1.044234832134326441e+00,6.819999814033508301e-01
1.045268285949923381e+00,6.876666545867919922e-01
1.046294389390093116e+00,6.848333477973937988e-01
1.047313246275023646e+00,6.853333115577697754e-01
1.048324958240711480e+00,6.856666803359985352e-01
1.049329624799802518e+00,6.856666803359985352e-01
1.050327343400331737e+00,6.855000257492065430e-01
1.051318209482443589e+00,6.823333501815795898e-01
1.052302316533179294e+00,6.841666698455810547e-01
1.053279756139407164e+00,6.836666464805603027e-01
1.054250618038971909e+00,6.825000047683715820e-01
1.055214990170135536e+00,6.846666932106018066e-01
1.056172958719375332e+00,6.838333606719970703e-01
1.057124608167606006e+00,6.833333373069763184e-01
1.058070021334887478e+00,6.868333220481872559e-01
1.059009279423676730e+00,6.858333349227905273e-01
1.059942462060681878e+00,6.869999766349792480e-01
1.060869647337369548e+00,6.898333430290222168e-01
1.061790911849180619e+00,6.816666722297668457e-01
1.062706330733501181e+00,6.844999790191650391e-01
1.063615977706435567e+00,6.793333292007446289e-01
1.064519925098428743e+00,6.868333220481872559e-01
1.065418243888778482e+00,6.883333325386047363e-01
1.066311003739080610e+00,6.811666488647460938e-01
1.067198273025644850e+00,6.858333349227905273e-01
1.068080118870920803e+00,6.866666674613952637e-01
1.068956607173968454e+00,6.828333139419555664e-01
1.069827802640009651e+00,6.878333091735839844e-01
1.070693768809091617e+00,6.880000233650207520e-01
1.071554568083896486e+00,6.880000233650207520e-01
1.072410261756724159e+00,6.846666932106018066e-01
1.073260910035682913e+00,6.886666417121887207e-01
1.074106572070108623e+00,6.859999895095825195e-01
1.074947305975246126e+00,6.869999766349792480e-01
1.075783168856214278e+00,6.883333325386047363e-01
1.076614216831281334e+00,6.865000128746032715e-01
1.077440505054473086e+00,6.853333115577697754e-01
1.078262087737537955e+00,6.873333454132080078e-01
1.079079018171290150e+00,6.899999976158142090e-01
1.079891348746351287e+00,6.859999895095825195e-01
1.080699130973311606e+00,6.865000128746032715e-01
1.081502415502330949e+00,6.851666569709777832e-01
1.082301252142195302e+00,6.890000104904174805e-01
1.083095689878849521e+00,6.890000104904174805e-01
1.083885776893422914e+00,6.896666884422302246e-01
1.084671560579763661e+00,6.865000128746032715e-01
1.085453087561498053e+00,6.855000257492065430e-01
1.086230403708629666e+00,6.866666674613952637e-01
1.087003554153695761e+00,6.865000128746032715e-01
1.087772583307490493e+00,6.915000081062316895e-01
1.088537534874372659e+00,6.866666674613952637e-01
1.089298451867170225e+00,6.873333454132080078e-01
1.090055376621692940e+00,6.873333454132080078e-01
1.090808350810865912e+00,6.908333301544189453e-01
1.091557415458497493e+00,6.865000128746032715e-01
1.092302610952690545e+00,6.865000128746032715e-01
1.093043977058910210e+00,6.898333430290222168e-01
1.093781552932715728e+00,6.884999871253967285e-01
1.094515377132170508e+00,6.931666731834411621e-01
1.095245487629938008e+00,6.916666626930236816e-01
1.095971921825069861e+00,6.876666545867919922e-01
1.096694716554504234e+00,6.859999895095825195e-01
1.097413908104272862e+00,6.890000104904174805e-01
1.098129532220432081e+00,6.875000000000000000e-01
1.098841624119724081e+00,6.881666779518127441e-01
1.099550218499976140e+00,6.865000128746032715e-01
1.100255349550245398e+00,6.884999871253967285e-01
1.100957050960717609e+00,6.891666650772094727e-01
1.101655355932365410e+00,6.880000233650207520e-01
1.102350297186374783e+00,6.869999766349792480e-01
1.103041906973345920e+00,6.899999976158142090e-01
1.103730217082272480e+00,6.866666674613952637e-01
1.104415258849310577e+00,6.909999847412109375e-01
1.105097063166337934e+00,6.911666393280029297e-01
1.105775660489314083e+00,6.931666731834411621e-01
1.106451080846442947e+00,6.924999952316284180e-01
1.107123353846145797e+00,6.894999742507934570e-01
1.107792508684849908e+00,6.905000209808349609e-01
1.108458574154597587e+00,6.913333535194396973e-01
1.109121578650478446e+00,6.933333277702331543e-01
1.109781550177894038e+00,6.915000081062316895e-01
1.110438516359655736e+00,6.883333325386047363e-01
1.111092504442921847e+00,6.931666731834411621e-01
1.111743541305979077e+00,6.928333044052124023e-01
1.112391653464870123e+00,6.876666545867919922e-01
1.113036867079874481e+00,6.948333382606506348e-01
1.113679207961844719e+00,6.911666393280029297e-01
1.114318701578401294e+00,6.921666860580444336e-01
1.114955373059991706e+00,6.931666731834411621e-01
1.115589247205816648e+00,6.906666755676269531e-01
1.116220348489625813e+00,6.918333172798156738e-01
1.116848701065387361e+00,6.943333148956298828e-01
1.117474328772836589e+00,6.923333406448364258e-01
1.118097255142900703e+00,6.866666674613952637e-01
1.118717503403011237e+00,6.945000290870666504e-01
1.119335096482300340e+00,6.908333301544189453e-01
1.119950057016686706e+00,6.951666474342346191e-01
1.120562407353854262e+00,6.924999952316284180e-01
1.121172169558124709e+00,6.958333253860473633e-01
1.121779365415228380e+00,6.938333511352539062e-01
1.122384016436973830e+00,6.966666579246520996e-01
1.122986143865822406e+00,6.894999742507934570e-01
1.123585768679364660e+00,6.936666369438171387e-01
1.124182911594706402e+00,6.966666579246520996e-01
1.124777593072763482e+00,6.926666498184204102e-01
1.125369833322468427e+00,6.955000162124633789e-01
1.125959652304892256e+00,6.953333616256713867e-01
1.126547069737279028e+00,6.956666707992553711e-01
1.127132105097003345e+00,6.955000162124633789e-01
1.127714777625444365e+00,6.938333511352539062e-01
1.128295106331782316e+00,6.970000267028808594e-01
1.128873109996721524e+00,6.953333616256713867e-01
1.129448807176135272e+00,6.961666941642761230e-01
1.130022216204642049e+00,6.918333172798156738e-01
1.130593355199107419e+00,6.970000267028808594e-01
1.131162242062080381e+00,6.955000162124633789e-01
1.131728894485159564e+00,6.968333125114440918e-01
1.132293329952294147e+00,6.938333511352539062e-01
1.132855565743021709e+00,6.938333511352539062e-01
1.133415618935641911e+00,6.981666684150695801e-01
1.133973506410329124e+00,6.948333382606506348e-01
1.134529244852185537e+00,6.875000000000000000e-01
1.135082850754235206e+00,6.966666579246520996e-01
1.135634340420360822e+00,6.968333125114440918e-01
1.136183729968185174e+00,6.930000185966491699e-01
1.136731035331897566e+00,6.905000209808349609e-01
1.137276272265026256e+00,6.946666836738586426e-01
1.137819456343160285e+00,6.881666779518127441e-01
1.138360602966618007e+00,6.930000185966491699e-01
1.138899727363068326e+00,6.978333592414855957e-01
1.139436844590100195e+00,6.948333382606506348e-01
1.139971969537748153e+00,6.971666812896728516e-01
1.140505116930967233e+00,6.948333382606506348e-01
1.141036301332064795e+00,6.956666707992553711e-01
1.141565537143087727e+00,6.936666369438171387e-01
1.142092838608164795e+00,6.963333487510681152e-01
1.142618219815807690e+00,6.984999775886535645e-01
1.143141694701168332e+00,6.983333230018615723e-01
1.143663277048257987e+00,6.971666812896728516e-01
1.144182980492124413e+00,6.906666755676269531e-01
1.144700818520991037e+00,6.946666836738586426e-01
1.145216804478357275e+00,6.966666579246520996e-01
1.145730951565060662e+00,6.961666941642761230e-01
1.146243272841305672e+00,6.993333101272583008e-01
1.146753781228651681e+00,6.951666474342346191e-01
1.147262489511970074e+00,6.955000162124633789e-01
1.147769410341364704e+00,6.936666369438171387e-01
1.148274556234059940e+00,6.936666369438171387e-01
1.148777939576254736e+00,6.951666474342346191e-01
1.149279572624944734e+00,6.940000057220458984e-01
1.149779467509714603e+00,6.971666812896728516e-01
1.150277636234495304e+00,6.978333592414855957e-01
1.150774090679296258e+00,6.940000057220458984e-01
1.151268842601903319e+00,6.943333148956298828e-01
1.151761903639550777e+00,6.958333253860473633e-01
1.152253285310563369e+00,6.958333253860473633e-01
1.152742999015970549e+00,6.995000243186950684e-01
1.153231056041094105e+00,6.988333463668823242e-01
1.153717467557108689e+00,6.928333044052124023e-01
1.154202244622575702e+00,6.981666684150695801e-01
1.154685398184951861e+00,6.973333358764648438e-01
1.155166939082073130e+00,7.003333568572998047e-01
1.155646878043612658e+00,6.983333230018615723e-01
1.156125225692515857e+00,6.936666369438171387e-01
1.156601992546411273e+00,6.996666789054870605e-01
1.157077189018997032e+00,6.949999928474426270e-01
1.157550825421407525e+00,6.946666836738586426e-01
1.158022911963554780e+00,6.981666684150695801e-01
1.158493458755448513e+00,6.974999904632568359e-01
1.158962475808496428e+00,6.919999718666076660e-01
1.159429973036781858e+00,6.953333616256713867e-01
1.159895960258320535e+00,6.993333101272583008e-01
1.160360447196299161e+00,6.981666684150695801e-01
1.160823443480291095e+00,6.948333382606506348e-01
1.161284958647455401e+00,6.991666555404663086e-01
1.161745002143715233e+00,6.971666812896728516e-01
1.162203583324918021e+00,6.999999880790710449e-01
1.162660711457976559e+00,7.001666426658630371e-01
1.163116395721993657e+00,6.928333044052124023e-01
1.163570645209366816e+00,6.976666450500488281e-01
1.164023468926878024e+00,6.976666450500488281e-01
1.164474875796764008e+00,6.986666917800903320e-01
1.164924874657772724e+00,6.978333592414855957e-01
1.165373474266200082e+00,6.980000138282775879e-01
1.165820683296913352e+00,6.984999775886535645e-01
1.166266510344357465e+00,6.976666450500488281e-01
1.166710963923545785e+00,6.956666707992553711e-01
1.167154052471036207e+00,6.980000138282775879e-01
1.167595784345892396e+00,6.915000081062316895e-01
1.168036167830628802e+00,6.981666684150695801e-01
1.168475211132143921e+00,6.936666369438171387e-01
1.168912922382636665e+00,6.999999880790710449e-01
1.169349309640511203e+00,6.984999775886535645e-01
1.169784380891267350e+00,7.005000114440917969e-01
1.170218144048375208e+00,7.006666660308837891e-01
1.170650606954141582e+00,6.980000138282775879e-01
1.171081777380559075e+00,6.980000138282775879e-01
1.171511663030144978e+00,6.996666789054870605e-01
1.171940271536765721e+00,6.965000033378601074e-01
1.172367610466451771e+00,6.943333148956298828e-01
1.172793687318197886e+00,6.996666789054870605e-01
1.173218509524752706e+00,6.908333301544189453e-01
1.173642084453398127e+00,6.988333463668823242e-01
1.174064419406714466e+00,6.940000057220458984e-01
1.174485521623335860e+00,6.988333463668823242e-01
1.174905398278695667e+00,6.965000033378601074e-01
1.175324056485759439e+00,6.999999880790710449e-01
1.175741503295747670e+00,6.946666836738586426e-01
1.176157745698849455e+00,6.956666707992553711e-01
1.176572790624923703e+00,6.980000138282775879e-01
1.176986644944191918e+00,6.986666917800903320e-01
1.177399315467920538e+00,6.984999775886535645e-01
1.177810808949093069e+00,6.983333230018615723e-01
1.178221132083073996e+00,6.970000267028808594e-01
1.178630291508261818e+00,6.983333230018615723e-01
1.179038293806733417e+00,6.963333487510681152e-01
1.179445145504879999e+00,6.974999904632568359e-01
1.179850853074032813e+00,6.995000243186950684e-01
1.180255422931081100e+00,6.986666917800903320e-01
1.180658861439080942e+00,6.996666789054870605e-01
1.181061174907855671e+00,6.955000162124633789e-01
1.181462369594588502e+00,6.990000009536743164e-01
1.181862451704405848e+00,6.988333463668823242e-01
1.182261427390953301e+00,6.963333487510681152e-01
1.182659302756963848e+00,6.921666860580444336e-01
1.183056083854817420e+00,6.976666450500488281e-01
1.183451776687094226e+00,6.984999775886535645e-01
1.183846387207118545e+00,6.984999775886535645e-01
1.184239921319496958e+00,6.995000243186950684e-01
1.184632384880647926e+00,6.991666555404663086e-01
1.185023783699324929e+00,7.003333568572998047e-01
1.185414123537132713e+00,6.983333230018615723e-01
1.185803410109035561e+00,6.980000138282775879e-01
1.186191649083859545e+00,6.993333101272583008e-01
1.186578846084788141e+00,7.001666426658630371e-01
1.186965006689850277e+00,7.008333206176757812e-01
1.187350136432403280e+00,6.973333358764648438e-01
1.187734240801608498e+00,7.011666893959045410e-01
1.188117325242899591e+00,6.966666579246520996e-01
1.188499395158447047e+00,6.986666917800903320e-01
1.188880455907614930e+00,6.986666917800903320e-01
1.189260512807411851e+00,6.978333592414855957e-01
1.189639571132935947e+00,7.003333568572998047e-01
1.190017636117814304e+00,7.003333568572998047e-01
1.190394712954637058e+00,6.984999775886535645e-01
1.190770806795384162e+00,6.940000057220458984e-01
1.191145922751849051e+00,6.990000009536743164e-01
1.191520065896054081e+00,6.999999880790710449e-01
1.191893241260663761e+00,6.974999904632568359e-01
1.192265453839389311e+00,6.995000243186950684e-01
1.192636708587391015e+00,6.990000009536743164e-01
1.193007010421672343e+00,6.996666789054870605e-01
1.193376364221472752e+00,6.970000267028808594e-01
1.193744774828651378e+00,6.990000009536743164e-01
1.194112247048069175e+00,6.976666450500488281e-01
1.194478785647965502e+00,6.974999904632568359e-01
1.194844395360326716e+00,6.996666789054870605e-01
1.195209080881256325e+00,6.984999775886535645e-01
1.195572846871333361e+00,6.986666917800903320e-01
1.195935697955972543e+00,6.995000243186950684e-01
1.196297638725775769e+00,6.998333334922790527e-01
1.196658673736880951e+00,6.934999823570251465e-01
1.197018807511305738e+00,6.968333125114440918e-01
1.197378044537288133e+00,6.943333148956298828e-01
1.197736389269621116e+00,7.018333077430725098e-01
1.198093846129985263e+00,6.974999904632568359e-01
1.198450419507275377e+00,6.995000243186950684e-01
1.198806113757923564e+00,6.986666917800903320e-01
1.199160933206219415e+00,6.986666917800903320e-01
1.199514882144624872e+00,6.930000185966491699e-01
1.199867964834085976e+00,6.990000009536743164e-01
1.200220185504340398e+00,6.976666450500488281e-01
1.200571548354221640e+00,6.961666941642761230e-01
1.200922057551960132e+00,6.988333463668823242e-01
1.201271717235477654e+00,6.995000243186950684e-01
1.201620531512683998e+00,7.008333206176757812e-01
1.201968504461762954e+00,6.981666684150695801e-01
1.202315640131460528e+00,6.993333101272583008e-01
1.202661942541366713e+00,6.986666917800903320e-01
1.203007415682195713e+00,6.996666789054870605e-01
1.203352063516061055e+00,6.976666450500488281e-01
1.203695889976747813e+00,6.996666789054870605e-01
1.204038898969983062e+00,6.955000162124633789e-01
1.204381094373702110e+00,6.993333101272583008e-01
1.204722480038310284e+00,6.995000243186950684e-01
1.205063059786943835e+00,6.973333358764648438e-01
1.205402837415727069e+00,6.998333334922790527e-01
1.205741816694025914e+00,7.008333206176757812e-01
1.206080001364698173e+00,6.945000290870666504e-01
1.206417395144342875e+00,7.008333206176757812e-01
1.206754001723543190e+00,6.990000009536743164e-01
1.207089824767111796e+00,6.996666789054870605e-01
1.207424867914327127e+00,6.940000057220458984e-01
1.207759134779172294e+00,6.984999775886535645e-01
1.208092628950566683e+00,6.988333463668823242e-01
1.208425353992600648e+00,7.006666660308837891e-01
1.208757313444760007e+00,7.013333439826965332e-01
1.209088510822154738e+00,6.990000009536743164e-01
1.209418949615741479e+00,6.980000138282775879e-01
1.209748633292544673e+00,6.966666579246520996e-01
1.210077565295873292e+00,7.018333077430725098e-01
1.210405749045538881e+00,6.996666789054870605e-01
1.210733187938067834e+00,7.018333077430725098e-01
1.211059885346911225e+00,6.991666555404663086e-01
1.211385844622655528e+00,6.993333101272583008e-01
1.211711069093227122e+00,7.024999856948852539e-01
1.212035562064096572e+00,6.966666579246520996e-01
1.212359326818480909e+00,6.995000243186950684e-01
1.212682366617541696e+00,6.970000267028808594e-01
1.213004684700583313e+00,7.009999752044677734e-01
1.213326284285247025e+00,6.991666555404663086e-01
1.213647168567704160e+00,7.001666426658630371e-01
1.213967340722847066e+00,6.984999775886535645e-01
1.214286803904475853e+00,7.016666531562805176e-01
1.214605561245487353e+00,7.006666660308837891e-01
1.214923615858057637e+00,6.983333230018615723e-01
1.215240970833824541e+00,7.001666426658630371e-01
1.215557629244068405e+00,6.963333487510681152e-01
1.215873594139890823e+00,6.998333334922790527e-01
1.216188868552389835e+00,6.995000243186950684e-01
1.216503455492835561e+00,6.996666789054870605e-01
1.216817357952842071e+00,7.009999752044677734e-01
1.217130578904538352e+00,6.988333463668823242e-01
1.217443121300736619e+00,7.008333206176757812e-01
1.217754988075100631e+00,6.990000009536743164e-01
1.218066182142309772e+00,6.990000009536743164e-01
1.218376706398222264e+00,7.008333206176757812e-01
1.218686563720038363e+00,7.009999752044677734e-01
1.218995756966459121e+00,6.970000267028808594e-01
1.219304288977844042e+00,6.978333592414855957e-01
1.219612162576369396e+00,7.006666660308837891e-01
1.219919380566182099e+00,6.995000243186950684e-01
1.220225945733552697e+00,6.999999880790710449e-01
1.220531860847027472e+00,6.995000243186950684e-01
1.220837128657578319e+00,6.993333101272583008e-01
1.221141751898751293e+00,6.998333334922790527e-01
1.221445733286813384e+00,7.021666765213012695e-01
1.221749075520897510e+00,6.956666707992553711e-01
1.222051781283147065e+00,7.016666531562805176e-01
1.222353853238857369e+00,6.998333334922790527e-01
1.222655294036617546e+00,6.998333334922790527e-01
1.222956106308448421e+00,6.983333230018615723e-01
