# kappa, training_loss
0.000000000000000000e+00,4.580500423908233643e-01
3.459493019060386199e-01,4.289258420467376709e-01
4.392381746966339540e-01,4.347743391990661621e-01
4.954261672037849618e-01,3.852019906044006348e-01
5.357617897652459105e-01,4.149893522262573242e-01
5.672491558003529555e-01,3.943240940570831299e-01
5.930803770691666088e-01,3.793993592262268066e-01
6.149813708576175042e-01,3.787483274936676025e-01
6.339916709394446404e-01,3.615280687808990479e-01
6.507861438336216553e-01,3.592426180839538574e-01
6.658278354372911823e-01,3.535782694816589355e-01
6.794482798214529495e-01,3.456451594829559326e-01
6.918930219424750394e-01,3.272747099399566650e-01
7.033490026296127517e-01,3.249726295471191406e-01
7.139618413722228496e-01,3.333856165409088135e-01
7.238471832370256820e-01,3.296809792518615723e-01
7.330983998940947544e-01,3.194452524185180664e-01
7.417919660244123303e-01,3.105739355087280273e-01
7.499913054262618006e-01,3.188713490962982178e-01
7.577496014751408104e-01,3.208011984825134277e-01
7.651118895486929139e-01,3.093685805797576904e-01
7.721166408940006720e-01,3.205578029155731201e-01
7.787969794107912902e-01,3.003476560115814209e-01
7.851816289362202328e-01,2.993446290493011475e-01
7.912956596307871848e-01,3.032653033733367920e-01
7.971610825193774508e-01,2.756995558738708496e-01
8.027973278122414458e-01,2.955394685268402100e-01
8.082216332455081087e-01,3.060353398323059082e-01
8.134493620191191043e-01,2.895478010177612305e-01
8.184942651138048531e-01,2.615682482719421387e-01
8.233686992700162133e-01,2.706855237483978271e-01
8.280838093285892709e-01,2.753996253013610840e-01
8.326496817042902121e-01,2.664081454277038574e-01
8.370754743084345417e-01,2.735414505004882812e-01
8.413695271285011046e-01,2.620654702186584473e-01
8.455394568208158823e-01,2.697840929031372070e-01
8.495922380120909390e-01,2.774569988250732422e-01
8.535342734897344297e-01,2.512920200824737549e-01
8.573714550547950619e-01,2.584411501884460449e-01
8.611092164895665091e-01,2.493454515933990479e-01
8.647525798350799153e-01,2.685888409614562988e-01
8.683061959675513197e-01,2.693493962287902832e-01
8.717743802963500155e-01,2.462414354085922241e-01
8.751611442708351341e-01,2.514249384403228760e-01
8.784702232730116078e-01,2.657604515552520752e-01
8.817051013823743455e-01,2.457540929317474365e-01
8.848690334246146483e-01,2.434979677200317383e-01
8.879650646540098169e-01,2.585622966289520264e-01
8.909960483678527332e-01,2.524132430553436279e-01
8.939646617082919189e-01,2.594545185565948486e-01
8.968734198709011896e-01,2.454596906900405884e-01
8.997246889089544064e-01,2.659671306610107422e-01
9.025206972967277919e-01,2.474259138107299805e-01
9.052635463934221027e-01,2.506693005561828613e-01
9.079552199307929783e-01,2.425183355808258057e-01
9.105975926317980695e-01,2.365658134222030640e-01
9.131924380540552555e-01,2.398528456687927246e-01
9.157414357403006466e-01,2.357501834630966187e-01
9.182461777480518395e-01,2.302943319082260132e-01
9.207081746220453500e-01,2.457669675350189209e-01
9.231288608655584538e-01,2.266338616609573364e-01
9.255095999602364065e-01,2.421357482671737671e-01
9.278516889784116373e-01,2.463646829128265381e-01
9.301563628269765571e-01,2.427677959203720093e-01
9.324247981575762845e-01,2.256661355495452881e-01
9.346581169741162709e-01,2.462527304887771606e-01
9.368573899652751225e-01,2.234283387660980225e-01
9.390236395867994634e-01,2.443079203367233276e-01
9.411578429157912984e-01,2.456850707530975342e-01
9.432609342969351385e-01,2.419871687889099121e-01
9.453338077986018773e-01,2.401784360408782959e-01
9.473773194949891563e-01,2.271939069032669067e-01
9.493922895888790014e-01,2.245840132236480713e-01
9.513795043881851932e-01,2.424340844154357910e-01
9.533397181482108351e-01,2.159874141216278076e-01
9.552736547904199238e-01,2.221979349851608276e-01
9.571820095075229684e-01,2.344829738140106201e-01
9.590654502637822043e-01,2.201045006513595581e-01
9.609246191986391405e-01,2.423566281795501709e-01
9.627601339410469805e-01,2.297447323799133301e-01
9.645725888412354232e-01,2.342538088560104370e-01
9.663625561260597019e-01,2.284791767597198486e-01
9.681305869835482580e-01,2.376911640167236328e-01
9.698772125817961554e-01,2.146245688199996948e-01
9.716029450269159096e-01,2.291585057973861694e-01
9.733082782643663888e-01,2.344760745763778687e-01
9.749936889276309415e-01,2.233697921037673950e-01
9.766596371378929442e-01,2.304955422878265381e-01
9.783065672580633088e-01,2.187277674674987793e-01
9.799349086042540291e-01,2.298484593629837036e-01
9.815450761175456007e-01,2.274585068225860596e-01
9.831374709986797633e-01,2.237354815006256104e-01
9.847124813081044037e-01,2.177266478538513184e-01
9.862704825336170433e-01,2.288550436496734619e-01
9.878118381276840276e-01,2.218280285596847534e-01
9.893369000163582117e-01,2.224458307027816772e-01
9.908460090815777166e-01,2.244341075420379639e-01
9.923394956185005444e-01,1.990940123796463013e-01
9.938176797694082687e-01,2.167856246232986450e-01
9.952808719356053269e-01,2.319063246250152588e-01
9.967293731686398539e-01,2.142858654260635376e-01
9.981634755420790706e-01,2.224699109792709351e-01
9.995834625049876410e-01,2.175150513648986816e-01
1.000989609218178922e+00,2.169132083654403687e-01
1.002382182874237859e+00,2.319840788841247559e-01
1.003761443002244347e+00,2.104493975639343262e-01
1.005127641758069901e+00,2.035188227891921997e-01
1.006481024201054675e+00,2.071147412061691284e-01
1.007821828557830424e+00,2.220133990049362183e-01
1.009150286473992741e+00,2.228686809539794922e-01
