# kappa, accuracy
0.000000000000000000e+00,5.504999756813049316e-01
3.461862854536044143e-01,6.637499928474426270e-01
4.394864329682418580e-01,7.020000219345092773e-01
4.956784259611493049e-01,7.372499704360961914e-01
5.360160975067129741e-01,7.480000257492065430e-01
5.675047089877872653e-01,7.544999718666076660e-01
5.933367673532731201e-01,7.670000195503234863e-01
6.152383624333636059e-01,7.710000276565551758e-01
6.342491153380187541e-01,7.745000123977661133e-01
6.510439415324849044e-01,7.727500200271606445e-01
6.660859164753327732e-01,7.747499942779541016e-01
6.797065931461319099e-01,7.807499766349792480e-01
6.921515291590046859e-01,7.814999818801879883e-01
7.036076741359691411e-01,7.832499742507934570e-01
7.142206538647276615e-01,7.847499847412109375e-01
7.241061180418995047e-01,7.847499847412109375e-01
7.333574418171648901e-01,7.854999899864196777e-01
7.420511025371651082e-01,7.864999771118164062e-01
7.502505260767440287e-01,7.877500057220458984e-01
7.580088974530750923e-01,7.927500009536743164e-01
7.653712533587749833e-01,7.917500138282775879e-01
7.723760661066140232e-01,7.929999828338623047e-01
7.790564604691220252e-01,7.917500138282775879e-01
7.854411610051214021e-01,7.940000295639038086e-01
7.915552384769998229e-01,7.985000014305114746e-01
7.974207044156114144e-01,8.004999756813049316e-01
8.030569894596327751e-01,8.000000119209289551e-01
8.084813317103815011e-01,8.022500276565551758e-01
8.137090946810046077e-01,8.034999966621398926e-01
8.187540296223846381e-01,8.007500171661376953e-01
8.236284935092240689e-01,8.022500276565551758e-01
8.283436313864821487e-01,8.037499785423278809e-01
8.329095298476112408e-01,8.059999942779541016e-01
8.373353469610206323e-01,8.032500147819519043e-01
8.416294228528545807e-01,8.065000176429748535e-01
8.457993743023026756e-01,8.067499995231628418e-01
8.498521760453264795e-01,8.082500100135803223e-01
8.537942309668047347e-01,8.077499866485595703e-01
8.576314309550240322e-01,8.084999918937683105e-01
8.613692098705908462e-01,8.097500205039978027e-01
8.650125898250372591e-01,8.075000047683715820e-01
8.685662217582194033e-01,8.117499947547912598e-01
8.720344211370993914e-01,8.107500076293945312e-01
8.754211994632846716e-01,8.105000257492065430e-01
8.787302921662892841e-01,8.119999766349792480e-01
8.819651833689031717e-01,8.144999742507934570e-01
8.851291279363564524e-01,8.137500286102294922e-01
8.882251711591077070e-01,8.144999742507934570e-01
8.912561663676213941e-01,8.130000233650207520e-01
8.942247907345153290e-01,8.155000209808349609e-01
8.971335594834010108e-01,8.147500157356262207e-01
