# kappa, accuracy
0.000000000000000000e+00,5.005000233650207520e-01
3.464486616944544295e-01,6.280000209808349609e-01
4.397612694059863658e-01,6.324999928474426270e-01
4.959576830202038766e-01,6.575000286102294922e-01
5.362976186365824294e-01,6.460000276565551758e-01
5.677876062679618752e-01,6.694999933242797852e-01
5.936205895658570597e-01,6.815000176429748535e-01
6.155228490235610250e-01,6.905000209808349609e-01
6.345341022562043243e-01,6.620000004768371582e-01
6.513293188130208078e-01,6.915000081062316895e-01
6.663716068165629336e-01,6.750000119209289551e-01
6.799925401392762359e-01,6.970000267028808594e-01
6.924376903812603512e-01,6.855000257492065430e-01
7.038940168798903940e-01,6.919999718666076660e-01
7.145071523820401005e-01,6.974999904632568359e-01
7.243927516999765226e-01,6.909999847412109375e-01
7.336441938280370278e-01,7.074999809265136719e-01
7.423379590581695719e-01,6.990000009536743164e-01
7.505374755596176950e-01,7.034999728202819824e-01
7.582959301634458749e-01,7.070000171661376953e-01
7.656583610151825869e-01,7.085000276565551758e-01
7.726632416050727148e-01,7.005000114440917969e-01
7.793436976700005570e-01,7.055000066757202148e-01
7.857284545661529229e-01,7.095000147819519043e-01
7.918425837209380758e-01,7.049999833106994629e-01
7.977080972242497348e-01,6.909999847412109375e-01
8.033444261881268478e-01,7.149999737739562988e-01
8.087688091173793614e-01,7.210000157356262207e-01
8.139966098712095866e-01,7.120000123977661133e-01
8.190415799989875234e-01,7.139999866485595703e-01
8.239160767342360581e-01,7.099999785423278809e-01
8.286312453474458106e-01,7.020000219345092773e-01
8.331971726294972180e-01,7.164999842643737793e-01
8.376230168223683936e-01,7.204999923706054688e-01
8.419171182054128177e-01,7.260000109672546387e-01
8.460870936935687148e-01,7.289999723434448242e-01
8.501399181435056462e-01,7.149999737739562988e-01
8.540819945477953201e-01,7.129999995231628418e-01
8.579192148911106708e-01,7.245000004768371582e-01
8.616570131205847360e-01,7.225000262260437012e-01
8.653004114256444002e-01,7.160000205039978027e-01
8.688540608164596613e-01,7.185000181198120117e-01
8.723222768236261748e-01,7.245000004768371582e-01
8.757090710064783234e-01,7.080000042915344238e-01
8.790181788470220470e-01,7.185000181198120117e-01
8.822530845158832458e-01,7.229999899864196777e-01
8.854170429219768712e-01,7.135000228881835938e-01
8.885130993957366385e-01,7.220000028610229492e-01
8.915441073042784659e-01,7.179999947547912598e-01
8.945127438538847953e-01,7.135000228881835938e-01
8.974215242991441244e-01,7.235000133514404297e-01
9.002728147477245813e-01,7.145000100135803223e-01
9.030688437241211064e-01,7.229999899864196777e-01
9.058117126339696457e-01,7.099999785423278809e-01
9.085034052520277736e-01,7.229999899864196777e-01
9.111457963411340177e-01,7.285000085830688477e-01
9.137406594959425199e-01,7.170000076293945312e-01
9.162896742936321726e-01,7.185000181198120117e-01
9.187944328237915848e-01,7.200000286102294922e-01
9.212564456610573549e-01,7.164999842643737793e-01
9.236771473366170992e-01,7.260000109672546387e-01
9.260579013581996533e-01,7.095000147819519043e-01
9.284000048225403701e-01,7.064999938011169434e-01
9.307046926593877112e-01,7.245000004768371582e-01
9.329731415418164309e-01,7.139999866485595703e-01
9.352064734938455581e-01,7.164999842643737793e-01
9.374057592230494729e-01,7.225000262260437012e-01
9.395720212029440299e-01,7.254999876022338867e-01
9.417062365273575208e-01,7.170000076293945312e-01
9.438093395567318522e-01,7.149999737739562988e-01
9.458822243742961433e-01,7.225000262260437012e-01
9.479257470682710407e-01,7.145000100135803223e-01
9.499407278546827538e-01,7.160000205039978027e-01
9.519279530539648260e-01,7.160000205039978027e-01
9.538881769332645533e-01,7.239999771118164062e-01
9.558221234252590737e-01,7.189999818801879883e-01
9.577304877332827315e-01,7.229999899864196777e-01
9.596139378316701496e-01,7.170000076293945312e-01
9.614731158694195257e-01,7.189999818801879883e-01
9.633086394845575828e-01,7.200000286102294922e-01
9.651211030359346799e-01,7.204999923706054688e-01
9.669110787586007172e-01,7.229999899864196777e-01
9.686791178483801223e-01,7.210000157356262207e-01
9.704257514807888008e-01,7.264999747276306152e-01
9.721514917690067259e-01,7.195000052452087402e-01
9.738568326652281559e-01,7.210000157356262207e-01
9.755422508093594125e-01,7.170000076293945312e-01
9.772082063287111930e-01,7.179999947547912598e-01
